body_no	joint_tuple_id	component_parse	atomic_default_de	body_surface	events	event_ids	attested_wrappers	surface_rule
20	10488b911aae52b3b334	OT+CH+OR	danach Ansatz entnehmen	otchor	2	E024|E080	NONE|q	observed_wrapper + body_surface; omit NONE
21	497cbd9c7401810ff56b	OT+OL	danach fortsetzen	otol	1	E026	NONE	observed_wrapper + body_surface; omit NONE
22	dec401773c1f0347793d	OL+OR	weiterer Ansatz	olor	2	E028|E113	NONE|ch	observed_wrapper + body_surface; omit NONE
23	27d97af8c96eb056c2e6	O+Y+K+OR	dies dem Ansatz zuführen	oykchor	1	E032	NONE	observed_wrapper + body_surface; omit NONE
24	409de02322e7b2ca0c62	K+IIN	bis zur Sollstufe zuführen	kaiiin	1	E036	NONE	observed_wrapper + body_surface; omit NONE
25	834825c61d048a6b5628	CH+O+AIIN	auf Maß entnehmen	odaiin	1	E038	ch	observed_wrapper + body_surface; omit NONE
26	953ad19b79517fc8a211	T+SH+OL	weiter eingetragen halten	shol	1	E039	t	observed_wrapper + body_surface; omit NONE
27	428a5e3662aa57b4b256	SH+O+AL	an der Stelle halten	choal	1	E040	s	observed_wrapper + body_surface; omit NONE
28	bdad9f9ea8b80f141496	CFHY	auswringen	cfhy	1	E041	NONE	observed_wrapper + body_surface; omit NONE
29	a8af08e69edab8e54f15	SH+Y+AIIN	dies bis zum Maß halten	fydaiin	1	E042	sh	observed_wrapper + body_surface; omit NONE
30	deb377381ceaf55ea310	P+Y	dies hineinführen	cphy	1	E043	NONE	observed_wrapper + body_surface; omit NONE
31	b5df9126607030b95175	WHOLE[cheey|shey]	Ergebnis	ey	4	E044|E197|E203|E353	che|sh	observed_wrapper + body_surface; omit NONE
32	2e2027b1951d79911e24	T+CH+O+DY	eintragen und entnehmen; Schluss	chody	1	E045	t	observed_wrapper + body_surface; omit NONE
33	577c03a928d674d420d7	SH+O+Y+T+Y	dies halten und eintragen	oyty	1	E046	sh	observed_wrapper + body_surface; omit NONE
34	d665560c8ff80799a82c	OL	fortsetzen	chol	2	E047|E083	d|s	observed_wrapper + body_surface; omit NONE
35	b2812c8283c3a62438bd	K+Y	dies zuführen	kchy	1	E049	NONE	observed_wrapper + body_surface; omit NONE
36	a48efd6c4491a046ba78	OT+Y	nächster Posten	otchy	1	E052	q	observed_wrapper + body_surface; omit NONE
37	322281bd391aa621f568	OK+OL	weiter ansetzen	okchol	1	E053	NONE	observed_wrapper + body_surface; omit NONE
38	b5fcea1eaed06b2f2291	OK+AIIN	bemessen	okaiin	9	E056|E102|E180|E181|E219|E236|E243|E256|E270	NONE|q	observed_wrapper + body_surface; omit NONE
39	403c1592f918c8f23b88	Y+K+AIN	eine Portion davon zuführen	ykain	1	E058	NONE	observed_wrapper + body_surface; omit NONE
40	d929a14ec45749b2e805	Y+K+AIN	eine Portion davon zuführen	ykan	1	E059	NONE	observed_wrapper + body_surface; omit NONE
41	97cc9ac109148723c472	O+DY	Arbeitsgang abschließen	ody	1	E060	NONE	observed_wrapper + body_surface; omit NONE
42	6f7ff8287eddf4da9fdb	CHD+Y	dies umsetzen	dy	11	E062|E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	ch|che	observed_wrapper + body_surface; omit NONE
43	e026af581c99322fbd46	TALAM	verwahren	alam	1	E063	t	observed_wrapper + body_surface; omit NONE
44	f7dc90b2c31fd341f0a4	Y+K+AIIN	dies auf Maß zuführen	ykaiin	1	E064	NONE	observed_wrapper + body_surface; omit NONE
45	807591efc3d3f7ddbfab	CHEO+AR	Entnahme aus der Quelle	oar	1	E065	che	observed_wrapper + body_surface; omit NONE
46	2c1a5fd92b9e3c762242	CHK+EE+Y	dies länger wärmen	eky	2	E066|E333	che	observed_wrapper + body_surface; omit NONE
47	1b1ffdd869fb1429ad03	OL+DY	fortsetzen; Schluss	oldy	2	E067|E337	NONE	observed_wrapper + body_surface; omit NONE
48	308e8ea2d5d190c498e8	OK+AL	an die Stelle setzen	okal	6	E069|E104|E152|E172|E186|E241	NONE|q	observed_wrapper + body_surface; omit NONE
49	204b04837409088c48f9	OL+T+Y	dies weiter eintragen	oltchy	1	E070	NONE	observed_wrapper + body_surface; omit NONE
50	6afeb5c9ab9f6cbdea0d	OR+AIN	Ansatzportion	orain	1	E073	NONE	observed_wrapper + body_surface; omit NONE
51	b9d7b6d68209a9019e7a	HO+CH+OR	Gabe aus dem Ansatz entnehmen	ochor	1	E074	ch	observed_wrapper + body_surface; omit NONE
52	2cc054357a929df85f64	HO	Gabe	o	4	E075|E078|E088|E094	ch|sh	observed_wrapper + body_surface; omit NONE
53	0ec6a45e2950e8e7061d	HO+AL+Y	diese Gabe an die Stelle	odaly	1	E076	ch	observed_wrapper + body_surface; omit NONE
54	893c570f3fa3fce99711	K+OL	weiter zuführen	kchol	1	E079	NONE	observed_wrapper + body_surface; omit NONE
55	dd0ecaf5e27d81befffc	AL	Stelle	al	10	E082|E109|E156|E166|E214|E268|E272|E278|E359|E365	NONE|ch|che|d|s|t	observed_wrapper + body_surface; omit NONE
56	c10aec6d4dd877ec8bd8	HO+Y	diese Gabe	oy	1	E084	ch	observed_wrapper + body_surface; omit NONE
57	95987d6f198d6d247511	CH+EE+CKH+O+DY	länger durch den Durchgang; Schluss	eckhody	1	E086	che	observed_wrapper + body_surface; omit NONE
58	ad3581d3144f69a5912d	SH	halten	h	1	E087	s	observed_wrapper + body_surface; omit NONE
59	b74e9e65637b7c8538dd	K+E+Y	dies kurz zuführen	kchey	1	E089	NONE	observed_wrapper + body_surface; omit NONE
60	1322bc176443fc2a8a86	OK+OK+Y	dies erneut ansetzen	okokchy	1	E090	q	observed_wrapper + body_surface; omit NONE
61	087a47b5423438cd6b6a	OK+CHEO	Entnahme ansetzen	okcheo	1	E092	ch	observed_wrapper + body_surface; omit NONE
62	75a523fcf039b006f97b	K+AL	an die Stelle zuführen	kchal	1	E093	NONE	observed_wrapper + body_surface; omit NONE
63	c71c72da4e09e0833392	K+HO+AR	Gabe aus dem Vorrat zuführen	kchoar	1	E096	NONE	observed_wrapper + body_surface; omit NONE
64	61a075bc54793c1c781f	OT+O+AIN	danach eine Portion	otodan	1	E097	s	observed_wrapper + body_surface; omit NONE
65	faf321940aed922846a9	OT+Y	nächster Posten	otchey	2	E098|E321	NONE	observed_wrapper + body_surface; omit NONE
66	9bb7122b386ebbc6138f	K+E+OL	kurz weiter zuführen	keol	1	E099	NONE	observed_wrapper + body_surface; omit NONE
67	7db18b2f0fb7ed0fcfd3	OK+E+DY	kurz ansetzen; Schluss	okedy	8	E101|E137|E138|E259|E294|E297|E318|E335	q	observed_wrapper + body_surface; omit NONE
68	22fb87a5a83e5c3fb510	K+AIR	Lauf zufuehren	kair	1	E103	NONE	observed_wrapper + body_surface; omit NONE
69	9da1b6ac2c929daea697	K+AIN	eine Portion	kain	3	E107|E257|E354	NONE|ch	observed_wrapper + body_surface; omit NONE
70	94df4847b7b16c98394a	OL+K+AIN	weitere Portion	olkain	2	E108|E358	NONE|q	observed_wrapper + body_surface; omit NONE
71	1496a731803a9f48d2e1	R+OL	weiter senken	rol	1	E111	NONE	observed_wrapper + body_surface; omit NONE
72	0f18de177ed7c878bf95	L	weiterfuehren	l	2	E112|E129	d	observed_wrapper + body_surface; omit NONE
73	4eab1841ed655c20a348	SH+E+CKH+AL	kurz an der Durchgangstelle	eckhal	1	E115	sh	observed_wrapper + body_surface; omit NONE
74	93f69c38fdedee1598e9	OK+EE+AL	länger an der Stelle halten	okeedal	1	E117	q	observed_wrapper + body_surface; omit NONE
75	2cc8bb3c2af19607888f	CKH+Y	durchführen	ckhy	4	E119|E128|E139|E179	ch|sh	observed_wrapper + body_surface; omit NONE
76	259b2b3b0bf859882e2c	CHD+DY	umsetzen; Schluss	chedy	4	E120|E167|E239|E283	d|s|t	observed_wrapper + body_surface; omit NONE
77	54e32e9c1414b20640e9	SH+K+CHD+DY	gebuendelt umsetzen; Schluss	shkchdy	1	E122	s	observed_wrapper + body_surface; omit NONE
78	bc4f1f5c006c74a4d26d	SHED+DY	absetzen; Schluss	edy	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	che|sh|t	observed_wrapper + body_surface; omit NONE
79	28ffbc88b97772a75f1e	OL+CHD+DY	weiterführen; Schluss	olchedy	3	E126|E168|E242	NONE|q	observed_wrapper + body_surface; omit NONE
80	1645e612504fcef59ced	OK+AIN	eine Portion zugeben	okain	7	E127|E169|E198|E200|E288|E341|E352	NONE|q	observed_wrapper + body_surface; omit NONE
81	4da0f0f7b5fc7ac20067	R+AL	an der Stelle senken	ral	1	E130	NONE	observed_wrapper + body_surface; omit NONE
82	87411f84689b4f93a303	OK+CHD+DY	Ansatz umsetzen; Schluss	okchdy	3	E131|E284|E363	q	observed_wrapper + body_surface; omit NONE
83	d904bf7b044dd3922781	CHK+E+Y	kurz wärmen	ky	3	E134|E164|E339	che	observed_wrapper + body_surface; omit NONE
84	be0974b366c981dc1eef	LSH+O	Waschgang	lsho	1	E141	NONE	observed_wrapper + body_surface; omit NONE
85	08bd5ca0c2ad137a056d	OK+E+Y	kurz ansetzen	okey	2	E142|E220	NONE|q	observed_wrapper + body_surface; omit NONE
86	2e7e89e0bd12b999c280	LSH+E+DY	Waschgang; Schluss	lshedy	2	E143|E144	NONE	observed_wrapper + body_surface; omit NONE
87	c205570c49d4d93c23d3	SOLK+Y	dies auffangen	olky	1	E146	q	observed_wrapper + body_surface; omit NONE
88	433713294b25b0a12f66	L+CHD+AL	zum Auslass führen	lchedal	1	E147	NONE	observed_wrapper + body_surface; omit NONE
89	b6b654722e55729cc947	OT+AR	danach von dort	otar	1	E149	NONE	observed_wrapper + body_surface; omit NONE
90	a7af89ab31ce5e247395	T+E+Y	dies kurz eintragen	ytey	1	E150	NONE	observed_wrapper + body_surface; omit NONE
91	07913ef9b1fb773cd325	OK+CHD+DY	Ansatz umsetzen; Schluss	okchedy	2	E151|E264	NONE|q	observed_wrapper + body_surface; omit NONE
92	0275fbf14e07935b0a45	OK+EE+Y	länger ansetzen	okeey	7	E153|E175|E194|E205|E293|E317|E322	NONE|q	observed_wrapper + body_surface; omit NONE
93	a06244ef1f2b37ca44c1	E+OL	kurz fortsetzen	eol	1	E157	t	observed_wrapper + body_surface; omit NONE
94	d225b7a7b95da7aee437	CHD+DY	umsetzen; Schluss	chdy	1	E158	d	observed_wrapper + body_surface; omit NONE
95	b38d70daefd663d74625	L+Y	dies fuehren	ly	1	E159	NONE	observed_wrapper + body_surface; omit NONE
96	74c76d589d44120f647b	SH+E+OL	kurz halten	sheol	1	E160	d	observed_wrapper + body_surface; omit NONE
97	2c82523794dcb7d2b343	O+IIN	Sollstand	oiiin	2	E161|E309	NONE|s	observed_wrapper + body_surface; omit NONE
98	3b70942557b3a40e8030	SOLK+EE+DY	länger auffangen; Schluss	olkeedy	3	E162|E229|E291	NONE|s	observed_wrapper + body_surface; omit NONE
99	d68bc8de3bcee09db23c	SH+CKHE+DY	trennen; Schluss	ckhedy	3	E165|E330|E331	sh	observed_wrapper + body_surface; omit NONE
100	7d25241b0e56c836372a	OK+EE+DY	länger ansetzen; Schluss	okeedy	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	q	observed_wrapper + body_surface; omit NONE
101	f329f2051370174e9a38	L+CKH+Y	dies zum Durchgang führen	lcheckhy	1	E173	NONE	observed_wrapper + body_surface; omit NONE
102	ba8142680851f24c9ff2	L+CHD	hinausführen	lched	1	E174	NONE	observed_wrapper + body_surface; omit NONE
103	c1db6b0a28d5cbb5d3d2	L+CKHE+DY	hinaus trennen; Schluss	lcheckhedy	1	E176	NONE	observed_wrapper + body_surface; omit NONE
104	4a7a6326ac95a8809302	OK+AL+Y	dies an die Stelle setzen	okaly	1	E177	q	observed_wrapper + body_surface; omit NONE
105	2d2e37ccb2dacc53ee5a	SOLK+AIIN	Auffangmass	olkaiin	1	E178	s	observed_wrapper + body_surface; omit NONE
106	a8f891de626fc00028e9	O+CTH+E+OL	kurz bereit fortsetzen	octheol	1	E182	NONE	observed_wrapper + body_surface; omit NONE
107	f0db6d30cd34f4cb2a4d	CHK+EE+Y	dies länger wärmen	keey	1	E183	ch	observed_wrapper + body_surface; omit NONE
108	04a3877f0fc81b7597c9	L+DY	abführen; Schluss	ldy	2	E184|E308	NONE	observed_wrapper + body_surface; omit NONE
109	5d5e0b288cf36864ed9d	OT+EE+Y	nächsten Posten länger halten	oteey	2	E185|E218	NONE	observed_wrapper + body_surface; omit NONE
110	c1913ec4ff84148da6d3	SH+E+CKH+Y	dies kurz im Durchgang halten	eckhy	1	E187	sh	observed_wrapper + body_surface; omit NONE
111	cbb42a4fe68068325d6b	SH+E+DY	kurz halten; Schluss	shedy	1	E189	d	observed_wrapper + body_surface; omit NONE
112	54d0e228ca346110af05	OT+AIIN	nächstes Maß	otaiin	3	E190|E306|E312	NONE|s	observed_wrapper + body_surface; omit NONE
113	3ae9a121ba0045b913e8	OK+AR	von dort einsetzen	okar	1	E191	q	observed_wrapper + body_surface; omit NONE
114	daa1347f456415fe8737	OL+SH+E+DY	mit dem Vorigen kurz absetzen; Schluss	olshedy	1	E193	s	observed_wrapper + body_surface; omit NONE
115	5eff216ba51fbfb21f22	LS	hinausfuehren	ls	1	E196	NONE	observed_wrapper + body_surface; omit NONE
116	0ab57b7166de99db3a55	L+CH+Y	dies entnehmen	lchy	1	E202	NONE	observed_wrapper + body_surface; omit NONE
117	6b89d6dd70635bc60fe0	CTH+E+Y	dies kurz bereithalten	cthey	2	E204|E258	q|sh	observed_wrapper + body_surface; omit NONE
118	5fca8fc3dee57e1d8c1f	L+EE+Y	dies länger entnehmen	lcheey	1	E206	NONE	observed_wrapper + body_surface; omit NONE
119	d25110e0d8488927278f	OK+EEE+DY	vollständig ansetzen; Schluss	okeeedy	1	E209	q	observed_wrapper + body_surface; omit NONE
120	de7321bface5628e35d6	L+CHD+DY	hinausführen; Schluss	lchedy	8	E210|E235|E246|E262|E269|E282|E345|E357	NONE	observed_wrapper + body_surface; omit NONE
121	29e0eb222ef2fb99523a	L+AR	von dort abführen	lar	1	E211	NONE	observed_wrapper + body_surface; omit NONE
122	d4a31dbcf1ed6d9e5aa9	SH+E+Y	dies kurz halten	shey	1	E212	t	observed_wrapper + body_surface; omit NONE
123	0f15effeca7ab10bb026	L+CHD+AR	von dort hinausführen	lchedar	1	E215	NONE	observed_wrapper + body_surface; omit NONE
124	db729b598e89e11452e0	WHOLE[ches]	teilen	s	1	E216	che	observed_wrapper + body_surface; omit NONE
125	65df3cd9e59060042d47	P+CHD+DY	hineinführen; Schluss	pchedy	1	E221	NONE	observed_wrapper + body_surface; omit NONE
126	98bdc4244c84cbef3321	R+SH+E+AL	an der Stelle kurz senken	rsheal	1	E222	NONE	observed_wrapper + body_surface; omit NONE
127	78b3b3140714da19090d	AL+DY	an der Stelle schliessen	aldy	1	E223	d	observed_wrapper + body_surface; omit NONE
128	7f68f60279efe6b28cd7	R+SHED+DY	senken und absetzen; Schluss	rshedy	1	E225	NONE	observed_wrapper + body_surface; omit NONE
129	ff178343c18e287ce3b7	OT+EE+DY	nächsten Schritt länger halten; Schluss	oteedy	2	E226|E292	q	observed_wrapper + body_surface; omit NONE
130	f2af6326898fb5b490a4	L+O+CHD+DY	weiter hinausfuehren; Schluss	lochedy	1	E228	NONE	observed_wrapper + body_surface; omit NONE
131	90bcf0a9ec0ef56399e6	OT+AL	Folgestelle	otal	3	E230|E237|E320	NONE|q	observed_wrapper + body_surface; omit NONE
132	a84fbe3ad380df345b97	CHK+EE+DY	länger wärmen; Schluss	keedy	1	E231	ch	observed_wrapper + body_surface; omit NONE
133	5e8441397e7c0faf042b	CHD+Y	dies umsetzen	dchy	1	E240	che	observed_wrapper + body_surface; omit NONE
134	ba540da978ea132f6da5	P+CHD+AL	an der Stelle hineinführen	pchedal	1	E248	NONE	observed_wrapper + body_surface; omit NONE
135	c45ebac60774620561e2	OT+E+DY	kurzer Folgeschritt; Schluss	otedy	2	E249|E307	NONE	observed_wrapper + body_surface; omit NONE
136	348e81ba084c5acdb32b	SH+E+CTH+CHD+Y	dies kurz bereit umsetzen	ecthedchy	1	E250	sh	observed_wrapper + body_surface; omit NONE
137	0bdc8b6db811b4e67a63	AR+Y	dies aus der Quelle nehmen	ary	1	E253	ch	observed_wrapper + body_surface; omit NONE
138	7d2404c835b10a2c06af	OK+AIR	Lauf in Gang setzen	okair	1	E260	NONE	observed_wrapper + body_surface; omit NONE
139	03626ca94cb17800d767	SH+EE+DY	länger absetzen; Schluss	eedy	1	E261	sh	observed_wrapper + body_surface; omit NONE
140	2b7fa918d1b2f5c656e3	L+O	hinausfuehren	lo	1	E263	NONE	observed_wrapper + body_surface; omit NONE
141	db167f8e9b53eefb58f8	OK+SH+E+DY	kurz absetzen; Schluss	okshedy	1	E267	q	observed_wrapper + body_surface; omit NONE
142	abb23e5e6936b4147f76	SHED+AL	an der Stelle absetzen	edal	2	E275|E364	sh	observed_wrapper + body_surface; omit NONE
143	cb57b696b815fdef9cb7	SH+E+CTH+Y	dies kurz bereit halten	ecthy	1	E276	sh	observed_wrapper + body_surface; omit NONE
144	2bc2ed2630dbdaaa6b59	AL+CHD+DY	an der Stelle überführen; Schluss	alchdy	1	E280	d	observed_wrapper + body_surface; omit NONE
145	4de12cf322dfb76ded1e	OT+CHD+DY	danach umsetzen; Schluss	otchedy	2	E281|E301	NONE|q	observed_wrapper + body_surface; omit NONE
146	342c3f0777337648f4b3	EE+AR	laenger aus der Quelle fuehren	edar	1	E285	che	observed_wrapper + body_surface; omit NONE
147	d72f71baff01cd0a0406	L+AIIN	Abfuehrmass	ldaiin	1	E286	ch	observed_wrapper + body_surface; omit NONE
148	d788d8d72d41b25a3c71	AL+R+OR	Ansatz an der Stelle senken	alror	1	E290	che	observed_wrapper + body_surface; omit NONE
149	9247e38d29c79a0d2fa5	EEE+T+Y	dies vollstaendig eintragen	eety	1	E296	che	observed_wrapper + body_surface; omit NONE
150	b154ff779abe5f196c80	CHD+AIR	Lauf weiterfuehren	chedair	1	E300	s	observed_wrapper + body_surface; omit NONE
151	d784b2abcaf1a3703de2	CHD+AIN	eine Portion überführen	dain	1	E303	che	observed_wrapper + body_surface; omit NONE
152	1779decef17481ec2853	OT+E+AIIN	kurzes Folgemaß	otedaiin	1	E305	q	observed_wrapper + body_surface; omit NONE
153	7811a7daff25d476e28d	OL+AL+Y	dies an der Stelle fortsetzen	olsaly	1	E313	NONE	observed_wrapper + body_surface; omit NONE
154	e2eb77ca9d9e1a8ba29a	OL+Y	dies weiterführen	olchey	1	E316	q	observed_wrapper + body_surface; omit NONE
155	eb2e4bc143f623ee03ac	OK+Y+LDDY	dies befestigen; Schluss	okylddy	1	E326	q	observed_wrapper + body_surface; omit NONE
156	53cd0637c6820ba5e91f	AIN	Portion	ain	2	E327|E379	d	observed_wrapper + body_surface; omit NONE
157	92e43836d82f98bf02d3	SH+EE+Y	dies länger halten	eey	1	E334	sh	observed_wrapper + body_surface; omit NONE
158	daf32e6db9e04413ce7f	OK+EE+OL	länger fortsetzen	okeeol	1	E340	NONE	observed_wrapper + body_surface; omit NONE
159	b958a512ca6a3559e86e	L+K+E+DY	kurz abführen; Schluss	lkedy	1	E344	NONE	observed_wrapper + body_surface; omit NONE
160	232195d6ff2f326322f7	OK+OL	Fortsetzung einsetzen	okol	1	E346	q	observed_wrapper + body_surface; omit NONE
161	ecce30bc8dcc400bf2c8	O+CKH+E+Y	dies kurz durchführen	ockhey	1	E350	q	observed_wrapper + body_surface; omit NONE
162	8aedd154964a78e555d6	AIR+Y+DY	Lauf schliessen	airydy	1	E351	d	observed_wrapper + body_surface; omit NONE
163	21ed2873b71e57269c08	CH+CKH+AL	Durchgangstelle	ckhal	1	E355	ch	observed_wrapper + body_surface; omit NONE
164	42cdc187d5b9ffc60063	SOLK+E+Y	kurz auffangen	olkey	1	E356	s	observed_wrapper + body_surface; omit NONE
165	883a6708116c342cb10b	K+AR	aus dem Vorrat zufuehren	kar	1	E360	s	observed_wrapper + body_surface; omit NONE
166	601b77449028deed39de	OT+CHD+DY	danach umsetzen; Schluss	otchdy	1	E362	NONE	observed_wrapper + body_surface; omit NONE
167	8c97dfde96fbc78e3355	L+OL	weiterfuehren	lol	1	E367	NONE	observed_wrapper + body_surface; omit NONE
168	00d8ebe3c68294eeac39	CHD+AL	an der Stelle umsetzen	dal	1	E368	ch	observed_wrapper + body_surface; omit NONE
169	fcc1deda9e24ec268eb0	WHOLE[daiiin]	zweite Stufe	aiiin	1	E371	d	observed_wrapper + body_surface; omit NONE
170	1bfd786e6b8b63734a59	SOLK+EE+Y	laenger auffangen	olkeey	1	E373	s	observed_wrapper + body_surface; omit NONE
171	43eb9aa12959b4d5cdc9	E+K+E+Y	dies kurz zuführen	ekey	1	E374	q	observed_wrapper + body_surface; omit NONE
172	3e9c7f217843b588489d	R+AL+Y	dies senken	raly	1	E375	NONE	observed_wrapper + body_surface; omit NONE
173	97ddca78c9ebcc956d04	L+AL+OR	Ansatz zur Stelle fuehren	ldalor	1	E381	NONE	observed_wrapper + body_surface; omit NONE
