rule_no	body_surface	register	field_position	previous_wrapper	predicted_wrapper	selection_layer	support_events	observed_wrapper_counts
156	ochor	HERBAL_A	FIRST	START	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
157	ockhey	OTHER_B	MIDDLE	che	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
158	octheol	OTHER_B	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
159	octholy	HERBAL_A	MIDDLE	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
160	odaiin	HERBAL_A	LAST	d	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
161	odaly	HERBAL_A	MIDDLE	ch	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
162	ody	HERBAL_B	LAST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
163	oiiin	OTHER_B	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
164	oiiin	OTHER_B	MIDDLE	d	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
165	okaiin	HERBAL_B	FIRST	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
166	okaiin	OTHER_B	FIRST	NONE	q	PREVIOUS_WRAPPER_RESOLVES	3	q:3
167	okaiin	OTHER_B	FIRST	START	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
168	okaiin	OTHER_B	FIRST	q	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
169	okaiin	OTHER_B	FIRST	sh	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
170	okaiin	OTHER_B	LAST	ch	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
171	okaiin	OTHER_B	MIDDLE	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
172	okain	OTHER_B	FIRST	START	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|q:1
173	okain	OTHER_B	FIRST	q	q	PREVIOUS_WRAPPER_RESOLVES	2	q:2
174	okain	OTHER_B	MIDDLE	NONE	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
175	okain	OTHER_B	MIDDLE	ch	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
176	okain	OTHER_B	MIDDLE	che	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
177	okair	OTHER_B	FIRST	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
178	okal	HERBAL_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
179	okal	OTHER_B	FIRST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
180	okal	OTHER_B	FIRST	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
181	okal	OTHER_B	MIDDLE	NONE	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|q:1
182	okal	OTHER_B	MIDDLE	che	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
183	okaly	OTHER_B	FIRST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
184	okar	OTHER_B	MIDDLE	s	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
185	okchdy	OTHER_B	ONLY	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
186	okchdy	OTHER_B	ONLY	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
187	okchdy	OTHER_B	ONLY	t	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
188	okchedy	OTHER_B	LAST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
189	okchedy	OTHER_B	ONLY	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
190	okcheo	HERBAL_A	MIDDLE	NONE	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
191	okchol	HERBAL_A	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
192	okchy	HERBAL_A	FIRST	START	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|q:1
193	okchy	HERBAL_A	MIDDLE	sh	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
194	okedy	OTHER_B	LAST	che	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
195	okedy	OTHER_B	LAST	q	q	UNIQUE_BODY_REGISTER_POSITION	2	q:2
196	okedy	OTHER_B	LAST	sh	q	UNIQUE_BODY_REGISTER_POSITION	2	q:2
197	okedy	OTHER_B	ONLY	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
198	okedy	OTHER_B	ONLY	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
199	okedy	OTHER_B	ONLY	sh	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
200	okeedal	OTHER_B	MIDDLE	d	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
201	okeedy	OTHER_B	LAST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
202	okeedy	OTHER_B	LAST	che	q	UNIQUE_BODY_REGISTER_POSITION	2	q:2
203	okeedy	OTHER_B	LAST	d	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
204	okeedy	OTHER_B	LAST	t	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
205	okeedy	OTHER_B	ONLY	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
206	okeedy	OTHER_B	ONLY	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
207	okeedy	OTHER_B	ONLY	d	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
208	okeedy	OTHER_B	ONLY	q	q	UNIQUE_BODY_REGISTER_POSITION	2	q:2
209	okeeedy	OTHER_B	LAST	che	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
210	okeeol	OTHER_B	MIDDLE	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
211	okeey	OTHER_B	FIRST	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
212	okeey	OTHER_B	FIRST	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
213	okeey	OTHER_B	FIRST	s	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
214	okeey	OTHER_B	MIDDLE	NONE	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
215	okeey	OTHER_B	MIDDLE	q	q	EXPANDED_KEY_MAJORITY	3	NONE:1|q:2
216	okey	OTHER_B	LAST	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
217	okey	OTHER_B	MIDDLE	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
218	okokchy	HERBAL_A	LAST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
219	okol	OTHER_B	FIRST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
220	okshedy	OTHER_B	ONLY	sh	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
221	oky	HERBAL_A	MIDDLE	NONE	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|ch:1
222	oky	HERBAL_A	MIDDLE	ch	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
223	oky	OTHER_B	FIRST	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
224	oky	OTHER_B	LAST	ch	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
225	oky	OTHER_B	LAST	sh	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
226	oky	OTHER_B	MIDDLE	q	q	UNIQUE_BODY_REGISTER_POSITION	2	q:2
227	oky	OTHER_B	MIDDLE	sh	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
228	oky	OTHER_B	ONLY	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
229	okylddy	OTHER_B	ONLY	sh	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
230	ol	HERBAL_A	MIDDLE	NONE	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
231	ol	HERBAL_A	MIDDLE	ch	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
232	ol	HERBAL_A	MIDDLE	q	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
233	ol	OTHER_B	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	2	s:2
234	ol	OTHER_B	FIRST	q	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
235	ol	OTHER_B	LAST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
236	ol	OTHER_B	MIDDLE	NONE	NONE	EXPANDED_KEY_MAJORITY	4	NONE:2|q:2
237	ol	OTHER_B	MIDDLE	che	NONE	PREVIOUS_WRAPPER_RESOLVES	3	NONE:3
238	ol	OTHER_B	MIDDLE	d	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|che:1
239	ol	OTHER_B	MIDDLE	q	t	PREVIOUS_WRAPPER_RESOLVES	1	t:1
240	ol	OTHER_B	MIDDLE	s	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
241	ol	OTHER_B	ONLY	s	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
242	olchedy	OTHER_B	LAST	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
243	olchedy	OTHER_B	ONLY	d	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
244	olchedy	OTHER_B	ONLY	sh	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
245	olchey	OTHER_B	FIRST	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
246	oldy	HERBAL_B	LAST	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
247	oldy	OTHER_B	ONLY	sh	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
248	olkaiin	OTHER_B	MIDDLE	q	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
249	olkain	OTHER_B	FIRST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
250	olkain	OTHER_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
251	olkeedy	OTHER_B	LAST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
252	olkeedy	OTHER_B	ONLY	START	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|s:1
253	olkeey	OTHER_B	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
254	olkey	OTHER_B	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
255	olky	OTHER_B	MIDDLE	che	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
256	olor	HERBAL_A	MIDDLE	ch	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
257	olor	OTHER_B	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
258	olsaly	OTHER_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
259	olshedy	OTHER_B	ONLY	sh	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
260	oltchy	HERBAL_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
261	or	HERBAL_A	MIDDLE	NONE	ch	EXPANDED_KEY_MAJORITY	2	ch:1|sh:1
262	or	HERBAL_A	MIDDLE	q	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
