rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v44_translation_de	v44_unknown_tokens	comparison_scope
11	f18v.10	yko dshy dair ykol dom	Erhitze hiervon einen Ansatz. Eine Dosis leicht angefeuchtete Droge und die abgemessene zweite Fraktion; erhitze hiervon den Drogenstoff und miss eine Handvoll Ansatz ab.	yko regiert den Ansatz, ykol den Drogenstoff; dom allein trägt die Handvoll.	erhitze hiervon einen Ansatz; eine Dosis leicht angefeuchtete Droge; abgemessene Fraktion II; erhitze hiervon den Drogenstoff; miss eine Handvoll Ansatz ab	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
12	f18v.2	qoeees or oaiin shy okshy qokchy qokchy s g	Nimm eine Charge der letzten Stufe: Drogenportion; Ansatzmenge III; leicht angefeuchtet; heiß-feuchter Ansatz auf der Anfangsstufe; zweimal heiß angetrocknet; Saatgutposten. Schließe den vorstehenden Rezeptposten ab.	qoeees ist Charge plus Endstufe; freies g folgt dem GDT666-Kontextaudit als Postenabschluss.	nimm eine Charge der letzten Stufe; Drogenportion; Ansatzmenge III; leicht angefeuchtet; heiß-feuchter Ansatz am Anfang des Grades; heiß und angetrocknet; heiß und angetrocknet; Samen-/Saatgutposten; vorstehenden Rezeptposten abschließen	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
13	f18v.9	okchor qotchy qokchy ytol doky dy	Eine Portion heiß-trockene Droge im Ansatz zunächst kalt, danach heiß antrocknen. Kühle hiervon den Drogenstoff; miss einen Ansatz ab, erhitze ihn leicht und schließe ab.	doky enthält Abmessen, leichtes Erhitzen und Abschluss; dy bleibt im sichtbaren Schlussverband.	eine Portion heiß-trockene Droge im Ansatz; kalt und angetrocknet; heiß und angetrocknet; kühle hiervon den Drogenstoff ab; einen Ansatz abmessen, leicht erhitzen und abschließen.	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
14	f19v.9	ychor oky chor ytol chol oky ddor	Nimm hiervon den Pflanzenteil; leicht erhitzter Ansatz; Pflanzenteil. Kühle hiervon den Drogenstoff. Trockengut; leicht erhitzter Ansatz; miss eine Portion als Dosis ab.	ddor als gelernte doppelte d-Messform, nicht als zwei Portionen.	nimm hiervon den Pflanzenteil; leicht erhitzter Ansatz; Pflanzenteil; kühle hiervon den Drogenstoff ab; Trockengut; leicht erhitzter Ansatz; eine Portion als Dosis abmessen	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
15	f24v.9	ychol chol or chor om	Trockne hiervon den Drogenstoff. Trockengut; dazu eine Drogenportion mit Pflanzenteil und eine Handvoll Ansatz.	Kurze Herbal-Anweisung; chol bleibt als Trockengut sichtbar, or und om tragen die beiden unterschiedlichen Mengen.	trockne hiervon den Drogenstoff; Trockengut; Drogenportion; eine Handvoll Ansatz	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
16	f35v.15	ykol cheol okchy tch	Erhitze hiervon den trockenen Drogenstoff; bringe ihn als heiß-trockenen Ansatz auf die Anfangsstufe, kühle ihn anschließend ab und trockne ihn nach.	tch verlangt sichtbar Abkühlen und Trocknen, nicht bloß einen Stoffzustand.	erhitze hiervon den Drogenstoff; trockener Drogenstoff; heiß-trockener Ansatz am Anfang des Grades; abkühlen und trocknen	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
17	f36v.12	ytol kchy oty chd	Kühle hiervon den Drogenstoff. Trockne ihn heiß auf der Anfangsstufe, kühle den Ansatz leicht und schließe die Trocknung ab.	chd als terminaler Trockenabschluss; kein Abziehen oder Fluss.	kühle hiervon den Drogenstoff ab; heiß und angetrocknet; kalter Ansatz am Anfang des Grades; Trocknung abschließen	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
18	f3r.2	ycheor chor dam qotcham cham	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Pflanzenteil, Dosis I. Kühle ein Maß Trockendroge; dazu ein weiteres Maß Trockendroge.	qotcham ist Kühlhandlung an einem Maß Trockendroge; cham liefert ein weiteres Maß.	nimm hiervon eine bis zur Mittelstufe getrocknete Portion; Pflanzenteil; Dosis I; kühle ein Maß Trockendroge; ein Maß Trockendroge	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
19	f3r.3	ochor qocheor chol daiin cthy	Angesetzter Pflanzenteil: Nimm eine Portion bis zur Mittelstufe getrockneter Droge; dazu Trockengut auf Stufe III und Krautdroge.	qocheor als konkreter Portionsbefehl; daiin bleibt hier Stufenwert III.	Pflanzenteil im Ansatz; nimm eine Portion bis zur Mittelstufe getrockneter Droge; Trockengut; Stufe III; Krautdroge	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
20	f44v.13	lchor shol dairl	Holziger Pflanzenteil mit Feuchtgut; miss die zweite Fraktion der Holzdroge ab.	dairl ist die Handlung, die zweite Holzfraktion abzumessen; kein bloßer Zustand.	holziger Pflanzenteil; Feuchtgut; zweite Fraktion Holzdroge abmessen	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
21	f53v.10	ychocthy qodal shodaiin	Trockne hiervon einen Ansatz mit Krautdroge leicht; dazu abgemessenen Rohstoff I im Ansatz und drei Dosen Feuchtansatz.	ychocthy bewahrt Referenz-, Trocken-, Ansatz- und Krautblock; beide Mengen sind sichtbar markiert.	trockne hiervon einen Ansatz mit Krautdroge leicht; abgemessene Rohstoffmenge I im Ansatz; drei Dosen Feuchtansatz	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
22	f6v.21	ycheor chor octham	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Pflanzenteil und ein Maß Krautansatz.	octham als exakte Krautansatz-Maßform.	nimm hiervon eine bis zur Mittelstufe getrocknete Portion; Pflanzenteil; ein Maß Krautdrogenansatz	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
23	f83r.38	or chey qockhey dairydy	Eine Drogenportion bis zur Mittelstufe trocknen; den zusammengesetzten Arzneiansatz bis zur Mittelstufe aufbereiten, die zweite Fraktion abmessen und fertigstellen.	dairydy als gelernte Fraktion-II-Fertigform; internes y wird nicht exportiert.	Drogenportion; bis zur mittleren Trockenstufe; Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten; zweite abgemessene Fraktion fertigstellen	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
24	f93r.18	olkees shodaiin shody	Charge vollständig erhitzten Drogenstoffs mit drei Dosen Feuchtansatz, vollständig eingeweicht.	Nominale Herbal-Charge; ol ist der Ergebnisträger und terminales s die Charge.	Charge vollständig erhitzten Drogenstoffs; drei Dosen Feuchtansatz; vollständig eingeweichter Ansatz	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
25	f9v.11	ychor chshoty oky kaiin	Nimm hiervon den Pflanzenteil. Trockne die Droge, weiche sie ein, setze sie an, kühle sie ab und schließe ab; erwärme den Ansatz anschließend leicht und dann auf Stufe III.	chshoty bewahrt die vollständige Trocken→Feucht→Ansatz→Kalt→Abschluss-Folge; kein unmarkierter Stoff.	nimm hiervon den Pflanzenteil; trocknen, einweichen, ansetzen, abkühlen und abschließen; leicht erhitzter Ansatz; heiß, Grad III	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
