surface	previous_working_recipe	gdt529_top1	supported_candidate_recipe	supported_candidate_roles	route_class	old_superform	old_superform_recipe	removed_visible_block	visible_block_width	visible_index	visible_position	removed_atom_block	atom_block_width	atom_index	atom_position	support_pair_count	visible_condition_total	visible_condition_option_count	conditional_probability	reliability	signature_examples	old_event_count	old_pages	old_registers	old_event_ids	old_loci
p	P	P	P	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qop	CARRIER_Q+O+P	qo	2	0	LEFT	CARRIER_Q+O	2	0	LEFT	12	21	4	0.543478261	0.857142857	dor>qodor | aiin>qoaiin | ol>qool | ckhy>qockhy | cthey>qocthey | pol>qopol | esedy>qoesedy | ckhol>qockhol	1	f81v	BIOLOGICAL	P912-E0948	f81v.10
qokchey	OK+CH+E+Y	OK+CH+E+Y	OK+CH+E+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qokalchey	OK+AL+CH+E+Y	al	2	3	INNER	AL	1	1	INNER	22	34	6	0.608108108	0.916666667	cphey>cphealy | ory>oraly | okeody>okeodaly | okar>okalar | oty>otaly | okal>okalal | choky>chokaly | oky>okaly	1	f76r	BIOLOGICAL	P1008-E0738	f76r.28
qokee	OK+EE	OK+EE	OK+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qokeedal	OK+EE+AL	dal	3	5	RIGHT	AL	1	2	RIGHT	7	12	4	0.535714286	0.777777778	y>ydal | qokeo>qokeodal | okee>okeedal | she>shedal | dal>daldal | cheo>cheodal | sheo>sheodal	1	f81v	BIOLOGICAL	P912-E0924	f81v.7
qokee	OK+EE	OK+EE	OK+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qokeedy	OK+EE+DY	dy	2	5	RIGHT	DY	1	2	RIGHT	32	52	4	0.601851852	0.941176471	sho>shody | teo>teody | o>ody | tcho>tchody | cfhol>cfholdy | ol>oldy | dal>daldy | do>dody	66	f75r|f76r|f77r|f81r|f82r|f83r	BIOLOGICAL	P912-E0473|P912-E0490|P912-E0528|P912-E0531|P912-E0655|P912-E0658|P912-E0689|P912-E0700|P912-E0766|P912-E0775|P912-E0778|P912-E0779|P912-E0782|P912-E0785|P912-E0786|P912-E0798|P912-E0806|P1008-E0521|P1008-E0589|P1008-E0623|P1008-E0634|P1008-E0851|P1008-E0993|P1003-E0114|P1003-E0125|P1003-E0141|P1003-E0143|P1003-E0159|P1003-E0168|P1003-E0181|P1003-E0184|P1003-E0185|P1003-E0192|P1003-E0200|P1003-E0221|P1003-E0240|P1003-E0249|P1003-E0259|P1003-E0260|P1003-E0313|P1003-E0357|P1003-E0359|P1003-E0360|G404-E0360|G404-E0393|P912-E1125|P912-E1145|P912-E1204|P912-E1222|P912-E1229|P912-E1231|P912-E1247|P912-E1264|P912-E1303|P912-E1324|P912-E1335|P912-E1338|P912-E1342|P912-E1352|P912-E1366|P912-E1457|P912-E1528|P912-E1601|P912-E1623|P912-E1637|P912-E1653	f75r.4|f75r.6|f75r.11|f75r.11|f75r.25|f75r.25|f75r.28|f75r.29|f75r.36|f75r.37|f75r.38|f75r.38|f75r.38|f75r.39|f75r.39|f75r.41|f75r.42|f76r.6|f76r.13|f76r.16|f76r.17|f76r.39|f76r.52|f77r.11|f77r.13|f77r.14|f77r.15|f77r.16|f77r.17|f77r.19|f77r.19|f77r.19|f77r.20|f77r.21|f77r.23|f77r.26|f77r.27|f77r.29|f77r.29|f77r.36|f77r.42|f77r.42|f77r.42|f81r.9|f81r.15|f82r.2|f82r.5|f82r.13|f82r.15|f82r.16|f82r.16|f82r.17|f82r.19|f82r.24|f82r.26|f82r.27|f82r.27|f82r.28|f82r.29|f82r.30|f83r.6|f83r.14|f83r.22|f83r.25|f83r.27|f83r.30
qokee	OK+EE	OK+EE	OK+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qokeeod	OK+EE+O+D_ADDR	od	2	5	RIGHT	O+D_ADDR	2	2	RIGHT	6	7	2	0.812500000	0.750000000	sh>shod | k>kod | d>dod | dar>darod | ch>chod | l>lod	1	f95v	HERBAL	G404-E0651	f95v1.9
qokee	OK+EE	OK+EE	OK+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qokeeol	OK+EE+OL	ol	2	5	RIGHT	OL	1	2	RIGHT	29	33	5	0.830985915	0.935483871	sh>shol | k>kol | t>tol | ot>otol | ok>okol | cth>cthol | d>dol | yt>ytol	1	f89r	PHARMA	P1008-E1119	f89r1.17
saiis	S+IIN+S	S+A_ADDR+IIN+S	S+A_ADDR+IIN+S	TOP1	SUPPORTS_TOP1_ALTERNATIVE	saiisol	S+A_ADDR+IIN+S+OL	ol	2	5	RIGHT	OL	1	4	RIGHT	29	33	5	0.830985915	0.935483871	sh>shol | k>kol | t>tol | ot>otol | ok>okol | cth>cthol | d>dol | yt>ytol	1	f77r	BIOLOGICAL	P1003-E0402	f77r.47
shain	SH+AIN	SH+AIN	SH+AIN	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	shodain	SH+O+D_ADDR+AIN	od	2	2	INNER	O+D_ADDR	2	1	INNER	15	26	7	0.525423729	0.882352941	cphal>cphodal | kaiin>kodaiin | chaiin>chodaiin | kshey>kodshey | chl>chodl | tchar>tchodar | okaiin>okodaiin | okey>okeody	1	f1r	SOURCE_SECTION_T	G404-E0085	f1r.12
shd	SH+D_ADDR	SH+D_ADDR	SH+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheed	SH+EE+D_ADDR	ee	2	2	INNER	EE	1	1	INNER	44	56	10	0.729508197	0.956521739	oty>oteey | shokchy>shokcheey | oky>okeey | ky>keey | yty>yteey | chky>cheeky | qoky>qokeey | choky>chokeey	1	f77r	BIOLOGICAL	P1003-E0164	f77r.17
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheeal	SH+EE+AL	al	2	4	RIGHT	AL	1	2	RIGHT	26	28	3	0.898305085	0.928571429	ch>chal | cth>cthal | ok>okal | k>kal | sar>saral | s>sal | okcho>okchoal | chok>chokal	1	f82r	BIOLOGICAL	P912-E1315	f82r.25
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheedy	SH+EE+DY	dy	2	4	RIGHT	DY	1	2	RIGHT	32	52	4	0.601851852	0.941176471	sho>shody | teo>teody | o>ody | tcho>tchody | cfhol>cfholdy | ol>oldy | dal>daldy | do>dody	17	f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v	BIOLOGICAL|CELESTIAL|PHARMA	P1008-E0372|P912-E0580|P912-E0597|P912-E0688|P1008-E0676|P1008-E0691|P1003-E0127|P1003-E0304|P1003-E0337|G404-E0375|G404-E0415|G404-E0484|P912-E0932|P912-E1170|P912-E1316|P912-E1505|P1003-E0536	f72r3.14|f75r.16|f75r.18|f75r.28|f76r.23|f76r.24|f77r.13|f77r.35|f77r.39|f81r.12|f81r.19|f81r.29|f81v.8|f82r.8|f82r.25|f83r.11|f88v.24
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheeky	SH+EE+K+Y	ky	2	4	RIGHT	K+Y	2	2	RIGHT	9	10	2	0.863636364	0.818181818	she>sheky | d>dky | y>yky | cheo>cheoky | ol>olky | sh>shky | l>lky | qol>qolky	3	f75r|f76r|f81v	BIOLOGICAL	P912-E0460|P1008-E0764|P912-E0985	f75r.3|f76r.30|f81v.14
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheeol	SH+EE+OL	ol	2	4	RIGHT	OL	1	2	RIGHT	29	33	5	0.830985915	0.935483871	sh>shol | k>kol | t>tol | ot>otol | ok>okol | cth>cthol | d>dol | yt>ytol	3	f77r|f88r	BIOLOGICAL|PHARMA	P1003-E0137|P1003-E0343|P912-E2452	f77r.14|f77r.40|f88r.21
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheeor	SH+EE+OR	or	2	4	RIGHT	OR	1	2	RIGHT	25	28	4	0.850000000	0.925925926	k>kor | ch>chor | sh>shor | ctho>cthoor | qot>qotor | s>sor | chol>cholor | ot>otor	1	f71v	CELESTIAL	P1003-E0640	f71v.12
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheeos	SH+EE+O+S	os	2	4	RIGHT	O+S	2	2	RIGHT	7	7	1	1.000000000	0.777777778	k>kos | sh>shos | ch>chos | che>cheos | ot>otos | t>tos | she>sheos	1	f89r	PHARMA	P1008-E1051	f89r1.6
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheety	SH+EE+T+Y	ty	2	4	RIGHT	T+Y	2	2	RIGHT	4	7	3	0.529411765	0.666666667	ch>chty | y>yty | shoy>shoyty | chdy>chdyty	4	f75r|f77r	BIOLOGICAL	P912-E0757|P912-E0773|P1003-E0148|P1003-E0167	f75r.35|f75r.37|f77r.15|f77r.17
shekey	SH+E+K+E+Y	SH+E+K+E+Y	SH+E+K+E+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	shekshey	SH+E+K+SH+E+Y	sh	2	4	INNER	SH	1	3	INNER	20	23	2	0.854166667	0.909090909	shoy>shoshy | ky>kshy | pol>pshol | koey>koshey | tol>tshol | otol>otshol | okal>okshal | dor>dshor	1	f95v	HERBAL	G404-E0605	f95v1.4
ykeol	Y+K+E+OL	Y+K+E+OL	Y+K+E+OL	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	ykeolol	Y+K+E+OL+OL	ol	2	3	INNER	OL	1	3	INNER	13	16	4	0.750000000	0.866666667	shdy>sholdy | yky>ykoly | shetey>sheoltey | okees>okeeols | shey>sheoly | ky>koly | lchedy>lolchedy | ly>loly	1	f72r	CELESTIAL	P1008-E0374	f72r3.14
ykeol	Y+K+E+OL	Y+K+E+OL	Y+K+E+OL	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	ykeolol	Y+K+E+OL+OL	ol	2	5	RIGHT	OL	1	4	RIGHT	29	33	5	0.830985915	0.935483871	sh>shol | k>kol | t>tol | ot>otol | ok>okol | cth>cthol | d>dol | yt>ytol	1	f72r	CELESTIAL	P1008-E0374	f72r3.14
