statement_order	statement_id	record_unit_id	page	loci	owner_slot	visible_card_count	visible_surface_sequence	visible_recipe_sequence	current_reading_de	whole_sign_cards	terminal_cards	style_decision	available_compact_card	style_reason_de	hypothetical_card_count_if_compact_used	visible_text_policy
11	H4-S002	H4	f55v	f55v.5	abgebildete Pflanze auf f55v	3	daiin · chedy · talam	SOLLWERT; DIES_AKTUELLER_POSTEN + UEBERFUEHREN; verwahren; Schluss	Beim Besitzer abgebildete Pflanze auf f55v: SOLLWERT => Sollmaß | DIES_AKTUELLER_POSTEN + UEBERFUEHREN => überführen | verwahren; Schluss => verwahren; Schluss	1	1	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	3	KEEP_EXACT_VISIBLE_SEQUENCE
12	H4-S003	H4	f55v	f55v.11	abgebildete Pflanze auf f55v	4	ykaiin · cheoar · cheeky · oldy	SOLLWERT; AUSZUG; GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN; WEITER_GLEICHER_LAUF + FESTSETZEN	Beim Besitzer abgebildete Pflanze auf f55v: SOLLWERT => Sollportion | AUSZUG => Auszug aus der Quelle | GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN => länger bearbeiten | WEITER_GLEICHER_LAUF + FESTSETZEN => fertig; Arbeitsschritt festsetzen	0	1	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE	NONE	The final operation/commit closes only its own workstep; fusing earlier cards would blur scope.	4	KEEP_EXACT_VISIBLE_SEQUENCE
13	H4-S004	H4	f55v	f55v.11	abgebildete Pflanze auf f55v	6	aiin · okal · oltchy · or · y · orain	SOLLWERT; EINSETZEN + ZU_ZIEL; WEITER_GLEICHER_LAUF + DIES_AKTUELLER_POSTEN + BEREITUNG; BEDINGUNGSANSATZ; DIES_AKTUELLER_POSTEN; PORTION	Beim Besitzer abgebildete Pflanze auf f55v: SOLLWERT => Sollmaß | EINSETZEN + ZU_ZIEL => dorthin einsetzen | WEITER_GLEICHER_LAUF + DIES_AKTUELLER_POSTEN + BEREITUNG => die laufende Bereitung fortsetzen | BEDINGUNGSANSATZ => Ansatz | DIES_AKTUELLER_POSTEN => dies | PORTION => Bereitungsanteil	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	6	KEEP_EXACT_VISIBLE_SEQUENCE
14	H5-S001	H5	f56r	f56r.5|f56r.7	abgebildete Pflanze auf f56r	9	chochor · cho · chodaly · daiin · sho · kchol · otchor · choky · dal	BEDINGUNGSANSATZ + EINGABE; EINGABE; DIES_AKTUELLER_POSTEN + EINGABE; SOLLWERT; EINGABE; ARGUMENTBINDER; FOLGEPOSTEN + BEDINGUNGSANSATZ; EINSETZEN + DIES_AKTUELLER_POSTEN; ZU_ZIEL	Beim Besitzer abgebildete Pflanze auf f56r: BEDINGUNGSANSATZ + EINGABE => Zugabeansatz | EINGABE => weitere Zutat | DIES_AKTUELLER_POSTEN + EINGABE => Zugabe am aktuellen Ziel | SOLLWERT => Sollmaß | EINGABE => weitere Zutat | ARGUMENTBINDER => weiter bearbeiten | FOLGEPOSTEN + BEDINGUNGSANSATZ => Folgeansatz | EINSETZEN + DIES_AKTUELLER_POSTEN => einsetzen | ZU_ZIEL => dorthin	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	9	KEEP_EXACT_VISIBLE_SEQUENCE
15	H5-S002	H5	f56r	f56r.8	abgebildete Pflanze auf f56r	4	schol · choy · choky · cheeckhody	VORIGER; DIES_AKTUELLER_POSTEN + EINGABE; EINSETZEN + DIES_AKTUELLER_POSTEN; auftragen; Schluss	Beim Besitzer abgebildete Pflanze auf f56r: VORIGER => vom vorigen Arbeitsgang nehmen | DIES_AKTUELLER_POSTEN + EINGABE => aktuelle Zutat | EINSETZEN + DIES_AKTUELLER_POSTEN => einsetzen | auftragen; Schluss => auftragen; Schluss	1	1	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	4	KEEP_EXACT_VISIBLE_SEQUENCE
16	H5-S003	H5	f56r	f56r.12	abgebildete Pflanze auf f56r	4	sh · cho · kchey · qokokchy	Stängel; EINGABE; DIES_AKTUELLER_POSTEN + ARGUMENTBINDER; EINSETZEN + DIES_AKTUELLER_POSTEN	Beim Besitzer abgebildete Pflanze auf f56r: Stängel => Stängel | EINGABE => weitere Zutat | DIES_AKTUELLER_POSTEN + ARGUMENTBINDER => den laufenden Posten kurz bearbeiten | EINSETZEN + DIES_AKTUELLER_POSTEN => denselben Posten erneut einsetzen	1	0	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	4	KEEP_EXACT_VISIBLE_SEQUENCE
17	H5-S004	H5	f56r	f56r.13	abgebildete Pflanze auf f56r	3	okchy · chokcheo · kchal	EINSETZEN + DIES_AKTUELLER_POSTEN; EINSETZEN + AUSZUG; ARGUMENTBINDER	Beim Besitzer abgebildete Pflanze auf f56r: EINSETZEN + DIES_AKTUELLER_POSTEN => den laufenden Posten einsetzen und weiterbearbeiten | EINSETZEN + AUSZUG => Auszug einsetzen | ARGUMENTBINDER => an der Zielstelle bearbeiten	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	3	KEEP_EXACT_VISIBLE_SEQUENCE
18	H5-S005	H5	f56r	f56r.18	abgebildete Pflanze auf f56r	4	sho · chokchy · kchoar · sotodan	EINGABE; EINSETZEN + DIES_AKTUELLER_POSTEN; ARGUMENTBINDER; zur Folgeanwendung weiterführen	Beim Besitzer abgebildete Pflanze auf f56r: EINGABE => weitere Zutat | EINSETZEN + DIES_AKTUELLER_POSTEN => den laufenden Posten einsetzen und weiterbearbeiten | ARGUMENTBINDER => bearbeiteter Quellauszug | zur Folgeanwendung weiterführen => zur Folgeanwendung weiterführen	1	0	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	4	KEEP_EXACT_VISIBLE_SEQUENCE
19	H5-S006	H5	f56r	f56r.19	abgebildete Pflanze auf f56r	3	otchey · keol · daiin	FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; ARGUMENTBINDER; SOLLWERT	Beim Besitzer abgebildete Pflanze auf f56r: FOLGEPOSTEN + DIES_AKTUELLER_POSTEN => das nächste | ARGUMENTBINDER => kurz weiterbearbeiten | SOLLWERT => Sollmaß	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	3	KEEP_EXACT_VISIBLE_SEQUENCE
20	B1-S001	B1	f81v	f81v.2	gemeinsames Becken- und Figurenfeld auf f81v	1	qokedy	EINSETZEN + GRAD + FESTSETZEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + GRAD + FESTSETZEN => kurz einwirken; Schluss; Arbeitsschritt festsetzen	0	1	SINGLE_CARD_ALREADY_COMPACT	qokedy	One registered card already carries the entire statement scope.	1	KEEP_EXACT_VISIBLE_SEQUENCE
21	B1-S002	B1	f81v	f81v.2|f81v.7	gemeinsames Becken- und Figurenfeld auf f81v	19	okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy	EINSETZEN + SOLLWERT; LAUF_BAHN + ARGUMENTBINDER; EINSETZEN + ZU_ZIEL; VON_QUELLE; WEITER_GLEICHER_LAUF; PORTION; WEITER_GLEICHER_LAUF + PORTION; ZU_ZIEL; WEITER_GLEICHER_LAUF; WEITER_GLEICHER_LAUF; Zusatz; WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF; ZU_ZIEL + GRAD + DURCHLASS; SOLLWERT; EINSETZEN + ZU_ZIEL + GRAD; SOLLWERT; DIES_AKTUELLER_POSTEN + DURCHLASS; UEBERFUEHREN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + SOLLWERT => bemessen | LAUF_BAHN + ARGUMENTBINDER => Beckenlauf | EINSETZEN + ZU_ZIEL => dorthin einsetzen | VON_QUELLE => davon | WEITER_GLEICHER_LAUF => weiter | PORTION => Portion | WEITER_GLEICHER_LAUF + PORTION => weiterer Anteil | ZU_ZIEL => dorthin | WEITER_GLEICHER_LAUF => weiter | WEITER_GLEICHER_LAUF => Anschluss | Zusatz => Zusatz | WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ => derselbe Ansatz | WEITER_GLEICHER_LAUF => weiter | ZU_ZIEL + GRAD + DURCHLASS => Kurze Zielpassage | SOLLWERT => Sollmaß | EINSETZEN + ZU_ZIEL + GRAD => Langer Zieleinsatz | SOLLWERT => Sollmaß | DIES_AKTUELLER_POSTEN + DURCHLASS => durchleiten | UEBERFUEHREN => überführen; Schluss	1	1	COMPACT_ALTERNATIVE_AVAILABLE__VISIBLE_PHRASE_RETAINED	olar	A register-shared card covers the exact same adjacent scopes, but the visible two-card phrase remains the manuscript reading.	18	KEEP_EXACT_VISIBLE_SEQUENCE
22	B1-S003	B1	f81v	f81v.7|f81v.17	gemeinsames Becken- und Figurenfeld auf f81v	2	qol · sshkchdy	WEITER_GLEICHER_LAUF; übertragen; Schluss	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: WEITER_GLEICHER_LAUF => weiter | übertragen; Schluss => übertragen; Schluss	1	1	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	2	KEEP_EXACT_VISIBLE_SEQUENCE
23	B1-S004	B1	f81v	f81v.17	gemeinsames Becken- und Figurenfeld auf f81v	3	chedy · ol · shedy	DIES_AKTUELLER_POSTEN + UEBERFUEHREN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: DIES_AKTUELLER_POSTEN + UEBERFUEHREN => überführen | WEITER_GLEICHER_LAUF => weiter | GRAD + FESTSETZEN + ABSETZEN => kurz absetzen; Schluss; Arbeitsschritt festsetzen	0	1	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE	NONE	The final operation/commit closes only its own workstep; fusing earlier cards would blur scope.	3	KEEP_EXACT_VISIBLE_SEQUENCE
24	B1-S005	B1	f81v	f81v.17	gemeinsames Becken- und Figurenfeld auf f81v	1	qolchedy	WEITER_GLEICHER_LAUF + FESTSETZEN + UEBERFUEHREN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: WEITER_GLEICHER_LAUF + FESTSETZEN + UEBERFUEHREN => weiterführen; Schluss; Arbeitsschritt festsetzen	0	1	SINGLE_CARD_ALREADY_COMPACT	qolchedy	One registered card already carries the entire statement scope.	1	KEEP_EXACT_VISIBLE_SEQUENCE
25	B1-S006	B1	f81v	f81v.17	gemeinsames Becken- und Figurenfeld auf f81v	4	qokain · shckhy · dl · ral	EINSETZEN + PORTION; DIES_AKTUELLER_POSTEN + DURCHLASS; Zusatz; ZU_ZIEL	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + PORTION => Anteil zugeben | DIES_AKTUELLER_POSTEN + DURCHLASS => durchleiten | Zusatz => Zusatz | ZU_ZIEL => Zielmarke	1	0	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	4	KEEP_EXACT_VISIBLE_SEQUENCE
26	B1-S007	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	1	qokchdy	EINSETZEN + FESTSETZEN + UEBERFUEHREN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + FESTSETZEN + UEBERFUEHREN => neuen Posten einsetzen; Schluss; Arbeitsschritt festsetzen	0	1	SINGLE_CARD_ALREADY_COMPACT	qokchdy	One registered card already carries the entire statement scope.	1	KEEP_EXACT_VISIBLE_SEQUENCE
27	B1-S008	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	5	chey · ol · cheky · ol · shedy	DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF; GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: DIES_AKTUELLER_POSTEN => dies | WEITER_GLEICHER_LAUF => weiter | GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN => kurz wärmen | WEITER_GLEICHER_LAUF => weiter | GRAD + FESTSETZEN + ABSETZEN => kurz absetzen; Schluss; Arbeitsschritt festsetzen	0	1	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE	NONE	The final operation/commit closes only its own workstep; fusing earlier cards would blur scope.	5	KEEP_EXACT_VISIBLE_SEQUENCE
28	B1-S009	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	1	qokedy	EINSETZEN + GRAD + FESTSETZEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + GRAD + FESTSETZEN => kurz einwirken; Schluss; Arbeitsschritt festsetzen	0	1	SINGLE_CARD_ALREADY_COMPACT	qokedy	One registered card already carries the entire statement scope.	1	KEEP_EXACT_VISIBLE_SEQUENCE
29	B1-S010	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	1	qokedy	EINSETZEN + GRAD + FESTSETZEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + GRAD + FESTSETZEN => kurz einwirken; Schluss; Arbeitsschritt festsetzen	0	1	SINGLE_CARD_ALREADY_COMPACT	qokedy	One registered card already carries the entire statement scope.	1	KEEP_EXACT_VISIBLE_SEQUENCE
30	B1-S011	B1	f81v	f81v.18	gemeinsames Becken- und Figurenfeld auf f81v	2	chckhy · qoky	DIES_AKTUELLER_POSTEN + DURCHLASS; EINSETZEN + DIES_AKTUELLER_POSTEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: DIES_AKTUELLER_POSTEN + DURCHLASS => durchleiten | EINSETZEN + DIES_AKTUELLER_POSTEN => einsetzen	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	2	KEEP_EXACT_VISIBLE_SEQUENCE
31	B1-S012	B1	f81v	f81v.21	gemeinsames Becken- und Figurenfeld auf f81v	3	lsho · qokey · lshedy	WASCHEN; EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN; FESTSETZEN + WASCHEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: WASCHEN => Waschgang | EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN => kurz einwirken lassen | FESTSETZEN + WASCHEN => Waschgang; Schluss; Arbeitsschritt festsetzen	0	1	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE	NONE	The final operation/commit closes only its own workstep; fusing earlier cards would blur scope.	3	KEEP_EXACT_VISIBLE_SEQUENCE
32	B1-S013	B1	f81v	f81v.21	gemeinsames Becken- und Figurenfeld auf f81v	1	lshedy	FESTSETZEN + WASCHEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: FESTSETZEN + WASCHEN => Waschgang; Schluss; Arbeitsschritt festsetzen	0	1	SINGLE_CARD_ALREADY_COMPACT	lshedy	One registered card already carries the entire statement scope.	1	KEEP_EXACT_VISIBLE_SEQUENCE
33	B1-S014	B1	f81v	f81v.21	gemeinsames Becken- und Figurenfeld auf f81v	5	chedy · qolky · lchedal · qol · otar	DIES_AKTUELLER_POSTEN + UEBERFUEHREN; WEITER_GLEICHER_LAUF; ZU_ZIEL + AB + UEBERFUEHREN; WEITER_GLEICHER_LAUF; FOLGEPOSTEN + VON_QUELLE	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: DIES_AKTUELLER_POSTEN + UEBERFUEHREN => überführen | WEITER_GLEICHER_LAUF => Weiterweg | ZU_ZIEL + AB + UEBERFUEHREN => Zielabführung | WEITER_GLEICHER_LAUF => weiter | FOLGEPOSTEN + VON_QUELLE => Folgequelle	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	5	KEEP_EXACT_VISIBLE_SEQUENCE
34	B1-S015	B1	f81v	f81v.24	gemeinsames Becken- und Figurenfeld auf f81v	2	ytey · okchedy	Kurzteil; EINSETZEN + FESTSETZEN + UEBERFUEHREN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: Kurzteil => Kurzteil | EINSETZEN + FESTSETZEN + UEBERFUEHREN => vorigen Posten überführen; Schluss; Arbeitsschritt festsetzen	1	1	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	2	KEEP_EXACT_VISIBLE_SEQUENCE
35	B1-S016	B1	f81v	f81v.24	gemeinsames Becken- und Figurenfeld auf f81v	4	qokal · okeey · qol · cheedy	EINSETZEN + ZU_ZIEL; EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: EINSETZEN + ZU_ZIEL => dorthin einsetzen | EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN => länger einwirken lassen | WEITER_GLEICHER_LAUF => weiter | GRAD + FESTSETZEN + ABSETZEN => kurz absetzen; Schluss; Arbeitsschritt festsetzen	0	1	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE	NONE	The final operation/commit closes only its own workstep; fusing earlier cards would blur scope.	4	KEEP_EXACT_VISIBLE_SEQUENCE
36	B1-S017	B1	f81v	f81v.24	gemeinsames Becken- und Figurenfeld auf f81v	3	sal · teol · dchdy	ZU_ZIEL; WEITER_GLEICHER_LAUF + GRAD; FESTSETZEN + UEBERFUEHREN	Beim Besitzer gemeinsames Becken- und Figurenfeld auf f81v: ZU_ZIEL => dorthin | WEITER_GLEICHER_LAUF + GRAD => kurz weiterführen | FESTSETZEN + UEBERFUEHREN => Transfer; Schluss; Arbeitsschritt festsetzen	0	1	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE	NONE	The final operation/commit closes only its own workstep; fusing earlier cards would blur scope.	3	KEEP_EXACT_VISIBLE_SEQUENCE
