global_group_serial	source_kind	register	unit_id	page	local_serial	locus	field_or_address	statement_or_station	exact_identity	surface_display_only	formal_control	mnemonic_or_status	structural_status	iatromedical_content_class	IATROMEDICAL_SIMPLE_BATH_ELECTION	practical_content_class	PRACTICAL_MATERIAL_PROCESS_SCHEDULE	content_preference	content_status	roundtrip_status
11	PROSE_EXACT_CARD	HERBAL	H1	f10r	11	f10r.5	F002	H1-S002	9ad66e67803a12e745de	qokchy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[EXEMPLAR:nimm den frischen ersten Lauf]	MATERIAL	Wannen und zum Vorwaschen heller Tücher.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
12	PROSE_EXACT_CARD	HERBAL	H1	f10r	12	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	qotchol	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:erwärme ihn gelinde]	MATERIAL	Erwärme den zurückbehaltenen Wurzelposten ein zweites Mal,	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
13	PROSE_EXACT_CARD	HERBAL	H1	f10r	13	f10r.5	F002	H1-S002	dcda95c81a5460feb191	chol	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN_EXEMPLAR	UNIQUE_FORMAL_ONLY	SIMPLE	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H1:I001 fortführen]	MATERIAL	verbinde nur brauchbare klare Fraktionen und verwahre	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
14	PROSE_EXACT_CARD	HERBAL	H1	f10r	14	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	cthy	NONE	BEREIT?	UNIQUE_EXACT	SIMPLE	[CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Gebrauchszustand]	MATERIAL	den Rest verschlossen und beschriftet im Materialschrank.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
15	PROSE_EXACT_CARD	HERBAL	H2	f10r	15	f10r.6	F003	H2-S001	7249edc4df3419c26999	ycheor	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[IMAGE:Blütenköpfe und junge Blätter derselben Teufelsabbiss-Pflanze]	MATERIAL	Von derselben abgebildeten Pflanze	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
16	PROSE_EXACT_CARD	HERBAL	H2	f10r	16	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	cthy	NONE	BEREIT?	UNIQUE_EXACT	SIMPLE	[CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen]	MATERIAL	nimm früh geöffnete Blütenköpfe	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
17	PROSE_EXACT_CARD	HERBAL	H2	f10r	17	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	chor	NONE	ANSATZ?	UNIQUE_EXACT	SIMPLE	[CARD:ANSATZ?] [REGISTER:H2:I001 als frischen Ansatz führen]	MATERIAL	und junge Blätter als ersten	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
18	PROSE_EXACT_CARD	HERBAL	H2	f10r	18	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	cthaiin	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:zerstoße das Kraut]	MATERIAL	Werkstattposten. Zerstoße sie, presse	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
19	PROSE_EXACT_CARD	HERBAL	H2	f10r	19	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	qoctholy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:presse den Saft durch ein Tuch]	MATERIAL	den Saft durch ein	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
20	PROSE_EXACT_CARD	HERBAL	H2	f10r	20	f10r.6	F003	H2-S001	b921a237be883a820352	dy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[EXEMPLAR:fange die erste Fraktion auf]	MATERIAL	Tuch, gib eine kleine bemessene	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
21	PROSE_EXACT_CARD	HERBAL	H2	f10r	21	f10r.6	F003	H2-S001	b921a237be883a820352	chy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:gib Olivenöl hinzu]	MATERIAL	Menge Alaunlösung hinzu und	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
22	PROSE_EXACT_CARD	HERBAL	H2	f10r	22	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	taiin	NONE	MASS?	UNIQUE_EXACT	SIMPLE	[CARD:MASS?] [EXEMPLAR:ein örtlich vorgeschriebenes Maß]	MATERIAL	halte die klare farbige	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
23	PROSE_EXACT_CARD	HERBAL	H2	f10r	23	f10r.6	F003	H2-S001	b921a237be883a820352	shy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:erwärme gelinde]	MATERIAL	Fraktion getrennt. Ernte vor	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
24	PROSE_EXACT_CARD	HERBAL	H2	f10r	24	f10r.8	F004	H2-S002	10488b911aae52b3b334	qotchor	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[IMAGE:nimm vor voller Blüte eine zweite Portion der Spitzen]	MATERIAL	voller Blüte eine zweite	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
25	PROSE_EXACT_CARD	HERBAL	H2	f10r	25	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	chor	NONE	ANSATZ?	UNIQUE_EXACT	SIMPLE	[CARD:ANSATZ?] [REGISTER:H2:I001 fortführen]	MATERIAL	Portion Spitzen, führe den vorigen	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
26	PROSE_EXACT_CARD	HERBAL	H2	f10r	26	f10r.8	F004	H2-S002	497cbd9c7401810ff56b	otol	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[EXEMPLAR:eine Handvoll]	MATERIAL	H2-Posten recordlokal wieder heran	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
27	PROSE_EXACT_CARD	HERBAL	H2	f10r	27	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN_EXEMPLAR	UNIQUE_FORMAL_ONLY	SIMPLE	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H2:I001 fortführen]	MATERIAL	und gleiche beide Fraktionen	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
28	PROSE_EXACT_CARD	HERBAL	H2	f10r	28	f10r.8	F004	H2-S002	dec401773c1f0347793d	cholor	NONE	VORIGES?	UNIQUE_EXACT	SIMPLE	[CARD:VORIGES?] [REGISTER:H2:I001 als vorigen Posten aufnehmen]	MATERIAL	an einem Probestreifen ab. Gib	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
29	PROSE_EXACT_CARD	HERBAL	H2	f10r	29	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN_EXEMPLAR	UNIQUE_FORMAL_ONLY	SIMPLE	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H2:I002 führen]	MATERIAL	einen Anteil in das	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
30	PROSE_EXACT_CARD	HERBAL	H2	f10r	30	f10r.8	F004	H2-S002	2f1c5e56e8f0ff459065	daiin	VORGABEPARAMETER?	MASS?	UNIQUE_CONVERGENT_CHANNELS	SIMPLE	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:ein gleiches örtliches Maß]	MATERIAL	kleine Färbebad für Bänder	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
31	PROSE_EXACT_CARD	HERBAL	H2	f10r	31	f10r.8	F004	H2-S002	4d4559019a961b834aa1	dar	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:verbinde beide Fraktionen]	MATERIAL	und Arbeitszeichen. Rühre den	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
32	PROSE_EXACT_CARD	HERBAL	H2	f10r	32	f10r.9	F005	H2-S003	27d97af8c96eb056c2e6	oykchor	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:gib die Fraktionen in ein glasiertes Gefäß]	MATERIAL	übrigen Pflanzenstoff mit Öl	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
33	PROSE_EXACT_CARD	HERBAL	H2	f10r	33	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	shor	NONE	ANSATZ?	UNIQUE_EXACT	SIMPLE	[CARD:ANSATZ?] [REGISTER:H2:I003 als Salbenansatz führen]	MATERIAL	und wenig Wachs bei kleiner	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
34	PROSE_EXACT_CARD	HERBAL	H2	f10r	34	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	chor	NONE	ANSATZ?	UNIQUE_EXACT	SIMPLE	[CARD:ANSATZ?] [REGISTER:H2:I003 wiederholt; Slotkonflikt bleibt sichtbar]	MATERIAL	Wärme zu einer weichen,	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
35	PROSE_EXACT_CARD	HERBAL	H2	f10r	35	f10r.9	F005	H2-S003	b921a237be883a820352	chy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:rühre bei kleinem Feuer]	MATERIAL	duftenden Paste, fülle sie	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
36	PROSE_EXACT_CARD	HERBAL	H2	f10r	36	f10r.9	F005	H2-S003	409de02322e7b2ca0c62	kaiiin	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[EXEMPLAR:bis eine weiche Salbe entsteht]	MATERIAL	in ein glasiertes Gefäß und	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
37	PROSE_EXACT_CARD	HERBAL	H2	f10r	37	f10r.9	F005	H2-S003	b921a237be883a820352	dy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:bewahre sie bedeckt]	MATERIAL	verwende sie zum Einreiben	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
38	PROSE_EXACT_CARD	HERBAL	H2	f10r	38	f10r.9	F005	H2-S003	834825c61d048a6b5628	chodaiin	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:lege sie äußerlich auf ein Geschwür oder eine harte Schwellung]	MATERIAL	von Holzgriffen oder Lederkanten.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
39	PROSE_EXACT_CARD	HERBAL	H3	f11r	39	f11r.1	F006	H3-S001	953ad19b79517fc8a211	tshol	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[IMAGE:Blüten und junge Blätter des Duftveilchens] [GENRE:im ersten Frühjahr nehmen]	MATERIAL	Von der kleinblütigen abgebildeten Pflanze	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
40	PROSE_EXACT_CARD	HERBAL	H3	f11r	40	f11r.1	F006	H3-S001	428a5e3662aa57b4b256	schoal	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:in reinem Wein kochen]	MATERIAL	sammle Blüten und junge Blätter	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
41	PROSE_EXACT_CARD	HERBAL	H3	f11r	41	f11r.1	F006	H3-S001	bdad9f9ea8b80f141496	cfhy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:durch ein feines Tuch wringen]	MATERIAL	am kühlen Morgen. Koche einen	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
42	PROSE_EXACT_CARD	HERBAL	H3	f11r	42	f11r.1	F006	H3-S001	a8af08e69edab8e54f15	shfydaiin	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:den Auszug stehen lassen]	MATERIAL	Teil kurz in verdünntem Wein,	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
43	PROSE_EXACT_CARD	HERBAL	H3	f11r	43	f11r.1	F006	H3-S001	deb377381ceaf55ea310	cphy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:nochmals seihen]	MATERIAL	wringe ihn durch feine Leinwand, lasse	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
44	PROSE_EXACT_CARD	HERBAL	H3	f11r	44	f11r.1	F006	H3-S001	b5df9126607030b95175	shey	NONE	KLAR?	UNIQUE_EXACT	SIMPLE	[CARD:KLAR?] [EXEMPLAR:bis zum örtlich geprüften klaren Zustand]	MATERIAL	den Auszug stehen und seihe	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
45	PROSE_EXACT_CARD	HERBAL	H3	f11r	45	f11r.1	F006	H3-S001	2e2027b1951d79911e24	tchody	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[FORMAL:CLOSE; keine Wortbedeutung] [GENRE:abkühlen lassen]	MATERIAL	ihn nochmals bis zur klaren	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
46	PROSE_EXACT_CARD	HERBAL	H3	f11r	46	f11r.1	F007	H3-S002	577c03a928d674d420d7	shoyty	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[EXEMPLAR:behalte einen Teil der frischen Blüten für die zweite Arznei zurück]	MATERIAL	örtlichen Qualitätsstufe. Bewahre frische Blüten	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
47	PROSE_EXACT_CARD	HERBAL	H3	f11r	47	f11r.4	F008	H3-S003	d665560c8ff80799a82c	dchol	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[REGISTER:H3:I001 als erster Auszug]	MATERIAL	für den zweiten Posten zurück.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
48	PROSE_EXACT_CARD	HERBAL	H3	f11r	48	f11r.4	F008	H3-S003	b921a237be883a820352	chy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:nimm davon]	MATERIAL	Miss vom klaren Auszug eine	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
49	PROSE_EXACT_CARD	HERBAL	H3	f11r	49	f11r.4	F008	H3-S003	b2812c8283c3a62438bd	kchy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:gib ihn als Trank]	MATERIAL	kleine Portion in das letzte	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
50	PROSE_EXACT_CARD	HERBAL	H3	f11r	50	f11r.4	F008	H3-S003	b921a237be883a820352	dy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:bei bedrücktem Gemüt und beschwerter Brust]	MATERIAL	Spülwasser für Badetücher und duftende	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
51	PROSE_EXACT_CARD	HERBAL	H3	f11r	51	f11r.4	F008	H3-S003	2f1c5e56e8f0ff459065	daiin	VORGABEPARAMETER?	MASS?	UNIQUE_CONVERGENT_CHANNELS	SIMPLE	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	MATERIAL	Arbeitswäsche. Erwärme die zurückbehaltenen Blüten langsam	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
52	PROSE_EXACT_CARD	HERBAL	H3	f11r	52	f11r.7	F009	H3-S004	a48efd6c4491a046ba78	qotchy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[EXEMPLAR:nimm die zurückbehaltenen Blüten]	MATERIAL	in Öl, filtere den Feststoff	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
53	PROSE_EXACT_CARD	HERBAL	H3	f11r	53	f11r.7	F009	H3-S004	322281bd391aa621f568	okchol	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:erwärme sie in Olivenöl]	MATERIAL	ab und verwahre das Duftöl	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
54	PROSE_EXACT_CARD	HERBAL	H3	f11r	54	f11r.7	F009	H3-S004	e0b630cb1b5df5e7105b	cthy	NONE	BEREIT?	UNIQUE_EXACT	SIMPLE	[CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Bereitschaftszustand]	MATERIAL	für hölzerne Kämme, Lederzeug und	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
55	PROSE_EXACT_CARD	HERBAL	H3	f11r	55	f11r.7	F009	H3-S004	b921a237be883a820352	dy	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:streiche das Öl äußerlich um die Lider ohne das Auge zu berühren]	MATERIAL	die äußere Pflege der Badhausbänke.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
56	PROSE_EXACT_CARD	HERBAL	H4	f55v	56	f55v.5	F010	H4-S001	b5fcea1eaed06b2f2291	qokaiin	STANDARDSLOT_SETZEN	UNKNOWN_EXEMPLAR	UNIQUE_FORMAL_ONLY	SIMPLE	[FORMAL:STANDARDSLOT_SETZEN; keine Wortbedeutung] [EXEMPLAR:setze den ersten Posten an]	MATERIAL	Vom breiten Blattkraut richte zuerst	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
57	PROSE_EXACT_CARD	HERBAL	H4	f55v	57	f55v.5	F010	H4-S001	2f1c5e56e8f0ff459065	chaiin	NONE	MASS?	UNIQUE_EXACT	SIMPLE	[CARD:MASS?] [EXEMPLAR:ein örtlich vorgeschriebenes Maß]	MATERIAL	einen kalten Reinigungsansatz ein. Nimm eine	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
