group_serial	page	unit_id	locus	event_index	source_event_serial	astro_local_group_identity	surface_ZL3b	locus_role	inventory_item	formal_value	mnemonic	iatromedical_content_class	IATROMEDICAL_ELECTION	practical_content_class	PRACTICAL_SCHEDULE	content_preference	external_label_status	rotation_start_status	direct_f68_f69_mapping	content_status
11	f67r2	A1	f67r2.4	2	11851	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.4::2::11851	sykos	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z04	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/2; KEINE KARTENGLOSSE] diesem Zeichen den Bezirk schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	für die Blattsichtung Materialbestand, Wasserqualität und	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
12	f67r2	A1	f67r2.5	1	11852	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.5::1::11852	ykeody	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z05	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/2; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 5: Löwe; Körperbezirk: Herz und oberer Rücken; bei Mond	SCHEDULE	freie Feuerstelle. Am ersten Werkstatttag prüfe	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
13	f67r2	A1	f67r2.5	2	11853	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.5::2::11853	okchy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z05	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/2; KEINE KARTENGLOSSE] in diesem Zeichen den Bezirk schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	für das Schattentrocknen Materialbestand, Wasserqualität und	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
14	f67r2	A1	f67r2.6	1	11854	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.6::1::11854	dchetay	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z06	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/1; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 6: Jungfrau; Körperbezirk: Bauch und Eingeweide; bei Mond in diesem Zeichen den Bezirk schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	freie Feuerstelle. Am ersten Werkstatttag prüfe	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
15	f67r2	A1	f67r2.7	1	11855	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.7::1::11855	ykchy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z07	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 7: Waage; Körperbezirk: Lenden und	SCHEDULE	für das Zerkleinern Materialbestand, Wasserqualität und	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
16	f67r2	A1	f67r2.7	2	11856	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.7::2::11856	kchey	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z07	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Nieren; bei Mond in diesem Zeichen den Bezirk	SCHEDULE	freie Feuerstelle. Am ersten Werkstatttag prüfe	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
17	f67r2	A1	f67r2.7	3	11857	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.7::3::11857	ykchys	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z07	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	für das Einweichen Materialbestand, Wasserqualität und	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
18	f67r2	A1	f67r2.8	1	11858	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.8::1::11858	chkchdar	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z08	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/1; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 8: Skorpion; Körperbezirk: Genitalien und Blase; bei Mond in diesem Zeichen den Bezirk schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	freie Feuerstelle. Am ersten Werkstatttag prüfe	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
19	f67r2	A1	f67r2.9	1	11859	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.9::1::11859	ykar	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z09	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/2; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 9: Schütze; Körperbezirk: Hüften und Oberschenkel; bei Mond in	SCHEDULE	für das Färbebad Materialbestand, Wasserqualität und	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
20	f67r2	A1	f67r2.9	2	11860	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.9::2::11860	ykaly	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z09	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/2; KEINE KARTENGLOSSE] diesem Zeichen den Bezirk schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	freie Feuerstelle. Am ersten Werkstatttag prüfe für	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
21	f67r2	A1	f67r2.10	1	11861	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.10::1::11861	lkshy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z10	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 10: Steinbock; Körperbezirk: Knie;	SCHEDULE	das Duftöl Materialbestand, Wasserqualität und freie	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
22	f67r2	A1	f67r2.10	2	11862	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.10::2::11862	kchy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z10	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] bei Mond in diesem Zeichen den Bezirk	SCHEDULE	Feuerstelle. Am ersten Werkstatttag prüfe für	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
23	f67r2	A1	f67r2.10	3	11863	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.10::3::11863	okar	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z10	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	das Erwärmen Materialbestand, Wasserqualität und freie	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
24	f67r2	A1	f67r2.11	1	11864	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.11::1::11864	chky	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z11	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 11: Wassermann; Körperbezirk: Schienbeine und	SCHEDULE	Feuerstelle. Am ersten Werkstatttag prüfe für	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
25	f67r2	A1	f67r2.11	2	11865	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.11::2::11865	chykchs	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z11	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Knöchel; bei Mond in diesem Zeichen den Bezirk	SCHEDULE	das Filtern Materialbestand, Wasserqualität und freie	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
26	f67r2	A1	f67r2.11	3	11866	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.11::3::11866	chy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z11	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	Feuerstelle. Am ersten Werkstatttag prüfe für	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
27	f67r2	A1	f67r2.12	1	11867	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.12::1::11867	ykees	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z12	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/2; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 12: Fische; Körperbezirk: Füße; bei Mond in diesem	SCHEDULE	den Badedienst Materialbestand, Wasserqualität und freie	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
28	f67r2	A1	f67r2.12	2	11868	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.12::2::11868	ykchos	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z12	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/2; KEINE KARTENGLOSSE] Zeichen den Bezirk schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	Feuerstelle. Am ersten Werkstatttag prüfe für	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
29	f67r2	A1	f67r2.13	1	11869	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.13::1::11869	opodchol	SELECTOR_INSTRUCTION_LOCAL_SOURCE_TEXT	I13	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/4; KEINE KARTENGLOSSE] Bestimme zuerst den	SCHEDULE	Reinigung und Vorratsschluss Materialbestand, Wasserqualität und	COEQUAL	NONE	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
30	f67r2	A1	f67r2.13	2	11870	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.13::2::11870	s	SELECTOR_INSTRUCTION_LOCAL_SOURCE_TEXT	I13	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/4; KEINE KARTENGLOSSE] Tag und danach	SCHEDULE	freie Feuerstelle. Am zweiten Werkstatttag prüfe	COEQUAL	NONE	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
31	f67r2	A1	f67r2.13	3	11871	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.13::3::11871	ain	SELECTOR_INSTRUCTION_LOCAL_SOURCE_TEXT	I13	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 3/4; KEINE KARTENGLOSSE] die planetarische Stunde	SCHEDULE	für die Wurzelernte Materialbestand, Wasserqualität und	COEQUAL	NONE	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
32	f67r2	A1	f67r2.13	4	11872	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.13::4::11872	aldy	SELECTOR_INSTRUCTION_LOCAL_SOURCE_TEXT	I13	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 4/4; KEINE KARTENGLOSSE] der vorgesehenen Maßnahme.	SCHEDULE	freie Feuerstelle. Am zweiten Werkstatttag prüfe	COEQUAL	NONE	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
