event_serial	page	locus	record_unit_id	field_id	statement_id	joint_tuple_id	surface_display_only	formal_formula_opaque	terminal_status	strict_formal_prompt	selected_exact_mnemonic	event_template	parse_status	iatromedical_source_segment	practical_source_segment	content_relation	semantic_ceiling
23	f10r	f10r.6	H2	F003	H2-S001	b921a237be883a820352	shy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:erwärme gelinde]	LOCAL[Pressrückstand als Nebenfraktion H2-R02 markieren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
24	f10r	f10r.8	H2	F004	H2-S002	10488b911aae52b3b334	qotchor	FRAME_OT(OPAQUE_PAYLOAD)	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[IMAGE:nimm vor voller Blüte eine zweite Portion der Spitzen]	LOCAL[frühe Erntefraktion H2-R03 eröffnen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
25	f10r	f10r.8	H2	F004	H2-S002	7a4bb8136330ee4e6e56	chor	OPAQUE_PAYLOAD	NONCLOSE	NONE	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	[CARD:ANSATZ?] [REGISTER:H2:I001 fortführen]	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P01 als aktiven Ansatz ansprechen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
26	f10r	f10r.8	H2	F004	H2-S002	497cbd9c7401810ff56b	otol	FRAME_OT(OPAQUE_PAYLOAD)	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[EXEMPLAR:eine Handvoll]	LOCAL[eine Teilmenge H2-R03 in ein Vergleichsgefäß geben]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
27	f10r	f10r.8	H2	F004	H2-S002	dcda95c81a5460feb191	chol	FRAME_O(LINK)	NONCLOSE	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	LINK_ACTIVE	UNIQUE_FORMAL_ONLY	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H2:I001 fortführen]	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
28	f10r	f10r.8	H2	F004	H2-S002	dec401773c1f0347793d	cholor	OPAQUE_PAYLOAD	NONCLOSE	NONE	VORIGES?	SELECT_PREVIOUS	UNIQUE_EXACT	[CARD:VORIGES?] [REGISTER:H2:I001 als vorigen Posten aufnehmen]	VORIGES?=vorige Charge wieder aufnehmen ; LOCAL[vorige Charge H2-P01 wieder aufnehmen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
29	f10r	f10r.8	H2	F004	H2-S002	dcda95c81a5460feb191	chol	FRAME_O(LINK)	NONCLOSE	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	LINK_ACTIVE	UNIQUE_FORMAL_ONLY	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H2:I002 führen]	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[diese vorige Charge an Vergleich H2-P02 verknüpfen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
30	f10r	f10r.8	H2	F004	H2-S002	2f1c5e56e8f0ff459065	daiin	OPAQUE_PAYLOAD	NONCLOSE	VORGABEPARAMETER?	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:ein gleiches örtliches Maß]	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge für H2-P02 buchen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
31	f10r	f10r.8	H2	F004	H2-S002	4d4559019a961b834aa1	dar	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:verbinde beide Fraktionen]	LOCAL[frühe Fraktion vollständig mazerieren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
32	f10r	f10r.9	H2	F005	H2-S003	27d97af8c96eb056c2e6	oykchor	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:gib die Fraktionen in ein glasiertes Gefäß]	LOCAL[späte Erntefraktion H2-R04 eröffnen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
33	f10r	f10r.9	H2	F005	H2-S003	7a4bb8136330ee4e6e56	shor	OPAQUE_PAYLOAD	NONCLOSE	NONE	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	[CARD:ANSATZ?] [REGISTER:H2:I003 als Salbenansatz führen]	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P02 als ersten aktiven Ansatz führen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
34	f10r	f10r.9	H2	F005	H2-S003	7a4bb8136330ee4e6e56	chor	OPAQUE_PAYLOAD	NONCLOSE	NONE	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	[CARD:ANSATZ?] [REGISTER:H2:I003 wiederholt; Slotkonflikt bleibt sichtbar]	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[späte Teilcharge H2-P03 als zweiten aktiven Ansatz führen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
35	f10r	f10r.9	H2	F005	H2-S003	b921a237be883a820352	chy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:rühre bei kleinem Feuer]	LOCAL[beide Ernteauszüge in getrennten Gefäßen umrühren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
36	f10r	f10r.9	H2	F005	H2-S003	409de02322e7b2ca0c62	kaiiin	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[EXEMPLAR:bis eine weiche Salbe entsteht]	LOCAL[beide durch dasselbe Tuch seihen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
37	f10r	f10r.9	H2	F005	H2-S003	b921a237be883a820352	dy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:bewahre sie bedeckt]	LOCAL[Farbe und Bodensatz als Vergleichsmerkmale notieren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
38	f10r	f10r.9	H2	F005	H2-S003	834825c61d048a6b5628	chodaiin	FRAME_O(OPAQUE_PAYLOAD + <ARG_AIIN>)	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:lege sie äußerlich auf ein Geschwür oder eine harte Schwellung]	LOCAL[Vergleichspaar H2-P02/H2-P03 verschlossen lagern]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
39	f11r	f11r.1	H3	F006	H3-S001	953ad19b79517fc8a211	tshol	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[IMAGE:Blüten und junge Blätter des Duftveilchens] [GENRE:im ersten Frühjahr nehmen]	LOCAL[Bildbesitzer H3 als Blüten-Kraut-Los H3-R01 eröffnen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
40	f11r	f11r.1	H3	F006	H3-S001	428a5e3662aa57b4b256	schoal	OPAQUE_PAYLOAD + <ARG_AL>	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:in reinem Wein kochen]	LOCAL[junge oberirdische Teile sammeln]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
41	f11r	f11r.1	H3	F006	H3-S001	bdad9f9ea8b80f141496	cfhy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:durch ein feines Tuch wringen]	LOCAL[Blütenköpfe und Blätter in zwei Schalen sortieren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
42	f11r	f11r.1	H3	F006	H3-S001	a8af08e69edab8e54f15	shfydaiin	OPAQUE_PAYLOAD + <ARG_AIIN>	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:den Auszug stehen lassen]	LOCAL[Krautfraktion quetschen und in Wasser mazerieren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
43	f11r	f11r.1	H3	F006	H3-S001	deb377381ceaf55ea310	cphy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:nochmals seihen]	LOCAL[Auszug zuerst grob, dann durch Tuch seihen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
44	f11r	f11r.1	H3	F006	H3-S001	b5df9126607030b95175	shey	OPAQUE_PAYLOAD	NONCLOSE	NONE	KLAR?	STATE_GATE	UNIQUE_EXACT	[CARD:KLAR?] [EXEMPLAR:bis zum örtlich geprüften klaren Zustand]	KLAR?=Klarzustand der aktiven Charge prüfen ; LOCAL[Klarheitszustand des Filtrats H3-P01 prüfen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
45	f11r	f11r.1	H3	F006	H3-S001	2e2027b1951d79911e24	tchody	CLOSE(OPAQUE_PAYLOAD)	TERMINAL	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[FORMAL:CLOSE; keine Wortbedeutung] [GENRE:abkühlen lassen]	LOCAL[klares Filtrat absetzen lassen und Feld schließen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
46	f11r	f11r.1	H3	F007	H3-S002	577c03a928d674d420d7	shoyty	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[EXEMPLAR:behalte einen Teil der frischen Blüten für die zweite Arznei zurück]	LOCAL[einen Blütenkopf als Referenzfraktion H3-R02 zurücklegen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
47	f11r	f11r.4	H3	F008	H3-S003	d665560c8ff80799a82c	dchol	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[REGISTER:H3:I001 als erster Auszug]	LOCAL[Filtrat H3-P01 wieder aufnehmen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
48	f11r	f11r.4	H3	F008	H3-S003	b921a237be883a820352	chy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:nimm davon]	LOCAL[drei gleiche Probengläser bereitstellen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
49	f11r	f11r.4	H3	F008	H3-S003	b2812c8283c3a62438bd	kchy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:gib ihn als Trank]	LOCAL[Filtrat auf die Probengläser verteilen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
50	f11r	f11r.4	H3	F008	H3-S003	b921a237be883a820352	dy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:bei bedrücktem Gemüt und beschwerter Brust]	LOCAL[Farbton und Niederschlag je Glas vermerken]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
51	f11r	f11r.4	H3	F008	H3-S003	2f1c5e56e8f0ff459065	daiin	OPAQUE_PAYLOAD	NONCLOSE	VORGABEPARAMETER?	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge je Probenglas buchen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
52	f11r	f11r.7	H3	F009	H3-S004	a48efd6c4491a046ba78	qotchy	FRAME_OT(OPAQUE_PAYLOAD)	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[EXEMPLAR:nimm die zurückbehaltenen Blüten]	LOCAL[Blattfraktion H3-R03 als neue Charge eröffnen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
53	f11r	f11r.7	H3	F009	H3-S004	322281bd391aa621f568	okchol	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:erwärme sie in Olivenöl]	LOCAL[Blätter warm in Wasser ausziehen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
54	f11r	f11r.7	H3	F009	H3-S004	e0b630cb1b5df5e7105b	cthy	OPAQUE_PAYLOAD	NONCLOSE	NONE	BEREIT?	STATE_GATE	UNIQUE_EXACT	[CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Bereitschaftszustand]	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H3-P02 als bereit markieren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
55	f11r	f11r.7	H3	F009	H3-S004	b921a237be883a820352	dy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:streiche das Öl äußerlich um die Lider ohne das Auge zu berühren]	LOCAL[Blattauszug und Referenzblüte getrennt verwahren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
