scope	unit_id	layer	uncertainty_or_contradiction	strongest_rival_or_counterpressure	release_action	status
UNIT	H5	CONTENT_FORK	Sonnentau, Warze und Husten ergeben eine besonders riskante doppelte Heiltradition.	Die angenommene technische Klebkraft und zwei Gebrauchszwecke sind weder sichtbar noch aus einem Kartenanker ableitbar.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	B1	CONTENT_FORK	Badeapparat und Nutzer reichen aus; eine therapeutische Indikation fehlt.	Die organischen Figuren- und Beckenbilder können therapeutische Körperanwendung statt gewöhnlichen Betrieb zeigen.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	B2	CONTENT_FORK	Badende sind sichtbar, aber Krankheit und Therapieart nicht.	Der Nutzer ist eine stille Exemplarrolle, und die körpernahe Darstellung kann ebenso gut eine Behandlung bezeichnen.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	B3	CONTENT_FORK	Die lange Leitungs-/Ablassfolge ist apparativ stärker verankert als eine Körperlavage.	Die angenommene Wiederverwendung klarer Fraktionen ist hygienisch und technisch riskant und kann eine bloße Bildmetapher übermechanisieren.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	B4	CONTENT_FORK	Tuch und warme Waschung können ebenso Gerätewartung sein.	Menschennahe Bildpartien können eine Haut- oder Wundwäsche besser motivieren als eine Kalkablagerung.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	B5	CONTENT_FORK	Der technische Nachtrag benötigt weder Patient noch Körperziel.	Zeit, Qualitätsprobe und Heizverbot sind vollständig exemplarisch und nicht durch die elf Karten ausgedrückt.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	B6	CONTENT_FORK	Die offene kalte Übergabe hat keinen sichtbaren medizinischen Empfänger.	Die kurze Folge könnte ebenso ein medizinischer Kaltgang sein; kein sichtbares Merkmal entscheidet den Zweck.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	A1	CONTENT_FORK	Kein sichtbarer Querindex bindet Planet/Tierkreis an einen medizinischen Record.	Sieben Werkstatttage mal zwölf Arbeitsklassen sind eine erfundene Kreuzklassifikation ohne sichtbare Legende.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	A2	CONTENT_FORK	Mond und Hausnamen sind externe Editionswerte; Start und Richtung bleiben offen.	Die sternartigen Stationen tragen astronomische Bildargumente, während die 28 Werkstattaufgaben keinerlei sichtbare Zuordnung besitzen.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	A3	CONTENT_FORK	Die 28 medizinischen Regeln sind vollständig lokaler Exemplartext und nicht mit A2 verbunden.	Die Regeln sind vollständig aus der Rivalenwelt geliefert; ohne Masterexemplar bleibt nur die 28er-Topologie.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
