entry_type	entry_id	exact_identity_or_scope	fixed_value_or_order	class_or_function	occurrences	strongest_live_rival	allowed_use	forbidden_use
FORMAL_PROMPT	F_STANDARD	exact V60 selected formal identity	STANDARDSLOT_SETZEN	NONLEXICAL_CONTROL	BOUND_IN_D02	OPAQUE_SET	Set an anonymous standard slot while preserving event order.	No German word or measure value.
FORMAL_PROMPT	F_TARGET	exact V60 selected formal identity	LOKALEN_RELATIONSSLOT_SETZEN	NONLEXICAL_CONTROL	BOUND_IN_D02	OPAQUE_RELATION	Set an anonymous local relation or target slot.	No place word, body site or conduit name.
FORMAL_PROMPT	F_LINK	exact V60 selected formal identity	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NONLEXICAL_CONTROL	BOUND_IN_D02	OPAQUE_LINK	Carry or link anonymous ACTIVE state.	No verb, conjunction or substance meaning.
FORMAL_PROMPT	F_PARAMETER	exact V60 selected formal identity	VORGABEPARAMETER?	NONLEXICAL_CONTROL	BOUND_IN_D02	OPAQUE_PARAMETER	Expose a prescribed but unnamed parameter.	No number, unit, dose or temperature.
REGISTER	OWNER	record-local anonymous ID	OWNER	SILENT_PICTURE_OR_RECORD_OWNER	116 statements	FORM_COPY_WITHOUT_SEMANTIC_STATE	Carry only inside one record and reset at its boundary.	No plant, person, diagram, bath or object is inherent.
REGISTER	ACTIVE	record-local anonymous ID	ACTIVE	SILENT_ACTIVE_ITEM_OR_PREPARATION	116 statements	FORM_COPY_WITHOUT_SEMANTIC_STATE	Carry or replace according to selected V62 transitions.	No water, medicine, dye or material is inherent.
REGISTER	TARGET	record-local anonymous ID	TARGET	SILENT_TARGET_OR_STATION	116 statements	FORM_COPY_WITHOUT_SEMANTIC_STATE	Supply an anonymous goal required by a selected clause.	No body site, basin, pipe or place is inherent.
REGISTER	PREVIOUS	record-local depth-one anonymous ID	PREVIOUS	SILENT_BACK_REFERENCE	116 statements	FORM_COPY_WITHOUT_SEMANTIC_STATE	Resume only the selected prior item inside the same record.	No cross-record carry, idem gloss or named referent.
LOCAL_LAYER	EXEMPLAR_ONLY	262/381 prose events	UNKNOWN/EXEMPLAR	COPIED_LOCAL_TAIL	262	UNKNOWN	Copy exact visible card and recover content only from the master exemplar.	No generalization by surface, component, PAGE_HOST or context similarity.
LOCAL_LAYER	ASTRO_LOCAL	395/395 Astro groups	LOCAL_EXEMPLAR_FRAGMENT	DIAGRAM_ADDRESS_OR_FRAGMENT	395	GENERIC_LAYOUT	Use page and locus to recover the local external exemplar entry.	No prose-card import, sound, planet name, mansion name or cross-page join.
TEMPLATE	HERBAL_SOURCE_ORDER	all five Herbal records	OWNER/LEMMA > PART > PREPARATION/MEDIUM > QUANTITY/STATE > USE > CONTINUATION	SOURCE_ORDER_NOT_DECODED_SYNTAX	5	PARALLEL_RAW_MATERIAL_RECIPE	Compose either medical or practical local expansion in this order; physical line is reflow.	No source language, SVO order or card meaning follows.
TEMPLATE	BIO_SOURCE_ORDER	all six Bio records	STATION > ACTIVE > PARAMETER/LINK/TARGET > STATE/CONTACT > TRANSFER > LOCAL_CLOSE	SOURCE_ORDER_NOT_DECODED_SYNTAX	6	PARALLEL_WATERWORK_CELL	Compose either medical or practical process from the same anonymous state path.	No body, bath, patient, vessel or pipe follows from the template.
TEMPLATE	ASTRO_SOURCE_ORDER	all three diagrams	EXTERNAL_KEY > DRAWN_LOCUS > LOCAL_RULE > APPLY_TO_PRESELECTED_TASK	LOOKUP_ORDER_NOT_DECODED_SYNTAX	3	GENERIC_CALENDAR	Read each diagram only with its page-local codebook; keep start and direction uncertain.	No f68r1-to-f69v identity and no external label from a surface.
WORKSHOP_RULE	CONTENT_PARITY	all 14 units	PRIMARY_IATROMEDICAL_DISPLAY + EQUALLY_VISIBLE_PRACTICAL_RIVAL	EDITORIAL_POLICY	14	SINGLE_WINNER_PROSE	Publish both complete local texts and one shared skeleton.	Display order may not be reported as evidential victory.
WORKSHOP_RULE	SEMANTIC_CEILING	all 776 groups	FORMAL_BINDING_EXACT; CONTENT_EXEMPLAR_DEPENDENT	SCIENTIFIC_LIMIT	776	DECIPHERMENT_CLAIM	Round-trip identity and layout with codebook; content only with master exemplar.	Confirmed lexeme, plaintext clause, language, sound and universal POS all remain zero or unknown.
