statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	event_count	event_serials	primary_template	licensed_primitive_sequence	parse_status	pre_state	post_state	iatromedical_statement_text	practical_statement_text	local_comparison	strongest_practical_contradiction	roundtrip_status	semantic_ceiling
H4-S002	H4	f55v	2	F011	3	61|62|63	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN	AMBIGUOUS	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=H4:T001;PREVIOUS_ITEM=UNSET	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal	Sollmenge aus H4-P01 abteilen, weichen Blattrest heben, pressen, Flüssigkeit seihen und beide Fraktionen schließen.	TECHNICAL	Pressen und die Zweifraktionsanalyse sind exemplarisch, nicht lexikalisch.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H4-S003	H4	f55v	3	F012	4	64|65|66|67	EXEMPLAR_ONLY	NONE	UNPARSED	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=H4:T001;PREVIOUS_ITEM=UNSET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt	Zweite Blattfraktion mit frischem Wasser waschen, warm mazerieren, seihen und als Parallelposten schließen.	TECHNICAL	Das ganze Feld ist UNPARSED; der technische Gewinn stammt nur aus Recordform und V62-Zustand.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H4-S004	H4	f55v	4	F013	6	68|69|70|71|72|73	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN > TARGET_ASSIGN > LINK_ACTIVE	AMBIGUOUS	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch	Sollmenge der zweiten Flotte buchen, opaken Relationsslot setzen, beide Fraktionen vergleichen, aktiven Ansatz aufnehmen und als Paarposten lagern.	TIE	Der Relationsslot darf nicht als Gefäß- oder Mischwort gelesen werden.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H5-S001	H5	f56r	1	F014|F015	9	74|75|76|77|78|79|80|81|82	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN > ACTION_APPLY > TARGET_ASSIGN	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T001;PREVIOUS_ITEM=UNSET	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß || nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	Drüsiges Feuchtlandmaterial sammeln, kleine Krautfraktion nach Sollmaß einweichen und quetschen; klebrige Prüfcharge auf eine Fläche einsetzen und danach die Zieladresse nachtragen.	TECHNICAL	Mucilage und Prüffläche sind Bild-/Recordargumente; ACTION vor TARGET ist notational auffällig.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H5-S002	H5	f56r	2	F016	4	83|84|85|86	COMPOSITE_SEQUENCE	ACTION_APPLY	AMBIGUOUS	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T001;PREVIOUS_ITEM=UNSET	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T002;PREVIOUS_ITEM=UNSET	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	Aktive Mucilagecharge auf eine zweite Prüffläche einsetzen, lufttrocknen lassen und schließen.	TECHNICAL	Beschichtung und zweite Fläche sind stille Zielargumente.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H5-S003	H5	f56r	3	F017	4	87|88|89|90	EXEMPLAR_ONLY	NONE	UNPARSED	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T002;PREVIOUS_ITEM=UNSET	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T003;PREVIOUS_ITEM=H5:I001	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten	Kopf- und Blattfraktion getrennt eröffnen, mit Loszeichen versehen und schattentrocken lagern.	TIE	Alle vier Operationswörter stammen aus dem lokalen Recordmodell.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H5-S004	H5	f56r	4	F018	3	91|92|93	EXEMPLAR_ONLY	NONE	UNPARSED	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T003;PREVIOUS_ITEM=H5:I001	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T004;PREVIOUS_ITEM=H5:I001	gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten	Getrocknete Blattfraktion wieder aufnehmen, einem Lagerfach zuweisen und trocken verwahren.	IATROMEDICAL	Lagerfach und Trockenbedingung sind lokale Ergänzungen.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H5-S005	H5	f56r	5	F019	4	94|95|96|97	EXEMPLAR_ONLY	NONE	UNPARSED	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T004;PREVIOUS_ITEM=H5:I001	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I002	nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt	Frischen Pflanzenrest als neue Charge einführen, mit Wasser anfeuchten, zu gleichmäßiger Klebmasse arbeiten und bedeckt lagern.	IATROMEDICAL	Binder, Wasser und Topf sind unlizenzierte lokale Werte.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H5-S006	H5	f56r	6	F020	3	98|99|100	COMPOSITE_SEQUENCE	SELECT_PART > PARAMETER_ASSIGN	AMBIGUOUS	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I002	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I003	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	Bezeichnete Blütenfraktion wählen, als neues Referenzlos einführen und das Sollmaß buchen.	TIE	Die Blüte ist sichtbares Argument; ihre Funktion bleibt ungeklärt.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
B1-S001	B1	f81v	1	F021	1	101	TERMINAL_FLUSH	TERMINAL_FLUSH	UNIQUE	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	[EXEMPLAR:A004+A005+A009+A011+A014+A015+A020:spüle die bezeichnete Stelle einmal und beende den Schritt]	Frisches Wasser an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 zuführen, den Leitungsweg bis zum klaren Lauf spülen und den Spülposten schließen. Lizenzierte Slotfolge: Leitung spülen und committen. Feldbuchung schließen.	TIE	Local apparatus nouns and phase operations are not card meanings; visible human figures remain unexplained by a purely impersonal plant.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
B1-S002	B1	f81v	2	F022|F023	19	102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN > TARGET_ASSIGN > LINK_ACTIVE > TARGET_ASSIGN > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN > PARAMETER_ASSIGN	AMBIGUOUS	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	[EXEMPLAR:A001+A002+A003+A004+A005+A007+A008+A009+A010+A011+A012+A013+A014+A015+A020:beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; der vorbereitete Bade- oder Waschzusatz; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt]	An Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 Beckenrand, Zulauf und Filteraufnahme prüfen; den Ausgangsstand als lokalen Anlagenposten eröffnen. Lizenzierte Slotfolge: Mengen-/Parameterslot setzen; Ziel-/Relationsslot setzen; aktiven Arbeitsstand verknüpfen; Ziel-/Relationsslot setzen; aktiven Arbeitsstand verknüpfen. Arbeitsstand offen weitertragen. || Vorratswasser an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 bereitstellen, die vorgesehene Charge zuführen und den Füllstand markieren. Lizenzierte Slotfolge: Vorcharge aufnehmen; aktiven Arbeitsstand verknüpfen; Mengen-/Parameterslot setzen; Mengen-/Parameterslot setzen. Feldbuchung schließen.	TECHNICAL	Local apparatus nouns and phase operations are not card meanings; visible human figures remain unexplained by a purely impersonal plant.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
B1-S003	B1	f81v	3	F024|F025	2	121|122	COMPOSITE_SEQUENCE	LINK_ACTIVE	AMBIGUOUS	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	[EXEMPLAR:A007+A008+A009+A011+A012+A013+A020:Mit der vorigen Zubereitung weiter; halte es warm und beende den Schritt]	Die Rücklaufleitung an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 öffnen, den Restbestand zur Vorstation zurückführen und die Übergabe buchen. Lizenzierte Slotfolge: aktiven Arbeitsstand verknüpfen. Arbeitsstand offen weitertragen. || Den Leitungszweig an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 wählen, den Schieber öffnen und die Charge zur gebuchten Zielstation führen. Lizenzierte Slotfolge: keine lizenzierte Slotoperation. Feldbuchung schließen.	IATROMEDICAL	Local apparatus nouns and phase operations are not card meanings; visible human figures remain unexplained by a purely impersonal plant.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
B1-S004	B1	f81v	4	F026	3	123|124|125	COMPOSITE_SEQUENCE	LINK_ACTIVE	AMBIGUOUS	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	[EXEMPLAR:A007+A009+A010+A011+A012+A013+A020:rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt]	Vorratswasser an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 bereitstellen, die vorgesehene Charge zuführen und den Füllstand markieren. Lizenzierte Slotfolge: aktiven Arbeitsstand verknüpfen. Feldbuchung schließen.	TIE	Local apparatus nouns and phase operations are not card meanings; visible human figures remain unexplained by a purely impersonal plant.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
B1-S005	B1	f81v	5	F027	1	126	EXEMPLAR_ONLY	NONE	UNPARSED	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	[EXEMPLAR:A002+A004+A011+A013+A020:stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt]	Die aktive Beckencharge an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 gelinde erwärmen, mit der Handprobe kontrollieren und warm halten. Lizenzierte Slotfolge: keine lizenzierte Slotoperation. Feldbuchung schließen.	TIE	Local apparatus nouns and phase operations are not card meanings; visible human figures remain unexplained by a purely impersonal plant.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
B1-S006	B1	f81v	6	F028	4	127|128|129|130	EXEMPLAR_ONLY	NONE	UNPARSED	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	[EXEMPLAR:A001+A002+A005+A007+A008+A010+A011+A012+A015+A020:gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; der vorbereitete Bade- oder Waschzusatz ; und lasse es abkühlen]	Die Charge von Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 über Rinne und Gefälle umlaufen lassen, den Rücklauf auffangen und erneut zuführen. Lizenzierte Slotfolge: keine lizenzierte Slotoperation. Arbeitsstand offen weitertragen.	IATROMEDICAL	Local apparatus nouns and phase operations are not card meanings; visible human figures remain unexplained by a purely impersonal plant.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
B1-S007	B1	f81v	7	F029	1	131	EXEMPLAR_ONLY	NONE	UNPARSED	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	[EXEMPLAR:A008+A009+A011+A020:erwärme es einmal und beende den Schritt]	Die Charge an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 stehen lassen, Klarlauf und Bodensatz trennen und den erreichten Stand buchen. Lizenzierte Slotfolge: keine lizenzierte Slotoperation. Feldbuchung schließen.	TIE	Local apparatus nouns and phase operations are not card meanings; visible human figures remain unexplained by a purely impersonal plant.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
