scenario	locus	reconstructed_source	status
L_AB	f17r.5	ychekchy cthy chor shor cphor cphaldy dair cthey qody	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f17r.6	tsho qof cho qokcheor cheteg	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f21r.8	fcho kshy otor sheol ocphal opsheas cthodaiin oty	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f21r.9	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f21r.10	totchy keor chy ky qotaiin qotchol ty ctheey otaiin	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f21r.11	shol chol shol tchol chcthy otyky shey yteol shody	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f21r.12	ykeey chor sheey ysheol chor chol daiin chkaiin	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f32v.7	ksho cphos she sheaiin otshcho r dain shckhy s odan	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f32v.8	otchol daiin daiin ctho daiin qotaiin otchy d shan	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f32v.9	qotchy cfhy skey chocthy daiin cthaiin daiin	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f32v.10	sho keol chor chol daiin cpho l cthol da ar	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f32v.11	ol sho chy	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f29v.1	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f29v.2	qotcheaiin s chol chol cthy chey cthold ytchor dary	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f29v.3	chol chol kor shey odaiin qotchy taiin s she otey sy	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
L_AB	f29v.4	ysho otshy okaiin cthy oltchy s shot sho okaiin	EXACT_FROM_ANNOTATED_POSITIONS_NOT_GERMAN_ALONE
