exact_card_id	semantic_family	component_recipe	reading_de	process_roots	registered_surfaces	events	semantic_status
PROC040	SEM039	Y+K+AN	DIES · ZUGEBEN · NACHGABE	NONE	ykan	1	UNCHANGED
PROC041	SEM040	O+DY	ARBEITSGANG · SCHLUSS	NONE	ody	1	UNCHANGED
PROC042	SEM041	CHD+Y	UMSETZEN · DIES	NONE	chdy|chedy	11	UNCHANGED
PROC133	SEM041	CHD+Y	UMSETZEN · DIES	NONE	chedchy	1	UNCHANGED
PROC043	SEM042	TALAM	VERWAHREN	NONE	talam	1	UNCHANGED
PROC044	SEM043	Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	NONE	ykaiin	1	UNCHANGED
PROC045	SEM044	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	NONE	cheoar	1	UNCHANGED
PROC046	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	CHK	cheeky	2	UNCHANGED
PROC107	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	CHK	chkeey	1	UNCHANGED
PROC047	SEM046	OL+DY	WEITER · SCHLUSS	NONE	oldy	2	UNCHANGED
PROC048	SEM047	OK+AL	ANSETZEN · ZIELSTELLE	NONE	okal|qokal	6	UNCHANGED
PROC049	SEM048	OL+T+Y	WEITER · ANWENDEN · DIES	NONE	oltchy	1	UNCHANGED
PROC050	SEM049	OR+AIN	ANSATZ · PORTION	NONE	orain	1	UNCHANGED
PROC051	SEM050	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	NONE	chochor	1	UNCHANGED
PROC052	SEM051	HO	ZUTAT	NONE	cho|sho	4	UNCHANGED
PROC053	SEM052	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	NONE	chodaly	1	UNCHANGED
PROC054	SEM053	K+OL	ZUGEBEN · WEITER	NONE	kchol	1	UNCHANGED
PROC055	SEM054	AL	ZIELSTELLE	NONE	al|chal|cheal|dal|sal|tal	10	UNCHANGED
PROC056	SEM055	HO+Y	ZUTAT · DIES	NONE	choy	1	UNCHANGED
PROC057	SEM056	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	NONE	cheeckhody	1	UNCHANGED
PROC058	SEM057	SH	HALTEN	SH	sh	1	UNCHANGED
PROC059	SEM058	K+E+Y	ZUGEBEN · KURZ · DIES	NONE	kchey	1	UNCHANGED
PROC060	SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	NONE	qokokchy	1	UNCHANGED
PROC061	SEM060	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	NONE	chokcheo	1	UNCHANGED
PROC062	SEM061	K+AL	ZUGEBEN · ZIELSTELLE	NONE	kchal	1	UNCHANGED
PROC063	SEM062	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	NONE	kchoar	1	UNCHANGED
PROC064	SEM063	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	NONE	sotodan	1	UNCHANGED
PROC066	SEM064	K+E+OL	ZUGEBEN · KURZ · WEITER	NONE	keol	1	UNCHANGED
PROC067	SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	NONE	qokedy	8	UNCHANGED
PROC068	SEM066	K+AIR	ZUGEBEN · WASSER	NONE	kair	1	UNCHANGED
PROC069	SEM067	K+AIN	ZUGEBEN · PORTION	NONE	chkain|kain	3	UNCHANGED
PROC070	SEM068	OL+K+AIN	WEITER · ZUGEBEN · PORTION	NONE	olkain|qolkain	2	UNCHANGED
PROC071	SEM069	R+OL	KUEHLEN · WEITER	NONE	rol	1	UNCHANGED
PROC072	SEM070	L	WEITERLEITEN	NONE	dl	2	UNCHANGED
PROC073	SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	SH	sheckhal	1	UNCHANGED
PROC074	SEM072	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	NONE	qokeedal	1	UNCHANGED
PROC075	SEM073	CKH+Y	DURCHLASS · DIES	NONE	chckhy|shckhy	4	UNCHANGED
PROC076	SEM074	CHD+DY	UMSETZEN · SCHLUSS	NONE	dchedy|schedy|tchedy	4	UNCHANGED
PROC094	SEM074	CHD+DY	UMSETZEN · SCHLUSS	NONE	dchdy	1	UNCHANGED
PROC077	SEM075	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	SH	sshkchdy	1	UNCHANGED
PROC078	SEM076	SHED+DY	ABSETZEN · SCHLUSS	SHED	cheedy|shedy|tedy	12	UNCHANGED
PROC079	SEM077	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	NONE	olchedy|qolchedy	3	UNCHANGED
PROC080	SEM078	OK+AIN	ANSETZEN · PORTION	NONE	okain|qokain	7	UNCHANGED
PROC081	SEM079	R+AL	KUEHLEN · ZIELSTELLE	NONE	ral	1	UNCHANGED
PROC082	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	NONE	qokchdy	3	UNCHANGED
PROC091	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	NONE	okchedy|qokchedy	2	UNCHANGED
PROC083	SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	CHK	cheky	3	UNCHANGED
PROC084	SEM082	LSH+O	WASCHEN · ARBEITSGANG	LSH	lsho	1	UNCHANGED
PROC085	SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	NONE	okey|qokey	2	UNCHANGED
PROC086	SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	LSH	lshedy	2	UNCHANGED
PROC087	SEM085	SOLK+Y	SAMMELSTELLE · DIES	NONE	qolky	1	UNCHANGED
PROC088	SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	NONE	lchedal	1	UNCHANGED
PROC089	SEM087	OT+AR	DANACH · QUELLE	NONE	otar	1	UNCHANGED
PROC090	SEM088	T+E+Y	ANWENDEN · KURZ · DIES	NONE	ytey	1	UNCHANGED
PROC092	SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	NONE	okeey|qokeey	7	UNCHANGED
PROC093	SEM090	E+OL	KURZ · WEITER	NONE	teol	1	UNCHANGED
PROC095	SEM091	L+Y	WEITERLEITEN · DIES	NONE	ly	1	UNCHANGED
PROC096	SEM092	SH+E+OL	HALTEN · KURZ · WEITER	SH	dsheol	1	UNCHANGED
PROC097	SEM093	O+IIN	ARBEITSGANG · ARBEITSSTUFE	NONE	oiiin|soiiin	2	UNCHANGED
PROC098	SEM094	SOLK+EE+DY	SAMMELSTELLE · LANG · SCHLUSS	NONE	olkeedy|solkeedy	3	UNCHANGED
PROC099	SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	SH	shckhedy	3	UNCHANGED
PROC100	SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	NONE	qokeedy	10	UNCHANGED
PROC101	SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	NONE	lcheckhy	1	UNCHANGED
PROC102	SEM098	L+CHD	WEITERLEITEN · UMSETZEN	NONE	lched	1	UNCHANGED
PROC103	SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	NONE	lcheckhedy	1	UNCHANGED
PROC104	SEM100	OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES	NONE	qokaly	1	UNCHANGED
PROC105	SEM101	SOLK+AIIN	SAMMELSTELLE · SOLLMASS	NONE	solkaiin	1	UNCHANGED
PROC106	SEM102	O+CTH+E+OL	ARBEITSGANG · BEREITEN · KURZ · WEITER	CTH	octheol	1	UNCHANGED
PROC108	SEM103	L+DY	WEITERLEITEN · SCHLUSS	NONE	ldy	2	UNCHANGED
PROC109	SEM104	OT+EE+Y	DANACH · LANG · DIES	NONE	oteey	2	UNCHANGED
PROC110	SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	SH	sheckhy	1	UNCHANGED
PROC111	SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	SH	dshedy	1	UNCHANGED
PROC112	SEM107	OT+AIIN	DANACH · SOLLMASS	NONE	otaiin|sotaiin	3	UNCHANGED
PROC113	SEM108	OK+AR	ANSETZEN · QUELLE	NONE	qokar	1	UNCHANGED
PROC114	SEM109	OL+SH+E+DY	WEITER · HALTEN · KURZ · SCHLUSS	SH	solshedy	1	UNCHANGED
PROC116	SEM110	L+CH+Y	WEITERLEITEN · ENTNEHMEN · DIES	NONE	lchy	1	UNCHANGED
PROC117	SEM111	CTH+E+Y	BEREITEN · KURZ · DIES	CTH	qcthey|shcthey	2	UNCHANGED
PROC118	SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	NONE	lcheey	1	UNCHANGED
PROC119	SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	NONE	qokeeedy	1	UNCHANGED
PROC120	SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	NONE	lchedy	8	UNCHANGED
PROC121	SEM115	L+AR	WEITERLEITEN · QUELLE	NONE	lar	1	UNCHANGED
PROC122	SEM116	SH+E+Y	HALTEN · KURZ · DIES	SH	tshey	1	UNCHANGED
PROC123	SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	NONE	lchedar	1	UNCHANGED
PROC124	SEM118	CH+E+S	ENTNEHMEN · KURZ · TEIL	NONE	ches	1	UNCHANGED
PROC125	SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	NONE	pchedy	1	UNCHANGED
PROC126	SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	SH	rsheal	1	UNCHANGED
PROC127	SEM121	AL+DY	ZIELSTELLE · SCHLUSS	NONE	daldy	1	UNCHANGED
PROC128	SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	SHED	rshedy	1	UNCHANGED
PROC129	SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	NONE	qoteedy	2	UNCHANGED
PROC130	SEM124	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	NONE	lochedy	1	UNCHANGED
PROC131	SEM125	OT+AL	DANACH · ZIELSTELLE	NONE	otal|qotal	3	UNCHANGED
PROC132	SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	CHK	chkeedy	1	UNCHANGED
PROC134	SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	NONE	pchedal	1	UNCHANGED
PROC135	SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	NONE	otedy	2	UNCHANGED
PROC136	SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	CTH+SH	shecthedchy	1	UNCHANGED
PROC137	SEM130	AR+Y	QUELLE · DIES	NONE	chary	1	UNCHANGED
PROC138	SEM131	OK+AIR	ANSETZEN · WASSER	NONE	okair	1	UNCHANGED
PROC139	SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	SH	sheedy	1	UNCHANGED
PROC140	SEM133	L+O	WEITERLEITEN · ARBEITSGANG	NONE	lo	1	UNCHANGED
PROC141	SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	SH	qokshedy	1	UNCHANGED
PROC142	SEM135	SHED+AL	ABSETZEN · ZIELSTELLE	SHED	shedal	2	UNCHANGED
PROC143	SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREITEN · DIES	CTH+SH	shecthy	1	UNCHANGED
PROC144	SEM137	AL+CHD+DY	ZIELSTELLE · UMSETZEN · SCHLUSS	NONE	dalchdy	1	UNCHANGED
PROC145	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	NONE	otchedy|qotchedy	2	UNCHANGED
PROC166	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	NONE	otchdy	1	UNCHANGED
PROC146	SEM139	EE+AR	LANG · QUELLE	NONE	cheedar	1	UNCHANGED
PROC147	SEM140	L+AIIN	WEITERLEITEN · SOLLMASS	NONE	chldaiin	1	UNCHANGED
PROC148	SEM141	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	NONE	chealror	1	UNCHANGED
PROC149	SEM142	EEE+T+Y	VOLL · ANWENDEN · DIES	NONE	cheeety	1	UNCHANGED
PROC150	SEM143	CHD+AIR	UMSETZEN · WASSER	NONE	schedair	1	UNCHANGED
PROC151	SEM144	CHD+AIN	UMSETZEN · PORTION	NONE	chedain	1	UNCHANGED
PROC152	SEM145	OT+E+AIIN	DANACH · KURZ · SOLLMASS	NONE	qotedaiin	1	UNCHANGED
PROC153	SEM146	OL+AL+Y	WEITER · ZIELSTELLE · DIES	NONE	olsaly	1	UNCHANGED
PROC154	SEM147	OL+Y	WEITER · DIES	NONE	qolchey	1	UNCHANGED
PROC155	SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	NONE	qokylddy	1	UNCHANGED
PROC156	SEM149	AIN	PORTION	NONE	dain	2	UNCHANGED
PROC158	SEM150	OK+EE+OL	ANSETZEN · LANG · WEITER	NONE	okeeol	1	UNCHANGED
PROC159	SEM151	L+K+E+DY	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	NONE	lkedy	1	UNCHANGED
PROC161	SEM152	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · KURZ · DIES	NONE	qockhey	1	UNCHANGED
PROC162	SEM153	AIR+Y+DY	WASSER · DIES · SCHLUSS	NONE	dairydy	1	UNCHANGED
PROC163	SEM154	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	NONE	chckhal	1	UNCHANGED
PROC164	SEM155	SOLK+E+Y	SAMMELSTELLE · KURZ · DIES	NONE	solkey	1	UNCHANGED
PROC165	SEM156	K+AR	ZUGEBEN · QUELLE	NONE	skar	1	UNCHANGED
PROC167	SEM157	L+OL	WEITERLEITEN · WEITER	NONE	lol	1	UNCHANGED
PROC168	SEM158	CHD+AL	UMSETZEN · ZIELSTELLE	NONE	chdal	1	UNCHANGED
PROC169	SEM159	DA+IIN	ZWEIT · ARBEITSSTUFE	NONE	daiiin	1	UNCHANGED
PROC170	SEM160	SOLK+EE+Y	SAMMELSTELLE · LANG · DIES	NONE	solkeey	1	UNCHANGED
PROC171	SEM161	E+K+E+Y	KURZ · ZUGEBEN · KURZ · DIES	NONE	qekey	1	UNCHANGED
PROC172	SEM162	R+AL+Y	KUEHLEN · ZIELSTELLE · DIES	NONE	raly	1	UNCHANGED
PROC173	SEM163	L+AL+OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	NONE	ldalor	1	UNCHANGED
