assignment_ordinal	slot_id	layer	source_event_or_card_id	statement_or_record_id	physical_page	register	owner	surface	slot_position	root	primary_governor_key	direct_governor_tokens	governor_group_tokens	governor_object_scope	same_card_action_inventory	previous_visible_action	next_visible_action	gdt582_broad_default_de	gdt583_rule_id	gdt583_working_default_de	gdt583_concrete_sense_de	gdt583_reading_tier	gdt583_change_status	gdt583_rationale	gdt583_context_signature	gdt583_guard
11	RUNNING:G407-E0018@2	RUNNING_ATOM	G407-E0018	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	2	S	ACTION:G407-E0018@2:S	A_ADDR|E|S	A_ADDR|E|S	SAME_CARD_DIRECT_HOST	S	NONE	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[A_ADDR|E|S]::G[A_ADDR|E|S]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
12	RUNNING:G407-E0019@2	RUNNING_ATOM	G407-E0019	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	2	T	ACTION:G407-E0019@2:T	AR|T	AR|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[AR|T]::G[AR|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
13	RUNNING:G407-E0020@2	RUNNING_ATOM	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	2	T	ACTION:G407-E0020@2:T	AR|T	AIN|AR|T	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|T	CH	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[AR|T]::G[AIN|AR|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
14	RUNNING:G407-E0022@1	RUNNING_ATOM	G407-E0022	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	1	S	ACTION:G407-E0022@1:S	S|Y	S|Y	SAME_CARD_DIRECT_HOST	R|S	NONE	R	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[S|Y]::G[S|Y]::P[NONE]::N[R]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
15	RUNNING:G407-E0023@1	RUNNING_ATOM	G407-E0023	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	1	SH	ACTION:G407-E0023@1:SH	E|SH	E|SH	SAME_CARD_DIRECT_HOST	K|SH	NONE	K	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[E|SH]::G[E|SH]::P[NONE]::N[K]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
16	RUNNING:G407-E0026@1	RUNNING_ATOM	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	1	SH	ACTION:G407-E0026@1:SH	D_ADDR|O|SH	D_ADDR|O|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[D_ADDR|O|SH]::G[D_ADDR|O|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
17	RUNNING:G407-E0027@2	RUNNING_ATOM	G407-E0027	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	2	T	ACTION:G407-E0027@2:T	AR|O|T|Y	AR|O|T|Y	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[AR|O|T|Y]::G[AR|O|T|Y]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
18	RUNNING:G407-E0028@2	RUNNING_ATOM	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	2	T	ACTION:G407-E0028@2:T	E|T	E|T	SAME_CARD_DIRECT_HOST	CH|S|T	CH	S	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[E|T]::G[E|T]::P[CH]::N[S]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
19	RUNNING:G407-E0028@4	RUNNING_ATOM	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	4	S	ACTION:G407-E0028@4:S	S	AIIN|AR|D_ADDR|S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|S|T	T	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[S]::G[AIIN|AR|D_ADDR|S|Y]::P[T]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
20	RUNNING:G407-E0031@1	RUNNING_ATOM	G407-E0031	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	1	S	ACTION:G407-E0031@1:S	IIN|O|S	IIN|O|S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	S	NONE	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[IIN|O|S]::G[IIN|O|S|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
21	RUNNING:G407-E0035@2	RUNNING_ATOM	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	2	T	ACTION:G407-E0035@2:T	AR|LOCAL_CHAR_I|T	AIIN|AR|LOCAL_CHAR_I|T	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|T	CH	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[AR|LOCAL_CHAR_I|T]::G[AIIN|AR|LOCAL_CHAR_I|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
22	RUNNING:G407-E0040@1	RUNNING_ATOM	G407-E0040	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sair	1	S	ACTION:G407-E0040@1:S	AIR|S	AIR|S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	S	NONE	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[AIR|S]::G[AIR|S|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
23	RUNNING:G407-E0043@2	RUNNING_ATOM	G407-E0043	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthaiin	2	T	ACTION:G407-E0043@2:T	AIIN|T	AIIN|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[AIIN|T]::G[AIIN|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
24	RUNNING:G407-E0046@6	RUNNING_ATOM	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	6	SH	ACTION:G407-E0046@6:SH	A_ADDR|D_ADDR|LOCAL_CHAR_I|SH|Y	A_ADDR|D_ADDR|LOCAL_CHAR_I|SH|Y	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[A_ADDR|D_ADDR|LOCAL_CHAR_I|SH|Y]::G[A_ADDR|D_ADDR|LOCAL_CHAR_I|SH|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
25	RUNNING:G407-E0048@1	RUNNING_ATOM	G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shol	1	SH	ACTION:G407-E0048@1:SH	SH	SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[SH]::G[SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
26	RUNNING:G407-E0051@1	RUNNING_ATOM	G407-E0051	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	sh	1	SH	ACTION:G407-E0051@1:SH	SH	SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[SH]::G[SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
27	RUNNING:G407-E0052@1	RUNNING_ATOM	G407-E0052	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	s	1	S	ACTION:G407-E0052@1:S	S	S	SAME_CARD_DIRECT_HOST	S	NONE	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[S]::G[S]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
28	RUNNING:G407-E0054@1	RUNNING_ATOM	G407-E0054	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shodary	1	SH	ACTION:G407-E0054@1:SH	AR|D_ADDR|O|SH|Y	AR|D_ADDR|O|SH|Y	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[AR|D_ADDR|O|SH|Y]::G[AR|D_ADDR|O|SH|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
29	RUNNING:G407-E0055@2	RUNNING_ATOM	G407-E0055	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	yshey	2	SH	ACTION:G407-E0055@2:SH	E|SH|Y	E|SH|Y	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[E|SH|Y]::G[E|SH|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
30	RUNNING:G407-E0056@1	RUNNING_ATOM	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	1	SH	ACTION:G407-E0056@1:SH	O|SH	O|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[O|SH]::G[O|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
31	RUNNING:G407-E0059@4	RUNNING_ATOM	G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	chocthy	4	T	ACTION:G407-E0059@4:T	T|Y	AIN|T|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|T	CH	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[T|Y]::G[AIN|T|Y]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
32	RUNNING:G407-E0064@3	RUNNING_ATOM	G407-E0064	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	kos	3	S	ACTION:G407-E0064@3:S	S	AIIN|S	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	K|S	K	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[S]::G[AIIN|S]::P[K]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
33	RUNNING:G407-E0066@1	RUNNING_ATOM	G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shos	1	SH	ACTION:G407-E0066@1:SH	O|SH	O|SH	SAME_CARD_DIRECT_HOST	S|SH	NONE	S	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[O|SH]::G[O|SH]::P[NONE]::N[S]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
34	RUNNING:G407-E0066@3	RUNNING_ATOM	G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shos	3	S	ACTION:G407-E0066@3:S	S	S	SAME_CARD_DIRECT_HOST	S|SH	SH	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[S]::G[S]::P[SH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
35	RUNNING:G407-E0068@1	RUNNING_ATOM	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	1	SH	ACTION:G407-E0068@1:SH	O|SH	O|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_CH_BRIDGE_HOLD	Halte	das vom Entnehmen übernommene Argument halten	OBSERVED_ARGUMENT_BRIDGE	LEXICALLY_REFINED	GDT507-CH→SH-Brücke mit identischem Argument	SOURCE_SECTION_T::D[O|SH]::G[O|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
36	RUNNING:G407-E0071@1	RUNNING_ATOM	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	teody	1	T	ACTION:G407-E0071@1:T	E|O|T	E|O|T	SAME_CARD_DIRECT_HOST	T	NONE	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[E|O|T]::G[E|O|T]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
