passage_ordinal	statement_id	physical_page	register	owner_id	event_count	affected_event_count	surface_sequence	gdt582_concrete_reading_de	gdt583_exact_refined_reading_de	editorial_working_paragraph_de	editorial_status	guard
11	G407-S052	f68r1	CELESTIAL	mehrteilige Sternstellentafel	12	4	shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal tochso otchl qokeeedy	Halte fest; Trage ein; Lies ab: Ringposition. Lies ab; Stelle ein: auf Ringstufe II, Ringposition. Lies ab: Ringposition; im Steuerrahmen [CONTROL:G407-E1030@2:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1030:OT>G<END]: auf Ringstufe II. Lies ab; Setze ein; im Steuerrahmen [CONTROL:G407-E1031@3:OL]: weiter im selben Arbeitsgang. Lies ab: auf Ringstufe I; Markiere: in Eintragsform. Setze ein: in Eintragsform; Lies ab; bei der Handlungskette Einsetzen + Ablesen [ACTION_CHAIN:G407-E1033:P+CH]: auf Ringstufe II; im Steuerrahmen [CONTROL:G407-E1033@5:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1034@1:OT]: danach / neuer Arbeitsgang; beim Ablesen [ACTION:G407-E1033@3:CH]: Sektoreinheit. Lies ab: in Eintragsform; Lies ab; Stelle ein: auf Ringstufe III, Ringposition. Trage ein; Lies ab: in Eintragsform, zur Zielposition. Stelle ein: in Eintragsform; Lies ab; Wähle aus: in Eintragsform. im Steuerrahmen [CONTROL:G407-E1038@1:OT]: danach / neuer Arbeitsgang; Lies ab: über den Ringkontakt. Trage ein: auf Ringstufe III; im Steuerrahmen [CONTROL:G407-E1039@3:DY]: Arbeitsgang abschließen.	Halte die Position fest; Trage ein; Lies ab: Ringposition. Lies ab; Stelle die Ringposition ein: auf Ringstufe II, Ringposition. Lies ab: Ringposition; im Steuerrahmen [CONTROL:G407-E1030@2:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1030:OT>G<END]: auf Ringstufe II. Lies ab; Setze ein; im Steuerrahmen [CONTROL:G407-E1031@3:OL]: weiter im selben Arbeitsgang. Lies ab: auf Ringstufe I; Markiere: in Eintragsform. Setze ein: in Eintragsform; Lies ab; bei der Handlungskette Einsetzen + Ablesen [ACTION_CHAIN:G407-E1033:P+CH]: auf Ringstufe II; im Steuerrahmen [CONTROL:G407-E1033@5:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1034@1:OT]: danach / neuer Arbeitsgang; beim Ablesen [ACTION:G407-E1033@3:CH]: Sektoreinheit. Lies ab: in Eintragsform; Lies ab; Stelle die Ringposition ein: auf Ringstufe III, Ringposition. Trage ein; Lies ab: in Eintragsform, zur Zielposition. Stelle die Ringposition ein: in Eintragsform; Lies ab; Wähle aus: in Eintragsform. im Steuerrahmen [CONTROL:G407-E1038@1:OT]: danach / neuer Arbeitsgang; Lies ab: über den Ringkontakt. Trage ein: auf Ringstufe III; im Steuerrahmen [CONTROL:G407-E1039@3:DY]: Arbeitsgang abschließen.	Halte die Ringposition fest, trage sie ein und lies sie ab. Stelle die abgelesene Position auf Ringstufe II ein. Lies sie erneut und beginne danach auf Stufe II einen neuen Gang. Lies weiter, setze ein und führe fort. Lies auf Stufe I ab und markiere in Eintragsform. Setze in Eintragsform ein, lies auf Stufe II ab und fahre fort. Beginne mit der Sektoreinheit einen neuen Gang. Lies in Eintragsform ab, lies nochmals und stelle die Position auf Stufe III ein. Trage ein und lies zur Zielposition ab. Stelle in Eintragsform ein, lies ab und wähle in Eintragsform aus. Beginne erneut, lies über den Ringkontakt, trage auf Stufe III ein und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
12	G407-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe A	4	1	al oteey chedal oteedy	im Besitzerrahmen [OWNER:Tierkreis-Ringgruppe A]: zur Zielposition. im Steuerrahmen [CONTROL:G407-E1143@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1143:OT>G<END]: auf Ringstufe II; beim Berechnen [ACTION:G407-E1144@1:CHD]: Ringposition. Berechne: zur Zielposition. im Steuerrahmen [CONTROL:G407-E1145@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1145:OT>G<DY]: auf Ringstufe II; im Steuerrahmen [CONTROL:G407-E1145@3:DY]: Arbeitsgang abschließen.	im Besitzerrahmen [OWNER:Tierkreis-Ringgruppe A]: zur Zielposition. im Steuerrahmen [CONTROL:G407-E1143@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1143:OT>G<END]: auf Ringstufe II; beim Berechnen [ACTION:G407-E1144@1:CHD]: Ringposition. Berechne: zur Zielposition. im Steuerrahmen [CONTROL:G407-E1145@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1145:OT>G<DY]: auf Ringstufe II; im Steuerrahmen [CONTROL:G407-E1145@3:DY]: Arbeitsgang abschließen.	Für die Zielposition: Beginne auf Ringstufe II mit der Ringposition einen neuen Gang und berechne sie zur Zielposition. Beginne danach nochmals auf Ringstufe II und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
13	G407-S082	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	7	3	kchedykary okeey qokar shyk chedy qotar shedy	Führe zu; Behandle: Stationsansatz; Führe zu: von der Ausgangsstation oder aus dem Ausgangsbecken, Stationsansatz. Beschicke oder bereite vor: auf Grad II, Stationsansatz. Beschicke oder bereite vor: von der Ausgangsstation oder aus dem Ausgangsbecken. Führe zu: Stationsansatz. Behandle: Stationsansatz. im Steuerrahmen [CONTROL:G407-E1430@1:OT]: danach / neuer Arbeitsgang; beim Behandeln [ACTION:G407-E1429@1:CHD]: von der Ausgangsstation oder aus dem Ausgangsbecken. Halte oder bade: auf Grad I; im Steuerrahmen [CONTROL:G407-E1431@3:DY]: Arbeitsgang abschließen.	Führe zu; Behandle: Stationsansatz; Führe zu: von der Ausgangsstation oder aus dem Ausgangsbecken, Stationsansatz. Beschicke oder bereite vor: auf Grad II, Stationsansatz. Beschicke oder bereite vor: von der Ausgangsstation oder aus dem Ausgangsbecken. Führe zu: Stationsansatz. Behandle: Stationsansatz. im Steuerrahmen [CONTROL:G407-E1430@1:OT]: danach / neuer Arbeitsgang; beim Behandeln [ACTION:G407-E1429@1:CHD]: von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad: auf Grad I; im Steuerrahmen [CONTROL:G407-E1431@3:DY]: Arbeitsgang abschließen.	Führe den Stationsansatz zu, behandle ihn und führe ihn aus der Ausgangsstation beziehungsweise dem Ausgangsbecken erneut zu. Beschicke ihn auf Stufe II und anschließend vom Ausgangsbecken her; führe den Ansatz zu und behandle ihn. Beginne danach vom Ausgangsbecken her einen neuen Gang, halte den Ansatz im Bad auf Stufe I und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
14	G407-S083	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	5	2	dain shey ly ssheol qoldy	beim Halten oder Baden [ACTION:G407-E1433@1:SH]: Anwendungsportion. Halte oder bade: auf Grad I, Stationsansatz. beim Halten oder Baden [ACTION:G407-E1433@1:SH]: über den Stationskontakt oder die Leitung, Stationsansatz. Wähle oder leite um; Halte oder bade; bei der Handlungskette Auswählen oder Umleiten + Halten oder Baden [ACTION_CHAIN:G407-E1435:S+SH]: auf Grad I; im Steuerrahmen [CONTROL:G407-E1435@4:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1436@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1436@2:DY]: Arbeitsgang abschließen.	beim Halten oder Baden [ACTION:G407-E1433@1:SH]: Anwendungsportion. Halte im Bad: auf Grad I, Stationsansatz. beim Halten oder Baden [ACTION:G407-E1433@1:SH]: über den Stationskontakt oder die Leitung, Stationsansatz. Wähle aus; Halte; bei der Handlungskette Auswählen oder Umleiten + Halten oder Baden [ACTION_CHAIN:G407-E1435:S+SH]: auf Grad I; im Steuerrahmen [CONTROL:G407-E1435@4:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1436@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1436@2:DY]: Arbeitsgang abschließen.	Halte die Anwendungsportion als Stationsansatz auf Stufe I über den Stationskontakt oder die Leitung im Bad. Leite sie um und halte sie auf Stufe I weiter. Führe den Gang fort und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
15	G407-S086	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	8	2	shey kar chey ckhey r ain ol olsheedy	Halte oder bade: auf Grad I, Stationsansatz. Führe zu: von der Ausgangsstation oder aus dem Ausgangsbecken. beim Zuführen [ACTION:G407-E1460@1:K]: Stationsansatz. Entnimm oder lass ab; Führe zu: auf Grad I, Stationsansatz. Kennzeichne oder prüfe. beim Kennzeichnen oder Prüfen [ACTION:G407-E1463@1:R]: Anwendungsportion. im Steuerrahmen [CONTROL:G407-E1465@1:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1466@1:OL]: weiter im selben Arbeitsgang; Halte oder bade; bei der Handlungskette Halten oder Baden [ACTION_CHAIN:G407-E1466:SH]: auf Grad II; im Steuerrahmen [CONTROL:G407-E1466@4:DY]: Arbeitsgang abschließen.	Halte im Bad: auf Grad I, Stationsansatz. Führe zu: von der Ausgangsstation oder aus dem Ausgangsbecken. beim Zuführen [ACTION:G407-E1460@1:K]: Stationsansatz. Entnimm oder lass ab; Führe zu: auf Grad I, Stationsansatz. Kennzeichne oder prüfe. beim Kennzeichnen oder Prüfen [ACTION:G407-E1463@1:R]: Anwendungsportion. im Steuerrahmen [CONTROL:G407-E1465@1:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1466@1:OL]: weiter im selben Arbeitsgang; Halte; bei der Handlungskette Halten oder Baden [ACTION_CHAIN:G407-E1466:SH]: auf Grad II; im Steuerrahmen [CONTROL:G407-E1466@4:DY]: Arbeitsgang abschließen.	Halte den Stationsansatz auf Stufe I im Bad. Führe ihn aus dem Ausgangsbecken zu, lass ihn ab und führe ihn auf Stufe I wieder zu. Prüfe die Anwendungsportion. Fahre fort, halte sie auf Stufe II im Stationsgang und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
16	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	13	7	potchokor chcfhdy opshdy qolp chcphy chcphdy opshey qofshy opchdy sain as y dshedy	Bringe ein oder wende an; im Steuerrahmen [CONTROL:G407-E1833@2:OT]: danach / neuer Arbeitsgang; Entnimm oder lass ab; Beschicke oder bereite vor: Becken- oder Körpereinheit. Entnimm oder lass ab: in Anwendungsform; Entnimm oder lass ab: in Feinform, Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Halte oder bade: an der Stations-Arbeitsstelle, Stationsansatz. im Steuerrahmen [CONTROL:G407-E1836@1:OL]: weiter im selben Arbeitsgang; Bringe ein oder wende an. Entnimm oder lass ab; Entnimm oder lass ab; Bringe ein oder wende an: Stationsansatz. Entnimm oder lass ab; Entnimm oder lass ab; Bringe ein oder wende an: Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Halte oder bade: auf Grad I, Stationsansatz. Bringe ein oder wende an: als neuer Bad- oder Stationsansatz, in Anwendungsform; Halte oder bade: an der Stations-Arbeitsstelle, Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Behandle: Stationsansatz. Wähle oder leite um: Anwendungsportion. Wähle oder leite um: an der Stations-Hauptstelle. beim Auswählen oder Umleiten [ACTION:G407-E1843@2:S]: Stationsansatz. Halte oder bade: auf Grad I; im Steuerrahmen [CONTROL:G407-E1845@3:DY]: Arbeitsgang abschließen.	Bringe ein oder wende an; im Steuerrahmen [CONTROL:G407-E1833@2:OT]: danach / neuer Arbeitsgang; Entnimm oder lass ab; Beschicke oder bereite vor: Becken- oder Körpereinheit. Entnimm oder lass ab: in Anwendungsform; Entnimm oder lass ab: in Feinform, Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Halte: an der Stations-Arbeitsstelle, Stationsansatz. im Steuerrahmen [CONTROL:G407-E1836@1:OL]: weiter im selben Arbeitsgang; Bringe ein oder wende an. Entnimm oder lass ab; Entnimm oder lass ab; Bringe ein oder wende an: Stationsansatz. Entnimm oder lass ab; Entnimm oder lass ab; Bringe ein oder wende an: Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Halte: auf Grad I, Stationsansatz. Bringe ein oder wende an: als neuer Bad- oder Stationsansatz, in Anwendungsform; Halte: an der Stations-Arbeitsstelle, Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Behandle: Stationsansatz. Wähle aus: Anwendungsportion. Wähle aus: an der Stations-Hauptstelle. beim Auswählen oder Umleiten [ACTION:G407-E1843@2:S]: Stationsansatz. Halte: auf Grad I; im Steuerrahmen [CONTROL:G407-E1845@3:DY]: Arbeitsgang abschließen.	Bring eine Becken- oder Körpereinheit ein beziehungsweise wende sie an. Beginne einen neuen Gang, lass ab und beschicke die Einheit. Lass den Stationsansatz zuerst in Anwendungsform und danach in Feinform ab; bring ihn in Anwendungsform ein und halte ihn an der Stationsstelle. Fahre mit der Anwendung fort. Zweimal: Lass zweimal ab und bring den Stationsansatz wieder ein. Bring ihn in Anwendungsform ein und halte ihn auf Stufe I. Beginne einen neuen Ansatz, bring ihn in Anwendungsform ein und halte ihn an der Arbeitsstelle. Wende ihn in Anwendungsform an und behandle den Stationsansatz. Teile eine Anwendungsportion ab und leite den Ansatz an der Hauptstation um. Halte ihn auf Stufe I im Bad und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
17	G407-S649	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	6	0	koay cphol orchor pcheoly otchol oldy	Gib zu: in Arzneiform, an der Drogen-Hauptstelle, Drogencharge. Entnimm oder ziehe aus; Gib hinein; im Steuerrahmen [CONTROL:G407-E3844@3:OL]: weiter im selben Arbeitsgang. Entnimm oder ziehe aus: Gefäß- oder Arbeitseinheit, Gefäß- oder Arbeitseinheit. Gib hinein; Entnimm oder ziehe aus: auf Grad I, in Arzneiform, über den Gefäßkontakt, Drogencharge. im Steuerrahmen [CONTROL:G407-E3847@1:OT]: danach / neuer Arbeitsgang; Entnimm oder ziehe aus; im Steuerrahmen [CONTROL:G407-E3847@3:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E3848@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3848@2:DY]: Arbeitsgang abschließen.	Gib zu: in Arzneiform, an der Drogen-Hauptstelle, Drogencharge. Entnimm oder ziehe aus; Gib hinein; im Steuerrahmen [CONTROL:G407-E3844@3:OL]: weiter im selben Arbeitsgang. Entnimm oder ziehe aus: Gefäß- oder Arbeitseinheit, Gefäß- oder Arbeitseinheit. Gib hinein; Entnimm oder ziehe aus: auf Grad I, in Arzneiform, über den Gefäßkontakt, Drogencharge. im Steuerrahmen [CONTROL:G407-E3847@1:OT]: danach / neuer Arbeitsgang; Entnimm oder ziehe aus; im Steuerrahmen [CONTROL:G407-E3847@3:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E3848@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3848@2:DY]: Arbeitsgang abschließen.	Gib die Drogencharge in Arzneiform an der Hauptstelle zu. Entnimm und gib sie im selben Gang hinein. Zieh die äußere und die innere Gefäßeinheit ab. Gib die Charge über den Gefäßkontakt hinein und entnimm sie auf Stufe I in Arzneiform. Beginne einen neuen Gang, entnimm weiter und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
18	G407-S651	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	7	3	poeear sheoky olkeey cthol poldy s okoldy	Gib hinein: in Arzneiform, auf Grad II, aus dem Ausgangsgefäß. Halte oder lass ziehen: auf Grad I; Setze den Ansatz an: Drogencharge. im Steuerrahmen [CONTROL:G407-E3884@1:OL]: weiter im selben Arbeitsgang; Gib zu: Drogencharge; bei der Handlungskette Zugeben [ACTION_CHAIN:G407-E3884:K]: auf Grad II. Entnimm oder ziehe aus; Stelle ein oder temperiere; im Steuerrahmen [CONTROL:G407-E3885@3:OL]: weiter im selben Arbeitsgang. Gib hinein: an der Drogen-Arbeitsstelle, Drogencharge; im Steuerrahmen [CONTROL:G407-E3886@2:OL]: weiter im selben Arbeitsgang. Wähle oder trenne ab. Setze den Ansatz an; im Steuerrahmen [CONTROL:G407-E3888@2:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3888@3:DY]: Arbeitsgang abschließen.	Gib hinein: in Arzneiform, auf Grad II, aus dem Ausgangsgefäß. Halte: auf Grad I; Setze den Ansatz an: Drogencharge. im Steuerrahmen [CONTROL:G407-E3884@1:OL]: weiter im selben Arbeitsgang; Gib zu: Drogencharge; bei der Handlungskette Zugeben [ACTION_CHAIN:G407-E3884:K]: auf Grad II. Entnimm oder ziehe aus; Stelle ein oder temperiere; im Steuerrahmen [CONTROL:G407-E3885@3:OL]: weiter im selben Arbeitsgang. Gib hinein: an der Drogen-Arbeitsstelle, Drogencharge; im Steuerrahmen [CONTROL:G407-E3886@2:OL]: weiter im selben Arbeitsgang. Wähle aus. Setze den Ansatz an; im Steuerrahmen [CONTROL:G407-E3888@2:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3888@3:DY]: Arbeitsgang abschließen.	Gib aus dem Ausgangsgefäß in Arzneiform auf Stufe II hinein. Lass die Drogencharge auf Stufe I ziehen und setze den Ansatz an. Gib die Charge auf Stufe II weiter zu. Entnimm, temperiere und fahre fort. Gib die Charge an der Arbeitsstelle hinein und führe den Gang weiter. Trenne ab, setze den Ansatz erneut an und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
19	G407-S657	f88v	PHARMA	zweite Gefaess-/Zutatengruppe	3	0	opykey oldaiin qoteody	Gib hinein: in Arzneiform, Drogencharge; Gib zu: auf Grad I, Drogencharge. im Steuerrahmen [CONTROL:G407-E3972@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3972:STATE_CARD]: an der Drogen-Arbeitsstelle; beim Zugeben [ACTION:G407-E3971@4:K]: Dosis- oder Mengenmaß. im Steuerrahmen [CONTROL:G407-E3973@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3973:OT>G<DY]: auf Grad I; im Steuerrahmen [CONTROL:G407-E3973:STATE_CARD]: in Arzneiform; im Steuerrahmen [CONTROL:G407-E3973@4:DY]: Arbeitsgang abschließen.	Gib hinein: in Arzneiform, Drogencharge; Gib zu: auf Grad I, Drogencharge. im Steuerrahmen [CONTROL:G407-E3972@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3972:STATE_CARD]: an der Drogen-Arbeitsstelle; beim Zugeben [ACTION:G407-E3971@4:K]: Dosis- oder Mengenmaß. im Steuerrahmen [CONTROL:G407-E3973@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3973:OT>G<DY]: auf Grad I; im Steuerrahmen [CONTROL:G407-E3973:STATE_CARD]: in Arzneiform; im Steuerrahmen [CONTROL:G407-E3973@4:DY]: Arbeitsgang abschließen.	Gib die Drogencharge in Arzneiform hinein und gib dieselbe Charge auf Stufe I zu. Fahre an der Drogenarbeitsstelle mit dem Dosis- oder Mengenmaß fort. Beginne danach auf Stufe I in Arzneiform einen neuen Gang und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
20	G407-S659	f88v	PHARMA	zweite Gefaess-/Zutatengruppe	6	1	ykeeor chockhy otol cheeol cheody qotody	Gib zu: Drogencharge, auf Grad II, Gefäß- oder Arbeitseinheit. Entnimm oder ziehe aus: in der Oberklasse; Gib zu: Drogencharge. im Steuerrahmen [CONTROL:G407-E3995@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3995@2:OL]: weiter im selben Arbeitsgang. Halte oder lass ziehen; bei der Handlungskette Halten oder Ziehenlassen [ACTION_CHAIN:G407-E3996:SH]: auf Grad II; im Steuerrahmen [CONTROL:G407-E3996@3:OL]: weiter im selben Arbeitsgang. Entnimm oder ziehe aus: auf Grad I, in Arzneiform, Drogencharge. im Steuerrahmen [CONTROL:G407-E3998@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3998:STATE_CARD]: in Arzneiform; im Steuerrahmen [CONTROL:G407-E3998@3:DY]: Arbeitsgang abschließen.	Gib zu: Drogencharge, auf Grad II, Gefäß- oder Arbeitseinheit. Entnimm oder ziehe aus: in der Oberklasse; Gib zu: Drogencharge. im Steuerrahmen [CONTROL:G407-E3995@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3995@2:OL]: weiter im selben Arbeitsgang. Halte; bei der Handlungskette Halten oder Ziehenlassen [ACTION_CHAIN:G407-E3996:SH]: auf Grad II; im Steuerrahmen [CONTROL:G407-E3996@3:OL]: weiter im selben Arbeitsgang. Entnimm oder ziehe aus: auf Grad I, in Arzneiform, Drogencharge. im Steuerrahmen [CONTROL:G407-E3998@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3998:STATE_CARD]: in Arzneiform; im Steuerrahmen [CONTROL:G407-E3998@3:DY]: Arbeitsgang abschließen.	Gib die Drogencharge und eine Gefäß- oder Arbeitseinheit auf Stufe II zu. Entnimm Material der Oberklasse und gib die Charge zu. Beginne einen neuen Gang und führe ihn fort. Lass auf Stufe II ziehen und fahre weiter. Entnimm die Charge auf Stufe I in Arzneiform. Beginne anschließend in Arzneiform den nächsten Gang und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
