rule_ordinal	rule_id	priority	root	registers	source_ids	physical_pages_not	direct_any	direct_none	host_any	host_none	host_any_groups	previous_actions	next_actions	working_default_de	concrete_sense_de	reading_tier	rationale	scope_guard
11	SH_CH_BRIDGE_HOLD	110	SH	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	G407-E0068|G407-E0118|G407-E0200|G407-E0298|G407-E0494|G407-E0682|G407-E1077|G407-E1963|G407-E2361|G407-E2533|G407-E3497|G407-E3858	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Halte	das vom Entnehmen übernommene Argument halten	OBSERVED_ARGUMENT_BRIDGE	GDT507-CH→SH-Brücke mit identischem Argument	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
12	SH_CELESTIAL_FIX	120	SH	CELESTIAL	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Halte die Position fest	Ringposition oder Tabellenwert festhalten	REGISTER_SUBREADING	celestiales Positions- und Tabellenregister	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
13	SH_BIO_BATHE	130	SH	BIOLOGICAL	NONE	f76r	NONE	NONE	Y|AIIN|AIN|OR|E|EE|EEE|O|IIN|LOCAL_CHAR_F	NONE	NONE	NONE	NONE	Halte im Bad	Anwendung im Bad- oder Stationsgang halten beziehungsweise baden	OWNER_OBJECT_SUBREADING	bebilderter Badowner plus Objekt-, Grad- oder Formsignal	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
14	SH_HP_EXTRACT_STEEP	140	SH	HERBAL|PHARMA	NONE	NONE	NONE	NONE	AIIN	NONE	NONE	NONE	NONE	Lass den Auszug ziehen	Pflanzen- oder Drogengut im Auszug ziehen lassen	REMOTE_OBJECT_SUBREADING	AIIN ist im vollständigen GDT581-SH-Host sichtbar	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
15	SH_HP_SOAK	150	SH	HERBAL|PHARMA	NONE	NONE	NONE	NONE	NONE	NONE	Y|AIN|OR;E|EE|EEE|O|IIN|LOCAL_CHAR_F	NONE	NONE	Weiche ein	Charge oder Portion in Form beziehungsweise auf Stufe einweichen	OBJECT_FORM_SUBREADING	Materialobjekt und Grad- oder Formsignal teilen den SH-Host	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
16	SH_SOURCE_REST	160	SH	SOURCE_SECTION_T	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	Source-Ruhenlassen-Verbrahmen	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
17	SH_REST_HOLD	169	SH	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Halte	Zustand oder Argument halten	HONEST_BROAD_FALLBACK	kein hinreichender Bad-, Auszug- oder Einweichanker	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
18	CHD_CELESTIAL_CALCULATE	170	CHD	CELESTIAL	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Berechne	Ringposition oder Tabellenwert berechnen	REGISTER_SUBREADING	celestiales Rechen- und Tabellenregister	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
19	CHD_BIO_TREAT	180	CHD	BIOLOGICAL	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Behandle	Stationsansatz oder Anwendung behandeln	REGISTER_SUBREADING	biologischer Behandlungsrahmen	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
20	CHD_HP_DRY_GRIND	190	CHD	HERBAL|PHARMA	NONE	NONE	NONE	NONE	Y|AIN|OR|LOCAL_CHAR_F	AIIN	NONE	NONE	NONE	Zerreibe	feste Pflanzen- oder Drogencharge zerreiben	OBJECT_STATE_SUBREADING	Feststoffsignal ohne Flüssigkeitsmaß im vollständigen CHD-Host	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
21	CHD_REST_PROCESS	199	CHD	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Bearbeite	Arbeitsgut oder Ansatz bearbeiten	HONEST_BROAD_FALLBACK	kein trockener Materialhost oder registereigene Speziallesung	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
22	S_BIO_CHD_CARRIER_SELECT	200	S	BIOLOGICAL	G407-E1883	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Wähle aus	Stationsansatz auswählen	OBSERVED_PAIR_CARRIER	einziger vollständiger S→CHD-Träger; keine Seih-Zerreib-Gleichung	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
23	S_CELESTIAL_SELECT	210	S	CELESTIAL	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Wähle aus	Sektor, Position oder Tabellenwert auswählen	REGISTER_SUBREADING	celestiales Auswahlregister	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
24	S_BIO_DIVERT	220	S	BIOLOGICAL	NONE	NONE	NONE	NONE	AL|AR|L|AIR	NONE	NONE	NONE	NONE	Leite um	Fluss oder Anwendung zwischen Stationen umleiten	RELATION_HOST_SUBREADING	Ziel-, Quellen-, Kontakt- oder Wegrelation im vollständigen S-Host	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
25	S_HP_STRAIN	230	S	HERBAL|PHARMA	NONE	NONE	NONE	NONE	AIIN	NONE	NONE	NONE	NONE	Seihe ab	Auszug oder abgemessene Flüssigkeit abseihen	REMOTE_OBJECT_SUBREADING	AIIN im vollständigen GDT581-S-Host	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
26	S_HP_SIEVE	240	S	HERBAL|PHARMA	NONE	NONE	NONE	NONE	AIN|OR|LOCAL_CHAR_F	NONE	NONE	NONE	NONE	Siebe	Portion, Einheit oder Feinform sieben	OBJECT_FORM_SUBREADING	Portions-, Einheits- oder Feinformsignal im S-Host	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
27	S_HP_SEPARATE	250	S	HERBAL|PHARMA	NONE	NONE	NONE	NONE	Y	NONE	NONE	NONE	NONE	Trenne ab	Pflanzen- oder Drogencharge abtrennen	OBJECT_SUBREADING	Charge als sichtbares S-Argument	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
28	S_SOURCE_SORT_OUT	260	S	SOURCE_SECTION_T	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	Source-Aussonder-Verbrahmen	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
29	S_REST_SELECT	269	S	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Wähle aus	Material, Station oder Arbeitsschritt auswählen	HONEST_BROAD_FALLBACK	kein hinreichender Trenn-, Sieb- oder Umleitungsanker	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
