combined_order	source_record	page	event_serial	statement_id	visible_surface	master_card_id	atomic_value_de	combined_phase	complete_clause_translation_de	cross_page_status
16	H3	f11r	54	H3-S004	cthy	MC161	bereit	PREPARE_CLEAR_EXTRACT	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.	SOURCE_ARTICLE
17	H3	f11r	55	H3-S004	dy	MC123	dies	PREPARE_CLEAR_EXTRACT	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.	SOURCE_ARTICLE
18	B4	f83r	326	B4-S004	qokylddy	MC164	Festsetzen; Schluss	PROCESS_AND_DELIVER_CHARGE	Fixiere die Arbeitsstelle und schließe die Einrichtung ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
19	B4	f83r	327	B4-S005	dain	MC059	Einlage	PROCESS_AND_DELIVER_CHARGE	Setze die Einlage ein, überführe den Posten und lasse ihn länger darin einwirken; schließe die Vorbereitung.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
20	B4	f83r	328	B4-S005	chedy	MC074	überführen	PROCESS_AND_DELIVER_CHARGE	Setze die Einlage ein, überführe den Posten und lasse ihn länger darin einwirken; schließe die Vorbereitung.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
21	B4	f83r	329	B4-S005	qokeedy	MC082	lange einwirken; Schluss	PROCESS_AND_DELIVER_CHARGE	Setze die Einlage ein, überführe den Posten und lasse ihn länger darin einwirken; schließe die Vorbereitung.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
22	B4	f83r	330	B4-S006	shckhedy	MC143	durchlassen; Schluss	PROCESS_AND_DELIVER_CHARGE	Lasse den Posten einmal durch die vorbereitete Einlage; schließe den ersten Durchgang.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
23	B4	f83r	331	B4-S007	shckhedy	MC143	durchlassen; Schluss	PROCESS_AND_DELIVER_CHARGE	Lasse denselben Posten ein zweites Mal durch; schließe den zweiten Durchgang.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
24	B4	f83r	332	B4-S008	saiin	MC039	Sollmaß	PROCESS_AND_DELIVER_CHARGE	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
25	B4	f83r	333	B4-S008	cheeky	MC032	länger bearbeiten	PROCESS_AND_DELIVER_CHARGE	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
26	B4	f83r	334	B4-S008	sheey	MC095	Langhalt	PROCESS_AND_DELIVER_CHARGE	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
27	B4	f83r	335	B4-S008	qokedy	MC083	kurz einwirken; Schluss	PROCESS_AND_DELIVER_CHARGE	Bemiss den doppelt durchgelassenen Posten, bearbeite ihn länger, halte ihn über die lange Stufe und lasse ihn kurz einwirken; schließe den Schritt.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
28	B4	f83r	336	B4-S009	shedy	MC128	kurz absetzen; Schluss	PROCESS_AND_DELIVER_CHARGE	Lasse den Posten kurz absetzen und schließe den Schritt.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
29	B4	f83r	337	B4-S010	oldy	MC019	fertig	PROCESS_AND_DELIVER_CHARGE	Markiere den so behandelten Posten als fertig.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
30	B4	f83r	338	B4-S011	saiin	MC039	Sollmaß	PROCESS_AND_DELIVER_CHARGE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
31	B4	f83r	339	B4-S011	cheky	MC147	kurz wärmen	PROCESS_AND_DELIVER_CHARGE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
32	B4	f83r	340	B4-S011	okeeol	MC150	Langfortsetzung	PROCESS_AND_DELIVER_CHARGE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
33	B4	f83r	341	B4-S011	okain	MC017	Anteil zugeben	PROCESS_AND_DELIVER_CHARGE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
34	B4	f83r	342	B4-S011	chdy	MC074	überführen	PROCESS_AND_DELIVER_CHARGE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
35	B4	f83r	343	B4-S011	sol	MC153	weiter	PROCESS_AND_DELIVER_CHARGE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
36	B4	f83r	344	B4-S011	lkedy	MC124	Kurzabzug; Schluss	PROCESS_AND_DELIVER_CHARGE	An der linken Unterlaufstation bemiss die Sollmenge, erwärme sie kurz, führe sie über die lange Fortsetzung, gib einen Anteil zu, überführe sie weiter und ziehe eine kleine Fraktion ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
37	B4	f83r	345	B4-S012	lchedy	MC155	abführen; Schluss	PROCESS_AND_DELIVER_CHARGE	Führe den verbleibenden Posten ab und schließe den Schritt.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
38	B4	f83r	346	B4-S013	qokol	MC024	Weiter einsetzen	PROCESS_AND_DELIVER_CHARGE	Setze die Weiterfraktion ein, lasse sie kurz absetzen und schließe den Schritt.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
39	B4	f83r	347	B4-S013	shedy	MC128	kurz absetzen; Schluss	PROCESS_AND_DELIVER_CHARGE	Setze die Weiterfraktion ein, lasse sie kurz absetzen und schließe den Schritt.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
40	B4	f83r	348	B4-S014	or	MC080	Ansatz	PROCESS_AND_DELIVER_CHARGE	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
41	B4	f83r	349	B4-S014	chey	MC123	dies	PROCESS_AND_DELIVER_CHARGE	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
42	B4	f83r	350	B4-S014	qockhey	MC165	Kurzdurchgang	PROCESS_AND_DELIVER_CHARGE	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
43	B4	f83r	351	B4-S014	dairydy	MC091	Laufschluss	PROCESS_AND_DELIVER_CHARGE	Nimm den Ansatz als laufenden Posten, führe ihn durch den kurzen Gang und bis zum Ende dieses Laufs.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
44	B4	f83r	352	B4-S015	qokain	MC017	Anteil zugeben	PROCESS_AND_DELIVER_CHARGE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
45	B4	f83r	353	B4-S015	shey	MC119	Klarauszug	PROCESS_AND_DELIVER_CHARGE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
46	B4	f83r	354	B4-S015	kain	MC105	Anteil	PROCESS_AND_DELIVER_CHARGE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
47	B4	f83r	355	B4-S015	chckhal	MC022	Zielpassage	PROCESS_AND_DELIVER_CHARGE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
48	B4	f83r	356	B4-S015	solkey	MC050	Kurzsammlung	PROCESS_AND_DELIVER_CHARGE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
49	B4	f83r	357	B4-S015	lchedy	MC155	abführen; Schluss	PROCESS_AND_DELIVER_CHARGE	Beim Übergang zur rechten S-Laufstation gib eine Portion des klaren Auszugs zu, führe den Anteil durch die Zielpassage, sammle ihn kurz und führe ihn ab.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
50	B4	f83r	358	B4-S016	qolkain	MC097	weiterer Anteil	PROCESS_AND_DELIVER_CHARGE	Nimm einen weiteren Anteil, bringe ihn an die Zielstelle, gieße aus der Quelle zu und lasse ihn kurz absetzen; schließe die Folge.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
51	B4	f83r	359	B4-S016	dal	MC154	dorthin	PROCESS_AND_DELIVER_CHARGE	Nimm einen weiteren Anteil, bringe ihn an die Zielstelle, gieße aus der Quelle zu und lasse ihn kurz absetzen; schließe die Folge.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
52	B4	f83r	360	B4-S016	skar	MC089	Quellausguss	PROCESS_AND_DELIVER_CHARGE	Nimm einen weiteren Anteil, bringe ihn an die Zielstelle, gieße aus der Quelle zu und lasse ihn kurz absetzen; schließe die Folge.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
53	B4	f83r	361	B4-S016	shedy	MC128	kurz absetzen; Schluss	PROCESS_AND_DELIVER_CHARGE	Nimm einen weiteren Anteil, bringe ihn an die Zielstelle, gieße aus der Quelle zu und lasse ihn kurz absetzen; schließe die Folge.	WORKSHOP_SCENARIO_NOT_VISIBLE_POINTER
