action_carry_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	inherited_action_root	inherited_action_value_de	action_source_type	action_source_event_id	source_card_distance	action_scope_frame_id	action_scope_kind	control_action_context_witness	context_voice_working_clause_de	guard
11	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	otol	OT+OL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0157	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: ordne denselben laufenden Eintrag zu; weiterführen.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
12	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0162	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: entnimm denselben laufenden Eintrag.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
13	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	R	MARKIEREN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0168	3	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: kennzeichne denselben laufenden Eintrag.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
14	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	ochol	O+OL	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0195	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: trage denselben Kennwert ein; zur Ausführung.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
15	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	chol	OL	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0208	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: lege dieselbe Eintragseinheit fest.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
16	G407-E0233	G407-S008	f10r	HERBAL	qotor	OT+OR	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0232	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: stelle die Arbeitseinheit ein.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
17	G407-E0238	G407-S008	f10r	HERBAL	qotchy	OT+Y	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0237	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: stelle den Pflanzenposten ein.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
18	G407-E0239	G407-S008	f10r	HERBAL	chol	OL	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0237	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: stelle denselben Pflanzenposten ein.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
19	G407-E0253	G407-S008	f10r	HERBAL	ody	O+DY	R	MARKIEREN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0252	1	GDT569-S03	BARE	YES	Im laufenden Gang: Markiere dieselbe Arbeitseinheit; zur Ausführung; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
20	G407-E0256	G407-S009	f10r	HERBAL	chol	OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0255	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
21	G407-E0279	G407-S009	f10r	HERBAL	otol	OT+OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0278	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: nimm dieselbe Arbeitseinheit; weiterführen.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
22	G407-E0280	G407-S009	f10r	HERBAL	chol	OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0278	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm dieselbe Arbeitseinheit.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
23	G407-E0281	G407-S009	f10r	HERBAL	cholor	OL+OR	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0278	3	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm die Arbeitseinheit.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
24	G407-E0282	G407-S009	f10r	HERBAL	chol	OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0278	4	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm dieselbe Arbeitseinheit.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
25	G407-E0292	G407-S009	f10r	HERBAL	oqotor	O+OT+OR	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0291	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: nimm die Arbeitseinheit; zur Ausführung.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
26	G407-E0293	G407-S009	f10r	HERBAL	otor	OT+OR	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0291	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: nimm die Arbeitseinheit.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
27	G407-E0299	G407-S009	f10r	HERBAL	qoty	OT+Y	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0298	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: halte den Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
28	G407-E0300	G407-S009	f10r	HERBAL	qotor	OT+OR	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0298	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: halte die Arbeitseinheit.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
29	G407-E0302	G407-S009	f10r	HERBAL	otar	OT+AR	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0301	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: stelle denselben Pflanzenposten ein; vom Ausgangsmaterial.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
30	G407-E0305	G407-S009	f10r	HERBAL	qotchy	OT+Y	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0301	4	GDT569-S02	DANACH	YES	Danach im laufenden Gang: stelle den Pflanzenposten ein.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
31	G407-E0306	G407-S009	f10r	HERBAL	qotor	OT+OR	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0301	5	GDT569-S02	DANACH	YES	Danach im laufenden Gang: stelle die Arbeitseinheit ein.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
32	G407-E0324	G407-S011	f11r	HERBAL	qoty	OT+Y	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0322	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: gib den Pflanzenposten zu.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
33	G407-E0325	G407-S011	f11r	HERBAL	chol	OL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0322	3	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: gib denselben Pflanzenposten zu.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
34	G407-E0334	G407-S011	f11r	HERBAL	dchol	D_ADDR+OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0331	3	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Arbeitswert; an der bezeichneten Stelle.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
35	G407-E0354	G407-S011	f11r	HERBAL	otol	OT+OL	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0352	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: wähle denselben Pflanzenposten; weiterführen.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
36	G407-E0362	G407-S011	f11r	HERBAL	qotchy	OT+Y	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0360	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: wähle den Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
37	G407-E0375	G407-S012	f13r	HERBAL	dchol	D_ADDR+OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0374	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Pflanzenposten; an der bezeichneten Stelle.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
38	G407-E0376	G407-S012	f13r	HERBAL	chol	OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0374	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
39	G407-E0377	G407-S012	f13r	HERBAL	dol	D_ADDR+OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0374	3	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Pflanzenposten; an der bezeichneten Stelle.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
40	G407-E0382	G407-S012	f13r	HERBAL	qoty	OT+Y	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0381	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: gib den Pflanzenposten zu.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
41	G407-E0419	G407-S013	f13r	HERBAL	chol	OL	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0418	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: setze denselben Pflanzenposten im Arbeitsgang an.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
42	G407-E0423	G407-S013	f13r	HERBAL	oldy	OL+DY	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0418	5	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: setze denselben Pflanzenposten im Arbeitsgang an; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
43	G407-E0433	G407-S014	f13r	HERBAL	oldy	OL+DY	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0431	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: setze denselben Arbeitswert im Arbeitsgang an; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
44	G407-E0435	G407-S015	f13r	HERBAL	chol	OL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0434	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: halte denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
45	G407-E0439	G407-S015	f13r	HERBAL	daldy	AL+DY	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0438	1	GDT569-S03	BARE	YES	Im laufenden Gang: Nimm denselben Pflanzenposten; zur Zielstelle; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
46	G407-E0451	G407-S019	f17r	HERBAL	dody	D_ADDR+O+DY	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0450	1	GDT569-S03	BARE	YES	Im laufenden Gang: Nimm denselben Pflanzenposten; an der bezeichneten Stelle; zur Ausführung; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
47	G407-E0462	G407-S021	f17r	HERBAL	chol	OL	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0461	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: wähle denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
48	G407-E0473	G407-S021	f17r	HERBAL	olaiin	OL+AIIN	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0471	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: setze den Arbeitswert im Arbeitsgang an.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
49	G407-E0486	G407-S022	f17r	HERBAL	qody	CARRIER_Q+O+DY	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0485	1	GDT569-S03	BARE	YES	Im laufenden Gang: Stelle denselben Pflanzenposten ein; am Beginn; zur Ausführung; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
50	G407-E0512	G407-S024	f17r	HERBAL	mol	M_LOCAL+OL	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0510	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: wähle denselben Pflanzenposten; an der bezeichneten Stelle.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
51	G407-E0516	G407-S024	f17r	HERBAL	chol	OL	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0515	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: setze denselben Arbeitswert im Arbeitsgang an.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
52	G407-E0536	G407-S026	f18r	HERBAL	chol	OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0533	3	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
53	G407-E0555	G407-S027	f18r	HERBAL	chlol	L+OL	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0554	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: stelle denselben Arbeitswert ein; über die Verbindung im Pflanzenartikel.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
54	G407-E0569	G407-S027	f18r	HERBAL	doldy	OL+DY	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0568	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: halte denselben Pflanzenposten; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
55	G407-E0570	G407-S028	f18r	HERBAL	doldaiin	OL+AIIN	SH	HALTEN	OWNER_CONTEXT_DEFAULT_ACTION	OWNER_DEFAULT	NOT_APPLICABLE	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: halte den Arbeitswert.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
56	G407-E0573	G407-S028	f18r	HERBAL	olody	OL+O+DY	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0572	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: gib dieselbe Arbeitseinheit zu; zur Ausführung; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
57	G407-E0577	G407-S029	f18r	HERBAL	chol	OL	R	MARKIEREN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0576	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: markiere denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
58	G407-E0584	G407-S029	f18r	HERBAL	ol	OL	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0583	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: setze dieselbe Arbeitseinheit im Arbeitsgang an.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
59	G407-E0621	G407-S031	f24v	HERBAL	otol	OT+OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0620	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: nimm dieselbe Arbeitseinheit; weiterführen.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
60	G407-E0648	G407-S032	f24v	HERBAL	olom	OL+O+AM_ADDR	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0645	3	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Materialanteil; zur Ausführung; an der bezeichneten Stelle.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
61	G407-E0653	G407-S032	f24v	HERBAL	ychol	Y+OL	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0652	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: wähle den Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
62	G407-E0654	G407-S032	f24v	HERBAL	chol	OL	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0652	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: wähle denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
63	G407-E0675	G407-S032	f24v	HERBAL	chol	OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0674	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
64	G407-E0679	G407-S032	f24v	HERBAL	otolodal	OT+OL+O+D_ADDR+AL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0677	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: halte dieselbe Arbeitseinheit; zur Ausführung; an der bezeichneten Stelle; zur Zielstelle; weiterführen.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
65	G407-E0694	G407-S033	f55v	HERBAL	otoldaiin	OT+OL+D_ADDR+AIIN	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0693	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: gib den Arbeitswert zu; an der bezeichneten Stelle; weiterführen.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
66	G407-E0695	G407-S033	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0693	2	GDT569-S03	BARE	YES	Im laufenden Gang: Gib denselben Arbeitswert zu; an der bezeichneten Stelle; zur Ausführung; an der bezeichneten Stelle; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
67	G407-E0705	G407-S034	f55v	HERBAL	qool	CARRIER_Q+O+OL	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0702	3	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: setze denselben Materialanteil im Arbeitsgang an; am Beginn; zur Ausführung.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
68	G407-E0710	G407-S034	f55v	HERBAL	ol	OL	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0708	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: wähle denselben Arbeitswert.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
69	G407-E0720	G407-S034	f55v	HERBAL	ody	O+DY	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0719	1	GDT569-S03	BARE	YES	Im laufenden Gang: Setze denselben Materialanteil im Arbeitsgang an; zur Ausführung; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
70	G407-E0725	G407-S035	f55v	HERBAL	ody	O+DY	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0724	1	GDT569-S03	BARE	YES	Im laufenden Gang: Gib denselben Pflanzenposten zu; zur Ausführung; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
71	G407-E0749	G407-S036	f55v	HERBAL	qol	OL	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0748	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: setze denselben Arbeitswert im Arbeitsgang an.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
72	G407-E0750	G407-S036	f55v	HERBAL	otar	OT+AR	OK	SETZEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0748	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: setze denselben Arbeitswert im Arbeitsgang an; vom Ausgangsmaterial.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
73	G407-E0767	G407-S036	f55v	HERBAL	ol	OL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0765	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: gib denselben Arbeitswert zu.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
74	G407-E0773	G407-S036	f55v	HERBAL	otar	OT+AR	T	EINSTELLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0772	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: stelle denselben Arbeitswert ein; vom Ausgangsmaterial.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
75	G407-E0777	G407-S036	f55v	HERBAL	ol	OL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0776	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: gib denselben Pflanzenposten zu.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
76	G407-E0781	G407-S036	f55v	HERBAL	oldy	OL+DY	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0780	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: gib denselben Pflanzenposten zu; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
77	G407-E0796	G407-S037	f55v	HERBAL	otam	OT+AM_ADDR	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0792	4	GDT569-S02	DANACH	YES	Danach im laufenden Gang: wähle denselben Arbeitswert; an der bezeichneten Stelle.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
78	G407-E0801	G407-S038	f56r	HERBAL	oty	OT+Y	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0799	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: wähle den Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
79	G407-E0808	G407-S039	f56r	HERBAL	chol	OL	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0807	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm denselben Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
80	G407-E0809	G407-S039	f56r	HERBAL	choly	OL+Y	CH	NEHMEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0807	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: nimm den Pflanzenposten.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
