argument_carry_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	inherited_argument_root	explicit_argument_phrase_de	carried_argument_phrase_de	carried_argument_realization_count	control_prior_marker_count	context_voice_working_clause_de	guard
11	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	AIN	den Teilwert	denselben Teilwert	1	1	Weiter im laufenden Gang: halte denselben Teilwert fest.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
12	G407-E0113	G407-S005	f1r	SOURCE_SECTION_T	kol	K+OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Weiter: ordne denselben laufenden Eintrag zu.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
13	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Weiter im laufenden Gang: ordne denselben laufenden Eintrag zu.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
14	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Weiter im laufenden Gang: ordne denselben laufenden Eintrag zu.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
15	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OR	die Eintragseinheit	dieselbe Eintragseinheit	1	1	Weiter im laufenden Gang: halte dieselbe Eintragseinheit fest.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
16	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	pshol	P+SH+OL	AIN	den Teilwert	denselben Teilwert	2	2	Weiter: setze denselben Teilwert ein und halte denselben Teilwert fest.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
17	G407-E0137	G407-S005	f1r	SOURCE_SECTION_T	shol	SH+OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Weiter: halte denselben laufenden Eintrag fest.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
18	G407-E0150	G407-S005	f1r	SOURCE_SECTION_T	tol	T+OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Weiter: lege denselben laufenden Eintrag fest.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
19	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	cthols	CH+T+OL+S	Y	den laufenden Eintrag	denselben laufenden Eintrag	3	3	Weiter: entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest und wähle denselben laufenden Eintrag.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
20	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	otol	OT+OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Danach im laufenden Gang: ordne denselben laufenden Eintrag zu; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
21	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Weiter im laufenden Gang: entnimm denselben laufenden Eintrag.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
22	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Weiter im laufenden Gang: kennzeichne denselben laufenden Eintrag.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
23	G407-E0184	G407-S006	f1r	SOURCE_SECTION_T	okol	OK+OL	AIIN	den Kennwert	denselben Kennwert	1	1	Weiter: trage denselben Kennwert ein.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
24	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	cthol	CH+T+OL	AIIN	den Kennwert	denselben Kennwert	2	2	Weiter: entnimm denselben Kennwert und lege denselben Kennwert fest.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
25	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	ctholdar	CH+T+OL+D_ADDR+AR	AIIN	den Kennwert	denselben Kennwert	2	2	Weiter: entnimm denselben Kennwert und lege denselben Kennwert fest; an der bezeichneten Stelle; von der Ausgangszeile.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
26	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	ochol	O+OL	AIIN	den Kennwert	denselben Kennwert	1	1	Weiter im laufenden Gang: trage denselben Kennwert ein; zur Ausführung.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
27	G407-E0200	G407-S006	f1r	SOURCE_SECTION_T	shody	SH+O+DY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Halte denselben laufenden Eintrag fest; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
28	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	chol	OL	OR	die Eintragseinheit	dieselbe Eintragseinheit	1	1	Weiter im laufenden Gang: lege dieselbe Eintragseinheit fest.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
29	G407-E0219	G407-S008	f10r	HERBAL	pchodol	P+CH+O+D_ADDR+OL	Y	den Pflanzenposten	denselben Pflanzenposten	2	2	Weiter: setze denselben Pflanzenposten ein und nimm denselben Pflanzenposten; zur Ausführung; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
30	G407-E0239	G407-S008	f10r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: stelle denselben Pflanzenposten ein.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
31	G407-E0253	G407-S008	f10r	HERBAL	ody	O+DY	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Im laufenden Gang: Markiere dieselbe Arbeitseinheit; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
32	G407-E0255	G407-S009	f10r	HERBAL	qotchol	OT+CH+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Danach: nimm denselben Pflanzenposten; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
33	G407-E0256	G407-S009	f10r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: nimm denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
34	G407-E0268	G407-S009	f10r	HERBAL	qokchol	OK+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: setze denselben Pflanzenposten im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
35	G407-E0279	G407-S009	f10r	HERBAL	otol	OT+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Danach im laufenden Gang: nimm dieselbe Arbeitseinheit; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
36	G407-E0280	G407-S009	f10r	HERBAL	chol	OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Weiter im laufenden Gang: nimm dieselbe Arbeitseinheit.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
37	G407-E0282	G407-S009	f10r	HERBAL	chol	OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Weiter im laufenden Gang: nimm dieselbe Arbeitseinheit.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
38	G407-E0302	G407-S009	f10r	HERBAL	otar	OT+AR	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Danach im laufenden Gang: stelle denselben Pflanzenposten ein; vom Ausgangsmaterial.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
39	G407-E0313	G407-S010	f11r	HERBAL	tchody	T+CH+O+DY	Y	den Pflanzenposten	denselben Pflanzenposten	2	2	Stelle denselben Pflanzenposten ein und nimm denselben Pflanzenposten; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
40	G407-E0322	G407-S011	f11r	HERBAL	kchol	K+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: gib denselben Pflanzenposten zu.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
41	G407-E0325	G407-S011	f11r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: gib denselben Pflanzenposten zu.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
42	G407-E0334	G407-S011	f11r	HERBAL	dchol	D_ADDR+OL	AIIN	den Arbeitswert	denselben Arbeitswert	1	1	Weiter im laufenden Gang: nimm denselben Arbeitswert; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
43	G407-E0339	G407-S011	f11r	HERBAL	tchol	T+OL	AIIN	den Arbeitswert	denselben Arbeitswert	1	1	Weiter: stelle denselben Arbeitswert ein.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
44	G407-E0354	G407-S011	f11r	HERBAL	otol	OT+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Danach im laufenden Gang: wähle denselben Pflanzenposten; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
45	G407-E0363	G407-S011	f11r	HERBAL	okchol	OK+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: setze denselben Pflanzenposten im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
46	G407-E0368	G407-S012	f13r	HERBAL	shol	SH+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: halte denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
47	G407-E0371	G407-S012	f13r	HERBAL	shol	SH+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: halte denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
48	G407-E0375	G407-S012	f13r	HERBAL	dchol	D_ADDR+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: nimm denselben Pflanzenposten; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
49	G407-E0376	G407-S012	f13r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: nimm denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
50	G407-E0377	G407-S012	f13r	HERBAL	dol	D_ADDR+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: nimm denselben Pflanzenposten; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
51	G407-E0403	G407-S012	f13r	HERBAL	kchol	K+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: gib denselben Pflanzenposten zu.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
52	G407-E0406	G407-S012	f13r	HERBAL	otchol	OT+CH+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Danach: nimm denselben Pflanzenposten; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
53	G407-E0407	G407-S012	f13r	HERBAL	cfholdy	CH+LOCAL_CHAR_F+OL+DY	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: nimm denselben Pflanzenposten; an der bezeichneten Stelle; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
54	G407-E0411	G407-S013	f13r	HERBAL	qotchol	OT+CH+OL	AIIN	den Arbeitswert	denselben Arbeitswert	1	1	Danach: nimm denselben Arbeitswert; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
55	G407-E0419	G407-S013	f13r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: setze denselben Pflanzenposten im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
56	G407-E0423	G407-S013	f13r	HERBAL	oldy	OL+DY	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: setze denselben Pflanzenposten im Arbeitsgang an; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
57	G407-E0433	G407-S014	f13r	HERBAL	oldy	OL+DY	AIIN	den Arbeitswert	denselben Arbeitswert	1	1	Weiter im laufenden Gang: setze denselben Arbeitswert im Arbeitsgang an; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
58	G407-E0435	G407-S015	f13r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: halte denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
59	G407-E0439	G407-S015	f13r	HERBAL	daldy	AL+DY	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Im laufenden Gang: Nimm denselben Pflanzenposten; zur Zielstelle; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
60	G407-E0451	G407-S019	f17r	HERBAL	dody	D_ADDR+O+DY	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Im laufenden Gang: Nimm denselben Pflanzenposten; an der bezeichneten Stelle; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
61	G407-E0457	G407-S020	f17r	HERBAL	ckhody	CH+K+O+DY	Y	den Pflanzenposten	denselben Pflanzenposten	2	2	Nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
62	G407-E0459	G407-S021	f17r	HERBAL	otchol	OT+CH+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Danach: nimm dieselbe Arbeitseinheit; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
63	G407-E0462	G407-S021	f17r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: wähle denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
64	G407-E0470	G407-S021	f17r	HERBAL	shol	SH+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Weiter: halte dieselbe Arbeitseinheit.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
65	G407-E0471	G407-S021	f17r	HERBAL	qokol	OK+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Weiter: setze dieselbe Arbeitseinheit im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
66	G407-E0483	G407-S021	f17r	HERBAL	cphaldy	CH+P+AL+DY	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	2	2	Nimm dieselbe Arbeitseinheit und setze dieselbe Arbeitseinheit ein; zur Zielstelle; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
67	G407-E0486	G407-S022	f17r	HERBAL	qody	CARRIER_Q+O+DY	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Im laufenden Gang: Stelle denselben Pflanzenposten ein; am Beginn; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
68	G407-E0512	G407-S024	f17r	HERBAL	mol	M_LOCAL+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: wähle denselben Pflanzenposten; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
69	G407-E0513	G407-S024	f17r	HERBAL	otchol	OT+CH+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Danach: nimm denselben Pflanzenposten; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
70	G407-E0516	G407-S024	f17r	HERBAL	chol	OL	AIIN	den Arbeitswert	denselben Arbeitswert	1	1	Weiter im laufenden Gang: setze denselben Arbeitswert im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
71	G407-E0520	G407-S024	f17r	HERBAL	chotom	CH+OT+O+M_LOCAL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Danach: nimm denselben Pflanzenposten; zur Ausführung; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
72	G407-E0530	G407-S026	f18r	HERBAL	otshol	OT+SH+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Danach: halte dieselbe Arbeitseinheit; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
73	G407-E0531	G407-S026	f18r	HERBAL	qokchol	OK+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Weiter: setze dieselbe Arbeitseinheit im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
74	G407-E0536	G407-S026	f18r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: nimm denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
75	G407-E0543	G407-S026	f18r	HERBAL	qokchol	OK+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: setze denselben Pflanzenposten im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
76	G407-E0554	G407-S027	f18r	HERBAL	cthol	CH+T+OL	AIIN	den Arbeitswert	denselben Arbeitswert	2	2	Weiter: nimm denselben Arbeitswert und stelle denselben Arbeitswert ein.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
77	G407-E0555	G407-S027	f18r	HERBAL	chlol	L+OL	AIIN	den Arbeitswert	denselben Arbeitswert	1	1	Weiter im laufenden Gang: stelle denselben Arbeitswert ein; über die Verbindung im Pflanzenartikel.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
78	G407-E0569	G407-S027	f18r	HERBAL	doldy	OL+DY	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: halte denselben Pflanzenposten; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
79	G407-E0572	G407-S028	f18r	HERBAL	ckhol	CH+K+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	2	2	Weiter: nimm dieselbe Arbeitseinheit und gib dieselbe Arbeitseinheit zu.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
80	G407-E0573	G407-S028	f18r	HERBAL	olody	OL+O+DY	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Weiter im laufenden Gang: gib dieselbe Arbeitseinheit zu; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
81	G407-E0577	G407-S029	f18r	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: markiere denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
82	G407-E0583	G407-S029	f18r	HERBAL	qokchol	OK+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Weiter: setze dieselbe Arbeitseinheit im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
83	G407-E0584	G407-S029	f18r	HERBAL	ol	OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Weiter im laufenden Gang: setze dieselbe Arbeitseinheit im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
84	G407-E0588	G407-S029	f18r	HERBAL	chckhol	CH+K+OL	Y	den Pflanzenposten	denselben Pflanzenposten	2	2	Weiter: nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
85	G407-E0592	G407-S029	f18r	HERBAL	cthol	CH+T+OL	Y	den Pflanzenposten	denselben Pflanzenposten	2	2	Weiter: nimm denselben Pflanzenposten und stelle denselben Pflanzenposten ein.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
86	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	Y	den Pflanzenposten	denselben Pflanzenposten	2	2	Setze denselben Pflanzenposten ein und halte denselben Pflanzenposten; zur Ausführung; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
87	G407-E0621	G407-S031	f24v	HERBAL	otol	OT+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Danach im laufenden Gang: nimm dieselbe Arbeitseinheit; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
88	G407-E0622	G407-S031	f24v	HERBAL	otaiir	OT+IIN+R	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	1	1	Danach: markiere dieselbe Arbeitseinheit; auf der Stufe.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
89	G407-E0623	G407-S031	f24v	HERBAL	otchos	OT+CH+O+S	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	2	2	Danach: nimm dieselbe Arbeitseinheit und wähle dieselbe Arbeitseinheit; zur Ausführung.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
90	G407-E0633	G407-S031	f24v	HERBAL	okol	OK+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: setze denselben Pflanzenposten im Arbeitsgang an.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
91	G407-E0641	G407-S032	f24v	HERBAL	tochol	T+O+CH+OL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	2	2	Weiter: stelle dieselbe Arbeitseinheit ein und nimm dieselbe Arbeitseinheit; zur Ausführung.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
92	G407-E0648	G407-S032	f24v	HERBAL	olom	OL+O+AM_ADDR	AIN	den Materialanteil	denselben Materialanteil	1	1	Weiter im laufenden Gang: nimm denselben Materialanteil; zur Ausführung; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
93	G407-E0651	G407-S032	f24v	HERBAL	shol	SH+OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter: halte denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
94	G407-E0654	G407-S032	f24v	HERBAL	chol	OL	Y	den Pflanzenposten	denselben Pflanzenposten	1	1	Weiter im laufenden Gang: wähle denselben Pflanzenposten.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
