surface	card_class	preferred_working_default_de	rival_1_de	rival_2_de	rival_3_de	preferred_mechanism	mechanism_rival_1	mechanism_rival_2	mechanism_rival_3	confidence_0_100_not_probability	confidence_label	confidence_basis	display_scope	lineage_sources	lineage_decision	positive_evidence_de	counterevidence_de	raw_occurrences	raw_page_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	fused_and_separated_boundary_family	profile_role_rival	profile_role_selector_usable	replaceable	gdt789_new_renderer_license	portable_ar_component_used	prior_gdt734_reading_id	prior_gdt734_default_de	prior_gdt734_score_not_probability	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	historical_word_credit	phonetic_or_eva_letter_credit	component_export_credit
atar	RAW_ONLY_FALLBACK	unbestimmtes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	10	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	GDT789	RAW_READER_WARNING_ONLY	Rohe vollständige Oberfläche mit 1 Vorkommen; keine reader-exakte Kartenlizenz.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	0	0	0	0	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
cfhar	EXACT_SINGLETON_FALLBACK	benanntes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	20	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	EXACT_SINGLETON_COMPLETE_WHOLE_PRIOR	Vollständige Oberfläche: 1 roh, 1 reader-exakt auf 1 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	1	1	1	1	0	NA	0	1	0	0	cfhar#GLOBAL	Blütenfraktion I	4	0	0	0	0	0	0	0
chalkar	RECURRENT_WHOLE_FALLBACK	wiederkehrendes Verhältnisfeld	Anteilsposten	Teilmenge	Wert-/Klassenfeld	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	27	C0_RECURRENT_FAMILY_PRIOR	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	RECURRENT_COMPLETE_WHOLE_FAMILY_PRIOR	Vollständige Oberfläche: 2 roh, 2 reader-exakt auf 2 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	2	2	1	2	2	2	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
chaltar	EXACT_SINGLETON_FALLBACK	benanntes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	20	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	EXACT_SINGLETON_COMPLETE_WHOLE_PRIOR	Vollständige Oberfläche: 1 roh, 1 reader-exakt auf 1 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	1	1	1	1	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
char	EXPLICIT_COMPLETE_WHOLE	trockener Anteil	trockene Teilmenge	Trockenklasse	gelernter technischer Name	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	48	C0_RECURRENT_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT694|GDT716|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT	Vollständige Oberfläche: 75 roh, 55 reader-exakt auf 29 Folios. Nicht freigegebene Profilrivale VALUE mit Marge 0.081.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	75	51	1	55	40	29	0	VALUE	0	1	0	0	char#1	trockener Anteil I	38	0	0	0	0	0	0	0
chcphar	EXACT_SINGLETON_FALLBACK	benanntes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	20	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	EXACT_SINGLETON_COMPLETE_WHOLE_PRIOR	Vollständige Oberfläche: 1 roh, 1 reader-exakt auf 1 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	1	1	1	1	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
chcthar	EXACT_SINGLETON_FALLBACK	benanntes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	20	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	EXACT_SINGLETON_COMPLETE_WHOLE_PRIOR	Vollständige Oberfläche: 1 roh, 1 reader-exakt auf 1 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	1	1	1	1	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
cheamar	EXACT_SINGLETON_FALLBACK	benanntes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	20	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	EXACT_SINGLETON_COMPLETE_WHOLE_PRIOR	Vollständige Oberfläche: 1 roh, 1 reader-exakt auf 1 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	1	1	1	1	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
chear	EXPLICIT_COMPLETE_WHOLE	trockener Anteil, mittlere Stufe	getrocknete Teilmenge	Trockenklasse, mittlere Stufe	gelernter technischer Name	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	44	C0_RECURRENT_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT694|GDT724|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT	Vollständige Oberfläche: 44 roh, 38 reader-exakt auf 21 Folios. Nicht freigegebene Profilrivale AMOUNT mit Marge 0.021.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	44	27	1	38	23	21	0	AMOUNT	0	1	0	0	chear#1	trockener Anteil I	30	0	0	0	0	0	0	0
checholtar	RAW_ONLY_FALLBACK	unbestimmtes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	10	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	GDT789	RAW_READER_WARNING_ONLY	Rohe vollständige Oberfläche mit 1 Vorkommen; keine reader-exakte Kartenlizenz.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	0	0	0	0	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
chedykar	EXACT_SINGLETON_FALLBACK	benanntes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	20	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	EXACT_SINGLETON_COMPLETE_WHOLE_PRIOR	Vollständige Oberfläche: 1 roh, 1 reader-exakt auf 1 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	1	1	1	1	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
cheear	EXACT_SINGLETON_FALLBACK	benanntes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	20	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	EXACT_SINGLETON_COMPLETE_WHOLE_PRIOR	Vollständige Oberfläche: 1 roh, 1 reader-exakt auf 1 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	1	1	1	1	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
cheekar	RAW_ONLY_FALLBACK	unbestimmtes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	10	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	GDT789	RAW_READER_WARNING_ONLY	Rohe vollständige Oberfläche mit 1 Vorkommen; keine reader-exakte Kartenlizenz.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	0	0	0	0	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
cheetar	EXACT_SINGLETON_FALLBACK	benanntes Verhältnisfeld	Anteilsposten	Teilmenge	gelernter technischer Ganzname	OBSERVED_COMPLETE_WHOLE_NO_PORTABLE_AR_EXPORT	PORTABLE_AR_SHARE_REMAINDER	AR_OR_SHELL_CONTRAST	OPAQUE_LEARNED_WHOLE	20	C0_EXACT_SINGLETON_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	GDT789	EXACT_SINGLETON_COMPLETE_WHOLE_PRIOR	Vollständige Oberfläche: 1 roh, 1 reader-exakt auf 1 Folios. Kein robustes AR/OR-Profilpaar.	Der AR-Rest schlägt Xor und gelernte Ganzwörter nur 7/31 in der Stützkohorte und 8/31 in der historischen Ausschlusssicht; beide R/N-Stufen liefern null Volltreffer. Der Rollenklassifikator verwechselt Mengen- und Wertköpfe. Die Anzeige ist daher eine ersetzbare Ganzworthypothese, keine ar-Komponente.	1	1	1	1	1	1	0	NA	0	1	0	0	NONE	NONE	NONE	0	0	0	0	0	0	0
