surface	profile_role	reader_exact_occurrences	physical_folios	register_json	line_position_json	line_third_json	paragraph_boundary_json	left_status_json	right_status_json	left_positive_axes_json	right_positive_axes_json	close_proximity_json	right_value_binding_json	semantic_sources_masked	component_export_credit
chor	AR_OR_LATTICE	176	60	"{""H|A|1"":0.6333333333333333,""H|B|2"":0.049999999999999996,""H|B|3"":0.016666666666666666,""H|B|5"":0.016666666666666666,""P|A|1"":0.08333333333333333,""S|A|3"":0.016666666666666666,""S|B|3"":0.13333333333333336,""S|B|@"":0.016666666666666666,""T|B|2"":0.03333333333333333}"	"{""FIRST"":0.053121693121693125,""LAST"":0.025,""MIDDLE"":0.9218783068783069}"	"{""F"":0.4435582010582012,""L"":0.20800264550264552,""M"":0.34843915343915327}"	"{""0|0"":0.9847222222222223,""0|1"":0.015277777777777779}"	"{""EDGE"":0.05312169312169311,""EXACT"":0.7571693121693122,""NONEXACT"":0.18970899470899463}"	"{""EDGE"":0.02499999999999999,""EXACT"":0.8012962962962964,""NONEXACT"":0.17370370370370358}"	"{""AMOUNT"":0.014147130153597413,""BEGIN_STAGE"":0.016976556184316895,""CLOSE"":0.02546483427647534,""COLD"":0.014147130153597413,""DRY"":0.07926434923201292,""END_STAGE"":0.04715710051199137,""HOT"":0.20071240905416327,""MATERIAL"":0.13418552950687146,""MIDDLE_STAGE"":0.07388338722716248,""MOIST"":0.03572150363783346,""PREPARATION"":0.15917205604958234,""PROCESS"":0.08944523039611964,""VALUE"":0.10972278361627594}"	"{""AMOUNT"":0.015310233682514102,""BEGIN_STAGE"":0.024174053182917005,""CLOSE"":0.024174053182917005,""COLD"":0.07856567284448027,""DRY"":0.11216760676873491,""END_STAGE"":0.041633091592801506,""HOT"":0.02514101531023368,""MATERIAL"":0.2546333601933924,""MIDDLE_STAGE"":0.009024979854955682,""MOIST"":0.072522159548751,""PREPARATION"":0.27410690303518664,""PROCESS"":0.04206285253827559,""VALUE"":0.026484018264840186}"	"{""L1"":0.23809523809523808,""L3"":0.23809523809523808,""R1"":0.11904761904761904,""R2"":0.2857142857142857,""R3"":0.11904761904761904}"	"{""III"":0.03611111111111112,""NONE"":0.9638888888888889}"	1	0
chotar	AR_OR_LATTICE	9	7	"{""H|A|1"":0.2857142857142857,""S|A|3"":0.14285714285714285,""S|B|3"":0.42857142857142855,""S|B|@"":0.14285714285714285}"	"{""MIDDLE"":1.0}"	"{""F"":0.28571428571428575,""L"":0.28571428571428575,""M"":0.42857142857142855}"	"{""0|0"":1.0}"	"{""EXACT"":0.8571428571428572,""NONEXACT"":0.14285714285714288}"	"{""EXACT"":0.9285714285714286,""NONEXACT"":0.07142857142857144}"	{}	"{""END_STAGE"":0.5,""PREPARATION"":0.5}"	{}	"{""NONE"":1.0}"	1	0
chotor	AR_OR_LATTICE	4	3	"{""H|A|1"":0.6666666666666666,""P|A|1"":0.3333333333333333}"	"{""LAST"":0.16666666666666669,""MIDDLE"":0.8333333333333334}"	"{""L"":0.6666666666666666,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EDGE"":0.16666666666666666,""EXACT"":0.3333333333333333,""NONEXACT"":0.5}"	"{""BEGIN_STAGE"":0.25,""DRY"":0.25,""HOT"":0.25,""PREPARATION"":0.25}"	{}	"{""R2"":1.0}"	"{""NONE"":1.0}"	1	0
ckhar	AR_OR_LATTICE	2	2	"{""S|A|3"":0.5,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""F"":0.5,""L"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
ckhor	AR_OR_LATTICE	6	6	"{""H|A|1"":0.8333333333333334,""P|A|1"":0.16666666666666669}"	"{""LAST"":0.16666666666666669,""MIDDLE"":0.8333333333333334}"	"{""F"":0.3333333333333333,""L"":0.3333333333333333,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EDGE"":0.16666666666666669,""EXACT"":0.8333333333333334}"	"{""DRY"":0.5,""MATERIAL"":0.5}"	"{""DRY"":0.25,""HOT"":0.25,""MIDDLE_STAGE"":0.25,""VALUE"":0.25}"	{}	"{""NONE"":1.0}"	1	0
cphar	AR_OR_LATTICE	3	3	"{""B|B|2"":0.3333333333333333,""H|A|1"":0.6666666666666666}"	"{""MIDDLE"":1.0}"	"{""L"":1.0}"	"{""0|0"":1.0}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""EXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
cphor	AR_OR_LATTICE	5	5	"{""H|A|1"":0.8,""S|B|3"":0.2}"	"{""MIDDLE"":1.0}"	"{""F"":0.4,""L"":0.2,""M"":0.4}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":0.8,""NONEXACT"":0.2}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
cthar	AR_OR_LATTICE	13	12	"{""H|A|1"":0.75,""H|B|5"":0.08333333333333333,""S|B|3"":0.08333333333333333,""T|B|2"":0.08333333333333333}"	"{""LAST"":0.16666666666666666,""MIDDLE"":0.8333333333333334}"	"{""F"":0.16666666666666669,""L"":0.4583333333333333,""M"":0.375}"	"{""0|0"":1.0}"	"{""EXACT"":0.8333333333333334,""NONEXACT"":0.16666666666666666}"	"{""EDGE"":0.16666666666666666,""EXACT"":0.6666666666666666,""NONEXACT"":0.16666666666666666}"	"{""BEGIN_STAGE"":0.11111111111111112,""COLD"":0.19444444444444445,""DRY"":0.08333333333333334,""END_STAGE"":0.11111111111111112,""HOT"":0.11111111111111112,""MATERIAL"":0.08333333333333334,""PREPARATION"":0.08333333333333334,""VALUE"":0.22222222222222224}"	"{""PREPARATION"":1.0}"	{}	"{""NONE"":1.0}"	1	0
cthor	AR_OR_LATTICE	39	24	"{""B|B|2"":0.08333333333333337,""H|A|1"":0.8749999999999999,""P|A|1"":0.041666666666666685}"	"{""FIRST"":0.06250000000000001,""LAST"":0.02430555555555556,""MIDDLE"":0.9131944444444444}"	"{""F"":0.36111111111111116,""L"":0.40277777777777785,""M"":0.2361111111111111}"	"{""0|0"":0.9756944444444444,""0|1"":0.024305555555555563}"	"{""EDGE"":0.06250000000000001,""EXACT"":0.8194444444444444,""NONEXACT"":0.11805555555555558}"	"{""EDGE"":0.02430555555555556,""EXACT"":0.8645833333333334,""NONEXACT"":0.11111111111111113}"	"{""DRY"":0.09090909090909091,""END_STAGE"":0.045454545454545456,""HOT"":0.09090909090909091,""MATERIAL"":0.36363636363636365,""MIDDLE_STAGE"":0.09090909090909091,""MOIST"":0.09090909090909091,""PREPARATION"":0.09090909090909091,""VALUE"":0.13636363636363638}"	"{""AMOUNT"":0.02631578947368421,""BEGIN_STAGE"":0.08421052631578946,""CLOSE"":0.031578947368421054,""COLD"":0.29473684210526313,""DRY"":0.02631578947368421,""END_STAGE"":0.031578947368421054,""MATERIAL"":0.15789473684210525,""MIDDLE_STAGE"":0.02631578947368421,""PREPARATION"":0.2421052631578947,""VALUE"":0.07894736842105263}"	"{""R1"":0.46153846153846156,""R3"":0.5384615384615384}"	"{""III"":0.013888888888888895,""NONE"":0.9861111111111112}"	1	0
darar	AR_OR_LATTICE	2	2	"{""P|A|1"":0.5,""S|A|3"":0.5}"	"{""FIRST"":0.5,""SINGLE"":0.5}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EDGE"":1.0}"	"{""EDGE"":0.5,""EXACT"":0.5}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
daror	AR_OR_LATTICE	2	2	"{""B|B|2"":0.5,""H|A|1"":0.5}"	"{""LAST"":0.5,""MIDDLE"":0.5}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EDGE"":0.5,""EXACT"":0.5}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
kar	AR_OR_LATTICE	42	26	"{""B|B|2"":0.11538461538461539,""H|A|1"":0.07692307692307693,""H|B|2"":0.23076923076923084,""H|B|3"":0.07692307692307693,""S|A|3"":0.038461538461538464,""S|B|3"":0.3846153846153846,""T|B|2"":0.07692307692307693}"	"{""FIRST"":0.038461538461538464,""LAST"":0.07051282051282051,""MIDDLE"":0.8910256410256411}"	"{""F"":0.27472527472527475,""L"":0.5302197802197802,""M"":0.19505494505494506}"	"{""0|0"":1.0}"	"{""EDGE"":0.03846153846153846,""EXACT"":0.7573260073260073,""NONEXACT"":0.20421245421245415}"	"{""EDGE"":0.07051282051282053,""EXACT"":0.7188644688644689,""NONEXACT"":0.21062271062271062}"	"{""BEGIN_STAGE"":0.11965811965811966,""DRY"":0.25213675213675213,""END_STAGE"":0.05982905982905983,""HOT"":0.13247863247863248,""MATERIAL"":0.01282051282051282,""MOIST"":0.05128205128205128,""PROCESS"":0.1923076923076923,""VALUE"":0.1794871794871795}"	"{""AMOUNT"":0.05622489959839357,""BEGIN_STAGE"":0.018072289156626505,""DRY"":0.018072289156626505,""END_STAGE"":0.06325301204819277,""HOT"":0.08132530120481928,""MATERIAL"":0.5622489959839357,""PART"":0.05622489959839357,""PROCESS"":0.06325301204819277,""VALUE"":0.08132530120481928}"	"{""L2"":0.75,""L3"":0.25}"	"{""III"":0.038461538461538464,""NONE"":0.9615384615384616}"	1	0
keear	AR_OR_LATTICE	3	2	"{""S|B|3"":0.5,""T|B|2"":0.5}"	"{""MIDDLE"":1.0}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	"{""MATERIAL"":0.5,""MOIST"":0.5}"	{}	{}	"{""NONE"":1.0}"	1	0
keeor	AR_OR_LATTICE	2	2	"{""H|A|1"":0.5,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	{}	"{""DRY"":0.3333333333333333,""END_STAGE"":0.3333333333333333,""MATERIAL"":0.3333333333333333}"	{}	"{""NONE"":1.0}"	1	0
kor	AR_OR_LATTICE	13	12	"{""H|A|1"":0.5,""H|B|2"":0.16666666666666669,""H|B|5"":0.08333333333333334,""P|A|1"":0.16666666666666669,""S|B|3"":0.08333333333333334}"	"{""FIRST"":0.16666666666666666,""MIDDLE"":0.8333333333333334}"	"{""F"":0.2916666666666667,""L"":0.16666666666666669,""M"":0.5416666666666667}"	"{""0|0"":1.0}"	"{""EDGE"":0.16666666666666666,""EXACT"":0.8333333333333334}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""DRY"":0.25,""MATERIAL"":0.25,""MIDDLE_STAGE"":0.25,""VALUE"":0.25}"	"{""DRY"":0.16666666666666666,""HOT"":0.16666666666666666,""MATERIAL"":0.4166666666666667,""MOIST"":0.25}"	{}	"{""III"":0.08333333333333333,""NONE"":0.9166666666666667}"	1	0
lar	AR_OR_LATTICE	5	5	"{""B|B|2"":0.2,""S|B|3"":0.6000000000000001,""S|B|@"":0.2}"	"{""LAST"":0.6000000000000001,""MIDDLE"":0.4}"	"{""L"":0.8,""M"":0.2}"	"{""0|0"":1.0}"	"{""EXACT"":0.8,""NONEXACT"":0.2}"	"{""EDGE"":0.6000000000000001,""EXACT"":0.2,""NONEXACT"":0.2}"	"{""DRY"":1.0}"	{}	{}	"{""NONE"":1.0}"	1	0
lchar	AR_OR_LATTICE	3	3	"{""H|A|1"":0.3333333333333333,""S|B|3"":0.3333333333333333,""T|B|2"":0.3333333333333333}"	"{""FIRST"":0.3333333333333333,""LAST"":0.3333333333333333,""MIDDLE"":0.3333333333333333}"	"{""F"":0.3333333333333333,""L"":0.6666666666666666}"	"{""0|0"":0.6666666666666666,""0|1"":0.3333333333333333}"	"{""EDGE"":0.3333333333333333,""EXACT"":0.6666666666666666}"	"{""EDGE"":0.3333333333333333,""EXACT"":0.6666666666666666}"	"{""DRY"":0.25,""MIDDLE_STAGE"":0.25,""PREPARATION"":0.25,""VALUE"":0.25}"	{}	"{""R2"":1.0}"	"{""NONE"":1.0}"	1	0
lchor	AR_OR_LATTICE	2	2	"{""B|B|2"":1.0}"	"{""FIRST"":0.5,""MIDDLE"":0.5}"	"{""F"":0.5,""L"":0.5}"	"{""0|0"":1.0}"	"{""EDGE"":0.5,""EXACT"":0.5}"	"{""NONEXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
lkar	AR_OR_LATTICE	29	13	"{""B|B|2"":0.15384615384615383,""C|B|2"":0.01923076923076923,""S|B|3"":0.6538461538461539,""S|B|@"":0.03846153846153846,""T|B|2"":0.1346153846153846}"	"{""LAST"":0.041025641025641046,""MIDDLE"":0.958974358974359}"	"{""F"":0.23076923076923078,""L"":0.42051282051282046,""M"":0.3487179487179487}"	"{""0|0"":1.0}"	"{""EXACT"":0.9205128205128205,""NONEXACT"":0.07948717948717951}"	"{""EDGE"":0.04102564102564103,""EXACT"":0.8756410256410256,""NONEXACT"":0.08333333333333334}"	"{""BEGIN_STAGE"":0.08823529411764706,""DRY"":0.1323529411764706,""END_STAGE"":0.11764705882352942,""HOT"":0.2892156862745098,""MIDDLE_STAGE"":0.08333333333333334,""PREPARATION"":0.08823529411764706,""VALUE"":0.20098039215686275}"	"{""CLOSE"":0.25,""END_STAGE"":0.25,""MATERIAL"":0.25,""PART"":0.25}"	"{""R1"":0.14285714285714285,""R3"":0.8571428571428571}"	"{""III"":0.05384615384615385,""NONE"":0.9461538461538461}"	1	0
lkor	AR_OR_LATTICE	3	3	"{""S|B|3"":0.3333333333333333,""T|B|2"":0.6666666666666666}"	"{""MIDDLE"":1.0}"	"{""F"":0.3333333333333333,""M"":0.6666666666666666}"	"{""0|0"":1.0}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""EXACT"":0.6666666666666666,""NONEXACT"":0.3333333333333333}"	"{""BEGIN_STAGE"":0.3333333333333333,""HOT"":0.3333333333333333,""VALUE"":0.3333333333333333}"	{}	{}	"{""NONE"":1.0}"	1	0
lor	AR_OR_LATTICE	30	17	"{""B|B|2"":0.23529411764705882,""H|A|1"":0.11764705882352941,""H|B|2"":0.058823529411764705,""S|B|3"":0.43529411764705883,""S|B|@"":0.03529411764705882,""T|B|2"":0.058823529411764705,""T|B|5"":0.058823529411764705}"	"{""FIRST"":0.13725490196078435,""LAST"":0.12745098039215688,""MIDDLE"":0.7352941176470587}"	"{""F"":0.3235294117647059,""L"":0.49411764705882355,""M"":0.1823529411764706}"	"{""0|0"":1.0}"	"{""EDGE"":0.13725490196078435,""EXACT"":0.6941176470588235,""NONEXACT"":0.1686274509803922}"	"{""EDGE"":0.12745098039215685,""EXACT"":0.8313725490196079,""NONEXACT"":0.041176470588235294}"	"{""DRY"":0.16216216216216214,""END_STAGE"":0.10135135135135134,""HOT"":0.10135135135135134,""PASS"":0.13513513513513511,""PREPARATION"":0.08108108108108107,""PROCESS"":0.18243243243243243,""VALUE"":0.23648648648648649}"	"{""DRY"":0.07142857142857144,""END_STAGE"":0.14285714285714288,""PREPARATION"":0.6428571428571429,""VALUE"":0.14285714285714288}"	"{""L3"":0.5172413793103448,""R2"":0.06896551724137931,""R3"":0.41379310344827586}"	"{""III"":0.11960784313725491,""IV"":0.0196078431372549,""NONE"":0.8607843137254902}"	1	0
oar	AR_OR_LATTICE	9	7	"{""H|A|1"":0.2857142857142857,""H|B|3"":0.14285714285714285,""S|A|3"":0.14285714285714285,""S|B|3"":0.2857142857142857,""T|B|2"":0.14285714285714285}"	"{""FIRST"":0.35714285714285715,""LAST"":0.28571428571428575,""MIDDLE"":0.35714285714285715}"	"{""F"":0.42857142857142855,""L"":0.28571428571428575,""M"":0.28571428571428575}"	"{""0|0"":1.0}"	"{""EDGE"":0.35714285714285715,""EXACT"":0.6428571428571429}"	"{""EDGE"":0.28571428571428575,""EXACT"":0.6428571428571429,""NONEXACT"":0.07142857142857144}"	{}	{}	{}	"{""III"":0.07142857142857144,""NONE"":0.9285714285714286}"	1	0
okar	AR_OR_LATTICE	91	32	"{""B|B|2"":0.15625,""H|A|1"":0.125,""H|B|2"":0.1875,""H|B|3"":0.06249999999999999,""H|B|5"":0.03125,""P|A|1"":0.03125,""S|A|3"":0.03125,""S|B|3"":0.24999999999999997,""T|B|2"":0.09375000000000003,""T|B|5"":0.03125}"	"{""FIRST"":0.07656250000000007,""LAST"":0.05078125000000005,""MIDDLE"":0.8726562499999999}"	"{""F"":0.3450520833333334,""L"":0.40245535714285696,""M"":0.25249255952380956}"	"{""0|0"":0.99609375,""0|1"":0.003906250000000004}"	"{""EDGE"":0.07656250000000006,""EXACT"":0.7781249999999998,""NONEXACT"":0.1453125000000001}"	"{""EDGE"":0.050781250000000035,""EXACT"":0.7613839285714284,""NONEXACT"":0.18783482142857164}"	"{""COLD"":0.16666666666666666,""HOT"":0.2222222222222222,""MATERIAL"":0.2222222222222222,""MIDDLE_STAGE"":0.16666666666666666,""PROCESS"":0.05555555555555555,""VALUE"":0.16666666666666666}"	"{""BEGIN_STAGE"":0.06280193236714976,""CLOSE"":0.023188405797101453,""DRY"":0.06183574879227053,""END_STAGE"":0.023188405797101453,""HOT"":0.12560386473429952,""MATERIAL"":0.023188405797101453,""MIDDLE_STAGE"":0.08695652173913043,""PREPARATION"":0.3043478260869565,""PROCESS"":0.13913043478260873,""VALUE"":0.14975845410628022}"	"{""L3"":0.46812850586435495,""R1"":0.08567057623661399,""R2"":0.16063233044365122,""R3"":0.28556858745537994}"	"{""II"":0.010416666666666675,""IV"":0.010416666666666675,""NONE"":0.9791666666666666}"	1	0
okchar	AR_OR_LATTICE	4	3	"{""H|A|1"":0.6666666666666666,""S|B|3"":0.3333333333333333}"	"{""MIDDLE"":1.0}"	"{""F"":0.3333333333333333,""L"":0.3333333333333333,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	"{""DRY"":0.5,""PREPARATION"":0.5}"	{}	{}	"{""III"":0.3333333333333333,""NONE"":0.6666666666666666}"	1	0
