surface	family_class	left_string	raw_occurrences	raw_page_count	raw_pages	raw_physical_folio_count	raw_locus_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_pages	reader_exact_physical_folio_count	reader_exact_locus_count	exact_first	exact_middle	exact_last	exact_single	exact_true_paragraph_starts	exact_true_paragraph_ends	exact_register_distribution	current_alternate_reader_split_candidates	current_alternate_reader_split_loci	current_alternate_reader_split_sources	component_export_credit
atar	LEFT_STRING_PLUS_AR	at	1	1	f95r1	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
cfhar	LEFT_STRING_PLUS_AR	cfh	1	1	f24r	1	1	1	1	1	f24r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
chalkar	LEFT_STRING_PLUS_AR	chalk	2	2	f86v3|f103v	2	2	1	2	2	f86v3|f103v	2	2	0	2	0	0	0	0	C|B|2:1|S|B|3:1	0	NONE	NONE	0
chaltar	LEFT_STRING_PLUS_AR	chalt	1	1	f58r	1	1	1	1	1	f58r	1	1	0	1	0	0	0	0	S|A|3:1	0	NONE	NONE	0
char	LEFT_STRING_PLUS_AR	ch	75	51	f3v|f4v|f6v|f8r|f8v|f10r|f16v|f20v|f23r|f24r|f27r|f30r|f34r|f34v|f35r|f35v|f38v|f42r|f42v|f44r|f45r|f47r|f47v|f55r|f58r|f58v|f75r|f76v|f82r|f82v|f83v|f94v|f95v1|f96v|f100r|f103v|f104r|f104v|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112v|f113r|f113v|f115r|f116r	38	74	1	55	40	f4v|f6v|f8r|f8v|f10r|f23r|f24r|f27r|f34r|f34v|f35r|f35v|f38v|f42r|f42v|f45r|f47v|f55r|f58r|f75r|f76v|f82r|f82v|f83v|f94v|f103v|f104r|f104v|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112v|f113r|f113v|f116r	29	54	2	52	1	0	0	1	B|B|2:5|H|A|1:19|H|B|2:3|H|B|3:1|S|A|3:3|S|B|3:24	0	NONE	NONE	0
chcphar	LEFT_STRING_PLUS_AR	chcph	1	1	f86v6	1	1	1	1	1	f86v6	1	1	0	1	0	0	0	0	T|B|2:1	0	NONE	NONE	0
chcthar	LEFT_STRING_PLUS_AR	chcth	1	1	f111v	1	1	1	1	1	f111v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
cheamar	LEFT_STRING_PLUS_AR	cheam	1	1	f111r	1	1	1	1	1	f111r	1	1	0	0	1	0	0	0	S|B|3:1	0	NONE	NONE	0
chear	LEFT_STRING_PLUS_AR	che	44	27	f3v|f6v|f8v|f17r|f23v|f24v|f28v|f30r|f34v|f35r|f35v|f53v|f58r|f76r|f79r|f83v|f86v3|f86v6|f88r|f89v1|f104r|f106r|f108v|f111v|f112v|f113r|f116r	25	41	1	38	23	f6v|f8v|f17r|f23v|f28v|f35r|f35v|f53v|f58r|f76r|f79r|f83v|f86v3|f86v6|f88r|f89v1|f104r|f106r|f108v|f111v|f112v|f113r|f116r	21	35	0	36	2	0	0	1	B|B|2:3|C|B|2:1|H|A|1:11|P|A|1:3|S|A|3:2|S|B|3:15|T|B|2:3	0	NONE	NONE	0
checholtar	LEFT_STRING_PLUS_AR	checholt	1	1	f81v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
chedykar	LEFT_STRING_PLUS_AR	chedyk	1	1	f75r	1	1	1	1	1	f75r	1	1	0	1	0	0	0	0	B|B|2:1	0	NONE	NONE	0
cheear	LEFT_STRING_PLUS_AR	chee	1	1	f107r	1	1	1	1	1	f107r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
cheekar	LEFT_STRING_PLUS_AR	cheek	1	1	f6v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
cheetar	LEFT_STRING_PLUS_AR	cheet	1	1	f104v	1	1	1	1	1	f104v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
chefar	LEFT_STRING_PLUS_AR	chef	1	1	f95v1	1	1	1	1	1	f95v1	1	1	0	1	0	0	0	0	H|B|3:1	0	NONE	NONE	0
chekar	LEFT_STRING_PLUS_AR	chek	7	7	f33r|f34r|f75r|f94r|f95r1|f108r|f114r	7	7	1	6	6	f33r|f34r|f75r|f94r|f95r1|f108r	6	6	0	6	0	0	0	0	B|B|2:1|H|B|2:2|H|B|3:2|S|B|3:1	0	NONE	NONE	0
cheoar	LEFT_STRING_PLUS_AR	cheo	4	3	f55v|f106v|f113r	3	4	1	4	3	f55v|f106v|f113r	3	4	0	4	0	0	0	0	H|B|2:1|S|B|3:3	0	NONE	NONE	0
cheoekar	LEFT_STRING_PLUS_AR	cheoek	1	1	f58r	1	1	1	1	1	f58r	1	1	0	1	0	0	0	0	S|A|3:1	0	NONE	NONE	0
cheolchear	LEFT_STRING_PLUS_AR	cheolche	1	1	f107r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
cheoltar	LEFT_STRING_PLUS_AR	cheolt	1	1	f104r	1	1	1	1	1	f104r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
cheotar	LEFT_STRING_PLUS_AR	cheot	1	1	f47v	1	1	1	1	1	f47v	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
cheotchar	LEFT_STRING_PLUS_AR	cheotch	1	1	f42v	1	1	1	1	1	f42v	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
chepar	LEFT_STRING_PLUS_AR	chep	2	2	f66v|f106v	2	2	1	2	2	f66v|f106v	2	2	0	2	0	0	0	0	H|B|5:1|S|B|3:1	0	NONE	NONE	0
chepchar	LEFT_STRING_PLUS_AR	chepch	1	1	f113r	1	1	1	1	1	f113r	1	1	0	0	1	0	0	0	S|B|3:1	0	NONE	NONE	0
chetar	LEFT_STRING_PLUS_AR	chet	5	5	f40v|f42r|f111v|f113r|f116r	5	5	1	5	5	f40v|f42r|f111v|f113r|f116r	5	5	0	5	0	0	0	0	H|A|1:1|H|B|2:1|S|B|3:3	0	NONE	NONE	0
cheychear	LEFT_STRING_PLUS_AR	cheyche	1	1	f116r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
chkar	LEFT_STRING_PLUS_AR	chk	9	9	f2r|f16v|f75r|f95r2|f105v|f106r|f111v|f115r|f116r	9	9	1	7	7	f2r|f75r|f95r2|f106r|f111v|f115r|f116r	7	7	0	7	0	0	0	0	B|B|2:1|H|A|1:1|H|B|3:1|S|B|3:3|S|B|@:1	0	NONE	NONE	0
chkear	LEFT_STRING_PLUS_AR	chke	1	1	f25v	1	1	1	1	1	f25v	1	1	0	0	1	0	0	0	H|A|1:1	0	NONE	NONE	0
chlar	LEFT_STRING_PLUS_AR	chl	2	2	f106r|f108r	2	2	1	2	2	f106r|f108r	2	2	0	1	1	0	0	0	S|B|3:2	0	NONE	NONE	0
choar	LEFT_STRING_PLUS_AR	cho	2	2	f58v|f115r	2	2	1	2	2	f58v|f115r	2	2	0	2	0	0	0	0	S|A|3:1|S|B|@:1	0	NONE	NONE	0
chochar	LEFT_STRING_PLUS_AR	choch	1	1	f52v	1	1	1	1	1	f52v	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
chockhar	LEFT_STRING_PLUS_AR	chockh	2	2	f100v|f104r	2	2	1	2	2	f100v|f104r	2	2	0	1	1	0	0	0	P|A|1:1|S|B|3:1	0	NONE	NONE	0
chocphar	LEFT_STRING_PLUS_AR	chocph	1	1	f52v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
chokar	LEFT_STRING_PLUS_AR	chok	6	6	f86v5|f88v|f104r|f104v|f106r|f113r	5	6	1	6	6	f86v5|f88v|f104r|f104v|f106r|f113r	5	6	0	6	0	0	0	0	P|A|1:1|S|B|3:4|T|B|2:1	0	NONE	NONE	0
cholkar	LEFT_STRING_PLUS_AR	cholk	3	3	f48r|f86v6|f104r	3	3	1	2	2	f86v6|f104r	2	2	0	0	2	0	0	2	S|B|3:1|T|B|2:1	0	NONE	NONE	0
choltar	LEFT_STRING_PLUS_AR	cholt	1	1	f113v	1	1	1	1	1	f113v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
chopar	LEFT_STRING_PLUS_AR	chop	1	1	f104r	1	1	1	1	1	f104r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
chorar	LEFT_STRING_PLUS_AR	chor	1	1	f115r	1	1	1	1	1	f115r	1	1	0	0	1	0	0	1	S|B|@:1	0	NONE	NONE	0
chosar	LEFT_STRING_PLUS_AR	chos	1	1	f35v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	1	f35v.10	rf1b	0
chotar	LEFT_STRING_PLUS_AR	chot	9	9	f42r|f58r|f93r|f106r|f106v|f113r|f113v|f114r|f115r	7	9	1	9	9	f42r|f58r|f93r|f106r|f106v|f113r|f113v|f114r|f115r	7	9	0	9	0	0	0	0	H|A|1:2|S|A|3:1|S|B|3:5|S|B|@:1	0	NONE	NONE	0
chpchar	LEFT_STRING_PLUS_AR	chpch	1	1	f115r	1	1	1	1	1	f115r	1	1	0	1	0	0	0	0	S|B|@:1	0	NONE	NONE	0
chtar	LEFT_STRING_PLUS_AR	cht	3	3	f24r|f111r|f115r	3	3	1	3	3	f24r|f111r|f115r	3	3	0	3	0	0	0	0	H|A|1:1|S|B|3:1|S|B|@:1	0	NONE	NONE	0
chtshar	LEFT_STRING_PLUS_AR	chtsh	1	1	f42r	1	1	1	1	1	f42r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
chxar	LEFT_STRING_PLUS_AR	chx	1	1	f66r	1	1	1	1	1	f66r	1	1	0	1	0	0	0	0	T|B|5:1	0	NONE	NONE	0
chykar	LEFT_STRING_PLUS_AR	chyk	1	1	f29v	1	1	1	1	1	f29v	1	1	0	0	1	0	0	0	H|A|1:1	0	NONE	NONE	0
ckhar	LEFT_STRING_PLUS_AR	ckh	2	2	f58v|f113r	2	2	1	2	2	f58v|f113r	2	2	0	2	0	0	0	0	S|A|3:1|S|B|3:1	0	NONE	NONE	0
ckhear	LEFT_STRING_PLUS_AR	ckhe	1	1	f25v	1	1	1	1	1	f25v	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
cphar	LEFT_STRING_PLUS_AR	cph	3	3	f11v|f36v|f78v	3	3	1	3	3	f11v|f36v|f78v	3	3	0	3	0	0	0	0	B|B|2:1|H|A|1:2	0	NONE	NONE	0
cphchar	LEFT_STRING_PLUS_AR	cphch	1	1	f36v	1	1	1	1	1	f36v	1	1	0	0	1	0	0	0	H|A|1:1	0	NONE	NONE	0
cthaiar	LEFT_STRING_PLUS_AR	cthai	1	1	f8r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
cthar	LEFT_STRING_PLUS_AR	cth	14	12	f6v|f8v|f17r|f18r|f19r|f24r|f38r|f42v|f48r|f56v|f76r|f116r	12	13	1	13	12	f6v|f8v|f17r|f18r|f19r|f24r|f38r|f42v|f48r|f56v|f76r|f116r	12	13	0	11	2	0	0	0	H|A|1:10|H|B|5:1|S|B|3:1|T|B|2:1	0	NONE	NONE	0
daar	LEFT_STRING_PLUS_AR	da	1	1	f115r	1	1	1	1	1	f115r	1	1	0	1	0	0	0	0	S|B|@:1	0	NONE	NONE	0
daiinar	LEFT_STRING_PLUS_AR	daiin	1	1	f107r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	1	f107r.6	it2a	0
dairar	LEFT_STRING_PLUS_AR	dair	2	2	f85r1|f104v	2	2	1	2	2	f85r1|f104v	2	2	0	2	0	0	0	0	S|B|3:1|T|B|2:1	0	NONE	NONE	0
dalar	LEFT_STRING_PLUS_AR	dal	5	3	f58r|f58v|f80v	2	5	1	2	2	f58r|f58v	1	2	0	1	1	0	0	0	S|A|3:2	1	f80v.43	rf1b	0
dalkar	LEFT_STRING_PLUS_AR	dalk	3	3	f75v|f103r|f108r	3	3	1	3	3	f75v|f103r|f108r	3	3	0	2	0	1	0	0	B|B|2:1|S|B|3:2	0	NONE	NONE	0
darar	LEFT_STRING_PLUS_AR	dar	2	2	f58r|f99r	2	2	1	2	2	f58r|f99r	2	2	1	0	0	1	0	0	P|A|1:1|S|A|3:1	0	NONE	NONE	0
dchar	LEFT_STRING_PLUS_AR	dch	2	2	f23r|f28r	2	2	1	1	1	f28r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
deear	LEFT_STRING_PLUS_AR	dee	1	1	f102v2	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
dkar	LEFT_STRING_PLUS_AR	dk	1	1	f66r	1	1	1	1	1	f66r	1	1	0	0	1	0	0	0	T|B|5:1	0	NONE	NONE	0
dlar	LEFT_STRING_PLUS_AR	dl	2	2	f85r1|f116r	2	2	1	1	1	f116r	1	1	1	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
doeoear	LEFT_STRING_PLUS_AR	doeoe	1	1	f102r1	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
dychear	LEFT_STRING_PLUS_AR	dyche	1	1	f17r	1	1	1	1	1	f17r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
dytar	LEFT_STRING_PLUS_AR	dyt	1	1	f82v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
ear	LEFT_STRING_PLUS_AR	e	1	1	f104v	1	1	1	1	1	f104v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
ekar	LEFT_STRING_PLUS_AR	ek	1	1	f58r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
etar	LEFT_STRING_PLUS_AR	et	1	1	f104v	1	1	1	1	1	f104v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
far	LEFT_STRING_PLUS_AR	f	2	2	f33r|f111v	2	2	1	2	2	f33r|f111v	2	2	0	2	0	0	0	0	H|B|2:1|S|B|3:1	0	NONE	NONE	0
foar	LEFT_STRING_PLUS_AR	fo	2	2	f6r|f24v	2	2	1	2	2	f6r|f24v	2	2	1	1	0	0	1	0	H|A|1:2	0	NONE	NONE	0
foeear	LEFT_STRING_PLUS_AR	foee	1	1	f6r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
folchear	LEFT_STRING_PLUS_AR	folche	1	1	f113r	1	1	1	1	1	f113r	1	1	1	0	0	0	1	0	S|B|3:1	0	NONE	NONE	0
kaisar	LEFT_STRING_PLUS_AR	kais	1	1	f107v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
kaolkar	LEFT_STRING_PLUS_AR	kaolk	1	1	f107v	1	1	1	1	1	f107v	1	1	1	0	0	0	1	0	S|B|3:1	0	NONE	NONE	0
kar	LEFT_STRING_PLUS_AR	k	57	42	f6r|f16v|f24r|f34r|f39r|f39v|f40r|f43r|f45r|f46r|f50r|f50v|f55v|f58r|f58v|f66v|f75r|f76r|f78r|f78v|f79v|f80r|f81v|f85r1|f86v5|f86v6|f94r|f95r2|f103r|f104r|f104v|f105r|f105v|f106v|f107r|f108v|f111r|f112v|f113r|f113v|f114r|f115v	34	55	1	42	32	f6r|f34r|f39r|f39v|f40r|f45r|f46r|f50r|f50v|f55v|f58r|f58v|f75r|f78r|f78v|f81v|f85r1|f86v5|f86v6|f94r|f95r2|f104r|f105r|f105v|f106v|f107r|f108v|f111r|f112v|f113v|f114r|f115v	26	41	1	38	3	0	0	0	B|B|2:4|H|A|1:2|H|B|2:13|H|B|3:2|S|A|3:3|S|B|3:14|T|B|2:4	0	NONE	NONE	0
karar	LEFT_STRING_PLUS_AR	kar	1	1	f85r1	1	1	1	1	1	f85r1	1	1	0	1	0	0	0	0	T|B|2:1	0	NONE	NONE	0
kchar	LEFT_STRING_PLUS_AR	kch	1	1	f17v	1	1	1	1	1	f17v	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
kcheoakar	LEFT_STRING_PLUS_AR	kcheoak	1	1	f106v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
kchoar	LEFT_STRING_PLUS_AR	kcho	1	1	f56r	1	1	1	1	1	f56r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
keear	LEFT_STRING_PLUS_AR	kee	4	3	f86v6|f99r|f108v	3	4	1	3	2	f86v6|f108v	2	3	0	3	0	0	0	0	S|B|3:2|T|B|2:1	0	NONE	NONE	0
keeyfar	LEFT_STRING_PLUS_AR	keeyf	1	1	f55v	1	1	1	1	1	f55v	1	1	0	1	0	0	0	0	H|B|2:1	0	NONE	NONE	0
keshar	LEFT_STRING_PLUS_AR	kesh	1	1	f85r1	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
kesoar	LEFT_STRING_PLUS_AR	keso	1	1	f105r	1	1	1	1	1	f105r	1	1	1	0	0	0	1	0	S|B|3:1	0	NONE	NONE	0
kolkar	LEFT_STRING_PLUS_AR	kolk	1	1	f107v	1	1	1	1	1	f107v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
kshar	LEFT_STRING_PLUS_AR	ksh	2	2	f58r|f106v	2	2	1	1	1	f58r	1	1	1	0	0	0	1	0	S|A|3:1	0	NONE	NONE	0
kshartar	LEFT_STRING_PLUS_AR	kshart	1	1	f111v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
lar	LEFT_STRING_PLUS_AR	l	8	7	f76v|f80r|f82r|f106r|f108v|f115r|f116r	7	8	1	5	5	f82r|f106r|f108v|f115r|f116r	5	5	0	2	3	0	0	0	B|B|2:1|S|B|3:3|S|B|@:1	0	NONE	NONE	0
lchar	LEFT_STRING_PLUS_AR	lch	3	3	f45r|f76r|f111v	3	3	1	3	3	f45r|f76r|f111v	3	3	1	1	1	0	0	1	H|A|1:1|S|B|3:1|T|B|2:1	0	NONE	NONE	0
lcharar	LEFT_STRING_PLUS_AR	lchar	1	1	f103v	1	1	1	1	1	f103v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
lchear	LEFT_STRING_PLUS_AR	lche	1	1	f77r	1	1	1	1	1	f77r	1	1	0	1	0	0	0	0	B|B|2:1	0	NONE	NONE	0
lfar	LEFT_STRING_PLUS_AR	lf	1	1	f86v5	1	1	1	1	1	f86v5	1	1	0	1	0	0	0	0	T|B|2:1	0	NONE	NONE	0
lkar	LEFT_STRING_PLUS_AR	lk	31	21	f66r|f75v|f76r|f80r|f86v3|f86v6|f103r|f103v|f104r|f104v|f105r|f106r|f107r|f107v|f108v|f111r|f113r|f113v|f115r|f115v|f116r	15	30	1	29	19	f75v|f76r|f80r|f86v3|f86v6|f103r|f103v|f104r|f104v|f106r|f107r|f107v|f108v|f111r|f113r|f113v|f115r|f115v|f116r	13	28	0	27	2	0	0	0	B|B|2:2|C|B|2:1|S|B|3:20|S|B|@:1|T|B|2:5	0	NONE	NONE	0
lkarshar	LEFT_STRING_PLUS_AR	lkarsh	1	1	f111v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
lkeeoar	LEFT_STRING_PLUS_AR	lkeeo	1	1	f113r	1	1	1	1	1	f113r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
loar	LEFT_STRING_PLUS_AR	lo	1	1	f113v	1	1	1	1	1	f113v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
lokar	LEFT_STRING_PLUS_AR	lok	1	1	f40r	1	1	1	1	1	f40r	1	1	1	0	0	0	0	0	H|B|2:1	0	NONE	NONE	0
lotar	LEFT_STRING_PLUS_AR	lot	1	1	f103r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
lpar	LEFT_STRING_PLUS_AR	lp	1	1	f103v	1	1	1	1	1	f103v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
lshar	LEFT_STRING_PLUS_AR	lsh	1	1	f86v6	1	1	1	1	1	f86v6	1	1	1	0	0	0	0	0	T|B|2:1	0	NONE	NONE	0
ltar	LEFT_STRING_PLUS_AR	lt	1	1	f103r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
oaorar	LEFT_STRING_PLUS_AR	oaor	1	1	f16v	1	1	1	1	1	f16v	1	1	0	0	1	0	0	1	H|A|1:1	0	NONE	NONE	0
oar	LEFT_STRING_PLUS_AR	o	10	9	f5r|f39v|f58r|f86v5|f93r|f94r|f112r|f112v|f114r	8	10	1	9	8	f5r|f58r|f86v5|f93r|f94r|f112r|f112v|f114r	7	9	4	3	2	0	0	0	H|A|1:2|H|B|3:1|S|A|3:1|S|B|3:3|T|B|2:2	0	NONE	NONE	0
oarar	LEFT_STRING_PLUS_AR	oar	1	1	f106v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
ochar	LEFT_STRING_PLUS_AR	och	1	1	f85r2	1	1	1	1	1	f85r2	1	1	0	1	0	0	0	0	C|B|2:1	0	NONE	NONE	0
octhear	LEFT_STRING_PLUS_AR	octhe	1	1	f86v6	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
odalar	LEFT_STRING_PLUS_AR	odal	1	1	f58r	1	1	1	1	1	f58r	1	1	1	0	0	0	0	0	S|A|3:1	0	NONE	NONE	0
oeear	LEFT_STRING_PLUS_AR	oee	3	3	f7v|f58v|f104r	3	3	1	3	3	f7v|f58v|f104r	3	3	0	3	0	0	0	0	H|A|1:1|S|A|3:1|S|B|3:1	0	NONE	NONE	0
oeoar	LEFT_STRING_PLUS_AR	oeo	1	1	f105v	1	1	1	1	1	f105v	1	1	1	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
ofar	LEFT_STRING_PLUS_AR	of	4	4	f50v|f85r1|f95r2|f108r	4	4	1	4	4	f50v|f85r1|f95r2|f108r	4	4	0	3	1	0	0	0	H|B|2:1|H|B|3:1|S|B|3:1|T|B|2:1	0	NONE	NONE	0
ofchar	LEFT_STRING_PLUS_AR	ofch	2	2	f22v|f45r	2	2	1	2	2	f22v|f45r	2	2	0	1	1	0	0	0	H|A|1:2	0	NONE	NONE	0
ofcheefar	LEFT_STRING_PLUS_AR	ofcheef	1	1	f39r	1	1	1	1	1	f39r	1	1	0	0	1	0	0	0	H|B|2:1	0	NONE	NONE	0
ofchtar	LEFT_STRING_PLUS_AR	ofcht	1	1	f43r	1	1	1	1	1	f43r	1	1	0	1	0	0	0	0	H|B|2:1	0	NONE	NONE	0
okar	LEFT_STRING_PLUS_AR	ok	119	55	f8r|f17v|f23r|f33v|f39v|f40r|f40v|f43v|f48v|f50r|f50v|f55r|f55v|f56r|f58r|f58v|f66r|f75r|f75v|f76r|f78r|f78v|f79r|f79v|f80r|f80v|f81r|f81v|f82v|f85r1|f86v5|f86v6|f90r1|f94r|f95r1|f95r2|f95v2|f99r|f100v|f104r|f105r|f106r|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f113v|f114r|f115v|f116r	38	111	1	91	47	f8r|f17v|f23r|f33v|f39v|f40r|f40v|f43v|f48v|f50r|f50v|f55r|f55v|f56r|f58r|f58v|f66r|f75r|f75v|f76r|f78r|f78v|f79r|f79v|f80v|f81r|f81v|f85r1|f86v5|f86v6|f94r|f95r1|f95r2|f95v2|f100v|f104r|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f113v|f114r|f115v|f116r	32	87	4	84	3	0	0	1	B|B|2:12|H|A|1:4|H|B|2:19|H|B|3:6|H|B|5:1|P|A|1:1|S|A|3:4|S|B|3:31|T|B|2:12|T|B|5:1	1	f105r.4	rf1b	0
