prefix	surface	family	support_primary_31	historical_exclusion_31	reader_exact_occurrences	physical_folios	immediate_right_value_occurrences	folio_balanced_right_value_rate	level_ii	level_iii	level_iv	specific_unit_identity_supported	component_export_credit
otal	otalar	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
otal	otalor	OR	0	1	4	4	0	0.000000000000	0	0	0	0	0
otch	otchar	AR	1	1	6	5	0	0.000000000000	0	0	0	0	0
otch	otchor	OR	1	1	16	13	0	0.000000000000	0	0	0	0	0
ote	otear	AR	1	0	3	3	0	0.000000000000	0	0	0	0	0
ote	oteor	OR	1	0	7	6	1	0.166666666667	0	1	0	0	0
p	par	AR	1	1	4	4	0	0.000000000000	0	0	0	0	0
p	por	OR	1	1	5	4	1	0.125000000000	0	1	0	0	0
pch	pchar	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
pch	pchor	OR	0	1	10	10	0	0.000000000000	0	0	0	0	0
pche	pchear	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
pche	pcheor	OR	0	1	4	4	1	0.250000000000	1	0	0	0	0
qo	qoar	AR	1	0	7	7	3	0.428571428571	0	2	1	0	0
qo	qoor	OR	1	0	5	5	0	0.000000000000	0	0	0	0	0
qok	qokar	AR	1	0	132	39	0	0.000000000000	0	0	0	0	0
qok	qokor	OR	1	0	21	15	0	0.000000000000	0	0	0	0	0
qoke	qokear	AR	1	0	4	3	0	0.000000000000	0	0	0	0	0
qoke	qokeor	OR	1	0	14	10	0	0.000000000000	0	0	0	0	0
qop	qopar	AR	1	1	5	3	0	0.000000000000	0	0	0	0	0
qop	qopor	OR	1	1	3	3	0	0.000000000000	0	0	0	0	0
qot	qotar	AR	1	0	53	25	0	0.000000000000	0	0	0	0	0
qot	qotor	OR	1	0	22	17	0	0.000000000000	0	0	0	0	0
qotch	qotchar	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
qotch	qotchor	OR	0	1	11	8	0	0.000000000000	0	0	0	0	0
r	rar	AR	1	1	11	8	3	0.312500000000	2	1	0	0	0
r	ror	OR	1	1	10	8	1	0.125000000000	0	1	0	0	0
s	sar	AR	1	1	45	26	8	0.135897435897	5	3	0	0	0
s	sor	OR	1	1	34	27	4	0.086419753086	1	3	0	0	0
sh	shar	AR	1	0	24	19	2	0.105263157895	1	1	0	0	0
sh	shor	OR	1	0	77	44	0	0.000000000000	0	0	0	0	0
she	shear	AR	1	0	17	13	2	0.076923076923	1	1	0	0	0
she	sheor	OR	1	0	31	22	1	0.022727272727	0	1	0	0	0
shee	sheear	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
shee	sheeor	OR	0	1	2	2	0	0.000000000000	0	0	0	0	0
t	tar	AR	1	0	33	22	3	0.068181818182	0	3	0	0	0
t	tor	OR	1	0	12	12	0	0.000000000000	0	0	0	0	0
tch	tchar	AR	1	1	4	4	0	0.000000000000	0	0	0	0	0
tch	tchor	OR	1	1	17	14	1	0.071428571429	0	1	0	0	0
yche	ychear	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
yche	ycheor	OR	0	1	6	5	0	0.000000000000	0	0	0	0	0
yk	ykar	AR	1	1	27	18	1	0.055555555556	0	1	0	0	0
yk	ykor	OR	1	1	4	4	1	0.250000000000	0	1	0	0	0
yt	ytar	AR	1	1	21	12	2	0.058333333333	0	2	0	0	0
yt	ytor	OR	1	1	12	12	1	0.083333333333	0	1	0	0	0
