surface	gdt788_prior_mask	ar_or_rn_tail_union	ar_lineage	excluded_from_semantic_neighbours	excluded_from_learned_whole_donors	component_export_credit
rsheodar	1	1	0	1	1	0
rtain	1	1	0	1	1	0
sa	1	0	0	1	1	0
saiichor	0	1	0	1	1	0
saiiin	1	1	0	1	1	0
saiin	0	1	0	1	1	0
saiir	1	1	0	1	1	0
sain	1	1	0	1	1	0
sair	0	1	1	1	1	0
sairal	1	0	0	1	1	0
sairy	0	0	1	1	1	0
saisal	1	0	0	1	1	0
sakaiin	0	1	0	1	1	0
sal	1	0	0	1	1	0
salal	1	0	0	1	1	0
salar	1	1	0	1	1	0
salchey	1	0	0	1	1	0
salchtedytar	1	1	0	1	1	0
saldaiin	0	1	0	1	1	0
saldal	1	0	0	1	1	0
salshey	1	0	0	1	1	0
saltar	1	1	0	1	1	0
salxar	1	1	0	1	1	0
san	0	1	0	1	1	0
sar	1	1	1	1	1	0
saraiin	1	1	1	1	1	0
saraiir	0	1	0	1	1	0
sarain	0	1	0	1	1	0
saral	1	0	0	1	1	0
sarar	1	1	0	1	1	0
saroral	1	0	0	1	1	0
sary	1	0	0	1	1	0
sasoldal	1	0	0	1	1	0
satar	1	1	0	1	1	0
schaiin	1	1	0	1	1	0
schar	1	1	0	1	1	0
scheaiin	0	1	0	1	1	0
schedaiir	0	1	0	1	1	0
schedair	0	1	0	1	1	0
schoal	1	0	0	1	1	0
schodain	1	1	0	1	1	0
schor	0	1	0	1	1	0
schos	1	0	0	1	1	0
scthey	1	0	0	1	1	0
sdal	1	0	0	1	1	0
sfal	1	0	0	1	1	0
shaiiin	0	1	0	1	1	0
shaiin	0	1	0	1	1	0
shain	0	1	0	1	1	0
shair	0	1	0	1	1	0
shal	1	0	0	1	1	0
shalkaiin	0	1	0	1	1	0
shan	0	1	0	1	1	0
shar	1	1	0	1	1	0
sharal	1	0	0	1	1	0
shas	1	0	0	1	1	0
shckhaiin	0	1	0	1	1	0
shckhar	1	1	0	1	1	0
shckhor	0	1	0	1	1	0
shckhy	1	0	0	1	1	0
shcphoor	0	1	0	1	1	0
shcthal	1	0	0	1	1	0
shcthey	1	0	0	1	1	0
shdaiin	0	1	0	1	1	0
shdair	0	1	0	1	1	0
shdal	1	0	0	1	1	0
shdar	1	1	0	1	1	0
shdor	0	1	0	1	1	0
sheaiin	0	1	0	1	1	0
sheain	0	1	0	1	1	0
sheal	1	0	0	1	1	0
shear	1	1	0	1	1	0
sheckhal	1	0	0	1	1	0
shedaiiin	0	1	0	1	1	0
shedaiin	0	1	0	1	1	0
shedain	0	1	0	1	1	0
shedair	0	1	0	1	1	0
shedaitain	0	1	0	1	1	0
shedal	1	0	0	1	1	0
shedar	1	1	0	1	1	0
shedor	0	1	0	1	1	0
sheeain	0	1	0	1	1	0
sheeal	1	0	0	1	1	0
sheear	1	1	0	1	1	0
sheedain	0	1	0	1	1	0
sheedal	1	0	0	1	1	0
sheedar	1	1	0	1	1	0
sheekain	0	1	0	1	1	0
sheekar	1	1	0	1	1	0
sheeoaiin	0	1	0	1	1	0
sheeodaiin	0	1	0	1	1	0
sheeodain	0	1	0	1	1	0
sheeodar	1	1	0	1	1	0
sheeor	0	1	0	1	1	0
shekaiiin	0	1	0	1	1	0
shekaiin	0	1	0	1	1	0
shekain	0	1	0	1	1	0
shekair	0	1	0	1	1	0
shekal	1	0	0	1	1	0
shekar	1	1	0	1	1	0
shekcheor	0	1	0	1	1	0
shekor	0	1	0	1	1	0
sheoal	1	0	0	1	1	0
sheodaiin	0	1	0	1	1	0
sheodal	1	0	0	1	1	0
sheodar	1	1	0	1	1	0
sheokaiin	0	1	0	1	1	0
sheokain	0	1	0	1	1	0
sheokar	1	1	0	1	1	0
sheolkain	0	1	0	1	1	0
sheolkeal	1	0	0	1	1	0
sheolor	0	1	0	1	1	0
sheor	0	1	0	1	1	0
sheotal	1	0	0	1	1	0
shetar	1	1	0	1	1	0
sheykaiiin	0	1	0	1	1	0
sheykain	0	1	0	1	1	0
sheykal	1	0	0	1	1	0
shfydaiin	0	1	0	1	1	0
shkaiin	0	1	0	1	1	0
shkain	0	1	0	1	1	0
shkair	0	1	0	1	1	0
shkar	1	1	0	1	1	0
shkchor	0	1	0	1	1	0
shkear	1	1	0	1	1	0
shkeyqokeaiin	0	1	0	1	1	0
shoaiin	0	1	0	1	1	0
shoain	0	1	0	1	1	0
shoar	1	1	0	1	1	0
shocphor	0	1	0	1	1	0
shodaiin	0	1	0	1	1	0
shodain	0	1	0	1	1	0
shodal	1	0	0	1	1	0
shodar	1	1	0	1	1	0
shoekar	1	1	0	1	1	0
shoeor	0	1	0	1	1	0
shokaiin	0	1	0	1	1	0
shokaiir	0	1	0	1	1	0
shokain	0	1	0	1	1	0
shokal	1	0	0	1	1	0
shokar	1	1	0	1	1	0
shokeedar	1	1	0	1	1	0
shoko	1	0	0	1	1	0
shokshor	0	1	0	1	1	0
sholaiin	0	1	0	1	1	0
sholar	1	1	0	1	1	0
sholdaiin	0	1	0	1	1	0
sholfaiin	0	1	0	1	1	0
sholfchor	0	1	0	1	1	0
sholfordaiin	0	1	0	1	1	0
sholkair	0	1	0	1	1	0
sholkal	1	0	0	1	1	0
sholkar	1	1	0	1	1	0
sholor	0	1	0	1	1	0
shoor	0	1	0	1	1	0
shor	0	1	0	1	1	0
shoral	1	0	0	1	1	0
shorchaiin	0	1	0	1	1	0
shorpchor	0	1	0	1	1	0
shorydar	1	1	0	1	1	0
shosaiin	0	1	0	1	1	0
shotaiin	0	1	0	1	1	0
shotchor	0	1	0	1	1	0
shoyfar	1	1	0	1	1	0
shshdar	1	1	0	1	1	0
shsodaiin	0	1	0	1	1	0
shtaiin	0	1	0	1	1	0
shtal	1	0	0	1	1	0
shtar	1	1	0	1	1	0
shtor	0	1	0	1	1	0
shx	1	0	0	1	1	0
shydal	1	0	0	1	1	0
shykaiin	0	1	0	1	1	0
skaiin	0	1	0	1	1	0
skaiiodar	1	1	0	1	1	0
skain	1	1	0	1	1	0
skal	1	0	0	1	1	0
skar	1	1	0	1	1	0
skeeal	1	0	0	1	1	0
soaiin	0	1	0	1	1	0
soain	0	1	0	1	1	0
soarar	1	1	0	1	1	0
sodaiiin	0	1	0	1	1	0
sodaiin	0	1	0	1	1	0
sodair	0	1	0	1	1	0
sodal	1	0	0	1	1	0
sodar	1	1	0	1	1	0
soiiin	1	0	0	1	1	0
soiry	1	0	0	1	1	0
sokaiin	1	1	0	1	1	0
sokal	1	0	0	1	1	0
sokar	1	1	0	1	1	0
sokchor	0	1	0	1	1	0
sokeedy	1	0	0	1	1	0
sokol	1	0	0	1	1	0
solaiin	1	1	0	1	1	0
solain	0	1	0	1	1	0
solchey	1	0	0	1	1	0
solchkal	1	0	0	1	1	0
solkaiin	0	1	0	1	1	0
solkain	0	1	0	1	1	0
solkedy	1	0	0	1	1	0
solkeedy	1	0	0	1	1	0
solkeey	1	0	0	1	1	0
solky	1	0	0	1	1	0
solor	1	1	0	1	1	0
sols	1	0	0	1	1	0
solsheor	0	1	0	1	1	0
sor	0	1	0	1	1	0
soraiin	0	1	0	1	1	0
sorain	0	1	0	1	1	0
soral	1	0	0	1	1	0
sosar	1	1	0	1	1	0
sotaiin	0	1	0	1	1	0
sotchaiin	0	1	0	1	1	0
sotchdaiin	0	1	0	1	1	0
sotodan	0	1	0	1	1	0
soysar	1	1	0	1	1	0
spaiin	0	1	0	1	1	0
sqokeodaiin	0	1	0	1	1	0
ssheckhy	1	0	0	1	1	0
ssheedal	1	0	0	1	1	0
ssheey	1	0	0	1	1	0
ssheodain	0	1	0	1	1	0
sykaiin	0	1	0	1	1	0
sykar	1	1	0	1	1	0
sysor	0	1	0	1	1	0
tadaiin	0	1	0	1	1	0
taiiin	0	1	0	1	1	0
taiin	0	1	0	1	1	0
tain	0	1	0	1	1	0
taipar	1	1	0	1	1	0
tair	0	1	0	1	1	0
tairoar	1	1	0	1	1	0
tal	1	0	0	1	1	0
talchor	0	1	0	1	1	0
taldain	0	1	0	1	1	0
taldar	1	1	0	1	1	0
talor	0	1	0	1	1	0
tan	0	1	0	1	1	0
tar	1	1	1	1	1	0
taraiin	0	1	0	1	1	0
tarair	0	1	0	1	1	0
taral	1	0	0	1	1	0
tarar	1	1	0	1	1	0
tararain	0	1	0	1	1	0
tarchor	0	1	0	1	1	0
tarodaiin	0	1	0	1	1	0
taror	0	1	0	1	1	0
tazain	0	1	0	1	1	0
tchaiin	0	1	0	1	1	0
tchain	0	1	0	1	1	0
tchal	1	0	0	1	1	0
tchar	1	1	0	1	1	0
tchdaiin	0	1	0	1	1	0
tchdor	0	1	0	1	1	0
tcheain	0	1	0	1	1	0
tchedaiin	0	1	0	1	1	0
tchedair	0	1	0	1	1	0
tchedal	1	0	0	1	1	0
tchedar	1	1	0	1	1	0
tchedor	0	1	0	1	1	0
tcheodaiin	0	1	0	1	1	0
tcheodal	1	0	0	1	1	0
tcheodar	1	1	0	1	1	0
tcheor	0	1	0	1	1	0
tchkaiin	0	1	0	1	1	0
tchoar	1	1	0	1	1	0
tchodaiin	0	1	0	1	1	0
tchodain	0	1	0	1	1	0
tchodar	1	1	0	1	1	0
tcholkaiin	0	1	0	1	1	0
tchor	0	1	0	1	1	0
tdaiin	0	1	0	1	1	0
tdain	0	1	0	1	1	0
teaiin	0	1	0	1	1	0
tear	1	1	0	1	1	0
tedaiin	0	1	0	1	1	0
tedain	0	1	0	1	1	0
tedair	0	1	0	1	1	0
tedal	1	0	0	1	1	0
tedar	1	1	0	1	1	0
tedykaiin	0	1	0	1	1	0
tedyol	1	0	0	1	1	0
teear	1	1	0	1	1	0
teedal	1	0	0	1	1	0
teedar	1	1	0	1	1	0
teeoar	1	1	0	1	1	0
teeodaiin	0	1	0	1	1	0
teeodain	1	1	0	1	1	0
teeodal	1	0	0	1	1	0
teeodan	0	1	0	1	1	0
teeolain	0	1	0	1	1	0
teeor	0	1	0	1	1	0
teoar	1	1	0	1	1	0
teodaiin	0	1	0	1	1	0
teodal	1	0	0	1	1	0
teodar	1	1	0	1	1	0
teodeeor	0	1	0	1	1	0
teodkaiin	0	1	0	1	1	0
teolkedain	0	1	0	1	1	0
teor	0	1	0	1	1	0
teraiin	0	1	0	1	1	0
toaiin	0	1	0	1	1	0
toar	1	1	0	1	1	0
todaiin	0	1	0	1	1	0
todain	0	1	0	1	1	0
todal	1	0	0	1	1	0
todalain	0	1	0	1	1	0
todar	1	1	0	1	1	0
todor	0	1	0	1	1	0
tokain	0	1	0	1	1	0
tokar	1	1	0	1	1	0
tolain	0	1	0	1	1	0
tolair	0	1	0	1	1	0
tolchdaiin	0	1	0	1	1	0
toldal	1	0	0	1	1	0
toleeshal	1	0	0	1	1	0
tolg	1	0	0	1	1	0
tolkain	0	1	0	1	1	0
tolor	0	1	0	1	1	0
tolsheor	0	1	0	1	1	0
tolshoror	0	1	0	1	1	0
tolshy	1	0	0	1	1	0
topaiin	0	1	0	1	1	0
tor	1	1	1	1	1	0
torain	0	1	0	1	1	0
toror	0	1	0	1	1	0
torshor	0	1	0	1	1	0
tshaiin	0	1	0	1	1	0
tshar	1	1	0	1	1	0
tshdal	1	0	0	1	1	0
tshdar	1	1	0	1	1	0
tshedain	0	1	0	1	1	0
tshedal	1	0	0	1	1	0
tshedar	1	1	0	1	1	0
tshedor	0	1	0	1	1	0
tsheeor	0	1	0	1	1	0
tsheodar	1	1	0	1	1	0
tshoar	1	1	0	1	1	0
tshodaiin	0	1	0	1	1	0
tshodair	0	1	0	1	1	0
tshor	0	1	0	1	1	0
vor	0	1	0	1	1	0
xar	1	1	0	1	1	0
xor	0	1	0	1	1	0
yaiin	0	1	0	1	1	0
yaiir	0	1	0	1	1	0
yair	0	1	0	1	1	0
yar	1	1	0	1	1	0
ychain	0	1	0	1	1	0
ychair	0	1	0	1	1	0
ychar	1	1	0	1	1	0
ychdain	0	1	0	1	1	0
ycheain	0	1	0	1	1	0
ychear	1	1	0	1	1	0
ycheckhey	1	0	0	1	1	0
ychedaiin	0	1	0	1	1	0
ychedain	0	1	0	1	1	0
ychedal	1	0	0	1	1	0
ychedar	1	1	0	1	1	0
ycheear	1	1	0	1	1	0
ycheedaiin	0	1	0	1	1	0
ycheeodaiin	0	1	0	1	1	0
ycheeodain	0	1	0	1	1	0
ycheeytydaiin	0	1	0	1	1	0
ycheoar	1	1	0	1	1	0
ycheodain	0	1	0	1	1	0
ycheoky	1	0	0	1	1	0
ycheor	1	1	0	1	1	0
ycheosaiin	0	1	0	1	1	0
ychklkaiin	0	1	0	1	1	0
ychor	1	1	0	1	1	0
ychtaiin	0	1	0	1	1	0
ychtaiir	0	1	0	1	1	0
yckhodaiin	0	1	0	1	1	0
ycthar	1	1	0	1	1	0
ydaiin	0	1	0	1	1	0
ydain	1	1	0	1	1	0
ydair	1	1	0	1	1	0
ydal	1	0	0	1	1	0
ydar	1	1	0	1	1	0
ydor	0	1	0	1	1	0
yefaiin	1	1	0	1	1	0
yfair	0	1	0	1	1	0
yfchor	0	1	0	1	1	0
yfodain	0	1	0	1	1	0
yfolaiin	0	1	0	1	1	0
yfor	0	1	0	1	1	0
yhal	1	0	0	1	1	0
ykaiin	0	1	0	1	1	0
ykaiir	0	1	0	1	1	0
ykain	0	1	0	1	1	0
ykair	0	1	0	1	1	0
ykal	1	0	0	1	1	0
ykalaiin	0	1	0	1	1	0
ykalkain	0	1	0	1	1	0
ykalkal	1	0	0	1	1	0
ykan	0	1	0	1	1	0
ykar	1	1	0	1	1	0
ykarain	0	1	0	1	1	0
ykchedor	0	1	0	1	1	0
ykcheodain	0	1	0	1	1	0
ykcheor	0	1	0	1	1	0
ykchodaiin	0	1	0	1	1	0
ykchor	0	1	0	1	1	0
ykdair	0	1	0	1	1	0
ykeain	0	1	0	1	1	0
ykedaiin	0	1	0	1	1	0
ykedar	1	1	0	1	1	0
ykedor	0	1	0	1	1	0
ykedy	1	0	0	1	1	0
ykeealor	0	1	0	1	1	0
ykeear	1	1	0	1	1	0
ykeedaiin	0	1	0	1	1	0
ykeedain	0	1	0	1	1	0
ykeedal	1	0	0	1	1	0
ykeedan	0	1	0	1	1	0
ykeedar	1	1	0	1	1	0
ykeeochody	1	0	0	1	1	0
ykeeodain	0	1	0	1	1	0
ykeeor	0	1	0	1	1	0
ykeesan	0	1	0	1	1	0
ykeodaiin	0	1	0	1	1	0
ykeodain	0	1	0	1	1	0
ykeodar	1	1	0	1	1	0
ykeor	0	1	0	1	1	0
ykoaiin	0	1	0	1	1	0
ykodar	1	1	0	1	1	0
ykofar	1	1	0	1	1	0
ykol	1	0	0	1	1	0
ykoldy	1	0	0	1	1	0
ykolor	0	1	0	1	1	0
ykor	0	1	0	1	1	0
yksheor	0	1	0	1	1	0
ylar	1	1	0	1	1	0
ylkaiin	0	1	0	1	1	0
ylor	0	1	0	1	1	0
yoar	1	1	0	1	1	0
yochor	0	1	0	1	1	0
yodaiin	0	1	0	1	1	0
yokor	0	1	0	1	1	0
yor	0	1	0	1	1	0
yotaiin	0	1	0	1	1	0
ypaiinal	1	0	0	1	1	0
ypair	0	1	0	1	1	0
ypal	1	0	0	1	1	0
ypar	1	1	0	1	1	0
ypchaiin	0	1	0	1	1	0
ypchal	1	0	0	1	1	0
ypchdaiin	0	1	0	1	1	0
ypchdair	0	1	0	1	1	0
ypchdar	1	1	0	1	1	0
ypchor	0	1	0	1	1	0
ypeor	0	1	0	1	1	0
ypodaiin	0	1	0	1	1	0
ysaiin	0	1	0	1	1	0
ysair	0	1	0	1	1	0
ysar	1	1	0	1	1	0
yshaiin	0	1	0	1	1	0
yshar	1	1	0	1	1	0
yshdain	0	1	0	1	1	0
yshdal	1	0	0	1	1	0
yshealkair	0	1	0	1	1	0
yshear	1	1	0	1	1	0
yshedaiin	0	1	0	1	1	0
yshedair	0	1	0	1	1	0
ysheed	1	0	0	1	1	0
ysheeyqorar	1	1	0	1	1	0
ysheoar	1	1	0	1	1	0
ysheodaiin	0	1	0	1	1	0
ysheokaiin	0	1	0	1	1	0
ysheol	1	0	0	1	1	0
ysheor	0	1	0	1	1	0
yshor	0	1	0	1	1	0
yshos	1	0	0	1	1	0
ytaiin	0	1	0	1	1	0
ytain	0	1	0	1	1	0
ytair	0	1	0	1	1	0
ytal	1	0	0	1	1	0
ytalar	1	1	0	1	1	0
ytar	1	1	0	1	1	0
ytarar	1	1	0	1	1	0
ytasal	1	0	0	1	1	0
ytchaiin	0	1	0	1	1	0
ytchear	1	1	0	1	1	0
ytchedal	1	0	0	1	1	0
ytcheear	1	1	0	1	1	0
ytcheodar	1	1	0	1	1	0
ytchodaiin	0	1	0	1	1	0
ytchor	0	1	0	1	1	0
ytdar	1	1	0	1	1	0
yteain	0	1	0	1	1	0
yteal	1	0	0	1	1	0
ytear	1	1	0	1	1	0
ytedar	1	1	0	1	1	0
ytedykor	0	1	0	1	1	0
yteeedy	1	0	0	1	1	0
yteeeor	0	1	0	1	1	0
yteeo	1	0	0	1	1	0
yteeor	0	1	0	1	1	0
yteodaiin	0	1	0	1	1	0
yteokar	1	1	0	1	1	0
yteor	0	1	0	1	1	0
ytodaiin	0	1	0	1	1	0
ytolkal	1	0	0	1	1	0
ytor	0	1	0	1	1	0
