card_no	component_parse	invariant_card_reading_de	primitive_program	grammar_lanes	occurrences	sections	records	shared_herbal_biological	semantic_noun_carried_by_card
PROC055	AL	Zielstelle	TARGET_HANDOFF	ADDRESS	10	HERBAL|BIOLOGICAL	H5|B1|B2|B3|B4|B5	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC056	HO+Y	Gabe · dies	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC057	CH+EE+CKH+O+DY	abziehen · länger · Durchlass · Arbeitsgang · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC058	SH	halten	HOLD_STATE	STATE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC059	K+E+Y	zuführen · kurz · dies	HOLD_STATE	STATE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC060	OK+OK+Y	ansetzen · ansetzen · dies	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC061	OK+CHEO	ansetzen · abziehen · kurz · Arbeitsgang	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC062	K+AL	zuführen · Zielstelle	TARGET_HANDOFF	ADDRESS	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC063	K+HO+AR	zuführen · Gabe · von dort	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC064	OT+O+AIN	danach · Arbeitsgang · Portion	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC065	OT+Y	danach · dies	ACTIVATE_CHARGE	REFERENCE	2	HERBAL|BIOLOGICAL	H5|B4	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC066	K+E+OL	zuführen · kurz · fortsetzen	HOLD_STATE	STATE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC067	OK+E+DY	ansetzen · kurz · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	8	BIOLOGICAL	B1|B3|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC068	K+AIR	zuführen · Lauf	MOVE_PASS	PROCESS	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC069	K+AIN	zuführen · Portion	ACTIVATE_CHARGE	REFERENCE	3	BIOLOGICAL	B1|B3|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	ACTIVATE_CHARGE	REFERENCE	2	BIOLOGICAL	B1|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC071	R+OL	abkühlen · fortsetzen	HOLD_STATE	STATE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC072	L	führen	MOVE_PASS	PROCESS	2	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC073	SH+E+CKH+AL	halten · kurz · Durchlass · Zielstelle	HOLD_STATE	STATE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC074	OK+EE+AL	ansetzen · länger · Zielstelle	HOLD_STATE	STATE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC075	CKH+Y	Durchlass · dies	MOVE_PASS	PROCESS	4	BIOLOGICAL	B1|B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC076	CHD+DY	umsetzen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	4	BIOLOGICAL	B1|B2|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC077	SH+K+CHD+DY	halten · zuführen · umsetzen · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC078	SHED+DY	absetzen · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	12	BIOLOGICAL	B1|B2|B3|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	3	BIOLOGICAL	B1|B2|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC080	OK+AIN	ansetzen · Portion	ACTIVATE_CHARGE	REFERENCE	7	BIOLOGICAL	B1|B2|B3|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC081	R+AL	abkühlen · Zielstelle	HOLD_STATE	STATE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC082	OK+CHD+DY	ansetzen · umsetzen · Schluss	ACTIVATE_CHARGE>CLOSE	REFERENCE>CLOSE	3	BIOLOGICAL	B1|B3|B5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC083	CHK+E+Y	wärmen · kurz · dies	HOLD_STATE	STATE	3	BIOLOGICAL	B1|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC084	LSH+O	Waschgang · Arbeitsgang	CONTINUE_USE	REFERENCE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC085	OK+E+Y	ansetzen · kurz · dies	HOLD_STATE	STATE	2	BIOLOGICAL	B1|B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC086	LSH+E+DY	Waschgang · kurz · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	2	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC087	SOLK+Y	auffangen · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC088	L+CHD+AL	führen · umsetzen · Zielstelle	TARGET_HANDOFF	ADDRESS	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC089	OT+AR	danach · von dort	SOURCE_DRAW	ADDRESS	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC090	T+E+Y	eintragen · kurz · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	ACTIVATE_CHARGE>CLOSE	REFERENCE>CLOSE	2	BIOLOGICAL	B1|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC092	OK+EE+Y	ansetzen · länger · dies	HOLD_STATE	STATE	7	BIOLOGICAL	B1|B2|B3|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC093	E+OL	kurz · fortsetzen	HOLD_STATE	STATE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC094	CHD+DY	umsetzen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC095	L+Y	führen · dies	MOVE_PASS	PROCESS	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC096	SH+E+OL	halten · kurz · fortsetzen	HOLD_STATE	STATE	1	BIOLOGICAL	B1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC097	O+IIN	Arbeitsgang · Sollstufe	METER_CHECK	ADDRESS	2	BIOLOGICAL	B1|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC098	SOLK+EE+DY	auffangen · länger · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	3	BIOLOGICAL	B1|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC099	SH+CKHE+DY	halten · Durchlass · kurz · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	3	BIOLOGICAL	B1|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC100	OK+EE+DY	ansetzen · länger · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	10	BIOLOGICAL	B2|B3|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC101	L+CKH+Y	führen · Durchlass · dies	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC102	L+CHD	führen · umsetzen	MOVE_PASS	PROCESS	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC103	L+CKHE+DY	führen · Durchlass · kurz · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC104	OK+AL+Y	ansetzen · Zielstelle · dies	TARGET_HANDOFF	ADDRESS	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC105	SOLK+AIIN	auffangen · Maß	METER_CHECK	ADDRESS	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC106	O+CTH+E+OL	Arbeitsgang · bereit · kurz · fortsetzen	HOLD_STATE	STATE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC107	CHK+EE+Y	wärmen · länger · dies	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC108	L+DY	führen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	2	BIOLOGICAL	B2|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC109	OT+EE+Y	danach · länger · dies	HOLD_STATE	STATE	2	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC110	SH+E+CKH+Y	halten · kurz · Durchlass · dies	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC111	SH+E+DY	halten · kurz · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC112	OT+AIIN	danach · Maß	METER_CHECK	ADDRESS	3	BIOLOGICAL	B2|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC113	OK+AR	ansetzen · von dort	SOURCE_DRAW	ADDRESS	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC114	OL+SH+E+DY	fortsetzen · halten · kurz · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC115	LS	fortsetzen	CONTINUE_USE	REFERENCE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC116	L+CH+Y	führen · abziehen · dies	SOURCE_DRAW	ADDRESS	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC117	CTH+E+Y	bereit · kurz · dies	HOLD_STATE	STATE	2	BIOLOGICAL	B2|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC118	L+EE+Y	führen · länger · dies	SOURCE_DRAW	ADDRESS	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC119	OK+EEE+DY	ansetzen · vollständig · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC120	L+CHD+DY	führen · umsetzen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	8	BIOLOGICAL	B2|B3|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC121	L+AR	führen · von dort	SOURCE_DRAW	ADDRESS	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC122	SH+E+Y	halten · kurz · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC123	L+CHD+AR	führen · umsetzen · von dort	SOURCE_DRAW	ADDRESS	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC124	WHOLE[ches]	teilen	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC125	P+CHD+DY	hinein · umsetzen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC126	R+SH+E+AL	abkühlen · halten · kurz · Zielstelle	HOLD_STATE	STATE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC127	AL+DY	Zielstelle · Schluss	TARGET_HANDOFF>CLOSE	ADDRESS>CLOSE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC128	R+SHED+DY	abkühlen · absetzen · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC129	OT+EE+DY	danach · länger · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	2	BIOLOGICAL	B2|B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC130	L+O+CHD+DY	führen · Arbeitsgang · umsetzen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	1	BIOLOGICAL	B2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC131	OT+AL	danach · Zielstelle	TARGET_HANDOFF	ADDRESS	3	BIOLOGICAL	B3|B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC132	CHK+EE+DY	wärmen · länger · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC133	CHD+Y	umsetzen · dies	MOVE_PASS	PROCESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC134	P+CHD+AL	hinein · umsetzen · Zielstelle	TARGET_HANDOFF	ADDRESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC135	OT+E+DY	danach · kurz · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	2	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC136	SH+E+CTH+CHD+Y	halten · kurz · bereit · umsetzen · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC137	AR+Y	von dort · dies	SOURCE_DRAW	ADDRESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC138	OK+AIR	ansetzen · Lauf	MOVE_PASS	PROCESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC139	SH+EE+DY	halten · länger · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC140	L+O	führen · Arbeitsgang	MOVE_PASS	PROCESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC141	OK+SH+E+DY	ansetzen · halten · kurz · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC142	SHED+AL	absetzen · Zielstelle	HOLD_STATE	STATE	2	BIOLOGICAL	B3|B5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC143	SH+E+CTH+Y	halten · kurz · bereit · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC144	AL+CHD+DY	Zielstelle · umsetzen · Schluss	TARGET_HANDOFF>CLOSE	ADDRESS>CLOSE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC145	OT+CHD+DY	danach · umsetzen · Schluss	MOVE_PASS>CLOSE	PROCESS>CLOSE	2	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC146	EE+AR	länger · von dort	HOLD_STATE	STATE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC147	L+AIIN	führen · Maß	METER_CHECK	ADDRESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC148	AL+R+OR	Zielstelle · abkühlen · Ansatz	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC149	EEE+T+Y	vollständig · eintragen · dies	HOLD_STATE	STATE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC150	CHD+AIR	umsetzen · Lauf	MOVE_PASS	PROCESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC151	CHD+AIN	umsetzen · Portion	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC152	OT+E+AIIN	danach · kurz · Maß	METER_CHECK	ADDRESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC153	OL+AL+Y	fortsetzen · Zielstelle · dies	TARGET_HANDOFF	ADDRESS	1	BIOLOGICAL	B3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC154	OL+Y	fortsetzen · dies	CONTINUE_USE	REFERENCE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC155	OK+Y+LDDY	ansetzen · dies · befestigen; Schluss	ACTIVATE_CHARGE>CLOSE	REFERENCE>CLOSE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC156	AIN	Portion	ACTIVATE_CHARGE	REFERENCE	2	BIOLOGICAL	B4|B6	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC157	SH+EE+Y	halten · länger · dies	ACTIVATE_CHARGE	REFERENCE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC158	OK+EE+OL	ansetzen · länger · fortsetzen	HOLD_STATE	STATE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC159	L+K+E+DY	führen · zuführen · kurz · Schluss	HOLD_STATE>CLOSE	STATE>CLOSE	1	BIOLOGICAL	B4	NO	NO__OPERATION_OR_CONTROL_ONLY
