card_no	surfaces	component_recipe	selected_roots	portable_contributions_de	composed_reading_de	events	pages	event_ids
PROC019	chey|chy|dy|shy|sy|y	Y	Y	ARBEITSPOSTEN	ARBEITSPOSTEN	18	f10r|f11r|f55v|f81v|f82r|f83r	E020|E021|E023|E035|E037|E048|E050|E055|E072|E132|E170|E208|E232|E234|E273|E277|E349|E380
PROC023	oykchor	O+Y+K+OR	Y+K	ARBEITSPOSTEN · ZUDOSIEREN	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	1	f10r	E032
PROC024	kaiiin	K+IIN	K+IIN	ZUDOSIEREN · ARBEITSSTUFE	ZUDOSIEREN · ARBEITSSTUFE	1	f10r	E036
PROC025	chodaiin	CH+O+AIIN	AIIN	SOLLMASS	ABNEHMEN · ARBEITSGANG · SOLLMASS	1	f10r	E038
PROC028	cfhy	CFH+Y	Y	ARBEITSPOSTEN	AUSWRINGEN · ARBEITSPOSTEN	1	f11r	E041
PROC029	shfydaiin	SH+Y+AIIN	Y+AIIN	ARBEITSPOSTEN · SOLLMASS	HALTEN · ARBEITSPOSTEN · SOLLMASS	1	f11r	E042
PROC030	cphy	P+Y	Y	ARBEITSPOSTEN	EINFUELLEN · ARBEITSPOSTEN	1	f11r	E043
PROC031	cheey|shey	SH+EE+Y	Y	ARBEITSPOSTEN	HALTEN · LANG · ARBEITSPOSTEN	4	f11r|f82r|f83r	E044|E197|E203|E353
PROC033	shoyty	SH+O+Y+T+Y	Y+Y	ARBEITSPOSTEN · ARBEITSPOSTEN	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	1	f11r	E046
PROC035	kchy	K+Y	K+Y	ZUDOSIEREN · ARBEITSPOSTEN	ZUDOSIEREN · ARBEITSPOSTEN	1	f11r	E049
PROC036	qotchy	OT+Y	Y	ARBEITSPOSTEN	DANACH · ARBEITSPOSTEN	1	f11r	E052
PROC038	okaiin|qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	9	f55v|f81v|f82r|f83r	E056|E102|E180|E181|E219|E236|E243|E256|E270
PROC039	ykain	Y+K+AIN	Y+K+AIN	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	1	f55v	E058
PROC040	ykan	Y+K+AN	Y+K	ARBEITSPOSTEN · ZUDOSIEREN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	1	f55v	E059
PROC042	chdy|chedy	CHD+Y	Y	ARBEITSPOSTEN	UMSETZEN · ARBEITSPOSTEN	11	f55v|f81v|f83r	E062|E123|E145|E244|E252|E287|E304|E319|E328|E342|E372
PROC044	ykaiin	Y+K+AIIN	Y+K+AIIN	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	1	f55v	E064
PROC046	cheeky	CHK+EE+Y	Y	ARBEITSPOSTEN	WAERMEN · LANG · ARBEITSPOSTEN	2	f55v|f83r	E066|E333
PROC049	oltchy	OL+T+Y	Y	ARBEITSPOSTEN	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	1	f55v	E070
PROC050	orain	OR+AIN	AIN	PORTION	ANSATZ · PORTION	1	f55v	E073
PROC051	chochor	HO+CH+OR	HO	ZUTAT	ZUTAT · ABNEHMEN · ANSATZ	1	f56r	E074
PROC052	cho|sho	HO	HO	ZUTAT	ZUTAT	4	f56r	E075|E078|E088|E094
PROC053	chodaly	HO+AL+Y	HO+Y	ZUTAT · ARBEITSPOSTEN	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	1	f56r	E076
PROC054	kchol	K+OL	K	ZUDOSIEREN	ZUDOSIEREN · FORTSETZEN	1	f56r	E079
PROC056	choy	HO+Y	HO+Y	ZUTAT · ARBEITSPOSTEN	ZUTAT · ARBEITSPOSTEN	1	f56r	E084
PROC059	kchey	K+E+Y	K+Y	ZUDOSIEREN · ARBEITSPOSTEN	ZUDOSIEREN · KURZ · ARBEITSPOSTEN	1	f56r	E089
PROC060	qokokchy	OK+OK+Y	Y	ARBEITSPOSTEN	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	1	f56r	E090
PROC062	kchal	K+AL	K	ZUDOSIEREN	ZUDOSIEREN · ZIELSTELLE	1	f56r	E093
PROC063	kchoar	K+HO+AR	K+HO	ZUDOSIEREN · ZUTAT	ZUDOSIEREN · ZUTAT · VORRAT	1	f56r	E096
PROC064	sotodan	OT+O+AIN	AIN	PORTION	DANACH · ARBEITSGANG · PORTION	1	f56r	E097
PROC065	otchey	OT+Y	Y	ARBEITSPOSTEN	DANACH · ARBEITSPOSTEN	2	f56r|f83r	E098|E321
PROC066	keol	K+E+OL	K	ZUDOSIEREN	ZUDOSIEREN · KURZ · FORTSETZEN	1	f56r	E099
PROC068	kair	K+AIR	K	ZUDOSIEREN	ZUDOSIEREN · FLUESSIGKEITSLAUF	1	f81v	E103
PROC069	chkain|kain	K+AIN	K+AIN	ZUDOSIEREN · PORTION	ZUDOSIEREN · PORTION	3	f81v|f83r	E107|E257|E354
PROC070	olkain|qolkain	OL+K+AIN	K+AIN	ZUDOSIEREN · PORTION	FORTSETZEN · ZUDOSIEREN · PORTION	2	f81v|f83r	E108|E358
PROC075	chckhy|shckhy	CKH+Y	Y	ARBEITSPOSTEN	DURCHLASSKANAL · ARBEITSPOSTEN	4	f81v|f82r	E119|E128|E139|E179
PROC077	sshkchdy	SH+K+CHD+DY	K	ZUDOSIEREN	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	1	f81v	E122
PROC080	okain|qokain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION	7	f81v|f82r|f83r	E127|E169|E198|E200|E288|E341|E352
PROC083	cheky	CHK+E+Y	Y	ARBEITSPOSTEN	WAERMEN · KURZ · ARBEITSPOSTEN	3	f81v|f83r	E134|E164|E339
PROC085	okey|qokey	OK+E+Y	Y	ARBEITSPOSTEN	ANSETZEN · KURZ · ARBEITSPOSTEN	2	f81v|f82r	E142|E220
PROC087	qolky	SOLK+Y	Y	ARBEITSPOSTEN	AUFFANGEN · ARBEITSPOSTEN	1	f81v	E146
PROC090	ytey	T+E+Y	Y	ARBEITSPOSTEN	EINTRAGEN · KURZ · ARBEITSPOSTEN	1	f81v	E150
PROC092	okeey|qokeey	OK+EE+Y	Y	ARBEITSPOSTEN	ANSETZEN · LANG · ARBEITSPOSTEN	7	f81v|f82r|f83r	E153|E175|E194|E205|E293|E317|E322
PROC095	ly	L+Y	Y	ARBEITSPOSTEN	WEITERLEITEN · ARBEITSPOSTEN	1	f81v	E159
PROC097	oiiin|soiiin	O+IIN	IIN	ARBEITSSTUFE	ARBEITSGANG · ARBEITSSTUFE	2	f81v|f83r	E161|E309
PROC101	lcheckhy	L+CKH+Y	Y	ARBEITSPOSTEN	WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN	1	f82r	E173
PROC104	qokaly	OK+AL+Y	Y	ARBEITSPOSTEN	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	f82r	E177
PROC105	solkaiin	SOLK+AIIN	AIIN	SOLLMASS	AUFFANGEN · SOLLMASS	1	f82r	E178
PROC107	chkeey	CHK+EE+Y	Y	ARBEITSPOSTEN	WAERMEN · LANG · ARBEITSPOSTEN	1	f82r	E183
PROC109	oteey	OT+EE+Y	Y	ARBEITSPOSTEN	DANACH · LANG · ARBEITSPOSTEN	2	f82r	E185|E218
PROC110	sheckhy	SH+E+CKH+Y	Y	ARBEITSPOSTEN	HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN	1	f82r	E187
PROC112	otaiin|sotaiin	OT+AIIN	AIIN	SOLLMASS	DANACH · SOLLMASS	3	f82r|f83r	E190|E306|E312
PROC116	lchy	L+CH+Y	Y	ARBEITSPOSTEN	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	1	f82r	E202
PROC117	qcthey|shcthey	CTH+E+Y	Y	ARBEITSPOSTEN	BEREIT · KURZ · ARBEITSPOSTEN	2	f82r|f83r	E204|E258
PROC118	lcheey	L+EE+Y	Y	ARBEITSPOSTEN	WEITERLEITEN · LANG · ARBEITSPOSTEN	1	f82r	E206
PROC122	tshey	SH+E+Y	Y	ARBEITSPOSTEN	HALTEN · KURZ · ARBEITSPOSTEN	1	f82r	E212
PROC133	chedchy	CHD+Y	Y	ARBEITSPOSTEN	UMSETZEN · ARBEITSPOSTEN	1	f83r	E240
PROC136	shecthedchy	SH+E+CTH+CHD+Y	Y	ARBEITSPOSTEN	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	1	f83r	E250
PROC137	chary	AR+Y	Y	ARBEITSPOSTEN	VORRAT · ARBEITSPOSTEN	1	f83r	E253
PROC143	shecthy	SH+E+CTH+Y	Y	ARBEITSPOSTEN	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	1	f83r	E276
PROC147	chldaiin	L+AIIN	AIIN	SOLLMASS	WEITERLEITEN · SOLLMASS	1	f83r	E286
PROC149	cheeety	EEE+T+Y	Y	ARBEITSPOSTEN	VOLL · EINTRAGEN · ARBEITSPOSTEN	1	f83r	E296
PROC151	chedain	CHD+AIN	AIN	PORTION	UMSETZEN · PORTION	1	f83r	E303
PROC152	qotedaiin	OT+E+AIIN	AIIN	SOLLMASS	DANACH · KURZ · SOLLMASS	1	f83r	E305
PROC153	olsaly	OL+AL+Y	Y	ARBEITSPOSTEN	FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	f83r	E313
PROC154	qolchey	OL+Y	Y	ARBEITSPOSTEN	FORTSETZEN · ARBEITSPOSTEN	1	f83r	E316
PROC155	qokylddy	OK+Y+LD+DY	Y	ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	1	f83r	E326
PROC156	dain	AIN	AIN	PORTION	PORTION	2	f83r	E327|E379
PROC157	sheey	SH+EE+Y	Y	ARBEITSPOSTEN	HALTEN · LANG · ARBEITSPOSTEN	1	f83r	E334
PROC159	lkedy	L+K+E+DY	K	ZUDOSIEREN	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	1	f83r	E344
PROC161	qockhey	O+CKH+E+Y	Y	ARBEITSPOSTEN	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	1	f83r	E350
PROC162	dairydy	AIR+Y+DY	Y	ARBEITSPOSTEN	FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	1	f83r	E351
PROC164	solkey	SOLK+E+Y	Y	ARBEITSPOSTEN	AUFFANGEN · KURZ · ARBEITSPOSTEN	1	f83r	E356
PROC165	skar	K+AR	K	ZUDOSIEREN	ZUDOSIEREN · VORRAT	1	f83r	E360
PROC169	daiiin	DA+IIN	IIN	ARBEITSSTUFE	ZWEITMARKER · ARBEITSSTUFE	1	f83r	E371
PROC170	solkeey	SOLK+EE+Y	Y	ARBEITSPOSTEN	AUFFANGEN · LANG · ARBEITSPOSTEN	1	f83r	E373
PROC171	qekey	E+K+E+Y	K+Y	ZUDOSIEREN · ARBEITSPOSTEN	KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN	1	f83r	E374
PROC172	raly	R+AL+Y	Y	ARBEITSPOSTEN	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	1	f83r	E375
