master_card_id	value_de	position_class	observed_events	surface_counts	preferred_surface	preferred_event_ids
MC029	Quellabzug	ONLY	1	lar:1	lar	E211
MC030	Abzug	ONLY	1	lo:1	lo	E263
MC031	Zieltransfer; Schluss	FINAL	1	dalchdy:1	dalchdy	E280
MC032	länger bearbeiten	MEDIAL	2	cheeky:2	cheeky	E066|E333
MC033	Arbeitsstufe	INITIAL	1	soiiin:1	soiiin	E309
MC033	Arbeitsstufe	MEDIAL	1	oiiin:1	oiiin	E161
MC034	weitere Zutat	INITIAL	2	sho:2	sho	E078|E094
MC034	weitere Zutat	MEDIAL	2	cho:2	cho	E075|E088
MC035	durchleiten	INITIAL	1	chckhy:1	chckhy	E139
MC035	durchleiten	MEDIAL	3	chckhy:2|shckhy:1	chckhy	E119|E179
MC036	Sollsammlung	MEDIAL	1	solkaiin:1	solkaiin	E178
MC037	Endzugabe; Schluss	FINAL	1	tchody:1	tchody	E045
MC038	Waschgang; Schluss	FINAL	1	lshedy:1	lshedy	E143
MC038	Waschgang; Schluss	ONLY	1	lshedy:1	lshedy	E144
MC039	Sollmaß	INITIAL	6	aiin:1|daiin:2|saiin:3	saiin	E274|E332|E338
MC039	Sollmaß	MEDIAL	9	aiin:1|chaiin:1|daiin:6|taiin:1	daiin	E009|E030|E116|E118|E207|E233
MC039	Sollmaß	FINAL	5	aiin:1|daiin:3|saiin:1	daiin	E051|E077|E100
MC040	dorthin einsetzen	INITIAL	2	qokal:2	qokal	E152|E172
MC040	dorthin einsetzen	MEDIAL	4	okal:2|qokal:2	okal	E069|E104
MC041	Weiterverarbeitung	MEDIAL	1	okchol:1	okchol	E053
MC042	Quelltransfer	INITIAL	1	cheedar:1	cheedar	E285
MC043	Vorbereitungstransfer	INITIAL	1	shecthedchy:1	shecthedchy	E250
MC044	Quelleinsatz	MEDIAL	1	qokar:1	qokar	E191
MC045	lange sammeln; Schluss	FINAL	1	olkeedy:1	olkeedy	E162
MC045	lange sammeln; Schluss	ONLY	2	olkeedy:1|solkeedy:1	olkeedy	E229
MC046	Endposten	MEDIAL	1	raly:1	raly	E375
MC047	erste Portion	MEDIAL	1	ykain:1	ykain	E058
MC048	Arbeitsstufe	MEDIAL	1	kaiiin:1	kaiiin	E036
MC049	Sudansatz	MEDIAL	1	schoal:1	schoal	E040
MC050	Kurzsammlung	INITIAL	1	solkey:1	solkey	E356
MC051	Zielabführung	MEDIAL	1	lchedal:1	lchedal	E147
MC052	Kurzbearbeitung	MEDIAL	1	qekey:1	qekey	E374
MC053	Fortgang	MEDIAL	1	otol:1	otol	E026
MC054	Zieleinsatz	INITIAL	1	qokaly:1	qokaly	E177
MC055	davon	MEDIAL	3	char:2|sar:1	char	E003|E199
MC055	davon	FINAL	2	dar:2	dar	E031|E238
MC056	Zielmarke	FINAL	1	ral:1	ral	E130
MC057	Folgetransfer; Schluss	FINAL	1	otchedy:1	otchedy	E301
MC057	Folgetransfer; Schluss	ONLY	1	qotchedy:1	qotchedy	E281
MC058	Kurze Zielpassage	MEDIAL	1	sheckhal:1	sheckhal	E115
MC059	Einlage	INITIAL	1	dain:1	dain	E327
MC059	Einlage	MEDIAL	1	dain:1	dain	E379
MC060	Folgemaß	INITIAL	1	sotaiin:1	sotaiin	E190
MC060	Folgemaß	MEDIAL	2	otaiin:2	otaiin	E306|E312
MC061	Haltetransfer; Schluss	ONLY	1	sshkchdy:1	sshkchdy	E122
MC062	Zugabeteil	ONLY	1	shoyty:1	shoyty	E046
MC063	Langfolge	INITIAL	1	oteey:1	oteey	E185
MC063	Langfolge	MEDIAL	1	oteey:1	oteey	E218
MC064	Postentransfer	INITIAL	1	chedchy:1	chedchy	E240
MC065	Auslass	MEDIAL	1	ls:1	ls	E196
MC066	Klarabzug	MEDIAL	1	lcheey:1	lcheey	E206
MC067	Nachtransfer; Schluss	ONLY	1	otchdy:1	otchdy	E362
MC068	Folgeanwendung	FINAL	1	sotodan:1	sotodan	E097
MC069	Folgeteil	MEDIAL	1	otytchol:1	otytchol	E007
MC070	Zuführung; Schluss	ONLY	1	pchedy:1	pchedy	E221
MC071	Grundteil	INITIAL	1	dchey:1	dchey	E001
MC072	Bereitungsanteil	FINAL	1	orain:1	orain	E073
MC073	kurz vorbereiten	MEDIAL	2	qcthey:1|shcthey:1	qcthey	E204
MC074	überführen	INITIAL	3	chedy:3	chedy	E123|E145|E319
MC074	überführen	MEDIAL	6	chedy:6	chedy	E062|E244|E252|E287|E304|E328
MC074	überführen	FINAL	2	chdy:1|chedy:1	chdy	E342
MC075	Auszugsansatz	INITIAL	1	ycheor:1	ycheor	E015
MC076	Kurzhalt	INITIAL	1	dsheol:1	dsheol	E160
MC077	Zielbearbeitung	FINAL	1	kchal:1	kchal	E093
MC078	Zwischenziel	MEDIAL	1	olsaly:1	olsaly	E313
MC079	Zielschluss	FINAL	1	daldy:1	daldy	E223
MC080	Ansatz	INITIAL	2	or:1|sor:1	or	E348
MC080	Ansatz	MEDIAL	5	chor:3|or:1|shor:1	chor	E017|E025|E034
MC081	Laufeinsatz	INITIAL	1	okair:1	okair	E260
MC082	lange einwirken; Schluss	FINAL	5	qokeedy:5	qokeedy	E171|E201|E213|E245|E329
MC082	lange einwirken; Schluss	ONLY	5	qokeedy:5	qokeedy	E224|E227|E265|E302|E315
MC083	kurz einwirken; Schluss	FINAL	5	qokedy:5	qokedy	E259|E294|E297|E318|E335
MC083	kurz einwirken; Schluss	ONLY	3	qokedy:3	qokedy	E101|E137|E138
MC084	Waschschluss	ONLY	1	rshedy:1	rshedy	E225
MC085	Quellauszug	MEDIAL	1	cheoar:1	cheoar	E065
MC086	Anteil	MEDIAL	2	chety:1|chty:1	chety	E311
MC087	Zugabemaß	FINAL	1	chodaiin:1	chodaiin	E038
MC088	einführen; Schluss	ONLY	3	qokchdy:3	qokchdy	E131|E284|E363
MC089	Quellausguss	INITIAL	1	skar:1	skar	E360
MC090	Weiterverarbeitung	MEDIAL	1	kchol:1	kchol	E079
MC091	Laufschluss	FINAL	1	dairydy:1	dairydy	E351
MC092	Weiterabzug	MEDIAL	1	lol:1	lol	E367
MC093	danach dorthin	INITIAL	1	qotal:1	qotal	E230
MC093	danach dorthin	MEDIAL	1	qotal:1	qotal	E237
MC093	danach dorthin	FINAL	1	otal:1	otal	E320
MC094	Vollteil	MEDIAL	1	cheeety:1	cheeety	E296
MC095	Langhalt	MEDIAL	1	sheey:1	sheey	E334
MC096	Langer Zieleinsatz	MEDIAL	1	qokeedal:1	qokeedal	E117
MC097	weiterer Anteil	INITIAL	1	qolkain:1	qolkain	E358
MC097	weiterer Anteil	MEDIAL	1	olkain:1	olkain	E108
MC098	Kochgut	INITIAL	1	tshol:1	tshol	E039
MC099	Langpassage; Schluss	FINAL	1	cheeckhody:1	cheeckhody	E086
MC100	Abkühlen	FINAL	1	ody:1	ody	E060
MC101	Endziel	FINAL	1	ldalor:1	ldalor	E381
MC102	Kurzhalt am Ziel	INITIAL	1	rsheal:1	rsheal	E222
MC103	weiterbearbeiten	INITIAL	2	okchy:1|qokchy:1	okchy	E091
MC103	weiterbearbeiten	MEDIAL	1	chokchy:1	chokchy	E095
MC104	Kurzfortsetzung	MEDIAL	1	keol:1	keol	E099
MC105	Anteil	MEDIAL	3	chkain:1|kain:2	kain	E107|E354
MC106	Kurzfortsetzung	MEDIAL	1	teol:1	teol	E157
MC107	Folgeposten	INITIAL	1	qotchy:1	qotchy	E052
MC108	Kurzteil	FINAL	1	etyd:1	etyd	E010
MC109	Kurzteil	INITIAL	1	ytey:1	ytey	E150
MC110	Langwärmen; Schluss	FINAL	1	chkeedy:1	chkeedy	E231
MC111	Stehzeit	MEDIAL	1	shfydaiin:1	shfydaiin	E042
MC112	Fortsetzung vorbereiten	MEDIAL	1	octheol:1	octheol	E182
MC113	am Ziel absetzen	MEDIAL	1	shedal:1	shedal	E275
MC113	am Ziel absetzen	ONLY	1	shedal:1	shedal	E364
MC114	Halten	INITIAL	1	sh:1	sh	E087
MC115	Folgeposten	MEDIAL	1	qoctholy:1	qoctholy	E019
MC116	Weiterlauf	INITIAL	1	schedair:1	schedair	E300
MC117	Bearbeiten	MEDIAL	1	kchy:1	kchy	E049
MC118	Abführposten	ONLY	1	ly:1	ly	E159
MC119	Klarauszug	INITIAL	1	cheey:1	cheey	E203
MC119	Klarauszug	MEDIAL	2	shey:2	shey	E044|E353
MC119	Klarauszug	FINAL	1	cheey:1	cheey	E197
MC120	bemessen	INITIAL	7	okaiin:1|qokaiin:6	qokaiin	E056|E181|E236|E243|E256|E270
MC120	bemessen	MEDIAL	1	qokaiin:1	qokaiin	E219
MC120	bemessen	FINAL	1	qokaiin:1	qokaiin	E180
MC121	Folgequelle	FINAL	1	otar:1	otar	E149
MC122	Kurzbearbeitung	MEDIAL	1	kchey:1	kchey	E089
MC123	dies	INITIAL	2	chey:2	chey	E132|E232
MC123	dies	MEDIAL	13	chey:5|chy:3|dy:4|y:1	chey	E208|E234|E277|E349|E380
MC123	dies	FINAL	3	dy:1|shy:1|sy:1	dy	E055
MC124	Kurzabzug; Schluss	FINAL	1	lkedy:1	lkedy	E344
MC125	Zugabeansatz	INITIAL	1	chochor:1	chochor	E074
MC126	Zielzuführung	INITIAL	1	pchedal:1	pchedal	E248
MC127	Abführung	FINAL	1	lched:1	lched	E174
MC128	kurz absetzen; Schluss	FINAL	9	cheedy:1|shedy:8	shedy	E125|E136|E192|E255|E314|E325|E347|E361
MC128	kurz absetzen; Schluss	ONLY	3	shedy:2|tedy:1	shedy	E266|E336
MC129	Auswringen	MEDIAL	1	cfhy:1	cfhy	E041
MC130	Waschgang	INITIAL	1	lsho:1	lsho	E141
MC131	Zugabeposten	MEDIAL	1	choy:1	choy	E084
MC132	Kurzpassage	MEDIAL	1	sheckhy:1	sheckhy	E187
MC133	Trennabzug; Schluss	FINAL	1	lcheckhedy:1	lcheckhedy	E176
MC134	Weitergang	MEDIAL	1	qolky:1	qolky	E146
MC135	Kurzfolge; Schluss	FINAL	2	otedy:2	otedy	E249|E307
MC136	Quellauszug	MEDIAL	1	kchoar:1	kchoar	E096
MC137	Kurzvorbereitung	MEDIAL	1	shecthy:1	shecthy	E276
MC138	Kurzabsetzen; Schluss	ONLY	1	dshedy:1	dshedy	E189
MC139	Transfer; Schluss	FINAL	1	dchdy:1	dchdy	E158
MC140	Volleinsatz; Schluss	FINAL	1	qokeeedy:1	qokeeedy	E209
MC141	Klarlauf	INITIAL	1	tshey:1	tshey	E212
MC142	vom vorigen	INITIAL	2	dchol:1|schol:1	dchol	E047
MC143	durchlassen; Schluss	FINAL	1	shckhedy:1	shckhedy	E165
MC143	durchlassen; Schluss	ONLY	2	shckhedy:2	shckhedy	E330|E331
MC144	Sollabsetzung	MEDIAL	1	chldaiin:1	chldaiin	E286
MC145	Anteilstransfer	INITIAL	1	chedain:1	chedain	E303
MC146	Zielbereitung	FINAL	1	chealror:1	chealror	E290
MC147	kurz wärmen	INITIAL	1	cheky:1	cheky	E164
MC147	kurz wärmen	MEDIAL	2	cheky:2	cheky	E134|E339
MC148	zweite Portion	MEDIAL	1	ykan:1	ykan	E059
MC149	Folgeabsetzen; Schluss	ONLY	1	solshedy:1	solshedy	E193
MC150	Langfortsetzung	MEDIAL	1	okeeol:1	okeeol	E340
MC151	Einsatzabsetzen; Schluss	ONLY	1	qokshedy:1	qokshedy	E267
MC152	Teilen	MEDIAL	1	ches:1	ches	E216
MC153	weiter	INITIAL	3	sol:3	sol	E295|E343|E370
MC153	weiter	MEDIAL	14	cheol:1|chol:3|ol:7|qol:2|tol:1	ol	E106|E110|E114|E124|E133|E135|E378
MC153	weiter	FINAL	1	ol:1	ol	E376
MC153	weiter	ONLY	1	qol:1	qol	E121
MC154	dorthin	INITIAL	4	cheal:1|dal:2|sal:1	dal	E268|E365
MC154	dorthin	MEDIAL	3	al:1|dal:1|tal:1	al	E109
MC154	dorthin	FINAL	2	dal:2	dal	E082|E359
MC154	dorthin	ONLY	1	chal:1	chal	E166
MC155	abführen; Schluss	FINAL	3	lchedy:3	lchedy	E235|E269|E357
MC155	abführen; Schluss	ONLY	5	lchedy:5	lchedy	E210|E246|E262|E282|E345
MC156	Nachseihen	MEDIAL	1	cphy:1	cphy	E043
MC157	derselbe Ansatz	INITIAL	1	olor:1	olor	E113
MC157	derselbe Ansatz	MEDIAL	1	cholor:1	cholor	E028
MC158	Vorbereitung	MEDIAL	1	cthoor:1	cthoor	E002
MC159	Aufnahmegefäß	MEDIAL	1	os:1	os	E005
MC160	Verwahrort	FINAL	1	talam:1	talam	E063
MC161	bereit	MEDIAL	6	checthy:2|cthy:2|shcthy:2	checthy	E289|E310
MC161	bereit	FINAL	1	cthy:1	cthy	E014
MC162	Weiterposten	INITIAL	1	qolchey:1	qolchey	E316
MC163	Weitergang	MEDIAL	1	qotchol:1	qotchol	E012
MC164	Festsetzen; Schluss	ONLY	1	qokylddy:1	qokylddy	E326
MC165	Kurzdurchgang	MEDIAL	1	qockhey:1	qockhey	E350
MC166	Langwärmen	MEDIAL	1	chkeey:1	chkeey	E183
MC167	Abführung; Schluss	ONLY	1	lochedy:1	lochedy	E228
MC168	Abführpassage	MEDIAL	1	lcheckhy:1	lcheckhy	E173
MC169	Sollvorbereitung	MEDIAL	1	cthaiin:1	cthaiin	E018
MC170	Sollportion	INITIAL	1	ykaiin:1	ykaiin	E064
MC171	das nächste	INITIAL	2	otchey:2	otchey	E098|E321
MC172	Endstufe	MEDIAL	1	daiiin:1	daiiin	E371
MC173	lange Folgestufe; Schluss	ONLY	2	qoteedy:2	qoteedy	E226|E292
