record_unit_id	left_locus	right_locus	left_last_field	left_last_field_closure	left_edge_surface	right_edge_surface	exact_joint_tuple_edge_repeat	classification	confidence	rationale
B1	f81v.7	f81v.17	F024	OPEN	qol	sshkchdy	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B1	f81v.17	f81v.18	F028	OPEN	ral	qokchdy	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B1	f81v.18	f81v.21	F033	OPEN	qoky	lsho	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B1	f81v.21	f81v.24	F036	OPEN	otar	ytey	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B1	f81v.24	f81v.27	F040	OPEN	ly	dsheol	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B2	f82r.2	f82r.3	F048	OPEN	lched	qokeey	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B2	f82r.3	f82r.4	F050	OPEN	qokaiin	qokaiin	TRUE	CONTINUE_SAME_CLAUSE	HIGH	Exact atomic card repeats at line edge and next line onset; read once as anticipatory copy/catchword before testing ordinary repetition.
B2	f82r.4	f82r.7	F052	OPEN	qoky	dshedy	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B2	f82r.7	f82r.19	F056	OPEN	cheey	okain	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B2	f82r.19	f82r.23	F058	OPEN	lchy	cheey	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B2	f82r.23	f82r.26	F061	OPEN	lar	tshey	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B2	f82r.26	f82r.27	F063	OPEN	okey	pchedy	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B3	f83r.3	f83r.6	F074	OPEN	dar	schedy	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B3	f83r.6	f83r.8	F079	OPEN	qoky	pchedal	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
B3	f83r.8	f83r.11	F081	OPEN	chary	sor	FALSE	START_NEW_CLAUSE	MEDIUM_LOW	A completed preparation or topic phase precedes a new source clause; the record owner remains unchanged.
B3	f83r.11	f83r.14	F086	OPEN	lo	qokchedy	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B3	f83r.14	f83r.15	F092	OPEN	sy	saiin	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
B3	f83r.15	f83r.16	F095	TERMINAL	lchedy	tchedy	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B3	f83r.16	f83r.20	F098	OPEN	chealror	solkeedy	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B3	f83r.20	f83r.22	F103	OPEN	saiin	schedair	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B3	f83r.22	f83r.24	F107	TERMINAL	ldy	soiiin	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B4	f83r.25	f83r.26	F111	OPEN	otal	otchey	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
B4	f83r.26	f83r.27	F113	TERMINAL	qokylddy	dain	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B4	f83r.27	f83r.28	F116	TERMINAL	shckhedy	saiin	FALSE	NEXT_PARALLEL_CELL	MEDIUM	Bio stencil changes to another complete or parallel work cell; active page owner persists but source transaction advances.
B4	f83r.28	f83r.35	F119	TERMINAL	oldy	saiin	FALSE	START_NEW_CLAUSE	MEDIUM_LOW	A completed preparation or topic phase precedes a new source clause; the record owner remains unchanged.
B4	f83r.35	f83r.37	F120	OPEN	chdy	sol	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
B4	f83r.37	f83r.38	F123	TERMINAL	shedy	or	FALSE	START_NEW_CLAUSE	MEDIUM_LOW	A completed preparation or topic phase precedes a new source clause; the record owner remains unchanged.
B4	f83r.38	f83r.39	F124	TERMINAL	dairydy	qokain	FALSE	START_NEW_CLAUSE	MEDIUM_LOW	A completed preparation or topic phase precedes a new source clause; the record owner remains unchanged.
B4	f83r.39	f83r.41	F125	OPEN	chckhal	solkey	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
B4	f83r.41	f83r.44	F127	OPEN	dal	skar	FALSE	START_NEW_CLAUSE	MEDIUM_LOW	A completed preparation or topic phase precedes a new source clause; the record owner remains unchanged.
B5	f83r.47	f83r.48	F131	OPEN	shedal	dal	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
B5	f83r.48	f83r.49	F132	OPEN	aiin	sol	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
B6	f83r.52	f83r.54	F134	OPEN	ol	daiin	FALSE	CONTINUE_SAME_CLAUSE	MEDIUM	Open or argument-incomplete source expansion is most economical as the same clause after physical reflow.
