boundary_serial	boundary_id	record_unit_id	page	boundary_ordinal_in_record	left_locus	right_locus	left_last_field_id	right_first_field_id	left_field_closure_status	boundary_classification	same_source_statement	left_source_statement_id	right_source_statement_id	active_state_before_boundary	boundary_transition	parallel_cell_pattern	left_tail_exact_id	left_tail_selected_mnemonic	left_tail_formal_control	right_head_exact_id	right_head_selected_mnemonic	right_head_formal_control	repeated_exact_joint_tuple_across_boundary	decision_evidence	strongest_rival_segmentation	focus_status	line_statement_contract	source_lineage
11	LBOUND011	H5	f56r	5	f56r.13	f56r.18	F018	F019	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S010	S010	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	75a523fcf039b006f97b	UNKNOWN	NONE	2cc054357a929df85f64	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
12	LBOUND012	H5	f56r	6	f56r.18	f56r.19	F019	F020	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S010	S010	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_EXTENDED_BY_NEXT_OPEN_HEAD	61a075bc54793c1c781f	UNKNOWN	NONE	faf321940aed922846a9	ANTEIL?	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
13	LBOUND013	B1	f81v	1	f81v.2	f81v.7	F022	F023	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S012	S012	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	0f18de177ed7c878bf95	UNKNOWN	NONE	dec401773c1f0347793d	VORIGES?	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
14	LBOUND014	B1	f81v	2	f81v.7	f81v.17	F024	F025	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S013	S013	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	dcda95c81a5460feb191	UNKNOWN	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	54e32e9c1414b20640e9	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
15	LBOUND015	B1	f81v	3	f81v.17	f81v.18	F028	F029	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S016	S016	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	4da0f0f7b5fc7ac20067	UNKNOWN	NONE	87411f84689b4f93a303	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
16	LBOUND016	B1	f81v	4	f81v.18	f81v.21	F033	F034	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S020	S020	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	276a7c2d74d1143446f4	ANWENDEN?	NONE	be0974b366c981dc1eef	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
17	LBOUND017	B1	f81v	5	f81v.21	f81v.24	F036	F037	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S022	S022	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	b6b654722e55729cc947	UNKNOWN	NONE	a7af89ab31ce5e247395	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
18	LBOUND018	B1	f81v	6	f81v.24	f81v.27	F040	F041	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S025	S025	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	b38d70daefd663d74625	UNKNOWN	NONE	74c76d589d44120f647b	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
19	LBOUND019	B2	f82r	1	f82r.2	f82r.3	F048	F049	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S032	S032	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	ba8142680851f24c9ff2	UNKNOWN	NONE	0275fbf14e07935b0a45	TEMPERIEREN?	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
20	LBOUND020	B2	f82r	2	f82r.3	f82r.4	F050	F051	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S033	S033	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	b5fcea1eaed06b2f2291	UNKNOWN	STANDARDSLOT_SETZEN	b5fcea1eaed06b2f2291	UNKNOWN	STANDARDSLOT_SETZEN	YES	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	RESUMPTIVE_DUPLICATE_HEADER_SPLIT: infer an implicit left-line commit and read the repeated exact setup as a new transaction.	PRIMARY_F82R_3_TO_4	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
21	LBOUND021	B2	f82r	3	f82r.4	f82r.7	F052	F053	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S034	S034	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	276a7c2d74d1143446f4	ANWENDEN?	NONE	cbb42a4fe68068325d6b	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
22	LBOUND022	B2	f82r	4	f82r.7	f82r.19	F056	F057	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S037	S037	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	b5df9126607030b95175	KLAR?	NONE	1645e612504fcef59ced	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
23	LBOUND023	B2	f82r	5	f82r.19	f82r.23	F058	F059	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S038	S038	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	0ab57b7166de99db3a55	UNKNOWN	NONE	b5df9126607030b95175	KLAR?	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
24	LBOUND024	B2	f82r	6	f82r.23	f82r.26	F061	F062	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S040	S040	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	29e0eb222ef2fb99523a	UNKNOWN	NONE	d4a31dbcf1ed6d9e5aa9	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
25	LBOUND025	B2	f82r	7	f82r.26	f82r.27	F063	F064	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S041	S041	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	08bd5ca0c2ad137a056d	UNKNOWN	NONE	65df3cd9e59060042d47	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	GENERAL_BOUNDARY	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
26	LBOUND026	B3	f83r	1	f83r.3	f83r.6	F074	F075	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S051	S051	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	4d4559019a961b834aa1	UNKNOWN	NONE	259b2b3b0bf859882e2c	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
27	LBOUND027	B3	f83r	2	f83r.6	f83r.8	F079	F080	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S055	S055	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	276a7c2d74d1143446f4	ANWENDEN?	NONE	ba540da978ea132f6da5	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
28	LBOUND028	B3	f83r	3	f83r.8	f83r.11	F081	F082	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S056	S056	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	0bdc8b6db811b4e67a63	UNKNOWN	NONE	7a4bb8136330ee4e6e56	ANSATZ?	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
29	LBOUND029	B3	f83r	4	f83r.11	f83r.14	F086	F087	OPEN	CONTINUE_OPEN_TRANSACTION	YES	S060	S060	ACTIVE_TRANSACTION_OPEN_AT_LEFT_LOCUS_END	RESUME_SAME_ACTIVE_TRANSACTION_AT_RIGHT_LOCUS_HEAD	OPEN_TAIL_CLOSED_BY_NEXT_LOCUS_HEAD	2b7fa918d1b2f5c656e3	UNKNOWN	NONE	07913ef9b1fb773cd325	UNKNOWN	NONE	NO	Left final field is OPEN; identical source statement ID continues across the physical locus boundary.	PHYSICAL_LINE_RESET_SPLIT: infer an unmarked commit after the OPEN tail and start a new transaction at the right locus.	F83R_PRESSURE_SET	PHYSICAL_LOCUS_BOUNDARY_IS_NOT_AUTOMATIC_STATEMENT_BOUNDARY	V60_SELECTED_EVENT_LEDGER>V59_R1_FIELD_CLOSURE>V61_R3_BOUNDARY_CLASSIFICATION
