field_serial	field_id	page	record_unit_id	locus	field_ordinal_in_locus	field_ordinal_in_record	source_statement_id	statement_field_position	field_closure_status	event_count	event_serials	source_surface_sequence_display_only	selected_exact_mnemonic_slots	formal_control_slots	active_state_before_field	active_state_after_field	assignment_reason	full_local_field_reading	field_nonmedical_rival	binding_contract	source_lineage
11	F011	f55v	H4	f55v.5	2	2	S006	ONLY	TERMINAL	3	E61,E62,E63	daiin chedy talam	E61:2f1c5e56e8f0ff459065:MASS?	E61:VORGABEPARAMETER?	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal	weichen Rest abteilen [Ganzfeldexemplar H4, Feld 2/4]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
12	F012	f55v	H4	f55v.11	1	3	S007	ONLY	TERMINAL	4	E64,E65,E66,E67	ykaiin cheoar cheeky oldy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt	zwei Arbeitsfraktionen vergleichen [Ganzfeldexemplar H4, Feld 3/4]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
13	F013	f55v	H4	f55v.11	2	4	S008	ONLY	OPEN	6	E68,E69,E70,E71,E72,E73	aiin okal oltchy or y orain	E68:2f1c5e56e8f0ff459065:MASS? | E71:7a4bb8136330ee4e6e56:ANSATZ?	E69:LOKALEN_RELATIONSSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_OPEN_AT_RECORD_END	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch	Fraktionen buchen [Ganzfeldexemplar H4, Feld 4/4]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
14	F014	f56r	H5	f56r.5	1	1	S009	FIRST	OPEN	4	E74,E75,E76,E77	chochor cho chodaly daiin	E77:2f1c5e56e8f0ff459065:MASS?	E77:VORGABEPARAMETER?	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß	klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 1/7]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
15	F015	f56r	H5	f56r.7	1	2	S009	MIDDLE	OPEN	5	E78,E79,E80,E81,E82	sho kchol otchor choky dal	E81:276a7c2d74d1143446f4:ANWENDEN? | E82:dd0ecaf5e27d81befffc:ZIEL?	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 2/7]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
16	F016	f56r	H5	f56r.8	1	3	S009	LAST	TERMINAL	4	E83,E84,E85,E86	schol choy choky cheeckhody	E85:276a7c2d74d1143446f4:ANWENDEN?	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	klein dosieren [Ganzfeldexemplar H5, Feld 3/7]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
17	F017	f56r	H5	f56r.12	1	4	S010	FIRST	OPEN	4	E87,E88,E89,E90	sh cho kchey qokokchy	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten	klein dosieren [Ganzfeldexemplar H5, Feld 4/7]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
18	F018	f56r	H5	f56r.13	1	5	S010	MIDDLE	OPEN	3	E91,E92,E93	okchy chokcheo kchal	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten	Materialprobe trennen [Ganzfeldexemplar H5, Feld 5/7]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
19	F019	f56r	H5	f56r.18	1	6	S010	MIDDLE	OPEN	4	E94,E95,E96,E97	sho chokchy kchoar sotodan	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt	Materialprobe trennen [Ganzfeldexemplar H5, Feld 6/7]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
20	F020	f56r	H5	f56r.19	1	7	S010	LAST	OPEN	3	E98,E99,E100	otchey keol daiin	E98:faf321940aed922846a9:ANTEIL? | E100:2f1c5e56e8f0ff459065:MASS?	E100:VORGABEPARAMETER?	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_OPEN_AT_RECORD_END	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	trocknen und lagern [Ganzfeldexemplar H5, Feld 7/7]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
21	F021	f81v	B1	f81v.2	1	1	S011	ONLY	TERMINAL	1	E101	qokedy	E101:7db18b2f0fb7ed0fcfd3:SPÜLEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	spüle die bezeichnete Stelle einmal und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 1/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
22	F022	f81v	B1	f81v.2	2	2	S012	FIRST	OPEN	11	E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112	okaiin kair okal sar ol kain olkain al ol rol dl	E109:dd0ecaf5e27d81befffc:ZIEL?	E102:STANDARDSLOT_SETZEN | E104:LOKALEN_RELATIONSSLOT_SETZEN | E106:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E110:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 2/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
23	F023	f81v	B1	f81v.7	1	3	S012	LAST	TERMINAL	8	E113,E114,E115,E116,E117,E118,E119,E120	olor ol sheckhal daiin qokeedal daiin chckhy schedy	E113:dec401773c1f0347793d:VORIGES? | E116:2f1c5e56e8f0ff459065:MASS? | E118:2f1c5e56e8f0ff459065:MASS?	E114:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E116:VORGABEPARAMETER? | E118:VORGABEPARAMETER?	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 3/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
24	F024	f81v	B1	f81v.7	2	4	S013	FIRST	OPEN	1	E121	qol	NONE	E121:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Mit der vorigen Zubereitung weiter	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 4/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
25	F025	f81v	B1	f81v.17	1	5	S013	LAST	TERMINAL	1	E122	sshkchdy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	halte es warm und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 5/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
26	F026	f81v	B1	f81v.17	2	6	S014	ONLY	TERMINAL	3	E123,E124,E125	chedy ol shedy	NONE	E124:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 6/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
27	F027	f81v	B1	f81v.17	3	7	S015	ONLY	TERMINAL	1	E126	qolchedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 7/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
28	F028	f81v	B1	f81v.17	4	8	S016	FIRST	OPEN	4	E127,E128,E129,E130	qokain shckhy dl ral	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen	temperieren [Ganzfeldexemplar B1, Feld 8/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
29	F029	f81v	B1	f81v.18	1	9	S016	LAST	TERMINAL	1	E131	qokchdy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	erwärme es einmal und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 9/24]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
