field_id	record_unit_id	locus	statement_id	field_ordinal_in_record	closure_status
F082	B3	f83r.11	B3_S03	12	TERMINAL
F083	B3	f83r.11	B3_S03	13	TERMINAL
F084	B3	f83r.11	B3_S03	14	TERMINAL
F085	B3	f83r.11	B3_S03	15	TERMINAL
F086	B3	f83r.11	B3_S03	16	OPEN
F087	B3	f83r.14	B3_S04	17	TERMINAL
F088	B3	f83r.14	B3_S04	18	TERMINAL
F089	B3	f83r.14	B3_S04	19	TERMINAL
F090	B3	f83r.14	B3_S04	20	TERMINAL
F091	B3	f83r.14	B3_S04	21	TERMINAL
F092	B3	f83r.14	B3_S04	22	OPEN
F093	B3	f83r.15	B3_S04	23	TERMINAL
F094	B3	f83r.15	B3_S04	24	TERMINAL
F095	B3	f83r.15	B3_S04	25	TERMINAL
F096	B3	f83r.16	B3_S05	26	TERMINAL
F097	B3	f83r.16	B3_S05	27	TERMINAL
F098	B3	f83r.16	B3_S05	28	OPEN
F099	B3	f83r.20	B3_S06	29	TERMINAL
F100	B3	f83r.20	B3_S06	30	TERMINAL
F101	B3	f83r.20	B3_S06	31	TERMINAL
F102	B3	f83r.20	B3_S06	32	TERMINAL
F103	B3	f83r.20	B3_S06	33	OPEN
F104	B3	f83r.22	B3_S07	34	TERMINAL
F105	B3	f83r.22	B3_S07	35	TERMINAL
F106	B3	f83r.22	B3_S07	36	TERMINAL
F107	B3	f83r.22	B3_S07	37	TERMINAL
F108	B3	f83r.24	B3_S08	38	TERMINAL
F109	B4	f83r.25	B4_S01	1	TERMINAL
F110	B4	f83r.25	B4_S01	2	TERMINAL
F111	B4	f83r.25	B4_S01	3	OPEN
F112	B4	f83r.26	B4_S01	4	TERMINAL
F113	B4	f83r.26	B4_S01	5	TERMINAL
F114	B4	f83r.27	B4_S02	6	TERMINAL
F115	B4	f83r.27	B4_S02	7	TERMINAL
F116	B4	f83r.27	B4_S02	8	TERMINAL
F117	B4	f83r.28	B4_S03	9	TERMINAL
F118	B4	f83r.28	B4_S03	10	TERMINAL
F119	B4	f83r.28	B4_S03	11	TERMINAL
F120	B4	f83r.35	B4_S04	12	OPEN
F121	B4	f83r.37	B4_S04	13	TERMINAL
F122	B4	f83r.37	B4_S04	14	TERMINAL
F123	B4	f83r.37	B4_S04	15	TERMINAL
F124	B4	f83r.38	B4_S05	16	TERMINAL
F125	B4	f83r.39	B4_S06	17	OPEN
F126	B4	f83r.41	B4_S06	18	TERMINAL
F127	B4	f83r.41	B4_S06	19	OPEN
F128	B4	f83r.44	B4_S07	20	TERMINAL
F129	B5	f83r.47	B5_S01	1	TERMINAL
F130	B5	f83r.47	B5_S01	2	TERMINAL
F131	B5	f83r.47	B5_S01	3	OPEN
F132	B5	f83r.48	B5_S01	4	OPEN
F133	B5	f83r.49	B5_S01	5	OPEN
F134	B6	f83r.52	B6_S01	1	OPEN
F135	B6	f83r.54	B6_S01	2	OPEN
