gdt756_control_id	target_ychor_locus	control_page	control_locus	control_initial_surface	same_section_language_hand	both_paragraph_continuations	line_length_delta	global_line_order_distance	control_line_token_count	control_written_line_eva	independent_body_axes	body_token_count	reader_exact_body_tokens	independent_axis_body_tokens	content_present	amount_or_level_present	process_present	quality_or_stage_present	recipe_content_amount_process_triad	suspect_axis_tokens_excluded	comparison_uses_initial_surface_meaning	confirmed_lexeme
G756-C012	f6v.8	f6r	f6r.9	dar	1	1	1	13	5	dar sheol skaiiodar otaiin chory	PART|BEGIN_STAGE	4	2	1	0	1	0	1	0	0	0	0
G756-C013	f6v.8	f6v	f6v.21	ycheor	1	1	1	13	3	ycheor chor octham	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C014	f6v.8	f6r	f6r.8	ychol	1	1	1	14	5	ychol ckhor pchar sheo ckhaiin	MOIST|AMOUNT|PREPARATION	4	4	2	1	1	0	1	0	0	0	0
G756-C015	f6v.8	f5v	f5v.6	otol	1	1	1	22	3	otol chol dairodg	PART|PREPARATION|CLOSE|END_STAGE	2	2	1	1	1	1	1	1	0	0	0
G756-C016	f6v.8	f7v	f7v.5	dchodaiin	1	1	0	28	4	dchodaiin qotchy cheey tcheey	COLD|DRY|BEGIN_STAGE|END_STAGE	3	3	2	0	0	0	1	0	0	0	0
G756-C017	f6v.8	f5r	f5r.7	qotoeey	1	1	1	28	5	qotoeey keey cheo kchy shody	HOT|DRY|PREPARATION|BEGIN_STAGE|END_STAGE	4	4	3	1	0	0	1	0	0	0	0
G756-C018	f6v.8	f8r	f8r.7	choto	1	1	0	39	4	choto kchoan choor dain	NONE	3	3	0	0	0	0	0	0	0	0	0
G756-C019	f6v.8	f4v	f4v.10	otaiin	1	1	1	39	5	otaiin sheo okeody chol chokeody	MOIST|PREPARATION	4	3	1	1	0	0	1	0	0	0	0
G756-C020	f6v.8	f4v	f4v.6	ytchoy	1	1	1	43	3	ytchoy shokchy cphody	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C021	f9v.11	f9v	f9v.10	oty	1	1	1	1	5	oty kchol chol chy kyty	HOT|DRY	4	4	1	0	0	0	1	0	0	0	0
G756-C022	f9v.11	f9v	f9v.12	chkaiin	1	1	1	1	3	chkaiin ckhy chor	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C023	f9v.11	f9v	f9v.8	soiin	1	1	1	3	5	soiin daiin qokcho rokyd daly	AMOUNT|MATERIAL|BEGIN_STAGE	4	4	1	1	1	0	1	0	0	0	0
G756-C024	f9v.11	f10r	f10r.5	qokchy	1	1	0	6	4	qokchy qotchol chol cthy	COLD|DRY|MATERIAL	3	3	2	1	0	0	1	0	0	0	0
G756-C025	f9v.11	f9r	f9r.10	ytchas	1	1	1	11	3	ytchas oraiin chkor	AMOUNT	2	1	1	0	1	0	0	0	0	0	0
G756-C026	f9v.11	f8v	f8v.17	dain	1	1	1	21	3	dain chear daiin	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C027	f9v.11	f11r	f11r.4	dchol	1	1	1	24	5	dchol chy kchy dy daiin	HOT|DRY|BEGIN_STAGE	4	4	1	0	0	0	1	0	0	0	0
G756-C028	f9v.11	f11r	f11r.7	qotchy	1	1	0	27	4	qotchy okchol cthy dy	HOT|DRY|MATERIAL|PREPARATION	3	3	2	1	0	0	1	0	0	0	0
G756-C029	f9v.11	f8v	f8v.10	scharchy	1	1	1	28	5	scharchy oeesody kchey pchy cpharom	NONE	4	4	0	0	0	0	0	0	0	0	0
G756-C030	f9v.11	f13r	f13r.4	qodchy	1	1	1	38	3	qodchy ytchy otchor	COLD|DRY|AMOUNT|MATERIAL|PREPARATION|BEGIN_STAGE	2	2	2	1	1	0	1	0	0	0	0
G756-C031	f9v.11	f13r	f13r.10	sotchy	1	1	1	44	3	sotchy kchy okorory	HOT|DRY|BEGIN_STAGE	2	2	1	0	0	0	1	0	0	0	0
G756-C032	f9v.11	f13v	f13v.3	qokchy	1	1	1	47	5	qokchy qokod chy otchy cthody	HOT|PREPARATION|PROCESS	4	4	1	1	0	1	1	0	1	0	0
G756-C033	f9v.11	f8r	f8r.7	choto	1	1	0	52	4	choto kchoan choor dain	NONE	3	3	0	0	0	0	0	0	0	0	0
G756-C034	f9v.11	f14r	f14r.3	ydaiin	1	1	1	57	5	ydaiin olchy kchor daiin olol	HOT|DRY|AMOUNT|MATERIAL	4	4	1	1	1	0	1	0	0	0	0
G756-C035	f9v.11	f14r	f14r.5	qokchol	1	1	0	59	4	qokchol dar dalo qotolo	NONE	3	2	0	0	0	0	0	0	0	0	0
G756-C036	f9v.11	f14r	f14r.6	ychol	1	1	1	60	5	ychol oir okor choor ockhy	HOT|AMOUNT|MATERIAL|PREPARATION|BEGIN_STAGE	4	4	2	1	1	0	1	0	0	0	0
G756-C037	f9v.11	f14r	f14r.7	otcho	1	1	1	61	3	otcho dain chckhy	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C038	f9v.11	f7v	f7v.5	dchodaiin	1	1	0	63	4	dchodaiin qotchy cheey tcheey	COLD|DRY|BEGIN_STAGE|END_STAGE	3	3	2	0	0	0	1	0	0	0	0
G756-C039	f9v.11	f14r	f14r.13	sodaiin	1	1	1	67	5	sodaiin chy kchy kchy ykeody	HOT|DRY|BEGIN_STAGE	4	4	2	0	0	0	1	0	0	0	0
G756-C040	f9v.11	f14v	f14v.9	dykchy	1	1	1	76	3	dykchy ctholdg dchckhy	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C041	f17v.15	f17v	f17v.14	olo	1	1	0	1	6	olo r okeeol chodaiin okeol tchory	HOT|MATERIAL|PREPARATION|END_STAGE	5	4	1	1	0	0	1	0	1	0	0
G756-C042	f17v.15	f17v	f17v.16	okcheol	1	1	1	1	5	okcheol chol okeol cthol otcheolom	MATERIAL	4	3	1	1	0	0	0	0	1	0	0
G756-C043	f17v.15	f17v	f17v.13	ykeor	1	1	0	2	6	ykeor chol chol cthol chkor sheol	HOT|DRY|MOIST|AMOUNT|MATERIAL	5	4	3	1	1	0	1	0	0	0	0
G756-C044	f17v.15	f17v	f17v.17	qoain	1	1	0	2	6	qoain sar she dol qopchaiin cthor	MOIST	5	4	1	0	0	0	1	0	0	0	0
G756-C045	f17v.15	f17v	f17v.12	oy	1	1	0	3	6	oy choy keaiin chckhey ol chor	DRY|PREPARATION|MIDDLE_STAGE	5	4	2	1	0	0	1	0	0	0	0
G756-C046	f17v.15	f17v	f17v.19	dain	1	1	1	4	5	dain chey qoaiin cthor cholchom	AMOUNT|MATERIAL	4	3	1	1	1	0	0	0	1	0	0
G756-C047	f17v.15	f17v	f17v.10	oytor	1	1	0	5	6	oytor okeor okar okol daiir ar	HOT|AMOUNT|PREPARATION|PROCESS|MIDDLE_STAGE	5	3	1	1	1	1	1	1	0	0	0
G756-C048	f17v.15	f17v	f17v.20	ykeey	1	1	0	5	6	ykeey okeey cheor chol sho odaiin	DRY|MOIST|PART|MATERIAL|PREPARATION	5	4	2	1	1	0	1	0	0	0	0
G756-C049	f17v.15	f17v	f17v.21	oal	1	1	1	6	7	oal sheor sholor or shecthy cpheor daiin	MOIST|PART|MATERIAL	6	6	1	1	1	0	1	0	0	0	0
G756-C050	f17v.15	f17v	f17v.9	ycheol	1	1	1	6	5	ycheol shol kchol choltaiin ol	HOT|DRY	4	4	1	0	0	0	1	0	0	0	0
G756-C051	f17v.15	f17v	f17v.8	qokeey	1	1	0	7	6	qokeey kchar ol dy choldaiin sy	NONE	5	5	0	0	0	0	0	0	0	0	0
G756-C052	f17v.15	f17v	f17v.22	qokeee	1	1	1	7	7	qokeee dar chey keeor cheeol ctheey cthy	DRY|MATERIAL|END_STAGE	6	6	3	1	0	0	1	0	0	0	0
G756-C053	f17v.15	f17v	f17v.7	sor	1	1	1	8	7	sor chkeey poiis cheor os s aiin	DRY|PART|MATERIAL	6	6	1	1	1	0	1	0	0	0	0
G756-C054	f17v.15	f17v	f17v.5	ychol	1	1	0	10	6	ychol chol dolcheey tchol dar ckhy	COLD|DRY|MATERIAL	5	5	1	1	0	0	1	0	0	0	0
G756-C055	f17v.15	f17v	f17v.4	kchor	1	1	1	11	5	kchor fchol cphol olcheol okeeey	MATERIAL	4	4	1	1	0	0	0	0	0	0	0
G756-C056	f17v.15	f18r	f18r.4	chor	1	1	1	12	5	chor cthor okeor ykchol okain	HOT|DRY|AMOUNT|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	4	4	3	1	1	1	1	1	0	0	0
G756-C057	f17v.15	f17v	f17v.2	ycheey	1	1	0	13	6	ycheey keeor cthodal okol odaiin okal	PREPARATION|LEVEL_III	5	4	1	1	1	0	0	0	0	0	0
G756-C058	f17v.15	f18r	f18r.7	oshor	1	1	0	15	6	oshor shaiin cthy sholdy doldy doldaiin	MATERIAL|END_STAGE	5	5	2	1	0	0	1	0	0	0	0
G756-C059	f17v.15	f18r	f18r.8	qokchor	1	1	0	16	6	qokchor ckhol olody okal dy dary	PART|PREPARATION|CLOSE|END_STAGE	5	2	2	1	1	1	1	1	0	0	0
G756-C060	f17v.15	f17r	f17r.11	otchol	1	1	1	17	5	otchol cthar okaiin chol daiiin	PART	4	4	1	0	1	0	0	0	0	0	0
G756-C061	f19v.9	f19v	f19v.10	daiin	1	1	1	1	6	daiin chor daiin qokor y okchan	HOT|AMOUNT|MATERIAL	5	4	1	1	1	0	1	0	0	0	0
G756-C062	f19v.9	f19v	f19v.11	qotol	1	1	1	2	6	qotol dor okchor daiin cthor otam	HOT|DRY|AMOUNT|MATERIAL|PREPARATION	5	4	2	1	1	0	1	0	0	0	0
G756-C063	f19v.9	f19v	f19v.12	otch	1	1	1	3	6	otch okchodshy daiin or otaiin dais	NONE	5	4	0	0	0	0	0	0	0	0	0
G756-C064	f19v.9	f19v	f19v.13	yees	1	1	0	4	7	yees ykchol oty ytor ytar ytchor ytaiin	COLD|DRY|AMOUNT|PART|MATERIAL|LEVEL_III	6	5	3	1	1	0	1	0	0	0	0
G756-C065	f19v.9	f19v	f19v.2	qokchy	1	1	1	7	6	qokchy kchol sor qokchos ykchy darom	HOT|DRY	5	4	1	0	0	0	1	0	0	0	0
G756-C066	f19v.9	f20r	f20r.3	qoteey	1	1	1	8	8	qoteey cho chodaiin sho qochy chey tcheodal daral	DRY|MOIST|AMOUNT|PART|MATERIAL|PREPARATION|PROCESS	7	7	3	1	1	1	1	1	1	0	0
G756-C067	f19v.9	f20r	f20r.6	choees	1	1	1	11	8	choees okchor qotol cheey daiin chy choiin daiin	HOT|COLD|DRY|AMOUNT|MATERIAL|PREPARATION	7	7	3	1	1	0	1	0	0	0	0
G756-C068	f19v.9	f19r	f19r.9	qotchor	1	1	0	13	7	qotchor dy dor y tchy kchy shdaiin	AMOUNT|MATERIAL	6	4	2	1	1	0	0	0	0	0	0
G756-C069	f19v.9	f19r	f19r.8	or	1	1	0	14	7	or chor daky dal chor dorl shy	NONE	6	6	0	0	0	0	0	0	0	0	0
G756-C070	f19v.9	f20r	f20r.10	ochoaiin	1	1	1	15	8	ochoaiin chor sody pchodaiin chetody choky dchy toy	HOT|DRY|AMOUNT|MATERIAL|PREPARATION|BEGIN_STAGE	7	7	2	1	1	0	1	0	0	0	0
G756-C071	f19v.9	f20r	f20r.11	dchod	1	1	1	16	8	dchod qoteeody ytchy qo tshey dchaiin chol ody	COLD|DRY|MATERIAL|BEGIN_STAGE|LEVEL_III	7	3	2	1	1	0	1	0	0	0	0
G756-C072	f19v.9	f20r	f20r.12	shoiin	1	1	1	17	8	shoiin cheody otchey otchy tchy qoteey daiin dar	COLD|DRY|BEGIN_STAGE|END_STAGE	7	7	2	0	0	0	1	0	0	0	0
G756-C073	f19v.9	f19r	f19r.3	oscheor	1	1	1	19	6	oscheor shy tdaiin chol dor yky	AMOUNT|MATERIAL	5	5	1	1	1	0	0	0	0	0	0
G756-C074	f19v.9	f18v	f18v.9	okchor	1	1	1	23	6	okchor qotchy qokchy ytol doky dy	COLD|DRY|BEGIN_STAGE	5	5	1	0	0	0	1	0	0	0	0
G756-C075	f19v.9	f18v	f18v.8	tolol	1	1	0	24	7	tolol sh cphoy daror ddy ytor ykam	NONE	6	6	0	0	0	0	0	0	0	0	0
G756-C076	f19v.9	f20v	f20v.6	doiiin	1	1	1	24	8	doiiin chockhy dan cheoy shos cheos char aiin	DRY|AMOUNT|PREPARATION	7	3	1	1	1	0	1	0	0	0	0
G756-C077	f19v.9	f18v	f18v.7	ychol	1	1	1	25	8	ychol dor chod qokol daiin qokol dar dy	HOT|DRY|AMOUNT|MATERIAL|PREPARATION|PROCESS	7	7	4	1	1	1	1	1	0	0	0
G756-C078	f19v.9	f20v	f20v.7	shocthy	1	1	1	25	8	shocthy sho cthy daiin sheoy tey s soaiin	COLD|MATERIAL|MIDDLE_STAGE	7	5	2	1	0	0	1	0	0	0	0
G756-C079	f19v.9	f18v	f18v.6	qotor	1	1	1	26	8	qotor chor otchy qokeees chy s ar ykar	HOT|AMOUNT|PART|MATERIAL|PROCESS	7	7	2	1	1	1	1	1	0	0	0
G756-C080	f19v.9	f18v	f18v.5	ychoees	1	1	0	27	7	ychoees ykchy qol kchy qotchol daiir om	HOT|COLD|DRY|PART|MATERIAL|BEGIN_STAGE	6	6	4	1	1	0	1	0	0	0	0
G756-C081	f22v.7	f22v	f22v.8	qotchy	1	1	1	1	5	qotchy cthy qokol daiin dam	HOT|MATERIAL|PROCESS	4	4	2	1	0	1	1	0	0	0	0
G756-C082	f22v.7	f22v	f22v.5	dor	1	1	0	2	4	dor y kcheor daiin	NONE	3	1	0	0	0	0	0	0	0	0	0
G756-C083	f22v.7	f22v	f22v.10	qokchy	1	1	1	3	5	qokchy daiin s or ytal	COLD|MATERIAL|BEGIN_STAGE	4	4	1	1	0	0	1	0	0	0	0
G756-C084	f22v.7	f22v	f22v.11	sokaiin	1	1	1	4	3	sokaiin oty dy	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C085	f22v.7	f22v	f22v.12	ychky	1	1	1	5	3	ychky daiin cthy	MATERIAL	2	1	1	1	0	0	0	0	0	0	0
G756-C086	f22v.7	f22v	f22v.13	okchain	1	1	1	6	3	okchain chkoldy shotoly	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C087	f22v.7	f22v	f22v.15	sho	1	1	1	8	5	sho cthy chocthy qokchy dory	AMOUNT|MATERIAL	4	4	2	1	1	0	0	0	0	0	0
G756-C088	f22v.7	f22r	f22r.6	y	1	1	1	14	3	y chokshchy ctheeb	NONE	2	1	0	0	0	0	0	0	0	0	0
G756-C089	f22v.7	f21v	f21v.8	cho	1	1	1	20	3	cho l kchochaiin	NONE	2	2	0	0	0	0	0	0	0	0	0
G756-C090	f22v.7	f23v	f23v.5	dor	1	1	1	25	5	dor chear shor dol oaldary	NONE	4	4	0	0	0	0	0	0	0	0	0
G756-C091	f22v.7	f24r	f24r.2	qotaiin	1	1	1	34	5	qotaiin char odaiin okaial oky	NONE	4	2	0	0	0	0	0	0	0	0	0
G756-C092	f22v.7	f24r	f24r.6	oeeeos	1	1	1	38	5	oeeeos cthor otal qocthol qoky	HOT|MATERIAL|BEGIN_STAGE	4	3	2	1	0	0	1	0	0	0	0
G756-C093	f22v.7	f20v	f20v.11	okoiin	1	1	0	40	4	okoiin chey ol chory	NONE	3	1	0	0	0	0	0	0	0	0	0
G756-C094	f22v.7	f24r	f24r.9	odaiin	1	1	1	41	5	odaiin ckham qodaiy dol dal	NONE	4	3	0	0	0	0	0	0	0	0	0
G756-C095	f22v.7	f24r	f24r.11	sar	1	1	1	43	5	sar cheoiees okeem cheor qokain	NONE	4	1	0	0	0	0	0	0	0	0	0
G756-C096	f22v.7	f24r	f24r.12	qokchy	1	1	1	44	5	qokchy qotchy tol tod ckhy	COLD|DRY|BEGIN_STAGE	4	3	1	0	0	0	1	0	0	0	0
G756-C097	f22v.7	f24r	f24r.14	qor	1	1	1	46	5	qor cheey qod char cthal	MATERIAL	4	4	1	1	0	0	0	0	0	0	0
G756-C098	f22v.7	f20v	f20v.4	sho	1	1	1	47	5	sho or aiin shol daiin	NONE	4	3	0	0	0	0	0	0	0	0	0
G756-C099	f22v.7	f24r	f24r.15	ockhoees	1	1	1	47	5	ockhoees oeees ol dal s	PREPARATION	4	4	1	1	0	0	0	0	0	0	0
G756-C100	f22v.7	f24r	f24r.16	sham	1	1	1	48	5	sham okeal dal dam dal	HOT|MATERIAL|PREPARATION|MIDDLE_STAGE	4	4	1	1	0	0	1	0	0	0	0
G756-C101	f23r.5	f23r	f23r.7	okar	1	1	0	2	11	okar olchar shaiin qokchol dar qokchol dairo r ol daiin alg	HOT|DRY|MATERIAL	10	10	2	1	0	0	1	0	0	0	0
G756-C102	f23r.5	f23r	f23r.8	qokshy	1	1	1	3	10	qokshy char daiir qokaiin olol qoaiin ykchy s dal okchy	HOT|DRY|PART|PREPARATION|BEGIN_STAGE	9	8	3	1	1	0	1	0	1	0	0
G756-C103	f23r.5	f23r	f23r.9	okol	1	1	1	4	12	okol ok shy qokol dy dal dshe qokeees y oly daiin dal	HOT|AMOUNT|PROCESS	11	5	2	0	1	1	1	0	0	0	0
G756-C104	f23r.5	f23r	f23r.10	qok	1	1	1	5	10	qok okaiin chkchy s yteain odal chal dy dar ykain	HOT|DRY|AMOUNT|MATERIAL|PREPARATION|PROCESS	9	6	2	1	1	1	1	1	0	0	0
G756-C105	f23r.5	f23v	f23v.3	ycho	1	1	1	9	10	ycho okaiin okeol eees o l daiin okeeor daiin qotcholg	NONE	9	4	0	0	0	0	0	0	1	0	0
G756-C106	f23r.5	f23v	f23v.9	otshy	1	1	1	15	10	otshy dal dar oldar ar or qoto l chees g	NONE	9	9	0	0	0	0	0	0	1	0	0
G756-C107	f23r.5	f22r	f22r.8	dchor	1	1	1	26	10	dchor oty daiin ctholy qoky chotaiin chocthy do iin dchor	HOT|COLD|DRY|PART|MATERIAL|PREPARATION|BEGIN_STAGE|LEVEL_III	9	5	4	1	1	0	1	0	0	0	0
G756-C108	f23r.5	f22r	f22r.5	ol	1	1	1	29	10	ol daiin qokchy dar daiin chor oldor oky y choldchy	NONE	9	7	0	0	0	0	0	0	0	0	0
G756-C109	f23r.5	f22r	f22r.2	ol	1	1	1	32	12	ol oiin shol o kor qokchol daiin okaiin cthor dain ckhy dom	HOT|DRY|AMOUNT|MATERIAL|PREPARATION	11	8	3	1	1	0	1	0	0	0	0
G756-C110	f23r.5	f24v	f24v.2	ydals	1	1	1	40	10	ydals ckhor shy cho dchor otol otaiir otchos okchom okcho	COLD|DRY|AMOUNT|PREPARATION	9	8	3	1	1	0	1	0	0	0	0
G756-C111	f23r.5	f21r	f21r.6	dchor	1	1	1	48	12	dchor y kol y ky chol kol qokeol chol ol qoteeol dady	NONE	11	5	0	0	0	0	0	0	1	0	0
G756-C112	f23r.5	f20v	f20v.2	sos	1	1	1	63	10	sos ykoiin cheol chol choiin checthy otol chol chodaiin oty	COLD|DRY|PREPARATION	9	8	2	1	0	0	1	0	0	0	0
G756-C113	f23r.5	f27r	f27r.3	chol	1	1	1	90	10	chol shy keol chol chy shol chy daiin chey dam	HOT|MATERIAL	9	8	1	1	0	0	1	0	0	0	0
G756-C114	f23r.5	f27r	f27r.8	ytchy	1	1	1	95	10	ytchy chy t chol dy t chey dain chol dal	NONE	9	5	0	0	0	0	0	0	0	0	0
G756-C115	f23r.5	f19r	f19r.2	dshy	1	1	1	103	10	dshy chor y tchy chol dytchy chordy daiin dyty cho	COLD|DRY|PART|CLOSE|BEGIN_STAGE|END_STAGE	9	7	2	0	1	1	1	0	0	0	0
G756-C116	f23r.5	f29r	f29r.2	dshe	1	1	0	120	11	dshe ykchy choty oky cho l chchoty choky chy ty dy	HOT|COLD|DRY|PREPARATION|BEGIN_STAGE	10	7	3	1	0	0	1	0	0	0	0
G756-C117	f23r.5	f29v	f29v.3	chol	1	1	0	130	11	chol chol kor shey odaiin qotchy taiin s she otey sy	COLD|DRY|PREPARATION|BEGIN_STAGE|MIDDLE_STAGE	10	7	2	1	0	0	1	0	0	0	0
G756-C118	f23r.5	f30r	f30r.2	ychody	1	1	1	141	10	ychody chey chkeey ksho keeor cheor shey she keeodol sy	HOT|DRY|MOIST|PART|MATERIAL|PROCESS	9	7	3	1	1	1	1	1	0	0	0
G756-C119	f23r.5	f30v	f30v.2	qotchor	1	1	1	154	10	qotchor chy she kchor chory keor ol chy daiin ctholdy	HOT|DRY|MOIST|AMOUNT|PART|MATERIAL|BEGIN_STAGE	9	8	4	1	1	0	1	0	0	0	0
G756-C120	f23r.5	f32v	f32v.2	daiin	1	1	1	200	10	daiin odar chy daiin chey tchy l dy dain teor	AMOUNT|PART|PREPARATION|PROCESS	9	6	1	1	1	1	0	1	0	0	0
G756-C121	f24r.8	f24r	f24r.9	odaiin	1	1	1	1	5	odaiin ckham qodaiy dol dal	NONE	4	3	0	0	0	0	0	0	0	0	0
G756-C122	f24r.8	f24r	f24r.6	oeeeos	1	1	1	2	5	oeeeos cthor otal qocthol qoky	HOT|MATERIAL|BEGIN_STAGE	4	3	2	1	0	0	1	0	0	0	0
G756-C123	f24r.8	f24r	f24r.11	sar	1	1	1	3	5	sar cheoiees okeem cheor qokain	NONE	4	1	0	0	0	0	0	0	0	0	0
G756-C124	f24r.8	f24r	f24r.5	qodar	1	1	1	3	7	qodar cho r chey cthy cthe keom	DRY|MATERIAL|PREPARATION	6	4	2	1	0	0	1	0	0	0	0
G756-C125	f24r.8	f24r	f24r.4	or	1	1	0	4	6	or chckhaly cthar eeor chees da	PART	5	5	1	0	1	0	0	0	1	0	0
G756-C126	f24r.8	f24r	f24r.12	qokchy	1	1	1	4	5	qokchy qotchy tol tod ckhy	COLD|DRY|BEGIN_STAGE	4	3	1	0	0	0	1	0	0	0	0
G756-C127	f24r.8	f24r	f24r.13	oees	1	1	1	5	7	oees ol s chey chcth s ar	DRY|MATERIAL	6	4	1	1	0	0	1	0	0	0	0
G756-C128	f24r.8	f24r	f24r.14	qor	1	1	1	6	5	qor cheey qod char cthal	MATERIAL	4	4	1	1	0	0	0	0	0	0	0
G756-C129	f24r.8	f24r	f24r.2	qotaiin	1	1	1	6	5	qotaiin char odaiin okaial oky	NONE	4	2	0	0	0	0	0	0	0	0	0
G756-C130	f24r.8	f24r	f24r.15	ockhoees	1	1	1	7	5	ockhoees oeees ol dal s	PREPARATION	4	4	1	1	0	0	0	0	0	0	0
G756-C131	f24r.8	f24r	f24r.16	sham	1	1	1	8	5	sham okeal dal dam dal	HOT|MATERIAL|PREPARATION|MIDDLE_STAGE	4	4	1	1	0	0	1	0	0	0	0
G756-C132	f24r.8	f24r	f24r.17	sshey	1	1	1	9	5	sshey otam sham cthoj oky	AMOUNT	4	3	1	0	1	0	0	0	0	0	0
G756-C133	f24r.8	f23v	f23v.10	dor	1	1	1	10	7	dor chy kshol chol ctho otol oloiir	COLD|PREPARATION	6	5	1	1	0	0	1	0	0	0	0
G756-C134	f24r.8	f24r	f24r.19	yol	1	1	1	11	5	yol kol chol shom otacphy	NONE	4	2	0	0	0	0	0	0	0	0	0
G756-C135	f24r.8	f23v	f23v.5	dor	1	1	1	15	5	dor chear shor dol oaldary	NONE	4	4	0	0	0	0	0	0	0	0	0
G756-C136	f24r.8	f24v	f24v.4	ydal	1	1	0	16	6	ydal sh okol okaiin odaiin dlos	PREPARATION|LEVEL_III	5	5	1	1	1	0	0	0	0	0	0
G756-C137	f24r.8	f23v	f23v.4	okchey	1	1	1	16	7	okchey dair sholol ol dal otchor dar	COLD|DRY|AMOUNT|MATERIAL|PREPARATION	6	2	1	1	1	0	1	0	0	0	0
G756-C138	f24r.8	f24v	f24v.9	ychol	1	1	1	21	5	ychol chol or chor om	NONE	4	2	0	0	0	0	0	0	0	0	0
G756-C139	f24r.8	f24v	f24v.12	ksho	1	1	1	24	7	ksho foar o sho qokch ok okchal	MOIST|PREPARATION	6	3	1	1	0	0	1	0	0	0	0
G756-C140	f24r.8	f24v	f24v.13	oeeey	1	1	1	25	7	oeeey cheol chol odor sho do otolodal	MOIST|PREPARATION	6	6	1	1	0	0	1	0	1	0	0
G756-C141	f45v.9	f45v	f45v.4	okchy	1	1	1	5	6	okchy qockhy dain dail dair shy	AMOUNT|MATERIAL|PREPARATION|BEGIN_STAGE	5	5	2	1	1	0	1	0	0	0	0
G756-C142	f45v.9	f45r	f45r.6	otchar	1	1	1	14	8	otchar okchar daiin ytchody tcholol otar dal dary	PART|CLOSE|END_STAGE	7	7	1	0	1	1	1	0	0	0	0
G756-C143	f45v.9	f44v	f44v.12	ychey	1	1	1	21	6	ychey teol chaiin chcthy ctho cthol	MATERIAL|PREPARATION|MIDDLE_STAGE	5	5	3	1	0	0	1	0	0	0	0
G756-C144	f45v.9	f44v	f44v.10	lsho	1	1	1	23	6	lsho qokchy tshy cphaiin cthal kal	COLD|MOIST|MATERIAL|BEGIN_STAGE	5	5	2	1	0	0	1	0	0	0	0
G756-C145	f45v.9	f44v	f44v.9	dshor	1	1	1	24	8	dshor cthees l o lkeees ckhy chcthy lo	NONE	7	4	0	0	0	0	0	0	0	0	0
G756-C146	f45v.9	f44v	f44v.3	tol	1	1	0	30	7	tol okchor shcthy otol daiin cthy cthy	COLD|MATERIAL|PREPARATION	6	5	3	1	0	0	1	0	0	0	0
G756-C147	f45v.9	f47r	f47r.2	chokchol	1	1	1	32	6	chokchol chol choldy dair chad aiin	DRY|MATERIAL|CLOSE|END_STAGE	5	5	1	1	0	1	1	0	0	0	0
