surface	ychor_body_occurrences	ychor_body_reader_exact_occurrences	ychor_immediate_follower_occurrences	ychor_line_final_occurrences	ychor_pages	ychor_independent_axis_profiles	global_reader_exact_occurrences	global_reader_exact_line_initial	global_reader_exact_line_final	global_section_counts	global_herbal_share	working_candidate_de	alternate_1_de	alternate_2_de	working_confidence	semantic_role	selection_basis	candidate_source	eva_spelling_used_to_select_candidate	literal_identity	confirmed_lexeme	component_export_credit
qokeol	2	2	0	1	2	NONE:2	34	3	1	B:1|H:7|P:15|S:11	0.205882	heiß im zweiten Grad	erhitze bis zur Mittelstufe	heiße Zubereitung	C1_CONSTRAINED_CANDIDATE	HOT_LEVEL_OR_PROCESS	GDT755-Ganzformkandidat an zwei ychor-Körperstellen	GDT755_TOP24	0	OPEN	0	0
qokom	2	2	0	1	2	HOT|AMOUNT|PREPARATION|PROCESS:2	2	0	1	H:2	1.000000	erhitze eine Handvoll	eine Handvoll heiße Zubereitung	miss eine Dosis ab	C1_FRAME_CONSTRAINED	HOT_AMOUNT_PROCESS	zweimal exakte HOT AMOUNT PREPARATION PROCESS-Achsen	GDT756_BODY_PRIOR	0	OPEN	0	0
s	2	2	1	1	2	NONE:2	154	10	34	B:8|H:113|P:11|S:16|T:6	0.733766	Samen	Salz	Blätter	C0_FORCED_CONTEXT	CONTENT_NOUN	ein direkter und ein finaler ychor-Körperslot; Samen wird nicht aus EVA-s abgeleitet	GDT756_BODY_PRIOR	0	OPEN	0	0
agairom	1	0	0	1	1	NONE:1	0	0	0	NONE	0.000000	eine Handvoll, dritter Anteil	drei Handvoll	dritter Teil	C0_FORCED_CONTEXT	AMOUNT	finaler Mengenslot; ältere Handvoll-/Anteilskarte bleibt nur Kandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
cheeky	1	1	0	0	1	HOT|DRY|BEGIN_STAGE|END_STAGE:1	22	1	0	B:10|H:6|S:5|T:1	0.272727	trockne vollständig, dann erwärme	heiß und trocken	Ende, dann Anfang	C1_FRAME_CONSTRAINED	QUALITY_SEQUENCE	unabhängige DRY HOT BEGIN END-Achsen an der exakten Stelle	GDT756_BODY_PRIOR	0	OPEN	0	0
chocphol	1	1	0	0	1	NONE:1	1	0	0	S:1	0.000000	getrocknete Wurzel	Rinde	Kraut	C0_FORCED_CONTEXT	CONTENT_NOUN	ungelesener innerer Slot zwischen Hitzegrad und getrocknetem Material	GDT756_BODY_PRIOR	0	OPEN	0	0
chodaiin	1	0	0	0	1	NONE:1	37	4	4	H:21|P:3|S:11|T:2	0.567568	drei Dosen Trockenansatz	dritter Grad	getrocknete Zubereitung	C0_FORCED_CONTEXT	AMOUNT_OR_PREPARATION	reader-variable Mittelstelle zwischen Abmessen und Samen	GDT756_BODY_PRIOR	0	OPEN	0	0
chory	1	1	0	1	1	PART|BEGIN_STAGE:1	10	0	6	H:8|P:2	0.800000	frische Blätter	Wurzel in Grundform	Pflanzenteil	C0_FORCED_CONTEXT	PLANT_PART_STATE	finaler Pflanzen-/Anfangsstufenslot; spezifischer Teil unbewiesen	GDT756_BODY_PRIOR	0	OPEN	0	0
chshoty	1	1	1	0	1	NONE:1	1	0	0	H:1	1.000000	weiche ein	trockne	kühle ab	C0_FORCED_CONTEXT	PROCESS	direkter Folgeslot; ältere Mehrfachaktionskarte wird auf einen prüfbaren Vorgang reduziert	GDT756_BODY_PRIOR	0	OPEN	0	0
dain	1	1	0	1	1	NONE:1	149	39	17	B:28|H:69|P:4|S:39|T:9	0.463087	zweiter Grad	zweiter Teil	zwei Dosen	C1_FRAME_CONSTRAINED	LEVEL_OR_AMOUNT	finaler älterer Grad-II-Kandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
dair	1	1	0	0	1	NONE:1	63	18	5	B:2|C:2|H:27|P:3|S:24|T:5	0.428571	zweiter Teil	zweite Dosis	Grad II	C1_FRAME_CONSTRAINED	PART_OR_AMOUNT	innerer älterer Fraktion-II-Kandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
ddor	1	0	0	1	1	NONE:1	1	1	0	P:1	0.000000	miss eine Portion ab	eine Portion	zweiter Teil	C1_FRAME_CONSTRAINED	AMOUNT_PROCESS	finale ältere Abmesskarte, reader-variabel	GDT756_BODY_PRIOR	0	OPEN	0	0
dol	1	1	0	0	1	NONE:1	64	10	5	B:15|H:35|P:4|S:6|T:4	0.546875	eine Dosis	ein Materialmaß	eine Handvoll	C1_FRAME_CONSTRAINED	AMOUNT	innerer älterer Materialmaß-Kandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
kaiin	1	0	0	1	1	NONE:1	44	1	1	B:4|H:14|S:23|T:3	0.318182	heiß im dritten Grad	dritter Grad	erhitze stark	C1_FRAME_CONSTRAINED	HOT_LEVEL	finaler älterer HOT/III-Ganzformkandidat; reader-variabel	GDT756_BODY_PRIOR	0	OPEN	0	0
lchedy	1	1	0	0	1	NONE:1	75	3	8	B:31|H:2|S:35|T:7	0.026667	getrocknetes Holz	getrocknete Wurzel	Pulver	C0_FORCED_CONTEXT	DRY_CONTENT	älterer Ganzformkandidat im Trocken-/Hitzerahmen; Holzidentität bleibt schwach	GDT756_BODY_PRIOR	0	OPEN	0	0
odol	1	1	1	0	1	AMOUNT|MATERIAL|PREPARATION|PROCESS:1	2	1	0	H:2	1.000000	miss den Arzneistoff ab	eine Dosis Arzneistoff	mische den Arzneistoff	C1_FRAME_CONSTRAINED	CONTENT_AMOUNT_PROCESS	exakte MATERIAL AMOUNT PREPARATION PROCESS-Achsen direkt nach ychor	GDT756_BODY_PRIOR	0	OPEN	0	0
okchey	1	1	0	0	1	HOT|DRY|PREPARATION|MIDDLE_STAGE:1	26	5	2	B:4|C:1|H:12|S:9	0.461538	heiße trockene Zubereitung	trockne bei mittlerer Hitze	Pulver	C1_FRAME_CONSTRAINED	QUALITY_PREPARATION	exakte HOT DRY PREPARATION MIDDLE-Achsen	GDT756_BODY_PRIOR	0	OPEN	0	0
ols	1	1	1	0	1	MATERIAL:1	12	0	5	B:3|H:3|P:2|S:3|T:1	0.250000	Heilmittel	Arzneistoff	Öl	C0_FORCED_CONTEXT	CONTENT_NOUN	exakter MATERIAL-Slot direkt nach ychor in einer pharmazeutischen Zeile	GDT756_BODY_PRIOR	0	OPEN	0	0
om	1	1	0	0	1	NONE:1	15	1	11	H:5|P:3|S:6|T:1	0.333333	eine Handvoll	eine Dosis	eine Unze	C1_FRAME_CONSTRAINED	AMOUNT	innerer älterer Handvoll-Kandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
or	1	0	0	0	1	NONE:1	235	25	9	B:38|C:12|H:95|P:12|S:50|T:28	0.404255	eine Portion	ein Teil	eine Dosis	C1_FRAME_CONSTRAINED	AMOUNT_OR_PART	innerer reader-variabler älterer Portionskandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
otaiin	1	1	0	0	1	NONE:1	128	4	11	B:12|C:3|H:30|S:74|T:9	0.234375	kalt im dritten Grad	drei kalte Dosen	kalte Zubereitung	C1_FRAME_CONSTRAINED	COLD_LEVEL	älterer kalter Grad-III-Ganzformkandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
otal	1	0	0	0	1	NONE:1	109	3	10	B:17|H:20|P:2|S:57|T:13	0.183486	kalter Rohstoff, erster Grad	kalt am Anfang	erster Teil	C0_FORCED_CONTEXT	COLD_CONTENT_LEVEL	reader-variable ältere Rohstoff-/Kaltkarte	GDT756_BODY_PRIOR	0	OPEN	0	0
oteol	1	1	0	1	1	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE:1	24	4	3	B:2|H:10|P:4|S:8	0.416667	kühle bis zur Mittelstufe	kalte Zubereitung	kühler Arzneistoff	C1_FRAME_CONSTRAINED	COLD_PROCESS	exakte COLD MATERIAL PREPARATION PROCESS MIDDLE-Achsen am Zeilenende	GDT756_BODY_PRIOR	0	OPEN	0	0
otor	1	1	0	0	1	COLD|AMOUNT|MATERIAL|PREPARATION:1	24	3	1	B:1|H:15|S:7|T:1	0.625000	eine kalte Portion	kalter Arzneistoff	kalte Zubereitung	C1_FRAME_CONSTRAINED	COLD_AMOUNT_CONTENT	exakte COLD AMOUNT MATERIAL PREPARATION-Achsen	GDT756_BODY_PRIOR	0	OPEN	0	0
por	1	1	0	0	1	NONE:1	5	2	0	B:2|P:1|S:2	0.000000	eine Portion Pulver	Pulver	Pflanzenpulver	C0_FORCED_CONTEXT	POWDER_AMOUNT	älterer Pulver-/Portionskandidat im feuchten Materialrahmen; spezifischer Stoff offen	GDT756_BODY_PRIOR	0	OPEN	0	0
qocheo	1	1	0	0	1	NONE:1	1	0	0	S:1	0.000000	mische die trockene Zubereitung	siebe die Zubereitung	trockne	C0_FORCED_CONTEXT	PROCESS	ungelesener innerer Slot zwischen getrocknetem Material und heißem Teil	GDT756_BODY_PRIOR	0	OPEN	0	0
qoear	1	1	0	0	1	NONE:1	1	0	0	H:1	1.000000	nimm den ersten Teil	erster Teil	zu gleichen Teilen	C0_FORCED_CONTEXT	COMMAND_PART	ältere schwache Ganzformkarte in Mengen-/Hitzezeile	GDT756_BODY_PRIOR	0	OPEN	0	0
qokain	1	1	0	0	1	NONE:1	256	21	9	B:142|C:1|H:6|P:1|S:98|T:8	0.023438	heiß im zweiten Grad	zweiter heißer Teil	erhitze mäßig	C1_FRAME_CONSTRAINED	HOT_LEVEL	älterer kompletter HOT/II-Kandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
qokar	1	1	0	1	1	NONE:1	132	7	3	B:38|C:1|H:25|P:4|S:43|T:21	0.189394	erster heißer Teil	heiße Portion	erhitze den ersten Teil	C1_FRAME_CONSTRAINED	HOT_PART	finaler älterer Hitze-/Teil-Kandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
qoky	1	1	0	0	1	HOT|BEGIN_STAGE:1	125	5	24	B:50|C:1|H:30|P:4|S:32|T:8	0.240000	heiß am Anfang	erwärme zuerst	heißer Arzneistoff	C1_FRAME_CONSTRAINED	HOT_BEGIN	exakte HOT BEGIN-Achsen	GDT756_BODY_PRIOR	0	OPEN	0	0
sa	1	1	0	0	1	NONE:1	2	1	0	H:1|S:1	0.500000	gib Samen zu	gib Salz zu	mische	C0_FORCED_CONTEXT	CONTENT_PROCESS	ältere Zugabe-Karte im Saat-/Mengenrahmen; Stoffidentität austauschbar	GDT756_BODY_PRIOR	0	OPEN	0	0
sheeor	1	1	0	0	1	NONE:1	2	0	0	H:1|P:1	0.500000	Wein	Wasser	Öl	C0_FORCED_CONTEXT	LIQUID_CONTENT	ungelesener innerer Slot nach feuchtem Material und Pulver; Wein ist bewusster Testkandidat	GDT756_BODY_PRIOR	0	OPEN	0	0
shekeey	1	1	0	0	1	NONE:1	2	0	0	B:1|P:1	0.000000	weiche ein	mische	erwärme	C0_FORCED_CONTEXT	MOIST_PROCESS	ungelesener innerer Vorgangsslot im feuchten Materialrahmen	GDT756_BODY_PRIOR	0	OPEN	0	0
sheol	1	1	1	0	1	MOIST|MATERIAL:1	71	3	4	B:21|H:12|P:10|S:21|T:7	0.169014	eingeweichtes Kraut	Wasser	Wein	C0_FORCED_CONTEXT	MOIST_CONTENT	exakte MOIST MATERIAL-Achsen direkt nach ychor; Krautidentität bleibt mutig	GDT756_BODY_PRIOR	0	OPEN	0	0
sy	1	1	0	0	1	NONE:1	26	1	16	B:5|H:17|P:2|S:2	0.653846	Samen	Salz	Pulver	C0_FORCED_CONTEXT	CONTENT_NOUN	innerer älterer Saatgut-Kandidat; keine EVA-Initiallesung	GDT756_BODY_PRIOR	0	OPEN	0	0
teody	1	0	0	0	1	NONE:1	6	1	0	P:1|S:3|T:2	0.000000	kühle ab und beende	bewahre auf	siebe ab	C0_FORCED_CONTEXT	COLD_CLOSE_PROCESS	reader-variable ältere Abkühl-/Abschlusskarte	GDT756_BODY_PRIOR	0	OPEN	0	0
ykaiin	1	1	0	0	1	NONE:1	33	9	1	B:1|C:5|H:9|S:8|T:10	0.272727	erhitze auf den dritten Grad	dritter Grad	heiß halten	C1_FRAME_CONSTRAINED	HOT_LEVEL	älterer Ganzformkandidat im Gradregister	GDT756_BODY_PRIOR	0	OPEN	0	0
ykchom	1	0	0	1	1	NONE:1	0	0	0	NONE	0.000000	erhitze und trockne eine Handvoll	eine Handvoll Zubereitung	mische und erhitze	C0_FORCED_CONTEXT	HOT_DRY_AMOUNT_PROCESS	finale reader-variable ältere Mehrfachrollenkarte	GDT756_BODY_PRIOR	0	OPEN	0	0
ytaiiil	1	0	0	1	1	NONE:1	0	0	0	NONE	0.000000	drei Einheiten	dritter Grad	eine Dosis	C0_FORCED_CONTEXT	AMOUNT_OR_LEVEL	ungelesener finaler Slot einer stark mengen-/gradgeprägten Zeile	GDT756_BODY_PRIOR	0	OPEN	0	0
ytaly	1	1	0	0	1	NONE:1	3	0	0	H:2|T:1	0.666667	kalte Zubereitung	kaltes Kraut	Wasser	C0_FORCED_CONTEXT	COLD_PREPARATION	ungelesener innerer Slot zwischen Teil/Menge und kalten Gradformen	GDT756_BODY_PRIOR	0	OPEN	0	0
ytar	1	1	0	0	1	PART|MATERIAL:1	21	5	1	B:1|H:4|S:10|T:6	0.190476	nimm den ersten gekühlten Teil	gekühlter Pflanzenteil	kalte Portion	C1_FRAME_CONSTRAINED	COMMAND_COLD_PART	exakte MATERIAL PART-Achsen plus ältere gekühlte Teilkarte	GDT756_BODY_PRIOR	0	OPEN	0	0
ytol	1	0	0	0	1	NONE:1	11	3	0	H:10|P:1	0.909091	kühle den Arzneistoff ab	kalter Arzneistoff	weiche ein	C0_FORCED_CONTEXT	COLD_PROCESS_CONTENT	reader-variable ältere Abkühlkarte unmittelbar vor trockenem Material	GDT756_BODY_PRIOR	0	OPEN	0	0
ytym	1	0	0	0	1	NONE:1	0	0	0	NONE	0.000000	eine Handvoll gekühltes Kraut	eine Dosis kalter Zubereitung	gekühlter Arzneistoff	C0_FORCED_CONTEXT	COLD_AMOUNT_CONTENT	reader-variable ältere Handvoll-/Kaltkarte im Materialrahmen	GDT756_BODY_PRIOR	0	OPEN	0	0
