edition	paragraph	at	quality	gloss	carrier	carrier_at
IT2a	f42v|f42v.9-f42v.16	IT2a|f42v.10|G004	shol	feucht	chy	IT2a|f42v.10|G003
IT2a	f42v|f42v.9-f42v.16	IT2a|f42v.12|G002	chol	getrocknet	chy	IT2a|f42v.10|G003
IT2a	f42v|f42v.9-f42v.16	IT2a|f42v.15|G002	chol	getrocknet	cthy	IT2a|f42v.14|G004
IT2a	f44r|f44r.5-f44r.7	IT2a|f44r.7|G003	shol	feucht	otchy	IT2a|f44r.6|G007
IT2a	f56v|f56v.1-f56v.6	IT2a|f56v.1|G002	shol	feucht		
IT2a	f56v|f56v.1-f56v.6	IT2a|f56v.3|G002	chol	getrocknet	qoteey	IT2a|f56v.2|G005
IT2a	f56v|f56v.1-f56v.6	IT2a|f56v.3|G003	chol	getrocknet	qoteey	IT2a|f56v.2|G005
IT2a	f76v|f76v.16-f76v.24	IT2a|f76v.18|G006	chol	getrocknet		
IT2a	f77r|f77r.9-f77r.24	IT2a|f77r.11|G004	chol	getrocknet		
IT2a	f77r|f77r.9-f77r.24	IT2a|f77r.13|G003	shol	feucht		
IT2a	f79r|f79r.1-f79r.6	IT2a|f79r.5|G012	chol	getrocknet	qoteey	IT2a|f79r.2|G009
IT2a	f79r|f79r.1-f79r.6	IT2a|f79r.6|G001	shol	feucht	chy	IT2a|f79r.5|G013
ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.2|G004	shol	feucht	chor	ZL3b|f2v.1|G006
ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.3|G004	chol	getrocknet	chor	ZL3b|f2v.3|G002
ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.9|G003	shol	feucht		
ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G002	chol	getrocknet	okaiin	ZL3b|f56r.10|G009
ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.15|G003	chol	getrocknet	okaiin	ZL3b|f56r.10|G009
IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.2|G004	shol	feucht	chor	IT2a|f2v.1|G007
IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.3|G004	chol	getrocknet	chor	IT2a|f2v.3|G002
IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.9|G003	shol	feucht		
IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.15|G002	chol	getrocknet	chor	IT2a|f56r.11|G005
