order_occurrence_id	root	working_meaning_de	bundle_id	record_id	physical_page	locus	source_event_id	surface	working_recipe	event_ordinal_in_bundle	atom_ordinal_in_event	position_role	stream_interpretation	component_meaning_change
G475-O022	OT	DANACH	G474-B051	G475-R051	f72r	f72r2.21	P1008-E0252	otolam	OT+OL+AM_ADDR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O023	OL	FORTSETZEN	G474-B051	G475-R051	f72r	f72r2.21	P1008-E0252	otolam	OT+OL+AM_ADDR	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O024	OT	DANACH	G474-B052	G475-R052	f72r	f72r2.23	P1008-E0279	otal	OT+AL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O025	OT	DANACH	G474-B055	G475-R055	f72r	f72r2.26	P1008-E0282	otalshy	OT+AL+Y	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O026	OT	DANACH	G474-B058	G475-R058	f72r	f72r2.29	P1008-E0285	otam	OT+AM_ADDR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O027	OL	FORTSETZEN	G474-B061	G475-R060	f72r	f72r3.2	P1008-E0350	olkalaiin	OL+AL+AIIN	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O028	OL	FORTSETZEN	G474-B062	G475-R060	f72r	f72r3.3	P1008-E0351	olalsy	OL+AL+Y	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O029	OT	DANACH	G474-B065	G475-R063	f72r	f72r3.6	P1008-E0354	oto	OT+O	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O030	OT	DANACH	G474-B068	G475-R066	f72r	f72r3.9	P1008-E0361	oteey	OT+EE+Y	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O031	OL	FORTSETZEN	G474-B070	G475-R068	f72r	f72r3.11	P1008-E0364	ofsholdy	O+LOCAL_CHAR_F+SH+OL	1	4	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O032	OL	FORTSETZEN	G474-B072	G475-R069	f72r	f72r3.13	P1008-E0367	ykolairol	OL+AIR+OL	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O033	OL	FORTSETZEN	G474-B072	G475-R069	f72r	f72r3.13	P1008-E0367	ykolairol	OL+AIR+OL	1	3	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O034	OL	FORTSETZEN	G474-B082	G475-R078	f72r	f72r3.24	P1008-E0422	olaiin	OL+AIIN	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O035	OL	FORTSETZEN	G474-B082	G475-R078	f72r	f72r3.24	P1008-E0423	olay	OL	2	1	LATER_EVENT_LEADING	CONTINUE_WITHIN_LOCUS	NO
G475-O036	OL	FORTSETZEN	G474-B083	G475-R078	f72r	f72r3.25	P1008-E0424	olfsheoral	OL+SH+AL	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O037	OL	FORTSETZEN	G474-B090	G475-R084	f72r	f72r3.33	P1008-E0459	oletal	OL+AL	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O038	OL	FORTSETZEN	G474-B092	G475-R085	f77r	f77r.2	P1003-E0082	olkchs	OL	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O039	OT	DANACH	G474-B093	G475-R086	f77r	f77r.3	P1003-E0083	otedy	OT+E+DY	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O040	OT	DANACH	G474-B094	G475-R087	f77r	f77r.4	P1003-E0084	otork	OT	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O041	OT	DANACH	G474-B095	G475-R088	f77r	f77r.5	P1003-E0085	otol	OT+OL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O042	OL	FORTSETZEN	G474-B095	G475-R088	f77r	f77r.5	P1003-E0085	otol	OT+OL	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O043	OT	DANACH	G474-B098	G475-R091	f77r	f77r.8	P1003-E0088	dotedy	OT	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O044	OT	DANACH	G474-B099	G475-R092	f77r	f77r.49	P1003-E0410	otchdy	OT+CHD+DY	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O045	OT	DANACH	G474-B100	G475-R093	f77r	f77r.50	P1003-E0411	otolaiin	OT+OL+AIIN	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O046	OL	FORTSETZEN	G474-B100	G475-R093	f77r	f77r.50	P1003-E0411	otolaiin	OT+OL+AIIN	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O047	OT	DANACH	G474-B104	G475-R097	f88v	f88v.4	P1003-E0416	otar	OT+AR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O048	OT	DANACH	G474-B105	G475-R098	f88v	f88v.5	P1003-E0418	otokol	OT+OK+OL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O049	OL	FORTSETZEN	G474-B105	G475-R098	f88v	f88v.5	P1003-E0418	otokol	OT+OK+OL	1	3	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O050	OT	DANACH	G474-B106	G475-R099	f88v	f88v.11	P1003-E0458	otoram	OT+AM_ADDR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O051	OT	DANACH	G474-B107	G475-R100	f88v	f88v.12	P1003-E0459	otora	OT	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O052	OT	DANACH	G474-B111	G475-R104	f88v	f88v.28	P1003-E0555	otydary	OT+D_ADDR+AR	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O053	OT	DANACH	G474-B112	G475-R105	f88v	f88v.29	P1003-E0556	otdordy	OT	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O054	OL	FORTSETZEN	G474-B115	G475-R107	f89r	f89r1.2	P1008-E1039	qkol	OL	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O055	OL	FORTSETZEN	G474-B116	G475-R107	f89r	f89r1.3	P1008-E1040	oldam	OL+AM_ADDR	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O056	OT	DANACH	G474-B117	G475-R108	f89r	f89r1.4	P1008-E1041	otoldy	OT+OL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O057	OL	FORTSETZEN	G474-B117	G475-R108	f89r	f89r1.4	P1008-E1041	otoldy	OT+OL	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O058	OL	FORTSETZEN	G474-B120	G475-R110	f89r	f89r1.12	P1008-E1091	chol	OL	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O059	OT	DANACH	G474-B121	G475-R111	f89r	f89r1.13	P1008-E1093	otorain	OT+AIN	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O060	OL	FORTSETZEN	G474-B128	G475-R117	f89r	f89r2.2	P1008-E1180	doly	OL+Y	1	1	BUNDLE_LEADING	CONTINUE_PREVIOUS_RECORD	NO
G475-O061	OL	FORTSETZEN	G474-B130	G475-R119	f89r	f89r2.4	P1008-E1182	saloiinsheol	AL+SH+OL	1	3	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O062	OT	DANACH	G474-B132	G475-R121	f89r	f89r2.9	P1008-E1228	otold	OT+OL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O063	OL	FORTSETZEN	G474-B132	G475-R121	f89r	f89r2.9	P1008-E1228	otold	OT+OL	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O064	OL	FORTSETZEN	G474-B133	G475-R122	f89r	f89r2.10	P1008-E1230	okol	OK+OL	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O065	OL	FORTSETZEN	G474-B133	G475-R122	f89r	f89r2.10	P1008-E1231	shol	SH+OL	2	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O066	OT	DANACH	G474-B144	G475-R133	f89r	f89r2.32	P1008-E1411	otalsy	OT+AL+Y	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O067	OT	DANACH	G474-B146	G475-R135	f89r	f89r2.34	P1008-E1413	otolarol	OT+OL+AR+OL	1	1	BUNDLE_LEADING	NEXT_SIBLING_RECORD	NO
G475-O068	OL	FORTSETZEN	G474-B146	G475-R135	f89r	f89r2.34	P1008-E1413	otolarol	OT+OL+AR+OL	1	2	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
G475-O069	OL	FORTSETZEN	G474-B146	G475-R135	f89r	f89r2.34	P1008-E1413	otolarol	OT+OL+AR+OL	1	4	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	NO
