decision_no	event_id	statement_id	record	page	decision_type	choice_de	why_conscious
45	E101	B1-S001	B1	f81v	RESET_VISIBLE_OWNER	B1_SHARED_TWO_ROW_POOL	Visible image owner changes here.
46	E102	B1-S002	B1	f81v	SELECT_UNUSUAL_PROGRAM	METER_CHECK>MOVE_PASS>TARGET_HANDOFF>SOURCE_DRAW>CONTINUE_USE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF>CONTINUE_USE>HOLD_STATE>MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE>HOLD_STATE>METER_CHECK>HOLD_STATE>METER_CHECK>MOVE_PASS>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
47	E102	B1-S002	B1	f81v	COPY_LOCAL_ALLOGRAPH	okaiin	Compact renderer default is insufficient; copy exemplar surface.
48	E104	B1-S002	B1	f81v	COPY_LOCAL_ALLOGRAPH	okal	Compact renderer default is insufficient; copy exemplar surface.
49	E105	B1-S002	B1	f81v	COPY_LOCAL_ALLOGRAPH	sar	Compact renderer default is insufficient; copy exemplar surface.
50	E109	B1-S002	B1	f81v	COPY_LOCAL_ALLOGRAPH	al	Compact renderer default is insufficient; copy exemplar surface.
51	E121	B1-S003	B1	f81v	SELECT_UNUSUAL_PROGRAM	CONTINUE_USE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
52	E121	B1-S003	B1	f81v	COPY_LOCAL_ALLOGRAPH	qol	Compact renderer default is insufficient; copy exemplar surface.
53	E123	B1-S004	B1	f81v	SELECT_UNUSUAL_PROGRAM	MOVE_PASS>CONTINUE_USE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
54	E127	B1-S006	B1	f81v	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>MOVE_PASS>MOVE_PASS>HOLD_STATE	Program occurs once on the fixed pages.
55	E128	B1-S006	B1	f81v	COPY_LOCAL_ALLOGRAPH	shckhy	Compact renderer default is insufficient; copy exemplar surface.
56	E132	B1-S008	B1	f81v	SELECT_UNUSUAL_PROGRAM	CONTINUE_USE>CONTINUE_USE>HOLD_STATE>CONTINUE_USE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
57	E139	B1-S011	B1	f81v	SELECT_UNUSUAL_PROGRAM	MOVE_PASS>ACTIVATE_CHARGE	Program occurs once on the fixed pages.
58	E142	B1-S012	B1	f81v	COPY_LOCAL_ALLOGRAPH	qokey	Compact renderer default is insufficient; copy exemplar surface.
59	E145	B1-S014	B1	f81v	SELECT_UNUSUAL_PROGRAM	MOVE_PASS>HOLD_STATE>TARGET_HANDOFF>CONTINUE_USE>SOURCE_DRAW	Program occurs once on the fixed pages.
60	E148	B1-S014	B1	f81v	COPY_LOCAL_ALLOGRAPH	qol	Compact renderer default is insufficient; copy exemplar surface.
61	E150	B1-S015	B1	f81v	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>ACTIVATE_CHARGE>CLOSE	Program occurs once on the fixed pages.
62	E152	B1-S016	B1	f81v	SELECT_UNUSUAL_PROGRAM	TARGET_HANDOFF>HOLD_STATE>CONTINUE_USE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
63	E153	B1-S016	B1	f81v	COPY_LOCAL_ALLOGRAPH	okeey	Compact renderer default is insufficient; copy exemplar surface.
64	E154	B1-S016	B1	f81v	COPY_LOCAL_ALLOGRAPH	qol	Compact renderer default is insufficient; copy exemplar surface.
65	E155	B1-S016	B1	f81v	COPY_LOCAL_ALLOGRAPH	cheedy	Compact renderer default is insufficient; copy exemplar surface.
66	E156	B1-S017	B1	f81v	SELECT_UNUSUAL_PROGRAM	TARGET_HANDOFF>HOLD_STATE>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
67	E156	B1-S017	B1	f81v	COPY_LOCAL_ALLOGRAPH	sal	Compact renderer default is insufficient; copy exemplar surface.
68	E159	B1-S018	B1	f81v	SELECT_UNUSUAL_PROGRAM	MOVE_PASS>HOLD_STATE>METER_CHECK>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
69	E163	B1-S019	B1	f81v	COPY_LOCAL_ALLOGRAPH	tedy	Compact renderer default is insufficient; copy exemplar surface.
70	E166	B1-S021	B1	f81v	SELECT_UNUSUAL_PROGRAM	TARGET_HANDOFF	Program occurs once on the fixed pages.
71	E166	B1-S021	B1	f81v	COPY_LOCAL_ALLOGRAPH	chal	Compact renderer default is insufficient; copy exemplar surface.
72	E167	B2-S001	B2	f82r	RESET_VISIBLE_OWNER	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Visible image owner changes here.
73	E167	B2-S001	B2	f82r	COPY_LOCAL_ALLOGRAPH	dchedy	Compact renderer default is insufficient; copy exemplar surface.
74	E170	B2-S003	B2	f82r	COPY_LOCAL_ALLOGRAPH	dy	Compact renderer default is insufficient; copy exemplar surface.
75	E172	B2-S004	B2	f82r	SELECT_UNUSUAL_PROGRAM	TARGET_HANDOFF>ACTIVATE_CHARGE>MOVE_PASS>HOLD_STATE>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
76	E177	B2-S005	B2	f82r	SELECT_UNUSUAL_PROGRAM	TARGET_HANDOFF>METER_CHECK>MOVE_PASS>METER_CHECK>METER_CHECK>HOLD_STATE>ACTIVATE_CHARGE>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
77	E185	B2-S006	B2	f82r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>TARGET_HANDOFF>ACTIVATE_CHARGE>ACTIVATE_CHARGE	Program occurs once on the fixed pages.
78	E189	B2-S007	B2	f82r	RESET_VISIBLE_OWNER	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Visible image owner changes here.
79	E190	B2-S008	B2	f82r	SELECT_UNUSUAL_PROGRAM	METER_CHECK>SOURCE_DRAW>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
80	E190	B2-S008	B2	f82r	COPY_LOCAL_ALLOGRAPH	sotaiin	Compact renderer default is insufficient; copy exemplar surface.
81	E194	B2-S010	B2	f82r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>ACTIVATE_CHARGE>CONTINUE_USE>HOLD_STATE	Program occurs once on the fixed pages.
82	E198	B2-S011	B2	f82r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
83	E198	B2-S011	B2	f82r	RESET_VISIBLE_OWNER	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	Visible image owner changes here.
84	E198	B2-S011	B2	f82r	COPY_LOCAL_ALLOGRAPH	okain	Compact renderer default is insufficient; copy exemplar surface.
85	E200	B2-S011	B2	f82r	COPY_LOCAL_ALLOGRAPH	okain	Compact renderer default is insufficient; copy exemplar surface.
86	E202	B2-S012	B2	f82r	SELECT_UNUSUAL_PROGRAM	SOURCE_DRAW>HOLD_STATE>HOLD_STATE>HOLD_STATE>SOURCE_DRAW>METER_CHECK>CONTINUE_USE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
87	E203	B2-S012	B2	f82r	RESET_VISIBLE_OWNER	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Visible image owner changes here.
88	E211	B2-S014	B2	f82r	SELECT_UNUSUAL_PROGRAM	SOURCE_DRAW	Program occurs once on the fixed pages.
89	E212	B2-S015	B2	f82r	RESET_VISIBLE_OWNER	B2_LOWER_POOL_EDGE_STATIONS	Visible image owner changes here.
90	E214	B2-S016	B2	f82r	SELECT_UNUSUAL_PROGRAM	TARGET_HANDOFF>SOURCE_DRAW>ACTIVATE_CHARGE>METER_CHECK>HOLD_STATE>METER_CHECK>HOLD_STATE>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
91	E214	B2-S016	B2	f82r	COPY_LOCAL_ALLOGRAPH	cheal	Compact renderer default is insufficient; copy exemplar surface.
92	E217	B2-S016	B2	f82r	COPY_LOCAL_ALLOGRAPH	aiin	Compact renderer default is insufficient; copy exemplar surface.
93	E222	B2-S017	B2	f82r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>TARGET_HANDOFF>CLOSE	Program occurs once on the fixed pages.
94	E229	B3-S001	B3	f83r	RESET_VISIBLE_OWNER	B3_UPPER_MARGIN_OPEN_FAN_STATION	Visible image owner changes here.
95	E232	B3-S003	B3	f83r	SELECT_UNUSUAL_PROGRAM	CONTINUE_USE>METER_CHECK>CONTINUE_USE>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
96	E236	B3-S004	B3	f83r	SELECT_UNUSUAL_PROGRAM	METER_CHECK>TARGET_HANDOFF>SOURCE_DRAW	Program occurs once on the fixed pages.
97	E238	B3-S004	B3	f83r	COPY_LOCAL_ALLOGRAPH	dar	Compact renderer default is insufficient; copy exemplar surface.
98	E239	B3-S005	B3	f83r	RESET_VISIBLE_OWNER	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	Visible image owner changes here.
99	E240	B3-S006	B3	f83r	SELECT_UNUSUAL_PROGRAM	MOVE_PASS>TARGET_HANDOFF>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
100	E242	B3-S006	B3	f83r	COPY_LOCAL_ALLOGRAPH	olchedy	Compact renderer default is insufficient; copy exemplar surface.
101	E243	B3-S007	B3	f83r	SELECT_UNUSUAL_PROGRAM	METER_CHECK>MOVE_PASS>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
102	E247	B3-S009	B3	f83r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE	Program occurs once on the fixed pages.
103	E248	B3-S010	B3	f83r	RESET_VISIBLE_OWNER	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	Visible image owner changes here.
104	E250	B3-S011	B3	f83r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>ACTIVATE_CHARGE>MOVE_PASS>SOURCE_DRAW	Program occurs once on the fixed pages.
105	E254	B3-S012	B3	f83r	COPY_LOCAL_ALLOGRAPH	sor	Compact renderer default is insufficient; copy exemplar surface.
106	E257	B3-S013	B3	f83r	COPY_LOCAL_ALLOGRAPH	chkain	Compact renderer default is insufficient; copy exemplar surface.
107	E258	B3-S013	B3	f83r	COPY_LOCAL_ALLOGRAPH	shcthey	Compact renderer default is insufficient; copy exemplar surface.
108	E260	B3-S014	B3	f83r	SELECT_UNUSUAL_PROGRAM	MOVE_PASS>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
109	E263	B3-S016	B3	f83r	SELECT_UNUSUAL_PROGRAM	MOVE_PASS>ACTIVATE_CHARGE>CLOSE	Program occurs once on the fixed pages.
110	E264	B3-S016	B3	f83r	RESET_VISIBLE_OWNER	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	Visible image owner changes here.
111	E264	B3-S016	B3	f83r	COPY_LOCAL_ALLOGRAPH	qokchedy	Compact renderer default is insufficient; copy exemplar surface.
112	E268	B3-S020	B3	f83r	SELECT_UNUSUAL_PROGRAM	TARGET_HANDOFF>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
113	E270	B3-S021	B3	f83r	SELECT_UNUSUAL_PROGRAM	METER_CHECK>HOLD_STATE>TARGET_HANDOFF>CONTINUE_USE>METER_CHECK>HOLD_STATE>HOLD_STATE>CONTINUE_USE>TARGET_HANDOFF>HOLD_STATE>TARGET_HANDOFF>CLOSE	Program occurs once on the fixed pages.
114	E271	B3-S021	B3	f83r	COPY_LOCAL_ALLOGRAPH	shcthy	Compact renderer default is insufficient; copy exemplar surface.
115	E273	B3-S021	B3	f83r	COPY_LOCAL_ALLOGRAPH	sy	Compact renderer default is insufficient; copy exemplar surface.
116	E278	B3-S021	B3	f83r	COPY_LOCAL_ALLOGRAPH	tal	Compact renderer default is insufficient; copy exemplar surface.
117	E279	B3-S021	B3	f83r	COPY_LOCAL_ALLOGRAPH	shcthy	Compact renderer default is insufficient; copy exemplar surface.
118	E281	B3-S022	B3	f83r	COPY_LOCAL_ALLOGRAPH	qotchedy	Compact renderer default is insufficient; copy exemplar surface.
119	E283	B3-S024	B3	f83r	COPY_LOCAL_ALLOGRAPH	tchedy	Compact renderer default is insufficient; copy exemplar surface.
120	E285	B3-S026	B3	f83r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>METER_CHECK>MOVE_PASS>ACTIVATE_CHARGE>HOLD_STATE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
121	E291	B3-S026	B3	f83r	RESET_VISIBLE_OWNER	B3_MAIN_ARCH_LINKED_PAIR	Visible image owner changes here.
122	E291	B3-S026	B3	f83r	COPY_LOCAL_ALLOGRAPH	solkeedy	Compact renderer default is insufficient; copy exemplar surface.
123	E298	B3-S030	B3	f83r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>METER_CHECK>MOVE_PASS>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
124	E299	B3-S030	B3	f83r	COPY_LOCAL_ALLOGRAPH	saiin	Compact renderer default is insufficient; copy exemplar surface.
125	E303	B3-S032	B3	f83r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>ACTIVATE_CHARGE>METER_CHECK>METER_CHECK>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
126	E309	B3-S034	B3	f83r	SELECT_UNUSUAL_PROGRAM	METER_CHECK>HOLD_STATE>ACTIVATE_CHARGE>METER_CHECK>TARGET_HANDOFF>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
127	E309	B3-S034	B3	f83r	COPY_LOCAL_ALLOGRAPH	soiiin	Compact renderer default is insufficient; copy exemplar surface.
128	E311	B3-S034	B3	f83r	COPY_LOCAL_ALLOGRAPH	chety	Compact renderer default is insufficient; copy exemplar surface.
129	E315	B4-S001	B4	f83r	RESET_VISIBLE_OWNER	B4_MAIN_ARCH_LINKED_PAIR	Visible image owner changes here.
130	E319	B4-S003	B4	f83r	SELECT_UNUSUAL_PROGRAM	MOVE_PASS>TARGET_HANDOFF>ACTIVATE_CHARGE>HOLD_STATE>ACTIVATE_CHARGE>CONTINUE_USE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
131	E320	B4-S003	B4	f83r	COPY_LOCAL_ALLOGRAPH	otal	Compact renderer default is insufficient; copy exemplar surface.
132	E324	B4-S003	B4	f83r	COPY_LOCAL_ALLOGRAPH	tol	Compact renderer default is insufficient; copy exemplar surface.
133	E337	B4-S010	B4	f83r	SELECT_UNUSUAL_PROGRAM	CONTINUE_USE>CLOSE	Program occurs once on the fixed pages.
134	E338	B4-S011	B4	f83r	SELECT_UNUSUAL_PROGRAM	METER_CHECK>HOLD_STATE>HOLD_STATE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
135	E338	B4-S011	B4	f83r	RESET_VISIBLE_OWNER	B4_MAIN_LEFT_OPEN_FRINGE_STATION	Visible image owner changes here.
136	E341	B4-S011	B4	f83r	COPY_LOCAL_ALLOGRAPH	okain	Compact renderer default is insufficient; copy exemplar surface.
137	E342	B4-S011	B4	f83r	COPY_LOCAL_ALLOGRAPH	chdy	Compact renderer default is insufficient; copy exemplar surface.
138	E348	B4-S014	B4	f83r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>CONTINUE_USE>HOLD_STATE>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
139	E348	B4-S014	B4	f83r	COPY_LOCAL_ALLOGRAPH	or	Compact renderer default is insufficient; copy exemplar surface.
140	E352	B4-S015	B4	f83r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>HOLD_STATE>ACTIVATE_CHARGE>TARGET_HANDOFF>HOLD_STATE>MOVE_PASS>CLOSE	Program occurs once on the fixed pages.
141	E353	B4-S015	B4	f83r	COPY_LOCAL_ALLOGRAPH	shey	Compact renderer default is insufficient; copy exemplar surface.
142	E356	B4-S015	B4	f83r	RESET_VISIBLE_OWNER	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	Visible image owner changes here.
143	E358	B4-S016	B4	f83r	SELECT_UNUSUAL_PROGRAM	ACTIVATE_CHARGE>TARGET_HANDOFF>SOURCE_DRAW>HOLD_STATE>CLOSE	Program occurs once on the fixed pages.
144	E358	B4-S016	B4	f83r	COPY_LOCAL_ALLOGRAPH	qolkain	Compact renderer default is insufficient; copy exemplar surface.
145	E362	B5-S001	B5	f83r	RESET_VISIBLE_OWNER	B5_LEFT_OPEN_FRINGE_STATION	Visible image owner changes here.
146	E364	B5-S003	B5	f83r	SELECT_UNUSUAL_PROGRAM	TARGET_HANDOFF>TARGET_HANDOFF>CONTINUE_USE>MOVE_PASS>TARGET_HANDOFF>METER_CHECK>CONTINUE_USE>METER_CHECK>MOVE_PASS	Program occurs once on the fixed pages.
147	E366	B5-S003	B5	f83r	COPY_LOCAL_ALLOGRAPH	cheol	Compact renderer default is insufficient; copy exemplar surface.
148	E369	B5-S003	B5	f83r	COPY_LOCAL_ALLOGRAPH	aiin	Compact renderer default is insufficient; copy exemplar surface.
149	E373	B6-S001	B6	f83r	SELECT_UNUSUAL_PROGRAM	HOLD_STATE>HOLD_STATE>HOLD_STATE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE	Program occurs once on the fixed pages.
150	E373	B6-S001	B6	f83r	RESET_VISIBLE_OWNER	B6_RIGHT_S_RUN_MULTIPORT_STATION	Visible image owner changes here.
151	E377	B6-S001	B6	f83r	COPY_LOCAL_ALLOGRAPH	daiin	Compact renderer default is insufficient; copy exemplar surface.
