layer	surface	composition_slot	default_meaning_de	status	evidence	caveat
VOYNICH_WORKING_BUNDLE	qoksh-(y|ey)	QUALITY_CODE	Temperament: heiß und trocken	CONCRETE_EXPLORATORY_DEFAULT	Rare KSH forms occur in both Diptamus local blocks and the f38r Balsam opening.	f3r qokshey is ZL3b/RF1b; IT2a reads qokchey.
VOYNICH_WORKING_BUNDLE	qotch-(y|ey)	QUALITY_CODE	Temperament: kalt und feucht	CONCRETE_EXPLORATORY_DEFAULT	Stable exact qotchy and a clean TCH opening on f36r.	TCH is common, so the bundle alone does not identify a plant.
VOYNICH_WORKING_BUNDLE	qotsh-(y|ey)	QUALITY_CODE	Temperament: kalt und trocken	CONCRETE_EXPLORATORY_DEFAULT	The fourth combinatorial corner exists and forms sh/ch minimal pairs.	It has no named-plant anchor in the current five-item deck.
VOYNICH_WORKING	-(y|ey)	QUALITY_CODE_ENDING	Abschluss oder Verbindung des Eigenschaftscodes	EXPLORATORY_SLOT_ONLY	The ending occurs after multiple quality quadrants and across source degrees.	It cannot currently mean a particular numeric degree.
VOYNICH_WORKING	unmarkiert	DEGREE	Grad 1	EXPLORATORY_DEGREE_DEFAULT	The two liquorice windows lack otaiin and direct same-line (q)okol daiin.	This is a page-local absence default, not a decoded glyph; 94/181 safe pages lack both markers.
VOYNICH_WORKING	otaiin-family	DEGREE	Grad 2	EXPLORATORY_DEGREE_DEFAULT	It occurs in the f24r and f36r Cucurbita windows and the f38r Balsam opening, but not in either liquorice or Diptamus window.	It is common on 81/181 safe pages, and the visual f49r Cucurbita alternative lacks it.
VOYNICH_WORKING	dain|daiin|daiiin	DEGREE_OR_NUMBER_FAMILY	Grad-/Zahlwert, genaue Reihenfolge offen	EXPLORATORY_FAMILY_ONLY	These forms follow chol/chor/shol/shor in a recurrent compact bundle.	They do not map cleanly to degrees 1/2/3 on the named plant candidates.
VOYNICH_ALTERNATE_WORKING	ch|sh + ol|or	TWO_BY_TWO_QUALITY_BUNDLE	zweiachsige Eigenschaft; Achsenzuordnung noch offen	EXPLORATORY_COMPETING_SEGMENTATION	chol/chor/shol/shor immediately precede the degree family on many Herbal lines.	The same chol+daiin pair occurs on unlike plant candidates.
VOYNICH_WORKING	(q)okol + daiin	POSSIBLE_DEGREE_3_EXTENSION	Grad 3	EXPLORATORY_DEGREE_DEFAULT	The sequence follows dry-family material in both Diptamus candidate blocks.	It is rare (9 adjacent events on 8/181 safe pages) but not isolated from other functions of okol and daiin.
VOYNICH_PAGE_NAME_DEFAULT	tolor	LEARNED_WHOLE_PLANT_NAME	Balsam	CANDIDATE_NAME_CARRIER_DEFAULT	f38r selected by PETERSEN_2013_BALSAM_PRELIMINARY plus the current code profile.	This assigns a throughput placeholder only; neither page identity nor carrier meaning is a decoded lexeme.
VOYNICH_PAGE_NAME_DEFAULT	keer[e:o]dal [ZL3b] | keerodal [IT2a] | keesedal [RF1b]	LEARNED_WHOLE_PLANT_NAME	Kerbel	CANDIDATE_NAME_CARRIER_DEFAULT	f41v selected by PETERSEN_2013_MYRRHIS_CONTENDER plus the current code profile.	This assigns a throughput placeholder only; neither page identity nor carrier meaning is a decoded lexeme.
VOYNICH_PAGE_NAME_DEFAULT	por [ZL3b] | porory… [IT2a/RF1b]	LEARNED_WHOLE_PLANT_NAME	Kürbis/Kalebasse	CANDIDATE_NAME_CARRIER_DEFAULT	f24r selected by SHERWOOD_2008_SQUASH_CUCURBITA plus the current code profile.	This assigns a throughput placeholder only; neither page identity nor carrier meaning is a decoded lexeme.
VOYNICH_PAGE_NAME_DEFAULT	tsheos	LEARNED_WHOLE_PLANT_NAME	Diptam	CANDIDATE_NAME_CARRIER_DEFAULT	f3r selected by ELV_AND_PETERSEN_PRE1960_DITTANY plus the current code profile.	This assigns a throughput placeholder only; neither page identity nor carrier meaning is a decoded lexeme.
VOYNICH_PAGE_NAME_DEFAULT	pykydal	LEARNED_WHOLE_PLANT_NAME	Süßholz	CANDIDATE_NAME_CARRIER_DEFAULT	f45r selected by ETHEL_VOYNICH_GLYCYRRHIZA_PROPOSAL plus the current code profile.	This assigns a throughput placeholder only; neither page identity nor carrier meaning is a decoded lexeme.
