surface	family	page	locus	token_index	section	language	corpus_group	candidate_contact
qotchy	TCH	f19v	f19v.5	1	H	A	HERBAL_A	0
qotchy	TCH	f20r	f20r.2	6	H	A	HERBAL_A	0
qotchey	TCH	f20r	f20r.9	3	H	A	HERBAL_A	0
qokchey	KCH	f20r	f20r.9	4	H	A	HERBAL_A	0
qotchy	TCH	f20v	f20v.3	9	H	A	HERBAL_A	0
qokchey	KCH	f21r	f21r.3	7	H	A	HERBAL_A	0
qokchy	KCH	f21v	f21v.2	2	H	A	HERBAL_A	0
qotchy	TCH	f21v	f21v.2	4	H	A	HERBAL_A	0
qokchy	KCH	f21v	f21v.2	5	H	A	HERBAL_A	0
qokchy	KCH	f22r	f22r.5	3	H	A	HERBAL_A	0
qokchy	KCH	f22r	f22r.11	3	H	A	HERBAL_A	0
qotchy	TCH	f22v	f22v.2	4	H	A	HERBAL_A	0
qotchy	TCH	f22v	f22v.8	1	H	A	HERBAL_A	0
qokchy	KCH	f22v	f22v.10	1	H	A	HERBAL_A	0
qotchy	TCH	f22v	f22v.14	1	H	A	HERBAL_A	0
qokchy	KCH	f22v	f22v.15	4	H	A	HERBAL_A	0
qokshy	KSH	f23r	f23r.8	1	H	A	HERBAL_A	0
qokchey	KCH	f23v	f23v.2	4	H	A	HERBAL_A	1
qokchy	KCH	f24r	f24r.12	1	H	A	HERBAL_A	1
qotchy	TCH	f24r	f24r.12	2	H	A	HERBAL_A	1
qotchy	TCH	f25r	f25r.3	1	H	A	HERBAL_A	0
qotshy	TSH	f25r	f25r.3	2	H	A	HERBAL_A	0
qotchy	TCH	f25v	f25v.6	4	H	A	HERBAL_A	0
qotchey	TCH	f27r	f27r.10	1	H	A	HERBAL_A	0
qotchey	TCH	f28v	f28v.5	6	H	A	HERBAL_A	0
qotshey	TSH	f28v	f28v.5	7	H	A	HERBAL_A	0
qotchy	TCH	f29r	f29r.1	7	H	A	HERBAL_A	0
qokchy	KCH	f29r	f29r.3	1	H	A	HERBAL_A	0
qokchy	KCH	f29r	f29r.7	1	H	A	HERBAL_A	0
qotchy	TCH	f29v	f29v.3	6	H	A	HERBAL_A	0
qotchy	TCH	f30r	f30r.10	4	H	A	HERBAL_A	0
qokchy	KCH	f31r	f31r.11	2	H	B	OTHER_SAFE	0
qotchy	TCH	f32r	f32r.5	1	H	A	HERBAL_A	1
qokchy	KCH	f32r	f32r.5	2	H	A	HERBAL_A	1
qokchy	KCH	f32r	f32r.15	1	H	A	HERBAL_A	1
qotchy	TCH	f32v	f32v.9	1	H	A	HERBAL_A	0
qokchy	KCH	f33r	f33r.3	8	H	B	OTHER_SAFE	0
qokchy	KCH	f34v	f34v.2	2	H	B	OTHER_SAFE	0
qotchey	TCH	f35r	f35r.3	3	H	A	HERBAL_A	0
qotchy	TCH	f35r	f35r.4	1	H	A	HERBAL_A	0
qotchy	TCH	f35r	f35r.14	4	H	A	HERBAL_A	0
qotchy	TCH	f35v	f35v.2	1	H	A	HERBAL_A	0
qotchy	TCH	f35v	f35v.4	2	H	A	HERBAL_A	0
qotchy	TCH	f36r	f36r.3	1	H	A	HERBAL_A	1
qokchy	KCH	f37r	f37r.5	2	H	A	HERBAL_A	0
qokchy	KCH	f37r	f37r.6	3	H	A	HERBAL_A	0
qotchy	TCH	f37r	f37r.9	2	H	A	HERBAL_A	0
qokchy	KCH	f39v	f39v.8	9	H	B	OTHER_SAFE	0
qokshey	KSH	f3r	f3r.13	5	H	A	HERBAL_A	1
qokchy	KCH	f3v	f3v.13	3	H	A	HERBAL_A	0
qokchey	KCH	f40v	f40v.15	1	H	B	OTHER_SAFE	0
qotchy	TCH	f41r	f41r.5	1	H	B	OTHER_SAFE	0
qotchy	TCH	f42v	f42v.4	1	H	A	HERBAL_A	0
qotchy	TCH	f44r	f44r.6	7	H	A	HERBAL_A	0
qotshy	TSH	f44r	f44r.7	4	H	A	HERBAL_A	0
qotchy	TCH	f44r	f44r.9	5	H	A	HERBAL_A	0
qokchy	KCH	f44r	f44r.9	6	H	A	HERBAL_A	0
qotshy	TSH	f44v	f44v.1	2	H	A	HERBAL_A	0
qokchy	KCH	f44v	f44v.10	2	H	A	HERBAL_A	0
qokchy	KCH	f45r	f45r.5	8	H	A	HERBAL_A	1
qokchy	KCH	f45v	f45v.3	1	H	A	HERBAL_A	0
qokchy	KCH	f49r	f49r.7	3	H	A	HERBAL_A	1
qokchy	KCH	f49v	f49v.4	1	H	A	HERBAL_A	0
qotchy	TCH	f49v	f49v.12	1	H	A	HERBAL_A	0
qotchy	TCH	f4r	f4r.5	2	H	A	HERBAL_A	0
qokshy	KSH	f4v	f4v.4	1	H	A	HERBAL_A	0
qotchy	TCH	f51r	f51r.1	2	H	A	HERBAL_A	0
qokchy	KCH	f51r	f51r.7	5	H	A	HERBAL_A	0
qotchy	TCH	f52r	f52r.4	4	H	A	HERBAL_A	0
qokchy	KCH	f53r	f53r.7	9	H	A	HERBAL_A	0
qotchy	TCH	f54v	f54v.7	6	H	A	HERBAL_A	0
qokchy	KCH	f55v	f55v.9	2	H	B	OTHER_SAFE	0
qotchy	TCH	f56r	f56r.14	4	H	A	HERBAL_A	0
qotchy	TCH	f56r	f56r.16	1	H	A	HERBAL_A	0
qotchey	TCH	f56v	f56v.3	4	H	A	HERBAL_A	0
qokchey	KCH	f56v	f56v.12	1	H	A	HERBAL_A	0
qokshy	KSH	f66r	f66r.57	5	T	B	OTHER_SAFE	0
qokchey	KCH	f66r	f66r.61	1	T	B	OTHER_SAFE	0
qokchy	KCH	f75v	f75v.66	4	B	B	OTHER_SAFE	0
qotchy	TCH	f76v	f76v.23	3	B	B	OTHER_SAFE	0
qokchy	KCH	f77v	f77v.26	8	B	B	OTHER_SAFE	0
qotchy	TCH	f77v	f77v.36	1	B	B	OTHER_SAFE	0
qokchy	KCH	f79r	f79r.12	1	B	B	OTHER_SAFE	0
qotchey	TCH	f79r	f79r.12	2	B	B	OTHER_SAFE	0
qotshy	TSH	f79r	f79r.25	2	B	B	OTHER_SAFE	0
qotchey	TCH	f79r	f79r.26	3	B	B	OTHER_SAFE	0
qokchey	KCH	f79v	f79v.2	2	B	B	OTHER_SAFE	0
qokshey	KSH	f79v	f79v.7	1	B	B	OTHER_SAFE	0
qotchy	TCH	f7r	f7r.3	5	H	A	HERBAL_A	0
qokchy	KCH	f7r	f7r.8	4	H	A	HERBAL_A	0
qokchy	KCH	f7v	f7v.3	1	H	A	HERBAL_A	0
qotchy	TCH	f7v	f7v.5	2	H	A	HERBAL_A	0
qotchey	TCH	f7v	f7v.8	5	H	A	HERBAL_A	0
qotchy	TCH	f80r	f80r.14	6	B	B	OTHER_SAFE	0
qotchy	TCH	f80r	f80r.26	8	B	B	OTHER_SAFE	0
qotshey	TSH	f80v	f80v.7	5	B	B	OTHER_SAFE	0
qokchey	KCH	f82v	f82v.16	6	B	B	OTHER_SAFE	0
qokchey	KCH	f82v	f82v.33	4	B	B	OTHER_SAFE	0
qokchy	KCH	f83r	f83r.34	4	B	B	OTHER_SAFE	0
qokshey	KSH	f85r1	f85r1.18	8	T	B	OTHER_SAFE	0
qokshey	KSH	f85r2	f85r2.22	4	C	B	OTHER_SAFE	0
qokshey	KSH	f86v3	f86v3.16	3	C	B	OTHER_SAFE	0
qokchey	KCH	f86v3	f86v3.17	2	C	B	OTHER_SAFE	0
qotchey	TCH	f86v3	f86v3.25	4	C	B	OTHER_SAFE	0
qokchy	KCH	f86v5	f86v5.35	8	T	B	OTHER_SAFE	0
qokchy	KCH	f86v6	f86v6.26	6	T	B	OTHER_SAFE	0
qokshey	KSH	f86v6	f86v6.33	11	T	B	OTHER_SAFE	0
qokshey	KSH	f86v6	f86v6.45	4	T	B	OTHER_SAFE	0
qokchy	KCH	f89r1	f89r1.21	5	P	A	OTHER_SAFE	0
qotchy	TCH	f89v1	f89v1.19	5	P	A	OTHER_SAFE	0
qotchy	TCH	f93r	f93r.13	2	H	A	HERBAL_A	0
qotchy	TCH	f94v	f94v.8	7	H	B	OTHER_SAFE	0
qokshey	KSH	f94v	f94v.9	4	H	B	OTHER_SAFE	0
qokshy	KSH	f95v1	f95v1.6	2	H	B	OTHER_SAFE	0
qotchey	TCH	f95v2	f95v2.2	3	H	B	OTHER_SAFE	0
qokchy	KCH	f9r	f9r.8	2	H	A	HERBAL_A	0
