collision_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	surface	final_context_recipe	source_duplicate_phrase_de	underlying_atom_sequence	target_distinct_phrases_de	distinct_target_phrase_count	collision_resolved	target_clause_de	guard
15	GDT575-D055	G407-E3013	G407-S455	f81v	ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	an der bezeichneten Stelle	A_ADDR+D_ADDR	an der A-Stelle|an der D-Stelle	2	YES	Halte den Stationsposten und stelle ihn ein; auf Grad II; an der A-Stelle und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
16	GDT575-D056	G407-E3019	G407-S458	f81v	dairam	D_ADDR+AIR+A_ADDR+AM_ADDR	an der bezeichneten Stelle	D_ADDR+A_ADDR+AM_ADDR	an der D-Stelle|an der A-Stelle|an der AM-Stelle	3	YES	Im laufenden Gang halte denselben Stationsposten; entlang der Stationsbahn; an der D-Stelle, an der A-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
17	GDT575-D062	G407-E3061	G407-S468	f81v	salshcthdy	S+A_ADDR+L+SH+CH+T+D_ADDR+Y	an der bezeichneten Stelle	A_ADDR+D_ADDR	an der A-Stelle|an der D-Stelle	2	YES	Wähle den Stationsposten, halte ihn, entnimm ihn und stelle ihn ein; über die sichtbare Verbindung; an der A-Stelle und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
18	GDT575-D070	G407-E3700	G407-S628	f83r	kesd	K+E+S_ADDR+D_ADDR	an der bezeichneten Stelle	S_ADDR+D_ADDR	an der S-Stelle|an der D-Stelle	2	YES	Führe denselben Stationsposten zu; auf Grad I; an der S-Stelle und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
19	GDT575-D072	G407-E3835	G407-S648	f88r	cheojam	CH+E+O+LOCAL_CHAR_J+A_ADDR+AM_ADDR	an der bezeichneten Stelle	A_ADDR+AM_ADDR	an der A-Stelle|an der AM-Stelle	2	YES	Nimm dieselbe Ansatzeinheit; auf Grad I und als Ausführung; mit der j-Variante, an der A-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
20	GDT575-D079	G407-E4040	G407-S663	f88v	daimd	DA+IIN+M_LOCAL+D_ADDR	an der bezeichneten Stelle	M_LOCAL+D_ADDR	bei der m-Ortsmarke|an der D-Stelle	2	YES	Im laufenden Gang setze denselben Mengenwert als Ansatz an; auf der zweiten Stufe und auf der bezeichneten Stufe; bei der m-Ortsmarke und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
21	GDT575-D080	G407-E4152	G407-S672	f89r	daim	A_ADDR+LOCAL_CHAR_I+M_LOCAL	an der bezeichneten Stelle	A_ADDR+M_LOCAL	an der A-Stelle|bei der m-Ortsmarke	2	YES	Im laufenden Gang setze denselben Drogenposten als Ansatz an; an der A-Stelle, mit der i-Variante und bei der m-Ortsmarke.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
22	GDT575-D081	G407-E4178	G407-S672	f89r	chead	CH+E+A_ADDR+D_ADDR	an der bezeichneten Stelle	A_ADDR+D_ADDR	an der A-Stelle|an der D-Stelle	2	YES	Nimm denselben Drogenposten; auf Grad I; an der A-Stelle und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
23	GDT575-D082	G407-E4201	G407-S675	f89r	daim	A_ADDR+LOCAL_CHAR_I+M_LOCAL	an der bezeichneten Stelle	A_ADDR+M_LOCAL	an der A-Stelle|bei der m-Ortsmarke	2	YES	Im laufenden Gang nimm denselben Drogenposten; an der A-Stelle, mit der i-Variante und bei der m-Ortsmarke.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
24	GDT575-D084	G407-E4353	G407-S685	f89r	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	an der bezeichneten Stelle	D_ADDR+M_LOCAL	an der D-Stelle|bei der m-Ortsmarke	2	YES	Im laufenden Gang nimm denselben Drogenposten; als Ausführung und als Ausführung; an der D-Stelle, mit der i-Variante, beim G-Vermerk und bei der m-Ortsmarke.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
25	GDT575-D085	G407-E4353	G407-S685	f89r	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	mit der lokalen Variante	LOCAL_CHAR_I+G_LABEL	mit der i-Variante|beim G-Vermerk	2	YES	Im laufenden Gang nimm denselben Drogenposten; als Ausführung und als Ausführung; an der D-Stelle, mit der i-Variante, beim G-Vermerk und bei der m-Ortsmarke.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
26	GDT575-D087	G407-E4467	G407-S695	f95v	alfshed	AL+LOCAL_CHAR_F+SH+E+D_ADDR	an der bezeichneten Stelle	LOCAL_CHAR_F+D_ADDR	bei der f-Kennmarke|an der D-Stelle	2	YES	Halte denselben Materialanteil; zur Zielstelle; auf Grad I; bei der f-Kennmarke und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
27	GDT575-D089	G407-E4528	G407-S707	f95v	fchodaiin	LOCAL_CHAR_F+CH+O+D_ADDR+AIIN	an der bezeichneten Stelle	LOCAL_CHAR_F+D_ADDR	bei der f-Kennmarke|an der D-Stelle	2	YES	Nimm den Arbeitswert; als Ausführung; bei der f-Kennmarke und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
28	GDT575-D090	G515-E0104	G515-S008	f20v	fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	an der bezeichneten Stelle	LOCAL_CHAR_F+D_ADDR	bei der f-Kennmarke|an der D-Stelle	2	YES	Halte den Pflanzenposten und nimm ihn; zur Ausführung; bei der f-Kennmarke und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
29	GDT575-D092	G515-E0251	G515-S027	f31r	okedam	OK+E+D_ADDR+AM_ADDR	an der bezeichneten Stelle	D_ADDR+AM_ADDR	an der D-Stelle|an der AM-Stelle	2	YES	Setze denselben Pflanzenposten im Arbeitsgang an; auf Grad I; an der D-Stelle und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
30	GDT575-D094	G515-E0415	G515-S047	f66r	sholfordaiin	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	an der bezeichneten Stelle	LOCAL_CHAR_F+D_ADDR	bei der f-Kennmarke|an der D-Stelle	2	YES	Weiter: halte die Eintragseinheit und den Kennwert fest; bei der f-Kennmarke und an der D-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
31	GDT575-D095	G515-E0422	G515-S047	f66r	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	an der bezeichneten Stelle	LOCAL_CHAR_F+AM_ADDR	bei der f-Kennmarke|an der AM-Stelle	2	YES	Im laufenden Satz bearbeite denselben laufenden Eintrag; von der Ausgangszeile; zur Ausführung; bei der f-Kennmarke und an der AM-Stelle.	DISTINCT_ANALYTICAL_SIGLA__NO_ROOT_OR_SCOPE_MERGE
