changed_event_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	sigla_card_ids	source_clause_de	target_clause_de	source_roundtrip_de	guard
12	G407-E0050	G407-S002	f1r	SOURCE_SECTION_T	oydar	O+Y+D_ADDR+AR	GDT576-C01	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der D-Stelle.	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
13	G407-E0053	G407-S002	f1r	SOURCE_SECTION_T	cfhoaiin	CH+LOCAL_CHAR_F+O+AIIN	GDT576-C05	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	Entnimm den Kennwert; als Ausführung; bei der f-Kennmarke.	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
14	G407-E0054	G407-S002	f1r	SOURCE_SECTION_T	shodary	SH+O+D_ADDR+AR+Y	GDT576-C01	Halte den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Halte den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung; an der D-Stelle.	Halte den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
15	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	cfhol	CH+LOCAL_CHAR_F+OL	GDT576-C05	Weiter: entnimm denselben Kennwert; an der bezeichneten Stelle.	Weiter: entnimm denselben Kennwert; bei der f-Kennmarke.	Weiter: entnimm denselben Kennwert; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
16	G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	cphodal	CH+P+O+D_ADDR+AL	GDT576-C01	Entnimm denselben laufenden Eintrag und setze ihn ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag und setze ihn ein; zur Zielspalte; als Ausführung; an der D-Stelle.	Entnimm denselben laufenden Eintrag und setze ihn ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
17	G407-E0085	G407-S005	f1r	SOURCE_SECTION_T	shodain	SH+O+D_ADDR+AIN	GDT576-C01	Halte den Teilwert fest; als Ausführung; an der bezeichneten Stelle.	Halte den Teilwert fest; als Ausführung; an der D-Stelle.	Halte den Teilwert fest; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
18	G407-E0090	G407-S005	f1r	SOURCE_SECTION_T	kodaiin	K+O+D_ADDR+AIIN	GDT576-C01	Ordne den Kennwert zu; als Ausführung; an der bezeichneten Stelle.	Ordne den Kennwert zu; als Ausführung; an der D-Stelle.	Ordne den Kennwert zu; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
19	G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	GDT576-C01	Entnimm den Kennwert, setze ihn ein und wähle ihn; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	Entnimm den Kennwert, setze ihn ein und wähle ihn; über die Eintragsverbindung; als Ausführung; an der D-Stelle.	Entnimm den Kennwert, setze ihn ein und wähle ihn; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
20	G407-E0096	G407-S005	f1r	SOURCE_SECTION_T	d	D_ADDR	GDT576-C01	Im laufenden Gang halte denselben Teilwert fest; an der bezeichneten Stelle.	Im laufenden Gang halte denselben Teilwert fest; an der D-Stelle.	Im laufenden Gang halte denselben Teilwert fest; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
21	G407-E0100	G407-S005	f1r	SOURCE_SECTION_T	odaiin	O+D_ADDR+AIIN	GDT576-C01	Im laufenden Gang halte den Kennwert fest; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang halte den Kennwert fest; als Ausführung; an der D-Stelle.	Im laufenden Gang halte den Kennwert fest; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
22	G407-E0101	G407-S005	f1r	SOURCE_SECTION_T	chodain	CH+O+D_ADDR+AIN	GDT576-C01	Entnimm den Teilwert; als Ausführung; an der bezeichneten Stelle.	Entnimm den Teilwert; als Ausführung; an der D-Stelle.	Entnimm den Teilwert; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
23	G407-E0104	G407-S005	f1r	SOURCE_SECTION_T	dn	D_ADDR+AN	GDT576-C01	Im laufenden Gang trage denselben Teilwert ein; an der bezeichneten Stelle und in der bezeichneten Klasse.	Im laufenden Gang trage denselben Teilwert ein; an der D-Stelle und in der bezeichneten Klasse.	Im laufenden Gang trage denselben Teilwert ein; an der bezeichneten Stelle und in der bezeichneten Klasse.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
24	G407-E0106	G407-S005	f1r	SOURCE_SECTION_T	kod	K+O+D_ADDR	GDT576-C01	Ordne denselben laufenden Eintrag zu; als Ausführung; an der bezeichneten Stelle.	Ordne denselben laufenden Eintrag zu; als Ausführung; an der D-Stelle.	Ordne denselben laufenden Eintrag zu; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
25	G407-E0120	G407-S005	f1r	SOURCE_SECTION_T	shodan	SH+O+D_ADDR+AN	GDT576-C01	Halte dieselbe Eintragseinheit fest; als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse.	Halte dieselbe Eintragseinheit fest; als Ausführung; an der D-Stelle und in der bezeichneten Klasse.	Halte dieselbe Eintragseinheit fest; als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
26	G407-E0123	G407-S005	f1r	SOURCE_SECTION_T	d	D_ADDR	GDT576-C01	Im laufenden Gang ordne denselben laufenden Eintrag zu; an der bezeichneten Stelle.	Im laufenden Gang ordne denselben laufenden Eintrag zu; an der D-Stelle.	Im laufenden Gang ordne denselben laufenden Eintrag zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
27	G407-E0125	G407-S005	f1r	SOURCE_SECTION_T	chodaiin	CH+O+D_ADDR+AIIN	GDT576-C01	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	Entnimm den Kennwert; als Ausführung; an der D-Stelle.	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
28	G407-E0127	G407-S005	f1r	SOURCE_SECTION_T	koeam	K+O+E+AM_ADDR	GDT576-C03	Ordne denselben Kennwert zu; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Ordne denselben Kennwert zu; als Ausführung und auf Grad I; an der AM-Stelle.	Ordne denselben Kennwert zu; als Ausführung und auf Grad I; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
29	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	GDT576-C07	Im laufenden Gang: Halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang: Halte den laufenden Eintrag fest; beim d-Vermerk; schließe den Schritt.	Im laufenden Gang: Halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
30	G407-E0135	G407-S005	f1r	SOURCE_SECTION_T	daiy	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	GDT576-C01|GDT576-C02|GDT576-C08	Im laufenden Gang lege den laufenden Eintrag fest; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Im laufenden Gang lege den laufenden Eintrag fest; an der D-Stelle, an der A-Stelle und mit der i-Variante.	Im laufenden Gang lege den laufenden Eintrag fest; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
31	G407-E0139	G407-S005	f1r	SOURCE_SECTION_T	kodshey	K+O+D_ADDR+SH+E+Y	GDT576-C01	Ordne den laufenden Eintrag zu und halte ihn fest; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und halte ihn fest; als Ausführung und auf Grad I; an der D-Stelle.	Ordne den laufenden Eintrag zu und halte ihn fest; als Ausführung und auf Grad I; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
32	G407-E0141	G407-S005	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang setze denselben laufenden Eintrag ein; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang setze denselben laufenden Eintrag ein; von der Ausgangszeile; an der D-Stelle.	Im laufenden Gang setze denselben laufenden Eintrag ein; von der Ausgangszeile; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
33	G407-E0144	G407-S005	f1r	SOURCE_SECTION_T	ckhyds	CH+K+Y+D_ADDR+S	GDT576-C01	Entnimm den laufenden Eintrag, ordne ihn zu und wähle ihn; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag, ordne ihn zu und wähle ihn; an der D-Stelle.	Entnimm den laufenden Eintrag, ordne ihn zu und wähle ihn; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
34	G407-E0145	G407-S005	f1r	SOURCE_SECTION_T	dchar	D_ADDR+CH+AR	GDT576-C01	Entnimm denselben laufenden Eintrag; von der Ausgangszeile; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag; von der Ausgangszeile; an der D-Stelle.	Entnimm denselben laufenden Eintrag; von der Ausgangszeile; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
35	G407-E0152	G407-S005	f1r	SOURCE_SECTION_T	dloo	D_ADDR+L+O+O	GDT576-C01	Im laufenden Gang wähle denselben laufenden Eintrag; über die Eintragsverbindung; als Ausführung und als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang wähle denselben laufenden Eintrag; über die Eintragsverbindung; als Ausführung und als Ausführung; an der D-Stelle.	Im laufenden Gang wähle denselben laufenden Eintrag; über die Eintragsverbindung; als Ausführung und als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
36	G407-E0164	G407-S006	f1r	SOURCE_SECTION_T	tshodeesy	T+SH+O+D_ADDR+EE+S+Y	GDT576-C01	Lege den laufenden Eintrag fest, halte ihn fest und wähle ihn; als Ausführung und auf Grad II; an der bezeichneten Stelle.	Lege den laufenden Eintrag fest, halte ihn fest und wähle ihn; als Ausführung und auf Grad II; an der D-Stelle.	Lege den laufenden Eintrag fest, halte ihn fest und wähle ihn; als Ausführung und auf Grad II; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
37	G407-E0166	G407-S006	f1r	SOURCE_SECTION_T	pydeey	P+Y+D_ADDR+EE+Y	GDT576-C01	Setze den äußeren laufenden Eintrag und den inneren laufenden Eintrag ein; auf Grad II; an der bezeichneten Stelle.	Setze den äußeren laufenden Eintrag und den inneren laufenden Eintrag ein; auf Grad II; an der D-Stelle.	Setze den äußeren laufenden Eintrag und den inneren laufenden Eintrag ein; auf Grad II; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
38	G407-E0167	G407-S006	f1r	SOURCE_SECTION_T	cha	CH+A_ADDR	GDT576-C02	Entnimm denselben laufenden Eintrag; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag; an der A-Stelle.	Entnimm denselben laufenden Eintrag; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
39	G407-E0169	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang kennzeichne denselben laufenden Eintrag; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang kennzeichne denselben laufenden Eintrag; von der Ausgangszeile; an der D-Stelle.	Im laufenden Gang kennzeichne denselben laufenden Eintrag; von der Ausgangszeile; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
40	G407-E0170	G407-S006	f1r	SOURCE_SECTION_T	ydoin	Y+D_ADDR+O+IIN	GDT576-C01	Im laufenden Gang kennzeichne den laufenden Eintrag; als Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	Im laufenden Gang kennzeichne den laufenden Eintrag; als Ausführung und auf der bezeichneten Stufe; an der D-Stelle.	Im laufenden Gang kennzeichne den laufenden Eintrag; als Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
41	G407-E0174	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang lege denselben Teilwert fest; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang lege denselben Teilwert fest; von der Ausgangszeile; an der D-Stelle.	Im laufenden Gang lege denselben Teilwert fest; von der Ausgangszeile; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
42	G407-E0177	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang ordne denselben Kennwert zu; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang ordne denselben Kennwert zu; von der Ausgangszeile; an der D-Stelle.	Im laufenden Gang ordne denselben Kennwert zu; von der Ausgangszeile; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
43	G407-E0186	G407-S006	f1r	SOURCE_SECTION_T	far	LOCAL_CHAR_F+AR	GDT576-C05	Im laufenden Gang trage denselben Kennwert ein; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang trage denselben Kennwert ein; von der Ausgangszeile; bei der f-Kennmarke.	Im laufenden Gang trage denselben Kennwert ein; von der Ausgangszeile; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
44	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	ctholdar	CH+T+OL+D_ADDR+AR	GDT576-C01	Weiter: entnimm denselben Kennwert und lege ihn fest; an der bezeichneten Stelle; von der Ausgangszeile.	Weiter: entnimm denselben Kennwert und lege ihn fest; an der D-Stelle; von der Ausgangszeile.	Weiter: entnimm denselben Kennwert und lege ihn fest; an der bezeichneten Stelle; von der Ausgangszeile.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
45	G407-E0197	G407-S006	f1r	SOURCE_SECTION_T	kdchy	K+D_ADDR+Y	GDT576-C01	Ordne den laufenden Eintrag zu; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu; an der D-Stelle.	Ordne den laufenden Eintrag zu; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
46	G407-E0199	G407-S006	f1r	SOURCE_SECTION_T	dcheo	D_ADDR+CH+E+O	GDT576-C01	Entnimm denselben laufenden Eintrag; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag; auf Grad I und als Ausführung; an der D-Stelle.	Entnimm denselben laufenden Eintrag; auf Grad I und als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
47	G407-E0214	G407-S007	f1r	SOURCE_SECTION_T	dchaiin	D_ADDR+CH+AIIN	GDT576-C01	Entnimm den Kennwert; an der bezeichneten Stelle.	Entnimm den Kennwert; an der D-Stelle.	Entnimm den Kennwert; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
48	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	GDT576-C01	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der D-Stelle.	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
49	G407-E0219	G407-S008	f10r	HERBAL	pchodol	P+CH+O+D_ADDR+OL	GDT576-C01	Weiter: setze denselben Pflanzenposten ein und nimm ihn; als Ausführung; an der bezeichneten Stelle.	Weiter: setze denselben Pflanzenposten ein und nimm ihn; als Ausführung; an der D-Stelle.	Weiter: setze denselben Pflanzenposten ein und nimm ihn; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
50	G407-E0222	G407-S008	f10r	HERBAL	kom	K+O+M_LOCAL	GDT576-C06	Gib denselben Pflanzenposten zu; als Ausführung; an der bezeichneten Stelle.	Gib denselben Pflanzenposten zu; als Ausführung; bei der m-Ortsmarke.	Gib denselben Pflanzenposten zu; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
51	G407-E0252	G407-S008	f10r	HERBAL	doiir	D_ADDR+O+IIN+R	GDT576-C01	Markiere dieselbe Arbeitseinheit; als Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	Markiere dieselbe Arbeitseinheit; als Ausführung und auf der bezeichneten Stufe; an der D-Stelle.	Markiere dieselbe Arbeitseinheit; als Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
52	G407-E0267	G407-S009	f10r	HERBAL	dchy	D_ADDR+Y	GDT576-C01	Im laufenden Gang stelle den Pflanzenposten ein; an der bezeichneten Stelle.	Im laufenden Gang stelle den Pflanzenposten ein; an der D-Stelle.	Im laufenden Gang stelle den Pflanzenposten ein; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
53	G407-E0275	G407-S009	f10r	HERBAL	dair	D_ADDR+AIR	GDT576-C01	Im laufenden Gang stelle denselben Materialanteil ein; entlang der Verarbeitungsbahn; an der bezeichneten Stelle.	Im laufenden Gang stelle denselben Materialanteil ein; entlang der Verarbeitungsbahn; an der D-Stelle.	Im laufenden Gang stelle denselben Materialanteil ein; entlang der Verarbeitungsbahn; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
54	G407-E0276	G407-S009	f10r	HERBAL	am	AM_ADDR	GDT576-C03	Im laufenden Gang stelle denselben Materialanteil ein; an der bezeichneten Stelle.	Im laufenden Gang stelle denselben Materialanteil ein; an der AM-Stelle.	Im laufenden Gang stelle denselben Materialanteil ein; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
55	G407-E0284	G407-S009	f10r	HERBAL	dar	D_ADDR+AR	GDT576-C01	Im laufenden Gang nimm denselben Arbeitswert; vom Ausgangsmaterial; an der bezeichneten Stelle.	Im laufenden Gang nimm denselben Arbeitswert; vom Ausgangsmaterial; an der D-Stelle.	Im laufenden Gang nimm denselben Arbeitswert; vom Ausgangsmaterial; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
56	G407-E0289	G407-S009	f10r	HERBAL	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	GDT576-C02|GDT576-C08	Gib denselben Pflanzenposten zu; auf der bezeichneten Stufe; an der bezeichneten Stelle und mit der lokalen Variante.	Gib denselben Pflanzenposten zu; auf der bezeichneten Stufe; an der A-Stelle und mit der i-Variante.	Gib denselben Pflanzenposten zu; auf der bezeichneten Stufe; an der bezeichneten Stelle und mit der lokalen Variante.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
57	G407-E0291	G407-S009	f10r	HERBAL	chodaiin	CH+O+D_ADDR+AIIN	GDT576-C01	Nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle.	Nimm den Arbeitswert; als Ausführung; an der D-Stelle.	Nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
58	G407-E0294	G407-S009	f10r	HERBAL	cfhy	CH+LOCAL_CHAR_F+Y	GDT576-C05	Nimm den Pflanzenposten; an der bezeichneten Stelle.	Nimm den Pflanzenposten; bei der f-Kennmarke.	Nimm den Pflanzenposten; an der bezeichneten Stelle.	GERMAN_VOICE_CHANGE_ONLY__RECIPE_AND_ROOTS_UNCHANGED
