assignment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	atom_position_zero_based	atom	source_family	function_value	learned_head_de	family_frame_id	sigla_card_id	scope	source_fragment_de	target_fragment_de	source_start	source_end	target_start	target_end	guard
11	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	1	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	99	125	99	114	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
12	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	3	A_ADDR	ADDRESS	STELLENVERWEIS	A-Stelle	GDT576-F01	GDT576-C02	PLAIN	an der bezeichneten Stelle	an der A-Stelle	127	153	116	131	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
13	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	4	LOCAL_CHAR_I	LOCAL_VARIANT	VARIANTENVERWEIS	i-Variante	GDT576-F04	GDT576-C08	PLAIN	mit der lokalen Variante	mit der i-Variante	158	182	136	154	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
14	G407-E0047	G407-S002	f1r	SOURCE_SECTION_T	odar	O+D_ADDR+AR	1	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	39	65	39	54	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
15	G407-E0050	G407-S002	f1r	SOURCE_SECTION_T	oydar	O+Y+D_ADDR+AR	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	90	116	90	105	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
16	G407-E0053	G407-S002	f1r	SOURCE_SECTION_T	cfhoaiin	CH+LOCAL_CHAR_F+O+AIIN	1	LOCAL_CHAR_F	ADDRESS	STELLENVERWEIS	f-Kennmarke	GDT576-F02	GDT576-C05	PLAIN	an der bezeichneten Stelle	bei der f-Kennmarke	38	64	38	57	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
17	G407-E0054	G407-S002	f1r	SOURCE_SECTION_T	shodary	SH+O+D_ADDR+AR+Y	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	73	99	73	88	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
18	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	cfhol	CH+LOCAL_CHAR_F+OL	1	LOCAL_CHAR_F	ADDRESS	STELLENVERWEIS	f-Kennmarke	GDT576-F02	GDT576-C05	PLAIN	an der bezeichneten Stelle	bei der f-Kennmarke	36	62	36	55	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
19	G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	cphodal	CH+P+O+D_ADDR+AL	3	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	87	113	87	102	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
20	G407-E0085	G407-S005	f1r	SOURCE_SECTION_T	shodain	SH+O+D_ADDR+AIN	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	41	67	41	56	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
21	G407-E0090	G407-S005	f1r	SOURCE_SECTION_T	kodaiin	K+O+D_ADDR+AIIN	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	39	65	39	54	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
22	G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	3	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	96	122	96	111	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
23	G407-E0096	G407-S005	f1r	SOURCE_SECTION_T	d	D_ADDR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	49	75	49	64	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
24	G407-E0100	G407-S005	f1r	SOURCE_SECTION_T	odaiin	O+D_ADDR+AIIN	1	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	59	85	59	74	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
25	G407-E0101	G407-S005	f1r	SOURCE_SECTION_T	chodain	CH+O+D_ADDR+AIN	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	38	64	38	53	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
26	G407-E0104	G407-S005	f1r	SOURCE_SECTION_T	dn	D_ADDR+AN	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	48	74	48	63	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
27	G407-E0106	G407-S005	f1r	SOURCE_SECTION_T	kod	K+O+D_ADDR	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	54	80	54	69	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
28	G407-E0120	G407-S005	f1r	SOURCE_SECTION_T	shodan	SH+O+D_ADDR+AN	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	53	79	53	68	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
29	G407-E0123	G407-S005	f1r	SOURCE_SECTION_T	d	D_ADDR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	56	82	56	71	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
30	G407-E0125	G407-S005	f1r	SOURCE_SECTION_T	chodaiin	CH+O+D_ADDR+AIIN	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	38	64	38	53	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
31	G407-E0127	G407-S005	f1r	SOURCE_SECTION_T	koeam	K+O+E+AM_ADDR	3	AM_ADDR	ADDRESS	STELLENVERWEIS	AM-Stelle	GDT576-F01	GDT576-C03	PLAIN	an der bezeichneten Stelle	an der AM-Stelle	60	86	60	76	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
32	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	2	D_LABEL	ADDRESS	KENNVERMERK	d-Vermerk	GDT576-F03	GDT576-C07	PLAIN	an der bezeichneten Stelle	beim d-Vermerk	53	79	53	67	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
33	G407-E0135	G407-S005	f1r	SOURCE_SECTION_T	daiy	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	51	77	51	66	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
34	G407-E0135	G407-S005	f1r	SOURCE_SECTION_T	daiy	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	1	A_ADDR	ADDRESS	STELLENVERWEIS	A-Stelle	GDT576-F01	GDT576-C02	PLAIN	an der bezeichneten Stelle	an der A-Stelle	79	105	68	83	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
35	G407-E0135	G407-S005	f1r	SOURCE_SECTION_T	daiy	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	2	LOCAL_CHAR_I	LOCAL_VARIANT	VARIANTENVERWEIS	i-Variante	GDT576-F04	GDT576-C08	PLAIN	mit der lokalen Variante	mit der i-Variante	110	134	88	106	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
36	G407-E0139	G407-S005	f1r	SOURCE_SECTION_T	kodshey	K+O+D_ADDR+SH+E+Y	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	82	108	82	97	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
37	G407-E0141	G407-S005	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	80	106	80	95	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
38	G407-E0144	G407-S005	f1r	SOURCE_SECTION_T	ckhyds	CH+K+Y+D_ADDR+S	3	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	59	85	59	74	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
39	G407-E0145	G407-S005	f1r	SOURCE_SECTION_T	dchar	D_ADDR+CH+AR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	60	86	60	75	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
40	G407-E0152	G407-S005	f1r	SOURCE_SECTION_T	dloo	D_ADDR+L+O+O	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	117	143	117	132	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
41	G407-E0164	G407-S006	f1r	SOURCE_SECTION_T	tshodeesy	T+SH+O+D_ADDR+EE+S+Y	3	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	95	121	95	110	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
42	G407-E0166	G407-S006	f1r	SOURCE_SECTION_T	pydeey	P+Y+D_ADDR+EE+Y	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	88	114	88	103	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
43	G407-E0167	G407-S006	f1r	SOURCE_SECTION_T	cha	CH+A_ADDR	1	A_ADDR	ADDRESS	STELLENVERWEIS	A-Stelle	GDT576-F01	GDT576-C02	PLAIN	an der bezeichneten Stelle	an der A-Stelle	37	63	37	52	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
44	G407-E0169	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	82	108	82	97	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
45	G407-E0170	G407-S006	f1r	SOURCE_SECTION_T	ydoin	Y+D_ADDR+O+IIN	1	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	100	126	100	115	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
46	G407-E0174	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	71	97	71	86	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
47	G407-E0177	G407-S006	f1r	SOURCE_SECTION_T	dar	D_ADDR+AR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	70	96	70	85	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
48	G407-E0186	G407-S006	f1r	SOURCE_SECTION_T	far	LOCAL_CHAR_F+AR	0	LOCAL_CHAR_F	ADDRESS	STELLENVERWEIS	f-Kennmarke	GDT576-F02	GDT576-C05	PLAIN	an der bezeichneten Stelle	bei der f-Kennmarke	71	97	71	90	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
49	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	ctholdar	CH+T+OL+D_ADDR+AR	3	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	54	80	54	69	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
50	G407-E0197	G407-S006	f1r	SOURCE_SECTION_T	kdchy	K+D_ADDR+Y	1	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	32	58	32	47	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
51	G407-E0199	G407-S006	f1r	SOURCE_SECTION_T	dcheo	D_ADDR+CH+E+O	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	68	94	68	83	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
52	G407-E0214	G407-S007	f1r	SOURCE_SECTION_T	dchaiin	D_ADDR+CH+AIIN	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	22	48	22	37	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
53	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	4	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	79	105	79	94	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
54	G407-E0219	G407-S008	f10r	HERBAL	pchodol	P+CH+O+D_ADDR+OL	3	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	73	99	73	88	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
55	G407-E0222	G407-S008	f10r	HERBAL	kom	K+O+M_LOCAL	2	M_LOCAL	ADDRESS	STELLENVERWEIS	m-Ortsmarke	GDT576-F02	GDT576-C06	PLAIN	an der bezeichneten Stelle	bei der m-Ortsmarke	49	75	49	68	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
56	G407-E0252	G407-S008	f10r	HERBAL	doiir	D_ADDR+O+IIN+R	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	81	107	81	96	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
57	G407-E0267	G407-S009	f10r	HERBAL	dchy	D_ADDR+Y	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	49	75	49	64	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
58	G407-E0275	G407-S009	f10r	HERBAL	dair	D_ADDR+AIR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	86	112	86	101	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
59	G407-E0276	G407-S009	f10r	HERBAL	am	AM_ADDR	0	AM_ADDR	ADDRESS	STELLENVERWEIS	AM-Stelle	GDT576-F01	GDT576-C03	PLAIN	an der bezeichneten Stelle	an der AM-Stelle	55	81	55	71	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
60	G407-E0284	G407-S009	f10r	HERBAL	dar	D_ADDR+AR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	68	94	68	83	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
61	G407-E0289	G407-S009	f10r	HERBAL	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	1	A_ADDR	ADDRESS	STELLENVERWEIS	A-Stelle	GDT576-F01	GDT576-C02	PLAIN	an der bezeichneten Stelle	an der A-Stelle	61	87	61	76	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
62	G407-E0289	G407-S009	f10r	HERBAL	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	2	LOCAL_CHAR_I	LOCAL_VARIANT	VARIANTENVERWEIS	i-Variante	GDT576-F04	GDT576-C08	PLAIN	mit der lokalen Variante	mit der i-Variante	92	116	81	99	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
63	G407-E0291	G407-S009	f10r	HERBAL	chodaiin	CH+O+D_ADDR+AIIN	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	38	64	38	53	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
64	G407-E0294	G407-S009	f10r	HERBAL	cfhy	CH+LOCAL_CHAR_F+Y	1	LOCAL_CHAR_F	ADDRESS	STELLENVERWEIS	f-Kennmarke	GDT576-F02	GDT576-C05	PLAIN	an der bezeichneten Stelle	bei der f-Kennmarke	25	51	25	44	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
65	G407-E0301	G407-S009	f10r	HERBAL	cthyd	CH+T+Y+D_ADDR	3	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	44	70	44	59	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
66	G407-E0303	G407-S009	f10r	HERBAL	odaiin	O+D_ADDR+AIIN	1	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	62	88	62	77	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
67	G407-E0309	G407-S010	f11r	HERBAL	cfhy	CH+LOCAL_CHAR_F+Y	1	LOCAL_CHAR_F	ADDRESS	STELLENVERWEIS	f-Kennmarke	GDT576-F02	GDT576-C05	PLAIN	an der bezeichneten Stelle	bei der f-Kennmarke	25	51	25	44	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
68	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	5	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	90	116	90	105	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
69	G407-E0316	G407-S011	f11r	HERBAL	qodor	CARRIER_Q+O+D_ADDR+OR	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	87	113	87	102	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
70	G407-E0327	G407-S011	f11r	HERBAL	dor	D_ADDR+OR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	49	75	49	64	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
71	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	62	88	62	77	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
72	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	2	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	93	119	82	97	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
73	G407-E0334	G407-S011	f11r	HERBAL	dchol	D_ADDR+OL	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	54	80	54	69	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
74	G407-E0342	G407-S011	f11r	HERBAL	dky	D_ADDR+K+Y	0	D_ADDR	ADDRESS	STELLENVERWEIS	D-Stelle	GDT576-F01	GDT576-C01	PLAIN	an der bezeichneten Stelle	an der D-Stelle	27	53	27	42	LEARNED_SIGLUM_VOICE_ONLY__SOURCE_ATOM_POSITION_RETAINED
