root	atomic_value_de	owner_class	owner_item	owner_target	owner_source	owner_run	owner_set	owner_result	spoken_owner_expansion_de	apprentice_command_de	register_evidence	observed_or_training	root_meaning_changed	concrete_noun_supplied_by_owner	caution_de
IIN	STUFE	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	Arbeitsstufe von der Pflanzenansatz	Unter PLANT_BATCH: Arbeitsstufe von der Pflanzenansatz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Prozess- oder Tabellenstufe
IIN	STUFE	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	Arbeitsstufe von der laufende Beckengang	Unter BASIN_STATION: Arbeitsstufe von der laufende Beckengang.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Prozess- oder Tabellenstufe
IIN	STUFE	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	Arbeitsstufe von der Filteransatz	Unter CLOTH_FILTER: Arbeitsstufe von der Filteransatz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Prozess- oder Tabellenstufe
IIN	STUFE	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	Arbeitsstufe von der lokale Tabellensatz	Unter CELESTIAL_TABLE: Arbeitsstufe von der lokale Tabellensatz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Prozess- oder Tabellenstufe
IIN	STUFE	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	Arbeitsstufe von der laufende Arbeitsansatz	Unter GENERIC_WORKPIECE: Arbeitsstufe von der laufende Arbeitsansatz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Prozess- oder Tabellenstufe
AL	ZIEL	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	hin zu der bezeichnete Pflanzenteil oder das Gefäß	Unter PLANT_BATCH: hin zu der bezeichnete Pflanzenteil oder das Gefäß.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	hin zur bezeichneten Adresse
AL	ZIEL	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	hin zu die bezeichnete Öffnung oder Schale	Unter BASIN_STATION: hin zu die bezeichnete Öffnung oder Schale.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	hin zur bezeichneten Adresse
AL	ZIEL	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	hin zu das Empfangsgefäß	Unter CLOTH_FILTER: hin zu das Empfangsgefäß.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	hin zur bezeichneten Adresse
AL	ZIEL	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	hin zu die bezeichnete Zielzelle	Unter CELESTIAL_TABLE: hin zu die bezeichnete Zielzelle.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	hin zur bezeichneten Adresse
AL	ZIEL	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	hin zu die bezeichnete Arbeitsstelle	Unter GENERIC_WORKPIECE: hin zu die bezeichnete Arbeitsstelle.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	hin zur bezeichneten Adresse
AR	QUELLE	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	her aus der Pflanzenvorrat	Unter PLANT_BATCH: her aus der Pflanzenvorrat.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	her von der bezeichneten Adresse
AR	QUELLE	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	her aus das Quellbecken oder der Einlauf	Unter BASIN_STATION: her aus das Quellbecken oder der Einlauf.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	her von der bezeichneten Adresse
AR	QUELLE	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	her aus die obere Tuchseite	Unter CLOTH_FILTER: her aus die obere Tuchseite.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	her von der bezeichneten Adresse
AR	QUELLE	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	her aus die bezeichnete Quellzelle	Unter CELESTIAL_TABLE: her aus die bezeichnete Quellzelle.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	her von der bezeichneten Adresse
AR	QUELLE	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	her aus der Ausgangsvorrat	Unter GENERIC_WORKPIECE: her aus der Ausgangsvorrat.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	her von der bezeichneten Adresse
AIR	LAUF_BAHN	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	entlang der Saft- oder Auszugsweg	Unter PLANT_BATCH: entlang der Saft- oder Auszugsweg.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nasser Besitzer: Flüssigkeitslauf; Rad: Bahn
AIR	LAUF_BAHN	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	entlang der Flüssigkeitslauf	Unter BASIN_STATION: entlang der Flüssigkeitslauf.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nasser Besitzer: Flüssigkeitslauf; Rad: Bahn
AIR	LAUF_BAHN	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	entlang der Durchgang durch das Tuch	Unter CLOTH_FILTER: entlang der Durchgang durch das Tuch.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nasser Besitzer: Flüssigkeitslauf; Rad: Bahn
AIR	LAUF_BAHN	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	entlang die sichtbare Bahn oder das Ringband	Unter CELESTIAL_TABLE: entlang die sichtbare Bahn oder das Ringband.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nasser Besitzer: Flüssigkeitslauf; Rad: Bahn
AIR	LAUF_BAHN	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	entlang der örtliche Arbeitsweg	Unter GENERIC_WORKPIECE: entlang der örtliche Arbeitsweg.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nasser Besitzer: Flüssigkeitslauf; Rad: Bahn
OK	ANSETZEN	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	der aktuelle Pflanzenposten ansetzen	Unter PLANT_BATCH: der aktuelle Pflanzenposten ansetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Argument und Grad folgen
OK	ANSETZEN	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	die aktuelle Beckencharge ansetzen	Unter BASIN_STATION: die aktuelle Beckencharge ansetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Argument und Grad folgen
OK	ANSETZEN	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	der aktuelle Tuchposten ansetzen	Unter CLOTH_FILTER: der aktuelle Tuchposten ansetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Argument und Grad folgen
OK	ANSETZEN	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	der aktuelle Tabellenwert ansetzen	Unter CELESTIAL_TABLE: der aktuelle Tabellenwert ansetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Argument und Grad folgen
OK	ANSETZEN	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	das aktuelle Werkstück ansetzen	Unter GENERIC_WORKPIECE: das aktuelle Werkstück ansetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Argument und Grad folgen
OL	FORTSETZEN	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	der aktuelle Pflanzenposten im selben Gang fortsetzen	Unter PLANT_BATCH: der aktuelle Pflanzenposten im selben Gang fortsetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	derselbe aktive Gang
OL	FORTSETZEN	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	die aktuelle Beckencharge im selben Gang fortsetzen	Unter BASIN_STATION: die aktuelle Beckencharge im selben Gang fortsetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	derselbe aktive Gang
OL	FORTSETZEN	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	der aktuelle Tuchposten im selben Gang fortsetzen	Unter CLOTH_FILTER: der aktuelle Tuchposten im selben Gang fortsetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	derselbe aktive Gang
OL	FORTSETZEN	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	der aktuelle Tabellenwert im selben Gang fortsetzen	Unter CELESTIAL_TABLE: der aktuelle Tabellenwert im selben Gang fortsetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	derselbe aktive Gang
OL	FORTSETZEN	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	das aktuelle Werkstück im selben Gang fortsetzen	Unter GENERIC_WORKPIECE: das aktuelle Werkstück im selben Gang fortsetzen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	derselbe aktive Gang
OT	FOLGEND	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	den folgenden Posten nach der aktuelle Pflanzenposten wählen	Unter PLANT_BATCH: den folgenden Posten nach der aktuelle Pflanzenposten wählen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nächster Gang oder Posten
OT	FOLGEND	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	den folgenden Posten nach die aktuelle Beckencharge wählen	Unter BASIN_STATION: den folgenden Posten nach die aktuelle Beckencharge wählen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nächster Gang oder Posten
OT	FOLGEND	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	den folgenden Posten nach der aktuelle Tuchposten wählen	Unter CLOTH_FILTER: den folgenden Posten nach der aktuelle Tuchposten wählen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nächster Gang oder Posten
OT	FOLGEND	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	den folgenden Posten nach der aktuelle Tabellenwert wählen	Unter CELESTIAL_TABLE: den folgenden Posten nach der aktuelle Tabellenwert wählen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nächster Gang oder Posten
OT	FOLGEND	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	den folgenden Posten nach das aktuelle Werkstück wählen	Unter GENERIC_WORKPIECE: den folgenden Posten nach das aktuelle Werkstück wählen.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nächster Gang oder Posten
OR	ANSATZ_SATZ	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	der Pflanzenansatz	Unter PLANT_BATCH: der Pflanzenansatz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	konkretes Nomen weiterhin vom Besitzer beziehen
OR	ANSATZ_SATZ	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	der laufende Beckengang	Unter BASIN_STATION: der laufende Beckengang.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	konkretes Nomen weiterhin vom Besitzer beziehen
OR	ANSATZ_SATZ	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	der Filteransatz	Unter CLOTH_FILTER: der Filteransatz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	konkretes Nomen weiterhin vom Besitzer beziehen
OR	ANSATZ_SATZ	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	der lokale Tabellensatz	Unter CELESTIAL_TABLE: der lokale Tabellensatz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	konkretes Nomen weiterhin vom Besitzer beziehen
OR	ANSATZ_SATZ	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	der laufende Arbeitsansatz	Unter GENERIC_WORKPIECE: der laufende Arbeitsansatz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	konkretes Nomen weiterhin vom Besitzer beziehen
Y	DIESER_POSTEN	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	der aktuelle Pflanzenposten	Unter PLANT_BATCH: der aktuelle Pflanzenposten.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Referent, nicht automatisch offen
Y	DIESER_POSTEN	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	die aktuelle Beckencharge	Unter BASIN_STATION: die aktuelle Beckencharge.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Referent, nicht automatisch offen
Y	DIESER_POSTEN	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	der aktuelle Tuchposten	Unter CLOTH_FILTER: der aktuelle Tuchposten.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Referent, nicht automatisch offen
Y	DIESER_POSTEN	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	der aktuelle Tabellenwert	Unter CELESTIAL_TABLE: der aktuelle Tabellenwert.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Referent, nicht automatisch offen
Y	DIESER_POSTEN	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	das aktuelle Werkstück	Unter GENERIC_WORKPIECE: das aktuelle Werkstück.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	Referent, nicht automatisch offen
E	KURZ	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	der aktuelle Pflanzenposten kurz	Unter PLANT_BATCH: der aktuelle Pflanzenposten kurz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
E	KURZ	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	die aktuelle Beckencharge kurz	Unter BASIN_STATION: die aktuelle Beckencharge kurz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
E	KURZ	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	der aktuelle Tuchposten kurz	Unter CLOTH_FILTER: der aktuelle Tuchposten kurz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
E	KURZ	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	der aktuelle Tabellenwert kurz	Unter CELESTIAL_TABLE: der aktuelle Tabellenwert kurz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
E	KURZ	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	das aktuelle Werkstück kurz	Unter GENERIC_WORKPIECE: das aktuelle Werkstück kurz.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
EE	LAENGER	PLANT_BATCH	der aktuelle Pflanzenposten	der bezeichnete Pflanzenteil oder das Gefäß	der Pflanzenvorrat	der Saft- oder Auszugsweg	der Pflanzenansatz	der sichtbare Auszug	der aktuelle Pflanzenposten länger	Unter PLANT_BATCH: der aktuelle Pflanzenposten länger.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
EE	LAENGER	BASIN_STATION	die aktuelle Beckencharge	die bezeichnete Öffnung oder Schale	das Quellbecken oder der Einlauf	der Flüssigkeitslauf	der laufende Beckengang	der sichtbare Ablaufzustand	die aktuelle Beckencharge länger	Unter BASIN_STATION: die aktuelle Beckencharge länger.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
EE	LAENGER	CLOTH_FILTER	der aktuelle Tuchposten	das Empfangsgefäß	die obere Tuchseite	der Durchgang durch das Tuch	der Filteransatz	das sichtbare Filtrat	der aktuelle Tuchposten länger	Unter CLOTH_FILTER: der aktuelle Tuchposten länger.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
EE	LAENGER	CELESTIAL_TABLE	der aktuelle Tabellenwert	die bezeichnete Zielzelle	die bezeichnete Quellzelle	die sichtbare Bahn oder das Ringband	der lokale Tabellensatz	der sichtbare Ablesewert	der aktuelle Tabellenwert länger	Unter CELESTIAL_TABLE: der aktuelle Tabellenwert länger.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
EE	LAENGER	GENERIC_WORKPIECE	das aktuelle Werkstück	die bezeichnete Arbeitsstelle	der Ausgangsvorrat	der örtliche Arbeitsweg	der laufende Arbeitsansatz	das sichtbare Arbeitsergebnis	das aktuelle Werkstück länger	Unter GENERIC_WORKPIECE: das aktuelle Werkstück länger.	ASTRO|PROSE	OBSERVED_REGISTER_TRANSFER	NO	YES	nur in lizenzierten Gradfamilien
