teaching_order	root	atomic_value_de	register_evidence	surface_type_count	visible_group_count	owner_expansion_count	transfer_verdict	portable_part_de	owner_supplied_part_de	limit_de
12	E	KURZ	ASTRO|PROSE	39	62	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	KURZ	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
13	EE	LAENGER	ASTRO|PROSE	42	61	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	LAENGER	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
14	EEE	VOLL	ASTRO|PROSE	4	4	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	VOLL	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
15	CLOSE	SCHLUSS	PROSE	43	87	5	FORMAL_PROSE_ENDPOINT__TABLE_TRANSFER_TRAINING_ONLY	SCHLUSS	plant/basin/cloth/table/workpiece noun and local address	do not invent an Astro close sign from prose surface spelling
16	CHD	UMSETZEN	ASTRO|PROSE	33	55	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	UMSETZEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
17	CTH	BEREIT	ASTRO|PROSE	18	22	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	BEREIT	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
18	CKH	DURCHLAUF	ASTRO|PROSE	10	14	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	DURCHLAUF	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
19	CKHE	TRENNEN	ASTRO|PROSE	3	5	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	TRENNEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
20	CHK	WAERMEN	ASTRO|PROSE	5	8	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	WAERMEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
21	SHED	ABSETZEN	PROSE	9	19	5	PROSE_PROCESS_ROOT__CELESTIAL_TRANSFER_NOT_LICENSED	ABSETZEN	plant/basin/cloth/table/workpiece noun and local address	keep celestial example as a teaching paraphrase, not a dictionary promotion
22	SOLK	SAMMELN	PROSE	5	6	5	PROSE_PROCESS_ROOT__CELESTIAL_TRANSFER_NOT_LICENSED	SAMMELN	plant/basin/cloth/table/workpiece noun and local address	keep celestial example as a teaching paraphrase, not a dictionary promotion
23	HO	EINGANGSPOSTEN	ASTRO|PROSE	33	45	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	EINGANGSPOSTEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
24	CHEO	AUSGABE_AUSZUG	ASTRO|PROSE	12	13	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	AUSGABE_AUSZUG	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
25	KCH	BEARBEITEN	ASTRO|PROSE	21	25	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	BEARBEITEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
26	TY	TEIL	ASTRO|PROSE	8	8	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	TEIL	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
27	SH	HALTEN	ASTRO|PROSE	11	11	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	HALTEN	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
28	CHEEY	SICHTBARES_ERGEBNIS	ASTRO|PROSE	10	15	5	PORTABLE_NUCLEUS_WITH_FIVE_OWNER_EXPANSIONS	SICHTBARES_ERGEBNIS	plant/basin/cloth/table/workpiece noun and local address	concrete object must come from owner; root stays short
