statement_id	page	record	events	owner_noun_de	surface_sequence	component_sequence	old_working_reading_de	revised_working_reading_de	revised_atomic_trace_de	semantic_revision	surface_unchanged	owner_unchanged	statement_boundary_unchanged	line_relation_unchanged
H5-S001	f56r	H5	9	die mehrkoepfige stachelige Pflanze	chochor cho chodaly daiin sho kchol otchor choky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz abnehmen, zum Ziel bringen und nach Mass weiter zudosieren; danach vom Ansatz abnehmen und den Posten am Ziel ansetzen.	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zum Ziel bringen und nach Mass weiter zugeben; danach vom Ansatz entnehmen und den Posten am Ziel ansetzen.	ZUTAT · ENTNEHMEN · ANSATZ | ZUTAT | ZUTAT · ZIEL · DIES | MASS | ZUTAT | ZUGEBEN · FORTSETZEN | DANACH · ENTNEHMEN · ANSATZ | ANSETZEN · DIES | ZIEL	YES	YES	YES	YES	YES
H5-S002	f56r	H5	4	die mehrkoepfige stachelige Pflanze	schol choy choky cheeckhody	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Gang durch den Durchlass abnehmen und schliessen.	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Gang durch den Durchlass entnehmen und schliessen.	WIEDERAUFNEHMEN | ZUTAT · DIES | ANSETZEN · DIES | ENTNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	YES	YES	YES	YES	YES
H5-S003	f56r	H5	4	die mehrkoepfige stachelige Pflanze	sh cho kchey qokokchy	SH | HO | K+E+Y | OK+OK+Y	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zudosieren und ihn zweimal ansetzen.	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	HALTEN | ZUTAT | ZUGEBEN · KURZ · DIES | ANSETZEN · ANSETZEN · DIES	YES	YES	YES	YES	YES
H5-S004	f56r	H5	3	die mehrkoepfige stachelige Pflanze	okchy chokcheo kchal	OK+Y | OK+CH+E+O | K+AL	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Gang ansetzen und abnehmen; dann zum Ziel zudosieren.	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Gang ansetzen und entnehmen; dann zum Ziel zugeben.	ANSETZEN · DIES | ANSETZEN · ENTNEHMEN · KURZ · GANG | ZUGEBEN · ZIEL	YES	YES	YES	YES	YES
H5-S005	f56r	H5	4	die mehrkoepfige stachelige Pflanze	sho chokchy kchoar sotodan	HO | OK+Y | K+HO+AR | OT+O+AIN	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereitstellen, den laufenden Posten ansetzen und die Zutat aus der Quelle zudosieren; danach eine Portion in den Gang nehmen.	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereitstellen, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Gang nehmen.	ZUTAT | ANSETZEN · DIES | ZUGEBEN · ZUTAT · QUELLE | DANACH · GANG · PORTION	YES	YES	YES	YES	YES
H5-S006	f56r	H5	3	die mehrkoepfige stachelige Pflanze	otchey keol daiin	OT+Y | K+E+OL | AIIN	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiterdosieren, bis das Mass erreicht ist.	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Mass erreicht ist.	DANACH · DIES | ZUGEBEN · KURZ · FORTSETZEN | MASS	YES	YES	YES	YES	YES
B1-S001	f81v	B1	1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	ANSETZEN · KURZ · SCHLUSS	NO	YES	YES	YES	YES
B1-S002	f81v	B1	19	das gemeinsame zweireihige Becken	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zudosieren. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	ANSETZEN · MASS | ZUGEBEN · LAUF | ANSETZEN · ZIEL | QUELLE | FORTSETZEN | ZUGEBEN · PORTION | FORTSETZEN · ZUGEBEN · PORTION | ZIEL | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIEL | MASS | ANSETZEN · LANG · ZIEL | MASS | DURCHLASS · DIES | UMSETZEN · SCHLUSS	YES	YES	YES	YES	YES
B1-S003	f81v	B1	2	das gemeinsame zweireihige Becken	qol sshkchdy	OL | SH+K+CHD+DY	Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zudosieren und umsetzen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zugeben und umsetzen; den Schritt schliessen.	FORTSETZEN | HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	YES	YES	YES	YES	YES
B1-S004	f81v	B1	3	das gemeinsame zweireihige Becken	chedy ol shedy	CHD+Y | OL | SHED+DY	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	UMSETZEN · DIES | FORTSETZEN | ABSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B1-S005	f81v	B1	1	das gemeinsame zweireihige Becken	qolchedy	OL+CHD+DY	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	FORTSETZEN · UMSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B1-S006	f81v	B1	4	das gemeinsame zweireihige Becken	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen.	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen.	ANSETZEN · PORTION | DURCHLASS · DIES | WEITERLEITEN | KUEHLEN · ZIEL	NO	YES	YES	YES	YES
B1-S007	f81v	B1	1	das gemeinsame zweireihige Becken	qokchdy	OK+CHD+DY	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	ANSETZEN · UMSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B1-S008	f81v	B1	5	das gemeinsame zweireihige Becken	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	DIES | FORTSETZEN | WAERMEN · KURZ · DIES | FORTSETZEN | ABSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B1-S009	f81v	B1	1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	ANSETZEN · KURZ · SCHLUSS	NO	YES	YES	YES	YES
B1-S010	f81v	B1	1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	ANSETZEN · KURZ · SCHLUSS	NO	YES	YES	YES	YES
B1-S011	f81v	B1	2	das gemeinsame zweireihige Becken	chckhy qoky	CKH+Y | OK+Y	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	DURCHLASS · DIES | ANSETZEN · DIES	NO	YES	YES	YES	YES
B1-S012	f81v	B1	3	das gemeinsame zweireihige Becken	lsho qokey lshedy	LSH+O | OK+E+Y | LSH+E+DY	Am gemeinsamen zweireihigen Becken: Den Gang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Den Gang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	WASCHEN · GANG | ANSETZEN · KURZ · DIES | WASCHEN · KURZ · SCHLUSS	NO	YES	YES	YES	YES
B1-S013	f81v	B1	1	das gemeinsame zweireihige Becken	lshedy	LSH+E+DY	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.	WASCHEN · KURZ · SCHLUSS	NO	YES	YES	YES	YES
B1-S014	f81v	B1	5	das gemeinsame zweireihige Becken	chedy qolky lchedal qol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln.	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln.	UMSETZEN · DIES | AUFFANGEN · DIES | WEITERLEITEN · UMSETZEN · ZIEL | FORTSETZEN | DANACH · QUELLE	NO	YES	YES	YES	YES
B1-S015	f81v	B1	2	das gemeinsame zweireihige Becken	ytey okchedy	T+E+Y | OK+CHD+DY	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.	ANWENDEN · KURZ · DIES | ANSETZEN · UMSETZEN · SCHLUSS	YES	YES	YES	YES	YES
B1-S016	f81v	B1	4	das gemeinsame zweireihige Becken	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+DY	Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	ANSETZEN · ZIEL | ANSETZEN · LANG · DIES | FORTSETZEN | ABSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B1-S017	f81v	B1	3	das gemeinsame zweireihige Becken	sal teol dchdy	AL | E+OL | CHD+DY	Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen.	ZIEL | KURZ · FORTSETZEN | UMSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B1-S018	f81v	B1	4	das gemeinsame zweireihige Becken	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Gang bis zur Stufe; dann laenger auffangen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Gang bis zur Stufe; dann laenger auffangen; den Schritt schliessen.	WEITERLEITEN · DIES | HALTEN · KURZ · FORTSETZEN | GANG · STUFE | AUFFANGEN · LANG · SCHLUSS	NO	YES	YES	YES	YES
B1-S019	f81v	B1	1	das gemeinsame zweireihige Becken	tedy	SHED+DY	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	ABSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B1-S020	f81v	B1	2	das gemeinsame zweireihige Becken	cheky shckhedy	CHK+E+Y | SH+CKH+E+DY	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	WAERMEN · KURZ · DIES | HALTEN · DURCHLASS · KURZ · SCHLUSS	NO	YES	YES	YES	YES
B1-S021	f81v	B1	1	das gemeinsame zweireihige Becken	chal	AL	Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.	Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.	ZIEL	NO	YES	YES	YES	YES
B2-S001	f82r	B2	1	die oberen Paarbecken mit Zylinder	dchedy	CHD+DY	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	UMSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B2-S002	f82r	B2	1	die oberen Paarbecken mit Zylinder	qolchedy	OL+CHD+DY	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	FORTSETZEN · UMSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B2-S003	f82r	B2	3	die oberen Paarbecken mit Zylinder	qokain dy qokeedy	OK+AIN | Y | OK+EE+DY	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	ANSETZEN · PORTION | DIES | ANSETZEN · LANG · SCHLUSS	NO	YES	YES	YES	YES
B2-S004	f82r	B2	5	die oberen Paarbecken mit Zylinder	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.	An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.	ANSETZEN · ZIEL | WEITERLEITEN · DURCHLASS · DIES | WEITERLEITEN · UMSETZEN | ANSETZEN · LANG · DIES | WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	NO	YES	YES	YES	YES
B2-S005	f82r	B2	8	die oberen Paarbecken mit Zylinder	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Gang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.	An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Gang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.	ANSETZEN · ZIEL · DIES | AUFFANGEN · MASS | DURCHLASS · DIES | ANSETZEN · MASS | ANSETZEN · MASS | GANG · BEREIT · KURZ · FORTSETZEN | WAERMEN · LANG · DIES | WEITERLEITEN · SCHLUSS	NO	YES	YES	YES	YES
B2-S006	f82r	B2	4	die oberen Paarbecken mit Zylinder	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	DANACH · LANG · DIES | ANSETZEN · ZIEL | HALTEN · KURZ · DURCHLASS · DIES | ANSETZEN · DIES	NO	YES	YES	YES	YES
B2-S007	f82r	B2	1	die linke Mittelstation mit Zwischenknoten	dshedy	SH+E+DY	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	HALTEN · KURZ · SCHLUSS	NO	YES	YES	YES	YES
B2-S008	f82r	B2	3	die linke Mittelstation mit Zwischenknoten	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+DY	An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	DANACH · MASS | ANSETZEN · QUELLE | ABSETZEN · SCHLUSS	NO	YES	YES	YES	YES
B2-S009	f82r	B2	1	die linke Mittelstation mit Zwischenknoten	solshedy	OL+SH+E+DY	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	FORTSETZEN · HALTEN · KURZ · SCHLUSS	NO	YES	YES	YES	YES
