component	short_value_de	entry_kind	diagnostic_fragments	apprentice_rule	card_types	events	old_value_de	revised_value_de	semantic_revision
AIIN	MASS	COMPOSABLE_WORK_COMPONENT	aiin	als unteilbaren Parameterwert lesen	10	39	MASS	MASS	NO
IIN	STUFE	COMPOSABLE_WORK_COMPONENT	iin	als unteilbaren Parameterwert lesen	3	4	STUFE	STUFE	NO
E	KURZ	COMPOSABLE_WORK_COMPONENT	e	nur an einer lizenzierten Basis als Grad lesen	34	49	KURZ	KURZ	NO
EE	LANG	COMPOSABLE_WORK_COMPONENT	ee|e	nur an einer lizenzierten Basis als Grad lesen	17	40	LANG	LANG	NO
EEE	VOLL	COMPOSABLE_WORK_COMPONENT	eee	nur an einer lizenzierten Basis als Grad lesen	2	2	VOLL	VOLL	NO
R	KUEHLEN	COMPOSABLE_WORK_COMPONENT	r	als kurzes Verb im Bedeutungsrezept lernen	6	6	KUEHLEN	KUEHLEN	NO
AN	NACHGABE	COMPOSABLE_WORK_COMPONENT	an	als unteilbaren Parameterwert lesen	1	1	NACHGABE	NACHGABE	NO
DA	ZWEIT	COMPOSABLE_WORK_COMPONENT	da	als unteilbaren Parameterwert lesen	1	1	ZWEIT	ZWEIT	NO
LD	BEFESTIGEN	COMPOSABLE_WORK_COMPONENT	ld	als kurzes Verb im Bedeutungsrezept lernen	1	1	BEFESTIGEN	BEFESTIGEN	NO
DY	SCHLUSS	COMPOSABLE_WORK_COMPONENT	dy	nur in einer lizenzierten exakten Endkarte als Schluss lesen	37	89	SCHLUSS	SCHLUSS	NO
OS	FACH	MEMORIZED_WHOLE_COMMAND	os	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	1	FACH	FACH	NO
RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	chol	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	2	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	NO
TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	talam	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	1	VERWAHREN	VERWAHREN	NO
