semantic_family	component_recipe	old_reading_de	revised_reading_de	events	exact_card_ids	semantic_revision
SEM057	SH	HALTEN	HALTEN	1	PROC058	NO
SEM058	K+E+Y	ZUDOSIEREN · KURZ · DIES	ZUGEBEN · KURZ · DIES	1	PROC059	YES
SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	ANSETZEN · ANSETZEN · DIES	1	PROC060	NO
SEM060	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	ANSETZEN · ENTNEHMEN · KURZ · GANG	1	PROC061	YES
SEM061	K+AL	ZUDOSIEREN · ZIEL	ZUGEBEN · ZIEL	1	PROC062	YES
SEM062	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	ZUGEBEN · ZUTAT · QUELLE	1	PROC063	YES
SEM063	OT+O+AIN	DANACH · GANG · PORTION	DANACH · GANG · PORTION	1	PROC064	NO
SEM064	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	ZUGEBEN · KURZ · FORTSETZEN	1	PROC066	YES
SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	ANSETZEN · KURZ · SCHLUSS	8	PROC067	NO
SEM066	K+AIR	ZUDOSIEREN · LAUF	ZUGEBEN · LAUF	1	PROC068	YES
SEM067	K+AIN	ZUDOSIEREN · PORTION	ZUGEBEN · PORTION	3	PROC069	YES
SEM068	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	FORTSETZEN · ZUGEBEN · PORTION	2	PROC070	YES
SEM069	R+OL	KUEHLEN · FORTSETZEN	KUEHLEN · FORTSETZEN	1	PROC071	NO
SEM070	L	WEITERLEITEN	WEITERLEITEN	2	PROC072	NO
SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	HALTEN · KURZ · DURCHLASS · ZIEL	1	PROC073	NO
SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	ANSETZEN · LANG · ZIEL	1	PROC074	NO
SEM073	CKH+Y	DURCHLASS · DIES	DURCHLASS · DIES	4	PROC075	NO
SEM074	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN · SCHLUSS	5	PROC076|PROC094	NO
SEM075	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	1	PROC077	YES
SEM076	SHED+DY	ABSETZEN · SCHLUSS	ABSETZEN · SCHLUSS	12	PROC078	NO
SEM077	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	FORTSETZEN · UMSETZEN · SCHLUSS	3	PROC079	NO
SEM078	OK+AIN	ANSETZEN · PORTION	ANSETZEN · PORTION	7	PROC080	NO
SEM079	R+AL	KUEHLEN · ZIEL	KUEHLEN · ZIEL	1	PROC081	NO
SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN · SCHLUSS	5	PROC082|PROC091	NO
SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	WAERMEN · KURZ · DIES	3	PROC083	NO
SEM082	LSH+O	WASCHEN · GANG	WASCHEN · GANG	1	PROC084	NO
SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	ANSETZEN · KURZ · DIES	2	PROC085	NO
SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	WASCHEN · KURZ · SCHLUSS	2	PROC086	NO
SEM085	SOLK+Y	AUFFANGEN · DIES	AUFFANGEN · DIES	1	PROC087	NO
SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	WEITERLEITEN · UMSETZEN · ZIEL	1	PROC088	NO
SEM087	OT+AR	DANACH · QUELLE	DANACH · QUELLE	1	PROC089	NO
SEM088	T+E+Y	EINTRAGEN · KURZ · DIES	ANWENDEN · KURZ · DIES	1	PROC090	YES
SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	ANSETZEN · LANG · DIES	7	PROC092	NO
SEM090	E+OL	KURZ · FORTSETZEN	KURZ · FORTSETZEN	1	PROC093	NO
SEM091	L+Y	WEITERLEITEN · DIES	WEITERLEITEN · DIES	1	PROC095	NO
SEM092	SH+E+OL	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	1	PROC096	NO
SEM093	O+IIN	GANG · STUFE	GANG · STUFE	2	PROC097	NO
SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	AUFFANGEN · LANG · SCHLUSS	3	PROC098	NO
SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	PROC099	NO
SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG · SCHLUSS	10	PROC100	NO
SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	WEITERLEITEN · DURCHLASS · DIES	1	PROC101	NO
SEM098	L+CHD	WEITERLEITEN · UMSETZEN	WEITERLEITEN · UMSETZEN	1	PROC102	NO
SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	1	PROC103	NO
SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	ANSETZEN · ZIEL · DIES	1	PROC104	NO
SEM101	SOLK+AIIN	AUFFANGEN · MASS	AUFFANGEN · MASS	1	PROC105	NO
SEM102	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	GANG · BEREIT · KURZ · FORTSETZEN	1	PROC106	NO
SEM103	L+DY	WEITERLEITEN · SCHLUSS	WEITERLEITEN · SCHLUSS	2	PROC108	NO
SEM104	OT+EE+Y	DANACH · LANG · DIES	DANACH · LANG · DIES	2	PROC109	NO
SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	HALTEN · KURZ · DURCHLASS · DIES	1	PROC110	NO
SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	HALTEN · KURZ · SCHLUSS	1	PROC111	NO
SEM107	OT+AIIN	DANACH · MASS	DANACH · MASS	3	PROC112	NO
SEM108	OK+AR	ANSETZEN · QUELLE	ANSETZEN · QUELLE	1	PROC113	NO
SEM109	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	FORTSETZEN · HALTEN · KURZ · SCHLUSS	1	PROC114	NO
SEM110	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	WEITERLEITEN · ENTNEHMEN · DIES	1	PROC116	YES
SEM111	CTH+E+Y	BEREIT · KURZ · DIES	BEREIT · KURZ · DIES	2	PROC117	NO
SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	WEITERLEITEN · LANG · DIES	1	PROC118	NO
SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	ANSETZEN · VOLL · SCHLUSS	1	PROC119	NO
SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN · SCHLUSS	8	PROC120	NO
SEM115	L+AR	WEITERLEITEN · QUELLE	WEITERLEITEN · QUELLE	1	PROC121	NO
SEM116	SH+E+Y	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	1	PROC122	NO
SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	WEITERLEITEN · UMSETZEN · QUELLE	1	PROC123	NO
SEM118	CH+E+S	ABNEHMEN · KURZ · TEILEN	ENTNEHMEN · KURZ · TEILEN	1	PROC124	YES
SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	EINFUELLEN · UMSETZEN · SCHLUSS	1	PROC125	NO
SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	KUEHLEN · HALTEN · KURZ · ZIEL	1	PROC126	NO
SEM121	AL+DY	ZIEL · SCHLUSS	ZIEL · SCHLUSS	1	PROC127	NO
SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	KUEHLEN · ABSETZEN · SCHLUSS	1	PROC128	NO
SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	DANACH · LANG · SCHLUSS	2	PROC129	NO
SEM124	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	1	PROC130	NO
SEM125	OT+AL	DANACH · ZIEL	DANACH · ZIEL	3	PROC131	NO
SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	WAERMEN · LANG · SCHLUSS	1	PROC132	NO
SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	EINFUELLEN · UMSETZEN · ZIEL	1	PROC134	NO
SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	DANACH · KURZ · SCHLUSS	2	PROC135	NO
SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	1	PROC136	NO
SEM130	AR+Y	QUELLE · DIES	QUELLE · DIES	1	PROC137	NO
SEM131	OK+AIR	ANSETZEN · LAUF	ANSETZEN · LAUF	1	PROC138	NO
SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	HALTEN · LANG · SCHLUSS	1	PROC139	NO
SEM133	L+O	WEITERLEITEN · GANG	WEITERLEITEN · GANG	1	PROC140	NO
SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	PROC141	NO
SEM135	SHED+AL	ABSETZEN · ZIEL	ABSETZEN · ZIEL	2	PROC142	NO
SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	HALTEN · KURZ · BEREIT · DIES	1	PROC143	NO
SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	ZIEL · UMSETZEN · SCHLUSS	1	PROC144	NO
SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN · SCHLUSS	3	PROC145|PROC166	NO
SEM139	EE+AR	LANG · QUELLE	LANG · QUELLE	1	PROC146	NO
SEM140	L+AIIN	WEITERLEITEN · MASS	WEITERLEITEN · MASS	1	PROC147	NO
SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	ZIEL · KUEHLEN · ANSATZ	1	PROC148	NO
SEM142	EEE+T+Y	VOLL · EINTRAGEN · DIES	VOLL · ANWENDEN · DIES	1	PROC149	YES
SEM143	CHD+AIR	UMSETZEN · LAUF	UMSETZEN · LAUF	1	PROC150	NO
SEM144	CHD+AIN	UMSETZEN · PORTION	UMSETZEN · PORTION	1	PROC151	NO
SEM145	OT+E+AIIN	DANACH · KURZ · MASS	DANACH · KURZ · MASS	1	PROC152	NO
SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	FORTSETZEN · ZIEL · DIES	1	PROC153	NO
SEM147	OL+Y	FORTSETZEN · DIES	FORTSETZEN · DIES	1	PROC154	NO
SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	1	PROC155	NO
SEM149	AIN	PORTION	PORTION	2	PROC156	NO
SEM150	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	ANSETZEN · LANG · FORTSETZEN	1	PROC158	NO
SEM151	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	1	PROC159	YES
SEM152	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	GANG · DURCHLASS · KURZ · DIES	1	PROC161	NO
SEM153	AIR+Y+DY	LAUF · DIES · SCHLUSS	LAUF · DIES · SCHLUSS	1	PROC162	NO
SEM154	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	ENTNEHMEN · DURCHLASS · ZIEL	1	PROC163	YES
SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	AUFFANGEN · KURZ · DIES	1	PROC164	NO
SEM156	K+AR	ZUDOSIEREN · QUELLE	ZUGEBEN · QUELLE	1	PROC165	YES
SEM157	L+OL	WEITERLEITEN · FORTSETZEN	WEITERLEITEN · FORTSETZEN	1	PROC167	NO
SEM158	CHD+AL	UMSETZEN · ZIEL	UMSETZEN · ZIEL	1	PROC168	NO
SEM159	DA+IIN	ZWEIT · STUFE	ZWEIT · STUFE	1	PROC169	NO
SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	AUFFANGEN · LANG · DIES	1	PROC170	NO
SEM161	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	KURZ · ZUGEBEN · KURZ · DIES	1	PROC171	YES
SEM162	R+AL+Y	KUEHLEN · ZIEL · DIES	KUEHLEN · ZIEL · DIES	1	PROC172	NO
SEM163	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	WEITERLEITEN · ZIEL · ANSATZ	1	PROC173	NO
