exact_card_id	surfaces	component_recipe	grade_component	grade_value_de	grade_token_count	reading_de	events	operator_frame
PROC074	qokeedal	OK+EE+AL	EE	LANG	1	ANSETZEN · LANG · ZIELSTELLE	1	OK+GRADE+AL
PROC083	cheky	CHK+E+Y	E	KURZ	1	WAERMEN · KURZ · POSTEN	3	CHK+GRADE+Y
PROC085	okey|qokey	OK+E+Y	E	KURZ	1	ANSETZEN · KURZ · POSTEN	2	OK+GRADE+Y
PROC086	lshedy	LSH+E+DY	E	KURZ	1	SPUELEN · KURZ · SCHLUSS	2	LSH+GRADE+DY
PROC090	ytey	T+E+Y	E	KURZ	1	BEARBEITEN · KURZ · POSTEN	1	T+GRADE+Y
PROC092	okeey|qokeey	OK+EE+Y	EE	LANG	1	ANSETZEN · LANG · POSTEN	7	OK+GRADE+Y
PROC093	teol	E+OL	E	KURZ	1	KURZ · WEITER	1	GRADE+OL
PROC096	dsheol	SH+E+OL	E	KURZ	1	HALTEN · KURZ · WEITER	1	SH+GRADE+OL
PROC098	olkeedy|solkeedy	SOLK+EE+DY	EE	LANG	1	SAMMELN · LANG · SCHLUSS	3	SOLK+GRADE+DY
PROC099	shckhedy	SH+CKH+E+DY	E	KURZ	1	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	SH+CKH+GRADE+DY
PROC100	qokeedy	OK+EE+DY	EE	LANG	1	ANSETZEN · LANG · SCHLUSS	10	OK+GRADE+DY
PROC103	lcheckhedy	L+CKH+E+DY	E	KURZ	1	LEITEN · DURCHLASS · KURZ · SCHLUSS	1	L+CKH+GRADE+DY
PROC106	octheol	O+CTH+E+OL	E	KURZ	1	ARBEITSGANG · BEREITEN · KURZ · WEITER	1	O+CTH+GRADE+OL
PROC109	oteey	OT+EE+Y	EE	LANG	1	DANACH · LANG · POSTEN	2	OT+GRADE+Y
PROC110	sheckhy	SH+E+CKH+Y	E	KURZ	1	HALTEN · KURZ · DURCHLASS · POSTEN	1	SH+GRADE+CKH+Y
PROC111	dshedy	SH+E+DY	E	KURZ	1	HALTEN · KURZ · SCHLUSS	1	SH+GRADE+DY
PROC114	solshedy	OL+SH+E+DY	E	KURZ	1	WEITER · HALTEN · KURZ · SCHLUSS	1	OL+SH+GRADE+DY
PROC117	qcthey|shcthey	CTH+E+Y	E	KURZ	1	BEREITEN · KURZ · POSTEN	2	CTH+GRADE+Y
PROC118	lcheey	L+EE+Y	EE	LANG	1	LEITEN · LANG · POSTEN	1	L+GRADE+Y
PROC119	qokeeedy	OK+EEE+DY	EEE	VOLL	1	ANSETZEN · VOLL · SCHLUSS	1	OK+GRADE+DY
PROC122	tshey	SH+E+Y	E	KURZ	1	HALTEN · KURZ · POSTEN	1	SH+GRADE+Y
PROC124	ches	CH+E+S	E	KURZ	1	ENTNEHMEN · KURZ · PROBE	1	CH+GRADE+S
PROC126	rsheal	R+SH+E+AL	E	KURZ	1	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1	R+SH+GRADE+AL
PROC129	qoteedy	OT+EE+DY	EE	LANG	1	DANACH · LANG · SCHLUSS	2	OT+GRADE+DY
PROC132	chkeedy	CHK+EE+DY	EE	LANG	1	WAERMEN · LANG · SCHLUSS	1	CHK+GRADE+DY
PROC135	otedy	OT+E+DY	E	KURZ	1	DANACH · KURZ · SCHLUSS	2	OT+GRADE+DY
PROC136	shecthedchy	SH+E+CTH+CHD+Y	E	KURZ	1	HALTEN · KURZ · BEREITEN · UMSETZEN · POSTEN	1	SH+GRADE+CTH+CHD+Y
PROC139	sheedy	SH+EE+DY	EE	LANG	1	HALTEN · LANG · SCHLUSS	1	SH+GRADE+DY
PROC141	qokshedy	OK+SH+E+DY	E	KURZ	1	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	OK+SH+GRADE+DY
PROC143	shecthy	SH+E+CTH+Y	E	KURZ	1	HALTEN · KURZ · BEREITEN · POSTEN	1	SH+GRADE+CTH+Y
PROC146	cheedar	EE+AR	EE	LANG	1	LANG · QUELLE	1	GRADE+AR
PROC149	cheeety	EEE+T+Y	EEE	VOLL	1	VOLL · BEARBEITEN · POSTEN	1	GRADE+T+Y
PROC152	qotedaiin	OT+E+AIIN	E	KURZ	1	DANACH · KURZ · SOLLMASS	1	OT+GRADE+AIIN
PROC158	okeeol	OK+EE+OL	EE	LANG	1	ANSETZEN · LANG · WEITER	1	OK+GRADE+OL
PROC159	lkedy	L+K+E+DY	E	KURZ	1	LEITEN · ZUGEBEN · KURZ · SCHLUSS	1	L+K+GRADE+DY
PROC161	qockhey	O+CKH+E+Y	E	KURZ	1	ARBEITSGANG · DURCHLASS · KURZ · POSTEN	1	O+CKH+GRADE+Y
PROC164	solkey	SOLK+E+Y	E	KURZ	1	SAMMELN · KURZ · POSTEN	1	SOLK+GRADE+Y
PROC170	solkeey	SOLK+EE+Y	EE	LANG	1	SAMMELN · LANG · POSTEN	1	SOLK+GRADE+Y
PROC171	qekey	E+K+E+Y	E	KURZ	2	KURZ · ZUGEBEN · KURZ · POSTEN	1	GRADE+K+GRADE+Y
