stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	state_bank_was_new	active_action_before	active_argument_before	explicit_action_roots	explicit_argument_roots	inherited_action_root	inherited_argument_root	active_action_after	active_argument_after	reader_status	reader_clause_de	baseline_reader_clause_de	order_repair_rule	clause_changed_by_order_repair	state_matches_gdt436	expected_order_safe_clause_de	clause_matches_gdt437	meaning_change
11	G407-E0011	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	T0_EXACT_OBSERVED	NO	SH	Y	S	OR|Y	NONE	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Wähle die Eintragseinheit und den laufenden Eintrag.	Wähle die Eintragseinheit und den laufenden Eintrag.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Wähle die Eintragseinheit und den laufenden Eintrag.	YES	NO
12	G407-E0012	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	T0_EXACT_OBSERVED	NO	S	Y	CH|K	NONE	NONE	Y	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	YES	NO
13	G407-E0013	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	T0_EXACT_OBSERVED	NO	K	Y	NONE	OR	K	NONE	K	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang ordne die Eintragseinheit zu.	YES	NO
14	G407-E0014	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	T0_EXACT_OBSERVED	NO	K	OR	NONE	Y	K	NONE	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang ordne den laufenden Eintrag zu.	Im laufenden Gang ordne den laufenden Eintrag zu.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang ordne den laufenden Eintrag zu.	YES	NO
15	G407-E0015	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kair	K+AIR	T0_EXACT_OBSERVED	NO	K	Y	K	NONE	NONE	Y	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	YES	NO
16	G407-E0016	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	T0_EXACT_OBSERVED	NO	K	Y	CH|T	AIIN	NONE	NONE	T	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert und lege den Kennwert fest.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Kennwert und lege den Kennwert fest.	YES	NO
17	G407-E0017	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	SH+AR	T0_EXACT_OBSERVED	NO	T	AIIN	SH	NONE	NONE	AIIN	SH	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	YES	NO
18	G407-E0018	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	T0_EXACT_OBSERVED	NO	SH	AIIN	S	NONE	NONE	AIIN	S	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	YES	NO
19	G407-E0019	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	T0_EXACT_OBSERVED	NO	S	AIIN	CH|T	NONE	NONE	AIIN	T	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	YES	NO
20	G407-E0020	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	T0_EXACT_OBSERVED	NO	T	AIIN	CH|T	NONE	NONE	AIIN	T	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	YES	NO
21	G407-E0021	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	dan	AIN	T0_EXACT_OBSERVED	NO	T	AIIN	NONE	AIN	T	NONE	T	AIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang lege den Teilwert fest.	Im laufenden Gang lege den Teilwert fest.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang lege den Teilwert fest.	YES	NO
22	G407-E0022	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	T0_EXACT_OBSERVED	NO	T	AIN	S|R	Y	NONE	NONE	R	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	YES	NO
23	G407-E0023	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	T0_EXACT_OBSERVED	NO	R	Y	SH|K	Y	NONE	NONE	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	YES	NO
24	G407-E0024	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	T0_EXACT_OBSERVED	NO	K	Y	NONE	OR	K	NONE	K	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang ordne die Eintragseinheit zu.	YES	NO
25	G407-E0025	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	T0_EXACT_OBSERVED	NO	K	OR	K	Y|AIIN	NONE	NONE	K	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Ordne den laufenden Eintrag und den Kennwert zu.	Ordne den laufenden Eintrag und den Kennwert zu.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Ordne den laufenden Eintrag und den Kennwert zu.	YES	NO
26	G407-E0026	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	T0_EXACT_OBSERVED	NO	K	AIIN	SH	NONE	NONE	AIIN	SH	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	YES	NO
27	G407-E0027	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	T0_EXACT_OBSERVED	NO	SH	AIIN	CH|T	Y	NONE	NONE	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	YES	NO
28	G407-E0028	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	T0_EXACT_OBSERVED	NO	T	Y	CH|T|S	NONE	NONE	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	YES	NO
29	G407-E0029	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	T0_EXACT_OBSERVED	NO	S	Y	NONE	AIIN	S	NONE	S	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Von der Ausgangszeile: im laufenden Gang wähle den Kennwert; an der bezeichneten Stelle.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	YES	YES	Von der Ausgangszeile: im laufenden Gang wähle den Kennwert; an der bezeichneten Stelle.	YES	NO__RELATION_ARGUMENT_ORDER_ONLY
30	G407-E0030	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sy	Y	T0_EXACT_OBSERVED	NO	S	AIIN	NONE	Y	S	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang wähle den laufenden Eintrag.	YES	NO
31	G407-E0031	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	S+O+IIN	T0_EXACT_OBSERVED	NO	S	Y	S	NONE	NONE	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	YES	NO
32	G407-E0032	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	T0_EXACT_OBSERVED	NO	S	Y	NONE	Y	S	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	YES	NO
33	G407-E0033	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	T0_EXACT_OBSERVED	NO	S	Y	NONE	NONE	S	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES	NO
34	G407-E0034	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	T0_EXACT_OBSERVED	NO	S	Y	R	Y	NONE	NONE	R	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter und danach kennzeichne den laufenden Eintrag.	Weiter und danach kennzeichne den laufenden Eintrag.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter und danach kennzeichne den laufenden Eintrag.	YES	NO
35	G407-E0035	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	T0_EXACT_OBSERVED	NO	R	Y	CH|T	NONE	NONE	Y	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	YES	NO
36	G407-E0036	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daiin	AIIN	T0_EXACT_OBSERVED	NO	T	Y	NONE	AIIN	T	NONE	T	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang lege den Kennwert fest.	Im laufenden Gang lege den Kennwert fest.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang lege den Kennwert fest.	YES	NO
37	G407-E0037	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okaiin	OK+AIIN	T0_EXACT_OBSERVED	NO	T	AIIN	OK	AIIN	NONE	NONE	OK	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Trage den Kennwert ein.	Trage den Kennwert ein.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Trage den Kennwert ein.	YES	NO
38	G407-E0038	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	T0_EXACT_OBSERVED	NO	OK	AIIN	NONE	OR	OK	NONE	OK	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang trage die Eintragseinheit ein.	Im laufenden Gang trage die Eintragseinheit ein.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang trage die Eintragseinheit ein.	YES	NO
39	G407-E0039	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okan	OK+AN	T0_EXACT_OBSERVED	NO	OK	OR	OK	NONE	NONE	OR	OK	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	YES	NO
40	G407-E0040	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sair	S+AIR	T0_EXACT_OBSERVED	NO	OK	OR	S	NONE	NONE	OR	S	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	YES	NO
41	G407-E0041	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	T0_EXACT_OBSERVED	NO	S	OR	NONE	Y	S	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang wähle den laufenden Eintrag.	YES	NO
42	G407-E0042	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chear	CH+E+AR	T0_EXACT_OBSERVED	NO	S	Y	CH	NONE	NONE	Y	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	YES	NO
43	G407-E0043	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthaiin	CH+T+AIIN	T0_EXACT_OBSERVED	NO	CH	Y	CH|T	AIIN	NONE	NONE	T	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert und lege den Kennwert fest.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Kennwert und lege den Kennwert fest.	YES	NO
44	G407-E0044	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cphar	CH+P+AR	T0_EXACT_OBSERVED	NO	T	AIIN	CH|P	NONE	NONE	AIIN	P	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	YES	NO
45	G407-E0045	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cfhaiin	CH+LOCAL_CHAR_F+AIIN	T0_EXACT_OBSERVED	NO	P	AIIN	CH	AIIN	NONE	NONE	CH	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Kennwert; an der bezeichneten Stelle.	Entnimm den Kennwert; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Kennwert; an der bezeichneten Stelle.	YES	NO
46	G407-E0046	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	T0_EXACT_OBSERVED	NO	CH	AIIN	SH	Y|Y	NONE	NONE	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	YES	NO
