page	locus	token_ordinal	surface	rule_id	v66_gloss_de	v67_gloss_de	migration_class	visible_parse	share_index	preserved_heads	local_rival_de	primary_history	basis	exact_card_only	learned_whole_renderer
f113v	f113v.3	4	okeeodar	M011	erste abgemessene Fraktion des vollständig erhitzten Auszugs	Anteil I des vollständig erhitzten Auszugs	COMPOSED_AROUND_LEARNED_BODY	(O+KEEOD+AR)~(O+KEEO+D+AR)	I	KEEOD=vollständig erhitzter Auszug	abgemessener Anteil I des vollständig erhitzten Ansatzes	GDT678/GDT691	The one written D cannot pay for both the KEEOD extract whole and DAR measurement. The longer GDT691 workflow block is the main parse; the older measured-preparation parse remains explicit.	1	0
f114r	f114r.26	9	airoy	M012	zweite Drogenfraktion als Grundansatz	Grundansatz aus Drogenanteil II	COMPOSED_R_SHARE	AIR+OY	II	AIR=Anteil II;OY=Grundansatz	Drogenanteil II als Grundansatz	GDT679	GDT679 assigns the complete share-II plus ground-preparation result; GDT693 fixes AIR as share II.	1	0
f115r	f115r.1	1	fdar	M013	erste Blütenfraktion abmessen	Blütenanteil I abmessen	COMPOSED_AROUND_LOCAL_HEAD	F+D+AR	I	F=Blüte;D=abmessen	Blütenauszug I abmessen	GDT681	GDT681 supplies the local flower head and measuring whole; AR-I changes to the selected share noun.	1	0
f30r	f30r.9	2	qochar	M014	erste Trockenfraktion nehmen	trockenen Drogenanteil I nehmen	COMPOSED_ACTION_OVERRIDE	QO+CHAR	I	QO=nehmen;CHAR=trockener Drogenanteil I	Anteil I des Trockenguts nehmen	GDT678	GDT678 licenses the exact take action; the safe whole QOCHAR does not export QO as a free prefix.	1	0
f83v	f83v.12	4	lldar	M015	erste Holzfraktion abmessen	Anteil I der Holzdroge abmessen	LEARNED_WHOLE_WITH_SHARE_RENDERER	[LLDAR]; inner LDAR share-bearing	I	whole LLDAR=Holzdrogenanteil abmessen	Holzauszug I abmessen	GDT678/GDT690	GDT678 marks LLDAR as a learned doubled-head compound and GDT690 binds the material head to wood; the whole-card gloss changes without exporting the outer L.	1	1
f85r2	f85r2.5	1	ockhdar	M016	erste abgemessene Fraktion der Arzneizubereitung	abgemessener Anteil I der Arzneizubereitung	COMPOSED_AROUND_LEARNED_BODY	O+CKH+D+AR ~ IT2a O+CKH+D+OR	I	O-CKH=Arzneizubereitung;D=abmessen	IT2a: abgemessene Portion der Arzneizubereitung	GDT652/GDT678/GDT691	The O-CKH preparation body stays distinct from naked CKH; ZL3b/RF1b terminal AR supplies a share while IT2a DOR remains a portion reading.	1	0
f86v5	f86v5.2	1	losair	M017	zweite Fraktion des Holzpostens	Anteil II des Holzpostens	COMPOSED_AROUND_LEARNED_BODY	LOS+AIR	II	LOS=Holzposten;AIR=Anteil II	Holzabsud mit Samenanteil II	GDT690	RF1b explicitly separates LOS AIR; the main local body is a Holzposten and the alternate LO+SAIR parse stays visible.	1	0
f86v6	f86v6.25	10	araram	M018	ein Maß der ersten Drogenfraktion	Drogenanteil I; davon ein Maß	COMPOSED_BOUNDARY_APPOSITION	AR|ARAM	I	AR=Drogenanteil I;ARAM=davon ein Maß	ein Maß des Unteranteils I des Drogenanteils I	GDT680/GDT693	RF1b writes AR and ARAM as separate units. The appositional main preserves both without inventing a nested share; GDT693 makes the recursive two-R reading a live rival.	1	0
f86v6	f86v6.4	9	chdar	M019	abgemessene Trockenfraktion I, Anfangsstufe	abgemessener trockener Drogenanteil I	COMPOSED_R_SHARE	CH+D+AR	I	CH=trocken;D=abmessen;AR=Anteil I	abgemessener Anteil I des Trockenguts	GDT663	The frequent CHDAR cell preserves dry quality and measuring while AR supplies index I; that same I is not counted again as a preparation stage.	1	0
f86v6	f86v6.4	11	karchees	M020	vollständig getrocknete Kräutercharge der ersten heißen Fraktion	vollständig getrocknete Kräutercharge des heißen Drogenanteils I	COMPOSED_AROUND_LEARNED_BODY	K+AR+CHEES	I	K=heiß;AR=Drogenanteil I;CHEES=vollständig getrocknete Charge	vollständig getrocknete Charge des heißen Auszugs I	GDT678	GDT678 identifies the K+AR share inside a learned dried-charge body and binds preceding L only in the exact line span.	1	0
f86v6	f86v6.5	6	chear	M021	trockene Fraktion I	trockener Drogenanteil I	LEARNED_WHOLE_WITH_SHARE_RENDERER	[CHEAR]; CH+E is one bound dry shell	I	whole CHEAR=trockener Drogenanteil I	trocken gebundene Sortierklasse I	GDT639	GDT639 binds CH+E only as an attributive dry shell inside exact CHEAR. No independent E stage and no universal substring rule are exported.	1	1
f8r	f8r.15	9	daiiiry	M022	abgemessene vierte Trockenfraktion, Anfangsstufe	abgemessener Drogenanteil IV, leicht getrocknet	COMPOSED_ALTERNATE_READING	D+AIIIR+Y ~ D+AIIIR+CHY	IV	D=abmessen;AIIIR=Anteil IV;CHY=leichte Trocknung	abgemessener Anteil IV, lediglich abgeschlossen	GDT679	Both alternate readers expand the form to DAIIIRCHY and GDT679 selects the lightly dried reading over a bare Y completion.	1	0
