dy_ordinal	cohort	event_id	source_event_id	statement_id	physical_page	register	card_ordinal_in_statement	statement_event_count	distance_to_statement_end	surface	recipe	dy_occurrence_in_recipe	dy_atom_position	recipe_atom_count	dy_recipe_terminal	closure_scope	statement_end_mode	explicit_action_roots	current_reading_de	successor_event_id	successor_surface	successor_recipe	successor_reading_de	successor_inherited_action_source_event_id	successor_inherited_argument_source_event_id	guard
11	OLD26_GDT407	G407-E0439	P912-E0225	G407-S015	f13r	HERBAL	6	6	0	daldy	AL+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	ZIELORT · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
12	OLD26_GDT407	G407-E0443	P1003-E0001	G407-S017	f17r	HERBAL	1	1	0	fshody	LOCAL_CHAR_F+SH+O+DY	1	4	4	YES	SINGLETON_STATEMENT_CLOSURE	LICENSED_DY_CLOSE	SH	HIER · HALTEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
13	OLD26_GDT407	G407-E0447	P1003-E0005	G407-S018	f17r	HERBAL	4	4	0	opydy	O+P+Y+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	P	AUSFÜHRUNG · EINSETZEN · AKTIVER POSTEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
14	OLD26_GDT407	G407-E0451	P1003-E0009	G407-S019	f17r	HERBAL	4	4	0	dody	D_ADDR+O+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	HIER · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
15	OLD26_GDT407	G407-E0457	P1003-E0015	G407-S020	f17r	HERBAL	6	6	0	ckhody	CH+K+O+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	CH|K	NEHMEN · GEBEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
16	OLD26_GDT407	G407-E0483	P1003-E0041	G407-S021	f17r	HERBAL	26	26	0	cphaldy	CH+P+AL+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	CH|P	NEHMEN · EINSETZEN · ZIELORT · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
17	OLD26_GDT407	G407-E0486	P1003-E0044	G407-S022	f17r	HERBAL	3	3	0	qody	CARRIER_Q+O+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	BEGINNMARKER · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
18	OLD26_GDT407	G407-E0497	P1003-E0055	G407-S023	f17r	HERBAL	11	11	0	opchordy	O+P+CH+OR+DY	1	5	5	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	P|CH	AUSFÜHRUNG · EINSETZEN · NEHMEN · EINHEIT · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
19	OLD26_GDT407	G407-E0521	P1008-E0001	G407-S025	f18r	HERBAL	1	1	0	pdrairdy	P+D_ADDR+R+AIR+DY	1	5	5	YES	SINGLETON_STATEMENT_CLOSURE	LICENSED_DY_CLOSE	P|R	EINSETZEN · HIER · MARKIEREN · LAUF · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
20	OLD26_GDT407	G407-E0569	P1008-E0049	G407-S027	f18r	HERBAL	19	19	0	doldy	OL+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	FORTSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
21	OLD26_GDT407	G407-E0573	P1008-E0053	G407-S028	f18r	HERBAL	4	4	0	olody	OL+O+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	FORTSETZEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
22	OLD26_GDT407	G407-E0610	G404-E0220	G407-S030	f24v	HERBAL	6	6	0	opshody	O+P+SH+O+DY	1	5	5	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	P|SH	AUSFÜHRUNG · EINSETZEN · HALTEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
23	OLD26_GDT407	G407-E0695	P912-E0233	G407-S033	f55v	HERBAL	5	8	3	dodyd	D_ADDR+O+DY+D_LABEL	1	3	4	NO	INTERNAL_LOCAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	HIER · AUSFÜHRUNG · SCHLUSS · HIER	G407-E0696	oeeed	O+EEE+D_ADDR	AUSFÜHRUNG · GRAD III · HIER	NOT_AVAILABLE_OLD26	NOT_AVAILABLE_OLD26	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
24	OLD26_GDT407	G407-E0698	P912-E0236	G407-S033	f55v	HERBAL	8	8	0	okeedy	OK+EE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	OK	SETZEN · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
25	OLD26_GDT407	G407-E0720	P912-E0258	G407-S034	f55v	HERBAL	22	22	0	ody	O+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
26	OLD26_GDT407	G407-E0725	P912-E0263	G407-S035	f55v	HERBAL	5	5	0	ody	O+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
27	OLD26_GDT407	G407-E0781	P912-E0319	G407-S036	f55v	HERBAL	56	56	0	oldy	OL+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	FORTSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
28	OLD26_GDT407	G407-E0802	P912-E0340	G407-S038	f56r	HERBAL	6	6	0	esedy	E+S+E+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	S	GRAD I · WÄHLEN · GRAD I · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
29	OLD26_GDT407	G407-E0847	P912-E0385	G407-S039	f56r	HERBAL	45	45	0	cheeckhody	CH+EE+CH+K+O+DY	1	6	6	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	CH|CH|K	NEHMEN · GRAD II · NEHMEN · GEBEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
30	OLD26_GDT407	G407-E0908	P912-E1783	G407-S041	f67r2	CELESTIAL	7	7	0	oldy	OL+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	FORTSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
31	OLD26_GDT407	G407-E0941	P912-E1820	G407-S044	f67r2	CELESTIAL	1	1	0	ytody	Y+T+O+DY	1	4	4	YES	SINGLETON_STATEMENT_CLOSURE	LICENSED_DY_CLOSE	T	AKTIVER POSTEN · EINSTELLEN · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
32	OLD26_GDT407	G407-E0975	P912-E1858	G407-S048	f67r2	CELESTIAL	18	18	0	ofydy	O+LOCAL_CHAR_F+Y+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	AUSFÜHRUNG · HIER · AKTIVER POSTEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
33	OLD26_GDT407	G407-E1039	P912-E1950	G407-S052	f68r1	CELESTIAL	12	12	0	qokeeedy	OK+EEE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	OK	SETZEN · GRAD III · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
34	OLD26_GDT407	G407-E1042	P912-E1953	G407-S053	f68r1	CELESTIAL	3	3	0	yteody	Y+T+E+O+DY	1	5	5	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	T	AKTIVER POSTEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
35	OLD26_GDT407	G407-E1077	P1003-E0576	G407-S055	f71v	CELESTIAL	19	19	0	sheealody	SH+EE+AL+O+DY	1	5	5	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	HALTEN · GRAD II · ZIELORT · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
36	OLD26_GDT407	G407-E1122	P1003-E0637	G407-S057	f71v	CELESTIAL	27	27	0	shldy	SH+L+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	HALTEN · VERBINDUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
37	OLD26_GDT407	G407-E1141	P1008-E0089	G407-S060	f72r	CELESTIAL	5	5	0	olcheor	OL+CH+E+O+DY	1	5	5	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	CH	FORTSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
38	OLD26_GDT407	G407-E1145	P1008-E0093	G407-S061	f72r	CELESTIAL	4	4	0	oteedy	OT+EE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	DANACH · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
39	OLD26_GDT407	G407-E1151	P1008-E0099	G407-S062	f72r	CELESTIAL	6	6	0	okeedy	OK+EE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	OK	SETZEN · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
40	OLD26_GDT407	G407-E1191	P1008-E0156	G407-S064	f72r	CELESTIAL	13	13	0	teeody	T+EE+O+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	T	EINSTELLEN · GRAD II · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
41	OLD26_GDT407	G407-E1276	P1008-E0269	G407-S068	f72r	CELESTIAL	17	17	0	dalchdy	AL+CHD+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	CHD	ZIELORT · UMSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
42	OLD26_GDT407	G407-E1280	P1008-E0273	G407-S069	f72r	CELESTIAL	4	4	0	qoteeody	OT+EE+O+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	DANACH · GRAD II · AUSFÜHRUNG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
43	OLD26_GDT407	G407-E1311	P1008-E0313	G407-S072	f72r	CELESTIAL	11	11	0	oteedy	OT+EE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	DANACH · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
44	OLD26_GDT407	G407-E1330	P1008-E0332	G407-S073	f72r	CELESTIAL	19	19	0	oteedy	OT+EE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	DANACH · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
45	OLD26_GDT407	G407-E1348	P1008-E0368	G407-S075	f72r	CELESTIAL	1	1	0	otochedy	OT+O+CHD+DY	1	4	4	YES	SINGLETON_STATEMENT_CLOSURE	LICENSED_DY_CLOSE	CHD	DANACH · AUSFÜHRUNG · UMSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
46	OLD26_GDT407	G407-E1352	P1008-E0372	G407-S076	f72r	CELESTIAL	4	4	0	sheedy	SH+EE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	HALTEN · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
47	OLD26_GDT407	G407-E1391	P1008-E0427	G407-S078	f72r	CELESTIAL	3	3	0	eeer	EEE+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	GRAD III · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
48	OLD26_GDT407	G407-E1412	P1008-E0448	G407-S079	f72r	CELESTIAL	21	21	0	eedy	EE+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
49	OLD26_GDT407	G407-E1431	P912-E0446	G407-S082	f75r	BIOLOGICAL	7	7	0	shedy	SH+E+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	HALTEN · GRAD I · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
50	OLD26_GDT407	G407-E1436	P912-E0451	G407-S083	f75r	BIOLOGICAL	5	5	0	qoldy	OL+DY	1	2	2	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	NONE	FORTSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
51	OLD26_GDT407	G407-E1438	P912-E0453	G407-S084	f75r	BIOLOGICAL	2	2	0	chekeedy	CH+K+EE+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	CH|K	NEHMEN · GEBEN · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
52	OLD26_GDT407	G407-E1458	P912-E0473	G407-S085	f75r	BIOLOGICAL	20	20	0	qokeedy	OK+EE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	OK	SETZEN · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
53	OLD26_GDT407	G407-E1466	P912-E0481	G407-S086	f75r	BIOLOGICAL	8	8	0	olsheedy	OL+SH+EE+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	FORTSETZEN · HALTEN · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
54	OLD26_GDT407	G407-E1475	P912-E0490	G407-S087	f75r	BIOLOGICAL	9	9	0	qokeedy	OK+EE+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	OK	SETZEN · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
55	OLD26_GDT407	G407-E1477	P912-E0492	G407-S088	f75r	BIOLOGICAL	2	2	0	pchedy	P+CHD+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	P|CHD	EINSETZEN · UMSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
56	OLD26_GDT407	G407-E1478	P912-E0493	G407-S089	f75r	BIOLOGICAL	1	1	0	qokshdy	OK+SH+DY	1	3	3	YES	SINGLETON_STATEMENT_CLOSURE	LICENSED_DY_CLOSE	OK|SH	SETZEN · HALTEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
57	OLD26_GDT407	G407-E1488	P912-E0503	G407-S090	f75r	BIOLOGICAL	10	10	0	qokardy	OK+AR+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	OK	SETZEN · AUSGANG · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
58	OLD26_GDT407	G407-E1492	P912-E0507	G407-S091	f75r	BIOLOGICAL	4	4	0	lshedy	L+SH+E+DY	1	4	4	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	SH	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
59	OLD26_GDT407	G407-E1493	P912-E0508	G407-S092	f75r	BIOLOGICAL	1	1	0	okeedy	OK+EE+DY	1	3	3	YES	SINGLETON_STATEMENT_CLOSURE	LICENSED_DY_CLOSE	OK	SETZEN · GRAD II · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
60	OLD26_GDT407	G407-E1494	P912-E0509	G407-S093	f75r	BIOLOGICAL	1	1	0	qokchdy	OK+CHD+DY	1	3	3	YES	SINGLETON_STATEMENT_CLOSURE	LICENSED_DY_CLOSE	OK|CHD	SETZEN · UMSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
61	OLD26_GDT407	G407-E1497	P912-E0512	G407-S094	f75r	BIOLOGICAL	3	3	0	qokedy	OK+E+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	OK	SETZEN · GRAD I · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
62	OLD26_GDT407	G407-E1501	P912-E0516	G407-S095	f75r	BIOLOGICAL	4	4	0	olchedy	OL+CHD+DY	1	3	3	YES	STATEMENT_FINAL_STEP_CLOSURE	LICENSED_DY_CLOSE	CHD	FORTSETZEN · UMSETZEN · SCHLUSS	NONE	NONE	NONE	NONE	NONE	NONE	POSITIONAL_WORKING_CLOSURE_SCOPE__NO_ROOT_OR_BOUNDARY_CHANGE
