surface	previous_working_recipe	gdt529_top1	supported_candidate_recipe	supported_candidate_roles	route_class	old_superform	old_superform_recipe	removed_visible	visible_index	visible_position	removed_atom	atom_index	atom_position	support_pair_count	visible_condition_total	visible_condition_option_count	conditional_probability	reliability	signature_examples	route_strength	old_event_count	old_pages	old_registers	old_event_ids	old_loci
qokee	OK+EE	OK+EE	OK+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qokeed	OK+EE+D_ADDR	d	5	RIGHT	D_ADDR	2	RIGHT	10	12	3	0.777777778	0.833333333	sho>shod | cthy>cthyd | do>dod | ycho>ychod | she>shed | okee>okeed | lo>lod | keeo>keeod	STRONG_OLD_EDIT_SIGNATURE	3	f76r|f77r|f81v	BIOLOGICAL	P1008-E0496|P1003-E0149|P912-E0988	f76r.3|f77r.15|f81v.14
qokee	OK+EE	OK+EE	OK+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qokeeo	OK+EE+O	o	5	RIGHT	O	2	RIGHT	15	15	1	1.000000000	0.882352941	sh>sho | she>sheo | yt>yto | r>ro | cth>ctho | chckh>chckho | or>oro | d>do	STRONG_OLD_EDIT_SIGNATURE	1	f76r	BIOLOGICAL	P1008-E0523	f76r.6
qokee	OK+EE	OK+EE	OK+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qokeey	OK+EE+Y	y	5	RIGHT	Y	2	RIGHT	69	72	2	0.952054795	0.971830986	shor>shory | sor>sory | shek>sheky | cpho>cphoy | okcho>okchoy | ksho>kshoy | sho>shoy | cth>cthy	STRONG_OLD_EDIT_SIGNATURE	48	f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|HERBAL|PHARMA	P912-E0356|P912-E0482|P912-E0641|P912-E0682|P912-E0736|P1008-E0492|P1008-E0494|P1008-E0508|P1008-E0538|P1008-E0619|P1008-E0642|P1008-E0643|P1008-E0703|P1008-E1035|P1003-E0187|P1003-E0202|P1003-E0271|P1003-E0361|G404-E0345|G404-E0353|G404-E0376|G404-E0422|P912-E0955|P912-E1129|P912-E1165|P912-E1216|P912-E1255|P912-E1283|P912-E1296|P912-E1308|P912-E1310|P912-E1364|P912-E1447|P912-E1582|P912-E1625|P912-E1630|P912-E2437|P1003-E0433|P1003-E0478|P1003-E0497|P1008-E1075|P1008-E1219|P1008-E1322|P1008-E1334|P1008-E1343|P1008-E1370|G404-E0566|G404-E0653	f56r.3|f75r.5|f75r.23|f75r.28|f75r.33|f76r.2|f76r.3|f76r.5|f76r.8|f76r.16|f76r.19|f76r.19|f76r.25|f76r.56|f77r.19|f77r.21|f77r.31|f77r.42|f81r.6|f81r.8|f81r.12|f81r.20|f81v.11|f82r.3|f82r.7|f82r.14|f82r.18|f82r.21|f82r.23|f82r.24|f82r.24|f82r.30|f83r.5|f83r.20|f83r.25|f83r.26|f88r.20|f88v.7|f88v.17|f88v.19|f89r1.9|f89r2.8|f89r2.23|f89r2.24|f89r2.24|f89r2.26|f95v2.7|f95v1.9
shd	SH+D_ADDR	SH+D_ADDR	SH+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	shdy	SH+D_ADDR+Y	y	3	RIGHT	Y	2	RIGHT	69	72	2	0.952054795	0.971830986	shor>shory | sor>sory | shek>sheky | cpho>cphoy | okcho>okchoy | ksho>kshoy | sho>shoy | cth>cthy	STRONG_OLD_EDIT_SIGNATURE	5	f76r|f83r	BIOLOGICAL	P1008-E0578|P1008-E0862|P1008-E0975|P1008-E1037|P912-E1567	f76r.12|f76r.40|f76r.50|f76r.56|f83r.18
shd	SH+D_ADDR	SH+D_ADDR	SH+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	shed	SH+E+D_ADDR	e	2	INNER	E	1	INNER	78	117	14	0.633064516	0.975000000	shky>sheky | cphy>cphey | otol>oteol | ckhy>ckhey | cthy>cthey | shckhy>shckhey | sho>sheo | shar>shear	STRONG_OLD_EDIT_SIGNATURE	2	f76r	BIOLOGICAL	P1008-E0547|P1008-E1006	f76r.9|f76r.53
shd	SH+D_ADDR	SH+D_ADDR	SH+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	shod	SH+O+D_ADDR	o	2	INNER	O	1	INNER	46	61	10	0.704545455	0.958333333	cphy>cphoy | cfhaiin>cfhoaiin | chcthy>chocthy | tedy>teody | kshy>kshoy | shaiin>shoaiin | kshey>koshey | cthor>cthoor	STRONG_OLD_EDIT_SIGNATURE	2	f1r|f24v	HERBAL|SOURCE_SECTION_T	G404-E0026|G404-E0218	f1r.3|f24v.1
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	lshee	L+SH+EE	l	0	LEFT	L	0	LEFT	43	45	3	0.935483871	0.955555556	y>ly | tain>ltain | shey>lshey | ol>lol | shedy>lshedy | o>lo | ch>lch | chey>lchey	STRONG_OLD_EDIT_SIGNATURE	1	f95v	HERBAL	G404-E0684	f95v1.13
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheed	SH+EE+D_ADDR	d	4	RIGHT	D_ADDR	2	RIGHT	10	12	3	0.777777778	0.833333333	sho>shod | cthy>cthyd | do>dod | ycho>ychod | she>shed | okee>okeed | lo>lod | keeo>keeod	STRONG_OLD_EDIT_SIGNATURE	1	f77r	BIOLOGICAL	P1003-E0164	f77r.17
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheeo	SH+EE+O	o	4	RIGHT	O	2	RIGHT	15	15	1	1.000000000	0.882352941	sh>sho | she>sheo | yt>yto | r>ro | cth>ctho | chckh>chckho | or>oro | d>do	STRONG_OLD_EDIT_SIGNATURE	1	f71v	CELESTIAL	P1003-E0572	f71v.1
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	shees	SH+EE+S	s	4	RIGHT	S	2	RIGHT	20	23	2	0.854166667	0.909090909	sho>shos | ol>ols | cthol>cthols | ydal>ydals | cheo>cheos | cheol>cheols | oto>otos | okeeol>okeeols	STRONG_OLD_EDIT_SIGNATURE	2	f67r2|f72r	CELESTIAL	P912-E1917|P1008-E0429	f67r2.73|f72r3.26
shee	SH+EE	SH+EE	SH+EE	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheey	SH+EE+Y	y	4	RIGHT	Y	2	RIGHT	69	72	2	0.952054795	0.971830986	shor>shory | sor>sory | shek>sheky | cpho>cphoy | okcho>okchoy | ksho>kshoy | sho>shoy | cth>cthy	STRONG_OLD_EDIT_SIGNATURE	18	f72r|f76r|f77r|f81v|f82r|f83r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	P1008-E0348|P1008-E0527|P1008-E0731|P1008-E0798|P1008-E0927|P1008-E0943|P1008-E0946|P1008-E1023|P1003-E0195|P1003-E0373|P912-E0994|P912-E1287|P912-E1321|P912-E1382|P912-E1642|P1008-E1049|P1008-E1105|P1008-E1305	f72r3.1|f76r.6|f76r.28|f76r.33|f76r.45|f76r.47|f76r.47|f76r.55|f77r.20|f77r.44|f81v.15|f82r.22|f82r.25|f82r.32|f83r.28|f89r1.6|f89r1.16|f89r2.22
sheod	SH+E+O+D_ADDR	SH+E+O+D_ADDR	SH+E+O+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheody	SH+E+O+D_ADDR+Y	y	5	RIGHT	Y	4	RIGHT	69	72	2	0.952054795	0.971830986	shor>shory | sor>sory | shek>sheky | cpho>cphoy | okcho>okchoy | ksho>kshoy | sho>shoy | cth>cthy	STRONG_OLD_EDIT_SIGNATURE	4	f67r2|f88v|f89r|f95v	CELESTIAL|HERBAL|PHARMA	P912-E1859|P1003-E0471|P1008-E1164|G404-E0596	f67r2.44|f88v.16|f89r1.22|f95v1.3
sheod	SH+E+O+D_ADDR	SH+E+O+D_ADDR	SH+E+O+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	ysheod	Y+SH+E+O+D_ADDR	y	0	LEFT	Y	0	LEFT	54	59	5	0.886178862	0.964285714	kal>ykal | kaiin>ykaiin | shey>yshey | dain>ydain | tain>ytain | cheey>ycheey | cheor>ycheor | tchy>ytchy	STRONG_OLD_EDIT_SIGNATURE	1	f88v	PHARMA	P1003-E0469	f88v.16
sheoy	SH+E+O+Y	SH+E+O+Y	SH+E+O+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	sheody	SH+E+O+D_ADDR+Y	d	4	INNER	D_ADDR	3	INNER	29	56	5	0.504273504	0.935483871	oaiin>odaiin | koshey>kodshey | kchy>kdchy | qoor>qodor | qochy>qodchy | yar>ydar | qoar>qodar | qocthy>qodcthy	STRONG_OLD_EDIT_SIGNATURE	4	f67r2|f88v|f89r|f95v	CELESTIAL|HERBAL|PHARMA	P912-E1859|P1003-E0471|P1008-E1164|G404-E0596	f67r2.44|f88v.16|f89r1.22|f95v1.3
tcheo	T+CH+E+O	T+CH+E+O	T+CH+E+O	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	tcheol	T+CH+E+O+L	l	5	RIGHT	L	4	RIGHT	12	12	1	1.000000000	0.857142857	chod>chodl | ycheo>ycheol | cheo>cheol | s>sl | otedy>otedyl | qokchdy>qokchdyl | chedy>chedyl | ch>chl	STRONG_OLD_EDIT_SIGNATURE	2	f82r|f89r	BIOLOGICAL|PHARMA	P912-E1202|P1008-E1096	f82r.13|f89r1.15
