surface	recipe	tail_category	event_count	pages	registers	event_ids
okchy	OK+Y	TAIL_Y_WITHOUT_CH	3	f13r|f56r|f76r	BIOLOGICAL|HERBAL	P912-E0198|P912-E0410|P1008-E0792
olchy	OL+CH+Y	TAIL_CH_PLUS_Y	3	f76r|f81v|f82r	BIOLOGICAL	P1008-E0682|P912-E0962|P912-E1211
olkeechy	OL+K+EE+CH+Y	TAIL_CH_PLUS_Y	1	f55v	HERBAL	P912-E0329
ollchy	OL+L+CH+Y	TAIL_CH_PLUS_Y	1	f76r	BIOLOGICAL	P1008-E0807
oltchy	OL+T+Y	TAIL_Y_WITHOUT_CH	1	f55v	HERBAL	P912-E0322
oparchy	O+P+AR+CH+Y	TAIL_CH_PLUS_Y	1	f67r2	CELESTIAL	P912-E1805
opchy	O+P+Y	TAIL_Y_WITHOUT_CH	1	f13r	HERBAL	P912-E0153
otchy	OT+CH+Y	TAIL_CH_PLUS_Y	4	f17r|f56r|f71v|f76r	BIOLOGICAL|CELESTIAL|HERBAL	P1003-E0008|P912-E0393|P1003-E0570|P1008-E0557
otolpchy	OT+OL+P+CH+Y	TAIL_CH_PLUS_Y	1	f89r	PHARMA	P1008-E1244
qetchy	CARRIER_Q+E+T+CH+Y	TAIL_CH_PLUS_Y	1	f81v	BIOLOGICAL	P912-E1065
qochy	O+Y	TAIL_Y_WITHOUT_CH	1	f76r	BIOLOGICAL	P1008-E0924
qodchy	O+D_ADDR+Y	TAIL_Y_WITHOUT_CH	1	f13r	HERBAL	P912-E0183
qokchy	OK+Y	TAIL_Y_WITHOUT_CH	7	f10r|f13r|f17r|f18r|f55v|f83r|f89r	BIOLOGICAL|HERBAL|PHARMA	P912-E0040|P912-E0213|P1003-E0051|P1008-E0074|P912-E0295|P912-E1673|P1008-E1153
qokechy	OK+E+Y	TAIL_Y_WITHOUT_CH	1	f89r	PHARMA	P1008-E1067
qokeochy	OK+E+O+CH+Y	TAIL_CH_PLUS_Y	1	f67r2	CELESTIAL	P912-E1921
qokokchy	OK+OK+CH+Y	TAIL_CH_PLUS_Y	1	f56r	HERBAL	P912-E0409
qolchy	OL+CH+Y	TAIL_CH_PLUS_Y	1	f77r	BIOLOGICAL	P1003-E0230
qopchy	O+P+Y	TAIL_Y_WITHOUT_CH	3	f13r|f67r2	CELESTIAL|HERBAL	P912-E0156|P912-E0191|P912-E1792
qotchy	OT+Y	TAIL_Y_WITHOUT_CH	5	f10r|f11r|f56r	HERBAL	P912-E0024|P912-E0091|P912-E0148|P912-E0416|P912-E0421
shechy	SH+E+CH+Y	TAIL_CH_PLUS_Y	1	f83r	BIOLOGICAL	P912-E1558
shecthedchy	SH+E+CH+T+CHD+Y	TAIL_Y_WITHOUT_CH	1	f83r	BIOLOGICAL	P912-E1472
sheekchy	SH+EE+K+CH+Y	TAIL_CH_PLUS_Y	1	f83r	BIOLOGICAL	P912-E1667
shepchy	SH+E+P+Y	TAIL_Y_WITHOUT_CH	1	f75r	BIOLOGICAL	P912-E0588
shkchy	SH+K+Y	TAIL_Y_WITHOUT_CH	1	f13r	HERBAL	P912-E0164
shochy	HO+Y	TAIL_Y_WITHOUT_CH	1	f13r	HERBAL	P912-E0212
shokchy	SH+OK+CH+Y	TAIL_CH_PLUS_Y	1	f68r1	CELESTIAL	P912-E1939
sotchy	S+OT+Y	TAIL_Y_WITHOUT_CH	1	f13r	HERBAL	P912-E0226
tchy	T+Y	TAIL_Y_WITHOUT_CH	1	f10r	HERBAL	P912-E0021
torchy	T+OR+Y	TAIL_Y_WITHOUT_CH	1	f13r	HERBAL	P912-E0214
ychekchy	Y+CH+K+Y	TAIL_Y_WITHOUT_CH	1	f17r	HERBAL	P1003-E0036
ychy	Y+Y	TAIL_Y_WITHOUT_CH	1	f18r	HERBAL	P1008-E0037
ykchy	Y+K+Y	TAIL_Y_WITHOUT_CH	3	f13r|f17r	HERBAL	P912-E0167|P912-E0180|P1003-E0059
ykychy	Y+K+Y+CH+Y	TAIL_CH_PLUS_Y	1	f11r	HERBAL	P912-E0114
ypchy	Y+P+CH+Y	TAIL_CH_PLUS_Y	1	f17r	HERBAL	P1003-E0034
ytchy	Y+T+Y	TAIL_Y_WITHOUT_CH	2	f11r|f13r	HERBAL	P912-E0106|P912-E0184
zepchy	S+E+P+CH+Y	TAIL_CH_PLUS_Y	1	f17r	HERBAL	P1003-E0053
