surface	opaque_head_class	eva_transcription_label	body_surface	inherited_gdt734_candidate_de	repaired_structural_candidate_de	old_literal_head_noun_detected	decision	eva_initial_semantic_credit	component_export_credit
lol	H4	l	ol	Holzstoff	H4-Ganzform im Feld „Stoff- oder Materialträger“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lolchedy	H4	l	olchedy	getrockneter Holzdrogenansatz	H4-Ganzform im Feld „Materialträger, getrocknetes Ergebnis I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lor	H4	l	or	Holzportion	H4-Ganzform im Feld „Teil- oder Portionsträger“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
loraiin	H4	l	oraiin	Holzportion III	H4-Ganzform im Feld „Teil oder Portion: Wert III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
loral	H4	l	oral	Holz-Rohstoffportion	H4-Ganzform im Feld „Rohstoff- oder Zutatenportion“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lshedy	H4	l	shedy	vollständig eingeweichtes Holz, Form I	H4-Ganzform im Feld „angefeuchtetes oder eingeweichtes Ergebnis, Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
lshey	H4	l	shey	eingeweichtes Drogenholz, Form I	H4-Ganzform im Feld „feuchte oder angeweichte Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
ly	H4	l	y	rohes Drogenholz	H4-Ganzform im Feld „unmarkierte Grund- oder Schlussform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
paiin	H1	p	aiin	Pulver, Charge III	H1-Ganzform im Feld „Ordinalstufe III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pair	H1	p	air	Pulverfraktion II	H1-Ganzform im Feld „Teil- oder Fraktionsstufe II“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pal	H1	p	al	Pulverrohstoff I	H1-Ganzform im Feld „Rohstoff- oder Materialstufe I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pam	H1	p	am	ein Maß Pulver	H1-Ganzform im Feld „Eintragsabschluss I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
par	H1	p	ar	Pulverfraktion I	H1-Ganzform im Feld „Teil- oder Fraktionsstufe I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pchdy	H1	p	chdy	getrocknetes Pulver, Kompaktform	H1-Ganzform im Feld „getrocknetes Ergebnis, Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pchedy	H1	p	chedy	getrocknetes Pulver	H1-Ganzform im Feld „getrocknetes Ergebnis, Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pcheo	H1	p	cheo	trockene Pulverzubereitung	H1-Ganzform im Feld „trockener Ansatz oder Zubereitung“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pchey	H1	p	chey	Pulver, trocken gebunden, Form I	H1-Ganzform im Feld „trockene Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pchol	H1	p	chol	trockener Pulverstoff	H1-Ganzform im Feld „Trockenmaterial“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pchy	H1	p	chy	Pulver, trockene Grundform	H1-Ganzform im Feld „trockene Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
poaiin	H1	p	oaiin	Pulverzubereitung, Charge III	H1-Ganzform im Feld „Zubereitung: Index III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
podaiin	H1	p	odaiin	drei Portionen Pulverzubereitung	H1-Ganzform im Feld „Zubereitung: Dosis oder Wert III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pody	H1	p	ody	Pulver, fertig aufbereitet	H1-Ganzform im Feld „fertig aufbereitete Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
poiin	H1	p	oiin	Pulverzubereitung, Form III	H1-Ganzform im Feld „Zubereitungsform III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pol	H1	p	ol	Pulverstoff	H1-Ganzform im Feld „Stoff- oder Materialträger“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
polchedy	H1	p	olchedy	getrockneter Pulveransatz	H1-Ganzform im Feld „Materialträger, getrocknetes Ergebnis I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
por	H1	p	or	Pulverportion	H1-Ganzform im Feld „Teil- oder Portionsträger“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
poraiin	H1	p	oraiin	Pulverportion III	H1-Ganzform im Feld „Teil oder Portion: Wert III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
poral	H1	p	oral	Pulver-Rohstoffportion	H1-Ganzform im Feld „Rohstoff- oder Zutatenportion“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pshedy	H1	p	shedy	Pulverpaste	H1-Ganzform im Feld „angefeuchtetes oder eingeweichtes Ergebnis, Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
pshey	H1	p	shey	angefeuchtetes Pulver, Form I	H1-Ganzform im Feld „feuchte oder angeweichte Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
py	H1	p	y	Pulver in Grundform	H1-Ganzform im Feld „unmarkierte Grund- oder Schlussform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
raiin	H3	r	aiin	Wurzel, Charge III	H3-Ganzform im Feld „Ordinalstufe III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rair	H3	r	air	Wurzelfraktion II	H3-Ganzform im Feld „Teil- oder Fraktionsstufe II“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
ral	H3	r	al	Wurzelrohstoff I	H3-Ganzform im Feld „Rohstoff- oder Materialstufe I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
ram	H3	r	am	ein Maß Wurzel	H3-Ganzform im Feld „Eintragsabschluss I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rar	H3	r	ar	Wurzelfraktion I	H3-Ganzform im Feld „Teil- oder Fraktionsstufe I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rchdy	H3	r	chdy	getrocknete Wurzeldroge, Kompaktform	H3-Ganzform im Feld „getrocknetes Ergebnis, Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rchedy	H3	r	chedy	getrocknete Wurzel	H3-Ganzform im Feld „getrocknetes Ergebnis, Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rcheey	H3	r	cheey	trocken gebundene Wurzeldroge, Form II	H3-Ganzform im Feld „trockene Form II“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rcheo	H3	r	cheo	trockene Wurzeldrogezubereitung	H3-Ganzform im Feld „trockener Ansatz oder Zubereitung“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rchey	H3	r	chey	trocken gebundene Wurzeldroge, Form I	H3-Ganzform im Feld „trockene Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rchol	H3	r	chol	trockener Wurzeldrogenstoff	H3-Ganzform im Feld „Trockenmaterial“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rchy	H3	r	chy	Wurzeldroge, trockene Grundform	H3-Ganzform im Feld „trockene Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
roaiin	H3	r	oaiin	Wurzeldrogezubereitung, Charge III	H3-Ganzform im Feld „Zubereitung: Index III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rodaiin	H3	r	odaiin	drei Portionen Wurzeldrogezubereitung	H3-Ganzform im Feld „Zubereitung: Dosis oder Wert III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rody	H3	r	ody	fertig aufbereitete Wurzeldroge	H3-Ganzform im Feld „fertig aufbereitete Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
roiin	H3	r	oiin	Wurzeldrogezubereitung, Form III	H3-Ganzform im Feld „Zubereitungsform III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rol	H3	r	ol	Wurzelstoff	H3-Ganzform im Feld „Stoff- oder Materialträger“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rolchedy	H3	r	olchedy	getrockneter Wurzelansatz	H3-Ganzform im Feld „Materialträger, getrocknetes Ergebnis I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
ror	H3	r	or	Wurzelportion	H3-Ganzform im Feld „Teil- oder Portionsträger“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
roraiin	H3	r	oraiin	Wurzelportion III	H3-Ganzform im Feld „Teil oder Portion: Wert III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
roral	H3	r	oral	Wurzel-Rohstoffportion	H3-Ganzform im Feld „Rohstoff- oder Zutatenportion“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rshedy	H3	r	shedy	eingeweichte Wurzel	H3-Ganzform im Feld „angefeuchtetes oder eingeweichtes Ergebnis, Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
rshey	H3	r	shey	eingeweichte Wurzel, Form I	H3-Ganzform im Feld „feuchte oder angeweichte Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
ry	H3	r	y	rohe Wurzel	H3-Ganzform im Feld „unmarkierte Grund- oder Schlussform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sair	H2	s	air	Samenanteil II	H2-Ganzform im Feld „Teil- oder Fraktionsstufe II“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sal	H2	s	al	Saat-Rohstoff I	H2-Ganzform im Feld „Rohstoff- oder Materialstufe I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sam	H2	s	am	ein Maß Samen	H2-Ganzform im Feld „Eintragsabschluss I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sar	H2	s	ar	Samenanteil I	H2-Ganzform im Feld „Teil- oder Fraktionsstufe I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
schdy	H2	s	chdy	getrocknete Samen, Kompaktform	H2-Ganzform im Feld „getrocknetes Ergebnis, Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
schedy	H2	s	chedy	getrocknete Samen	H2-Ganzform im Feld „getrocknetes Ergebnis, Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
scheey	H2	s	cheey	getrocknete Samen, Form II	H2-Ganzform im Feld „trockene Form II“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
scheo	H2	s	cheo	trockene Samenzubereitung	H2-Ganzform im Feld „trockener Ansatz oder Zubereitung“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
schey	H2	s	chey	getrocknete Samen, Form I	H2-Ganzform im Feld „trockene Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
schol	H2	s	chol	trockenes Samenmaterial	H2-Ganzform im Feld „Trockenmaterial“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
schy	H2	s	chy	getrocknete Samen, Grundform	H2-Ganzform im Feld „trockene Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
soaiin	H2	s	oaiin	Samenzubereitung, Charge III	H2-Ganzform im Feld „Zubereitung: Index III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sodaiin	H2	s	odaiin	drei Portionen Samenzubereitung	H2-Ganzform im Feld „Zubereitung: Dosis oder Wert III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sody	H2	s	ody	fertig aufbereitete Samen	H2-Ganzform im Feld „fertig aufbereitete Grundform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
soiin	H2	s	oiin	Samenzubereitung, Form III	H2-Ganzform im Feld „Zubereitungsform III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sol	H2	s	ol	Samenmaterial	H2-Ganzform im Feld „Stoff- oder Materialträger“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
solchedy	H2	s	olchedy	Samenmaterial; bis zur Mittelstufe getrocknet	H2-Ganzform im Feld „Materialträger, getrocknetes Ergebnis I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sor	H2	s	or	Samenportion	H2-Ganzform im Feld „Teil- oder Portionsträger“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
soraiin	H2	s	oraiin	Samenportion III	H2-Ganzform im Feld „Teil oder Portion: Wert III“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
soral	H2	s	oral	Samen-Rohstoffportion	H2-Ganzform im Feld „Rohstoff- oder Zutatenportion“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sshedy	H2	s	shedy	eingeweichte Samen	H2-Ganzform im Feld „angefeuchtetes oder eingeweichtes Ergebnis, Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sshey	H2	s	shey	eingeweichte Saat, Form I	H2-Ganzform im Feld „feuchte oder angeweichte Form I“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
sy	H2	s	y	Saatgut in Grundform	H2-Ganzform im Feld „unmarkierte Grund- oder Schlussform“; genaue Bedeutung offen	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	0	0
