surface	body_surface	opaque_head_class	eva_transcription_label	source_universe	reader_exact_occurrences	reader_exact_pages	line_position_counts	left_sho_contacts	left_sheo_contacts	left_sho_or_sheo_contacts	selected_pcheey	head_class_is_analyst_variable	eva_p_letter_or_semantic_credit	component_export_credit	interpretation
pcheos	cheos	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	1	FIRST:1|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pches	ches	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchey	chey	H1	p	GDT736_TRAINING_24_BODY_GRID	6	6	FIRST:2|MIDDLE:4	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pcho	cho	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchodain	chodain	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchody	chody	H1	p	GDT737_HELD_120_BODY_TRANSFER	3	3	FIRST:1|MIDDLE:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchol	chol	H1	p	GDT736_TRAINING_24_BODY_GRID	5	5	FIRST:2|MIDDLE:3	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchor	chor	H1	p	GDT737_HELD_120_BODY_TRANSFER	10	10	FIRST:7|MIDDLE:3	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchoy	choy	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pchy	chy	H1	p	GDT736_TRAINING_24_BODY_GRID	1	1	MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pdaiin	daiin	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pdal	dal	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pdar	dar	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pdol	dol	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poaiin	oaiin	H1	p	GDT736_TRAINING_24_BODY_GRID	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poar	oar	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pochedy	ochedy	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pochey	ochey	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
podaiin	odaiin	H1	p	GDT736_TRAINING_24_BODY_GRID	4	4	FIRST:3|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
podair	odair	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
podar	odar	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pody	ody	H1	p	GDT736_TRAINING_24_BODY_GRID	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poiin	oiin	H1	p	GDT736_TRAINING_24_BODY_GRID	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poiis	oiis	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pokain	okain	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pokar	okar	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pokeey	okeey	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pol	ol	H1	p	GDT736_TRAINING_24_BODY_GRID	13	11	FIRST:11|MIDDLE:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polaiin	olaiin	H1	p	GDT737_HELD_120_BODY_TRANSFER	8	5	FIRST:7|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polchedy	olchedy	H1	p	GDT736_TRAINING_24_BODY_GRID	3	3	FIRST:2|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polchey	olchey	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polchor	olchor	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polchy	olchy	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poldaiin	oldaiin	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poldy	oldy	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polkain	olkain	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polkedy	olkedy	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polkeedy	olkeedy	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polkeey	olkeey	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polky	olky	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polor	olor	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
polshey	olshey	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poly	oly	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:1|MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
por	or	H1	p	GDT736_TRAINING_24_BODY_GRID	5	4	FIRST:2|MIDDLE:3	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poraiin	oraiin	H1	p	GDT736_TRAINING_24_BODY_GRID	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
porain	orain	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poral	oral	H1	p	GDT736_TRAINING_24_BODY_GRID	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
poror	oror	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
posaiin	osaiin	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pshar	shar	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pshdaiin	shdaiin	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pshdy	shdy	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pshedy	shedy	H1	p	GDT736_TRAINING_24_BODY_GRID	3	3	FIRST:1|MIDDLE:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
psheedy	sheedy	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
psheey	sheey	H1	p	GDT737_HELD_120_BODY_TRANSFER	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
psheodar	sheodar	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
psheody	sheody	H1	p	GDT737_HELD_120_BODY_TRANSFER	3	3	FIRST:3	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pshey	shey	H1	p	GDT736_TRAINING_24_BODY_GRID	0	0	NONE	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pshod	shod	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pshol	shol	H1	p	GDT737_HELD_120_BODY_TRANSFER	2	2	FIRST:2	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
pshy	shy	H1	p	GDT737_HELD_120_BODY_TRANSFER	1	1	FIRST:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
py	y	H1	p	GDT736_TRAINING_24_BODY_GRID	1	1	MIDDLE:1	0	0	0	0	1	0	0	H1_ECOLOGY_CONTROL
