unified_serial	register	page	unit_or_locus	source_group_identity	visible_identity	owner_or_namespace	construction_or_address	current_short_reading	content_layer	content_unit_id	medical_master_frame	nonmedical_master_frame	formal_reading_changed	surface_changed
11	HERBAL_PROSE	f10r	H1-S002	E011	qokchy	H1	C07	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
12	HERBAL_PROSE	f10r	H1-S002	E012	qotchol	H1	C02	Danach oder in demselben Gang: danach weiterfuehren.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
13	HERBAL_PROSE	f10r	H1-S002	E013	chol	H1	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
14	HERBAL_PROSE	f10r	H1-S002	E014	cthy	H1	C07	Führe es mit diesem laufenden Posten aus: bereit.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	Nimm einen Teil der Wurzel der abgebildeten Pflanze, säubere und zerschneide ihn. Setze ihn mit Wasser im Gefäß an und fange den ersten Auszug auf. Gebrauche davon das kleine örtliche Maß; erwärme den weitergeführten Auszug gelinde und verwahre den Rest.	Zerschneide die Wurzel, setze sie mit Wasser im Gefäß an, fange den ersten Farbstoff- oder Gerbauszug auf, prüfe ein kleines Maß und erwärme den weitergeführten Ansatz.	NO	NO
15	HERBAL_PROSE	f10r	H2-S001	E015	ycheor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
16	HERBAL_PROSE	f10r	H2-S001	E016	cthy	H2	C07	Führe es mit diesem laufenden Posten aus: bereit.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
17	HERBAL_PROSE	f10r	H2-S001	E017	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
18	HERBAL_PROSE	f10r	H2-S001	E018	cthaiin	H2	C06	Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
19	HERBAL_PROSE	f10r	H2-S001	E019	qoctholy	H2	C02	Danach oder in demselben Gang: bereiten Posten weiterfuehren.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
20	HERBAL_PROSE	f10r	H2-S001	E020	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
21	HERBAL_PROSE	f10r	H2-S001	E021	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
22	HERBAL_PROSE	f10r	H2-S001	E022	taiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
23	HERBAL_PROSE	f10r	H2-S001	E023	shy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
24	HERBAL_PROSE	f10r	H2-S002	E024	qotchor	H2	C02	Danach oder in demselben Gang: Folgeansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
25	HERBAL_PROSE	f10r	H2-S002	E025	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
26	HERBAL_PROSE	f10r	H2-S002	E026	otol	H2	C02	Danach oder in demselben Gang: danach fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
27	HERBAL_PROSE	f10r	H2-S002	E027	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
28	HERBAL_PROSE	f10r	H2-S002	E028	cholor	H2	C02	Danach oder in demselben Gang: Fortsetzungsansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
29	HERBAL_PROSE	f10r	H2-S002	E029	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
30	HERBAL_PROSE	f10r	H2-S002	E030	daiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
31	HERBAL_PROSE	f10r	H2-S002	E031	dar	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
32	HERBAL_PROSE	f10r	H2-S003	E032	oykchor	H2	C05	Führe es aus dem Vorrat oder am Ansatz aus: aktuellen Ansatz bearbeiten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
33	HERBAL_PROSE	f10r	H2-S003	E033	shor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
34	HERBAL_PROSE	f10r	H2-S003	E034	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
35	HERBAL_PROSE	f10r	H2-S003	E035	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
36	HERBAL_PROSE	f10r	H2-S003	E036	kaiiin	H2	C10	Setze Maß, Portion oder Stufe: Weichstufe.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
37	HERBAL_PROSE	f10r	H2-S003	E037	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
38	HERBAL_PROSE	f10r	H2-S003	E038	chodaiin	H2	C01	Setze die gelernte Fachkarte: Zutatenmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H2	Nimm junge Spitzen und Blätter, zerstoße sie und presse den Saft durch Tuch. Vereinige zwei nacheinander bereitete Fraktionen im gleichen Maß. Rühre den Ansatz mit Öl bei kleinem Feuer bis zur weichen Salbe und lege sie äußerlich auf die bezeichnete Schwellung.	Presse junge Spitzen durch Tuch, vereinige zwei gleich bemessene Fraktionen und rühre den Ansatz mit Öl oder Binder bei kleiner Wärme bis zu einer streichfähigen Paste.	NO	NO
39	HERBAL_PROSE	f11r	H3-S001	E039	tshol	H3	C01	Setze die gelernte Fachkarte: Zutat entnehmen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H3	Koche junge Blüten und Blätter in Wein, wringe sie durch Tuch, lasse den Auszug stehen und seihe ihn nochmals klar. Behalte Blüten zurück. Gebrauche vom klaren Auszug ein kleines Maß als Trank; erwärme die zurückbehaltenen Blüten in Öl und streiche die Zubereitung äußerlich an die bezeichnete Stelle.	Koche Blüten in Wein oder Auszugsmedium, wringe und seihe klar; behalte einen Teil zurück, gebrauche den klaren Auszug als Farbe oder Duftbasis und erwärme den Rest in Öl für eine zweite Beschichtung.	NO	NO
40	HERBAL_PROSE	f11r	H3-S001	E040	schoal	H3	C01	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H3	Koche junge Blüten und Blätter in Wein, wringe sie durch Tuch, lasse den Auszug stehen und seihe ihn nochmals klar. Behalte Blüten zurück. Gebrauche vom klaren Auszug ein kleines Maß als Trank; erwärme die zurückbehaltenen Blüten in Öl und streiche die Zubereitung äußerlich an die bezeichnete Stelle.	Koche Blüten in Wein oder Auszugsmedium, wringe und seihe klar; behalte einen Teil zurück, gebrauche den klaren Auszug als Farbe oder Duftbasis und erwärme den Rest in Öl für eine zweite Beschichtung.	NO	NO
