model	edition	at	raw	hypothesis
NMC	IT2a	IT2a|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · Mischung · ⟦qokedy⟧
NMC	IT2a	IT2a|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · Mischung · erwärmte Dosis P
NMV	ZL3b	ZL3b|f116r.36|G009	chey sheckhy q{cthh}y	nicht [Bereich offen] · Mischung · ⟦q{cthh}y⟧
NMV	ZL3b	ZL3b|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · Mischung · erwärmte Dosis P
NMV	ZL3b	ZL3b|f75v.44|G003	ol sheckhy qokain	Zubereitungsposten · Mischung · erwärmte Dosis P
NMV	ZL3b	ZL3b|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · Mischung · ⟦qokedy⟧
NMV	ZL3b	ZL3b|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · Mischung · erwärmte Dosis P
NMV	IT2a	IT2a|f116r.36|G009	chey sheckhy qcthhy	nicht [Bereich offen] · Mischung · ⟦qcthhy⟧
NMV	IT2a	IT2a|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · Mischung · erwärmte Dosis P
NMV	IT2a	IT2a|f75v.44|G003	ol sheckhy qokain	Zubereitungsposten · Mischung · erwärmte Dosis P
NMV	IT2a	IT2a|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · Mischung · ⟦qokedy⟧
NMV	IT2a	IT2a|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · Mischung · erwärmte Dosis P
ARC	ZL3b	ZL3b|f116r.36|G009	chey sheckhy q{cthh}y	prüfe · vermische · ⟦q{cthh}y⟧
ARC	ZL3b	ZL3b|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · vermische · erwärmte Dosis P
ARC	ZL3b	ZL3b|f75v.44|G003	ol sheckhy qokain	mit · vermische · erwärmte Dosis P
ARC	ZL3b	ZL3b|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · vermische · ⟦qokedy⟧
ARC	ZL3b	ZL3b|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · vermische · erwärmte Dosis P
ARC	IT2a	IT2a|f116r.36|G009	chey sheckhy qcthhy	prüfe · vermische · ⟦qcthhy⟧
ARC	IT2a	IT2a|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · vermische · erwärmte Dosis P
ARC	IT2a	IT2a|f75v.44|G003	ol sheckhy qokain	mit · vermische · erwärmte Dosis P
ARC	IT2a	IT2a|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · vermische · ⟦qokedy⟧
ARC	IT2a	IT2a|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · vermische · erwärmte Dosis P
ARV	ZL3b	ZL3b|f116r.36|G009	chey sheckhy q{cthh}y	nicht [Bereich offen] · vermische · ⟦q{cthh}y⟧
ARV	ZL3b	ZL3b|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · vermische · erwärmte Dosis P
ARV	ZL3b	ZL3b|f75v.44|G003	ol sheckhy qokain	mit · vermische · erwärmte Dosis P
ARV	ZL3b	ZL3b|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · vermische · ⟦qokedy⟧
ARV	ZL3b	ZL3b|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · vermische · erwärmte Dosis P
ARV	IT2a	IT2a|f116r.36|G009	chey sheckhy qcthhy	nicht [Bereich offen] · vermische · ⟦qcthhy⟧
ARV	IT2a	IT2a|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · vermische · erwärmte Dosis P
ARV	IT2a	IT2a|f75v.44|G003	ol sheckhy qokain	mit · vermische · erwärmte Dosis P
ARV	IT2a	IT2a|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · vermische · ⟦qokedy⟧
ARV	IT2a	IT2a|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · vermische · erwärmte Dosis P
AMC	ZL3b	ZL3b|f116r.36|G009	chey sheckhy q{cthh}y	prüfe · vermische · ⟦q{cthh}y⟧
AMC	ZL3b	ZL3b|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · vermische · erwärmte Dosis P
AMC	ZL3b	ZL3b|f75v.44|G003	ol sheckhy qokain	Zubereitungsposten · vermische · erwärmte Dosis P
AMC	ZL3b	ZL3b|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · vermische · ⟦qokedy⟧
AMC	ZL3b	ZL3b|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · vermische · erwärmte Dosis P
AMC	IT2a	IT2a|f116r.36|G009	chey sheckhy qcthhy	prüfe · vermische · ⟦qcthhy⟧
AMC	IT2a	IT2a|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · vermische · erwärmte Dosis P
AMC	IT2a	IT2a|f75v.44|G003	ol sheckhy qokain	Zubereitungsposten · vermische · erwärmte Dosis P
AMC	IT2a	IT2a|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · vermische · ⟦qokedy⟧
AMC	IT2a	IT2a|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · vermische · erwärmte Dosis P
AMV	ZL3b	ZL3b|f116r.36|G009	chey sheckhy q{cthh}y	nicht [Bereich offen] · vermische · ⟦q{cthh}y⟧
AMV	ZL3b	ZL3b|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · vermische · erwärmte Dosis P
AMV	ZL3b	ZL3b|f75v.44|G003	ol sheckhy qokain	Zubereitungsposten · vermische · erwärmte Dosis P
AMV	ZL3b	ZL3b|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · vermische · ⟦qokedy⟧
AMV	ZL3b	ZL3b|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · vermische · erwärmte Dosis P
AMV	IT2a	IT2a|f116r.36|G009	chey sheckhy qcthhy	nicht [Bereich offen] · vermische · ⟦qcthhy⟧
AMV	IT2a	IT2a|f116r.42|G003	qokain sheckhy qokain	erwärmte Dosis P · vermische · erwärmte Dosis P
AMV	IT2a	IT2a|f75v.44|G003	ol sheckhy qokain	Zubereitungsposten · vermische · erwärmte Dosis P
AMV	IT2a	IT2a|f75v.46|G003	qotain sheckhy qokedy	⟦qotain⟧ · vermische · ⟦qokedy⟧
AMV	IT2a	IT2a|f80r.32|G005	cheykain sheckhy qokain	⟦cheykain⟧ · vermische · erwärmte Dosis P
