body	head_occupancy	heads	forms	occurrences_by_head	total_headed_occurrences	pages_by_head	loci_by_head	reader_exact_by_head	bare_body_occurrences	exact_v11_dictionary_body
ain	3	s|r|l	p:-|s:sain|r:rain|l:lain	p:0|s:60|r:21|l:5	86	p:0|s:33|r:14|l:4	p:0|s:60|r:21|l:5	p:0|s:53|r:14|l:4	106	0
o	3	s|r|l	p:-|s:so|r:ro|l:lo	p:0|s:7|r:7|l:20	34	p:0|s:7|r:6|l:14	p:0|s:7|r:7|l:20	p:0|s:5|r:6|l:15	146	0
kar	3	s|r|l	p:-|s:skar|r:rkar|l:lkar	p:0|s:1|r:1|l:31	33	p:0|s:1|r:1|l:21	p:0|s:1|r:1|l:30	p:0|s:1|r:1|l:29	57	0
ky	3	s|r|l	p:-|s:sky|r:rky|l:lky	p:0|s:1|r:1|l:19	21	p:0|s:1|r:1|l:13	p:0|s:1|r:1|l:18	p:0|s:1|r:1|l:16	29	0
chor	3	p|s|l	p:pchor|s:schor|r:-|l:lchor	p:12|s:3|r:0|l:4	19	p:12|s:3|r:0|l:4	p:12|s:3|r:0|l:4	p:10|s:3|r:0|l:2	190	1
chedar	3	p|r|l	p:pchedar|s:-|r:rchedar|l:lchedar	p:10|s:0|r:1|l:2	13	p:10|s:0|r:1|l:2	p:10|s:0|r:1|l:2	p:6|s:0|r:1|l:1	31	0
cho	3	p|s|l	p:pcho|s:scho|r:-|l:lcho	p:4|s:1|r:0|l:6	11	p:4|s:1|r:0|l:5	p:4|s:1|r:0|l:6	p:2|s:1|r:0|l:3	75	0
sheedy	3	p|r|l	p:psheedy|s:-|r:rsheedy|l:lsheedy	p:1|s:0|r:3|l:7	11	p:1|s:0|r:3|l:6	p:1|s:0|r:3|l:7	p:0|s:0|r:2|l:4	77	0
sheey	3	p|s|l	p:psheey|s:ssheey|r:-|l:lsheey	p:1|s:2|r:0|l:6	9	p:1|s:1|r:0|l:5	p:1|s:2|r:0|l:6	p:0|s:1|r:0|l:6	127	1
char	3	p|s|l	p:pchar|s:schar|r:-|l:lchar	p:4|s:1|r:0|l:3	8	p:4|s:1|r:0|l:3	p:4|s:1|r:0|l:3	p:2|s:1|r:0|l:3	75	0
ched	3	p|r|l	p:pched|s:-|r:rched|l:lched	p:1|s:0|r:1|l:6	8	p:1|s:0|r:1|l:5	p:1|s:0|r:1|l:6	p:1|s:0|r:1|l:6	17	0
chody	3	p|r|l	p:pchody|s:-|r:rchody|l:lchody	p:5|s:0|r:1|l:2	8	p:5|s:0|r:1|l:2	p:5|s:0|r:1|l:2	p:3|s:0|r:1|l:1	78	0
oly	3	p|r|l	p:poly|s:-|r:roly|l:loly	p:2|s:0|r:1|l:5	8	p:2|s:0|r:1|l:4	p:2|s:0|r:1|l:5	p:2|s:0|r:1|l:5	53	0
kal	3	s|r|l	p:-|s:skal|r:rkal|l:lkal	p:0|s:1|r:1|l:5	7	p:0|s:1|r:1|l:3	p:0|s:1|r:1|l:5	p:0|s:1|r:0|l:4	25	0
om	3	s|r|l	p:-|s:som|r:rom|l:lom	p:0|s:2|r:1|l:4	7	p:0|s:2|r:1|l:4	p:0|s:2|r:1|l:4	p:0|s:0|r:0|l:4	20	0
olkeey	3	p|s|r	p:polkeey|s:solkeey|r:rolkeey|l:-	p:2|s:3|r:1|l:0	6	p:2|s:3|r:1|l:0	p:2|s:3|r:1|l:0	p:1|s:3|r:1|l:0	35	0
aiiin	3	s|r|l	p:-|s:saiiin|r:raiiin|l:laiiin	p:0|s:2|r:1|l:2	5	p:0|s:2|r:1|l:2	p:0|s:2|r:1|l:2	p:0|s:1|r:0|l:2	42	0
aram	3	s|r|l	p:-|s:saram|r:raram|l:laram	p:0|s:1|r:3|l:1	5	p:0|s:1|r:3|l:1	p:0|s:1|r:3|l:1	p:0|s:0|r:3|l:0	8	0
odar	3	p|s|l	p:podar|s:sodar|r:-|l:lodar	p:2|s:2|r:0|l:1	5	p:2|s:2|r:0|l:1	p:2|s:2|r:0|l:1	p:0|s:2|r:0|l:1	21	0
oiiin	3	s|r|l	p:-|s:soiiin|r:roiiin|l:loiiin	p:0|s:3|r:1|l:1	5	p:0|s:3|r:1|l:1	p:0|s:3|r:1|l:1	p:0|s:3|r:0|l:1	11	0
okeedy	3	s|r|l	p:-|s:sokeedy|r:rokeedy|l:lokeedy	p:0|s:2|r:1|l:2	5	p:0|s:2|r:1|l:2	p:0|s:2|r:1|l:2	p:0|s:1|r:0|l:0	94	0
olkeedy	3	p|s|r	p:polkeedy|s:solkeedy|r:rolkeedy|l:-	p:1|s:3|r:1|l:0	5	p:1|s:2|r:1|l:0	p:1|s:3|r:1|l:0	p:0|s:3|r:1|l:0	42	0
shdy	3	p|r|l	p:pshdy|s:-|r:rshdy|l:lshdy	p:1|s:0|r:1|l:3	5	p:1|s:0|r:1|l:3	p:1|s:0|r:1|l:3	p:1|s:0|r:0|l:2	40	0
aiir	3	p|s|r	p:paiir|s:saiir|r:raiir|l:-	p:2|s:1|r:1|l:0	4	p:2|s:1|r:1|l:0	p:2|s:1|r:1|l:0	p:2|s:0|r:0|l:0	20	0
ches	3	p|s|r	p:pches|s:sches|r:rches|l:-	p:1|s:1|r:2|l:0	4	p:1|s:1|r:2|l:0	p:1|s:1|r:2|l:0	p:0|s:1|r:0|l:0	31	0
okeey	3	p|s|l	p:pokeey|s:sokeey|r:-|l:lokeey	p:1|s:1|r:0|l:2	4	p:1|s:1|r:0|l:2	p:1|s:1|r:0|l:2	p:1|s:0|r:0|l:2	138	0
olchey	3	p|s|r	p:polchey|s:solchey|r:rolchey|l:-	p:1|s:2|r:1|l:0	4	p:1|s:1|r:1|l:0	p:1|s:2|r:1|l:0	p:1|s:1|r:0|l:0	20	0
oldy	3	p|s|l	p:poldy|s:soldy|r:-|l:loldy	p:1|s:1|r:0|l:2	4	p:1|s:1|r:0|l:2	p:1|s:1|r:0|l:2	p:0|s:1|r:0|l:2	25	0
orain	3	p|s|l	p:porain|s:sorain|r:-|l:lorain	p:1|s:2|r:0|l:1	4	p:1|s:2|r:0|l:1	p:1|s:2|r:0|l:1	p:0|s:2|r:0|l:0	16	0
okar	3	p|s|l	p:pokar|s:sokar|r:-|l:lokar	p:1|s:1|r:0|l:1	3	p:1|s:1|r:0|l:1	p:1|s:1|r:0|l:1	p:1|s:1|r:0|l:1	119	0
olky	3	p|s|r	p:polky|s:solky|r:rolky|l:-	p:1|s:1|r:1|l:0	3	p:1|s:1|r:1|l:0	p:1|s:1|r:1|l:0	p:1|s:1|r:0|l:0	20	0
ory	3	s|r|l	p:-|s:sory|r:rory|l:lory	p:0|s:1|r:1|l:1	3	p:0|s:1|r:1|l:1	p:0|s:1|r:1|l:1	p:0|s:0|r:1|l:1	13	0
sheol	3	s|r|l	p:-|s:ssheol|r:rsheol|l:lsheol	p:0|s:1|r:1|l:1	3	p:0|s:1|r:1|l:1	p:0|s:1|r:1|l:1	p:0|s:0|r:0|l:1	90	1
kaiin	2	s|l	p:-|s:skaiin|r:-|l:lkaiin	p:0|s:3|r:0|l:48	51	p:0|s:3|r:0|l:21	p:0|s:3|r:0|l:47	p:0|s:3|r:0|l:43	74	1
keey	2	r|l	p:-|s:-|r:rkeey|l:lkeey	p:0|s:0|r:1|l:38	39	p:0|s:0|r:1|l:19	p:0|s:0|r:1|l:37	p:0|s:0|r:1|l:34	43	0
kain	2	s|l	p:-|s:skain|r:-|l:lkain	p:0|s:1|r:0|l:33	34	p:0|s:1|r:0|l:14	p:0|s:1|r:0|l:32	p:0|s:1|r:0|l:27	43	0
cheol	2	p|l	p:pcheol|s:-|r:-|l:lcheol	p:10|s:0|r:0|l:8	18	p:8|s:0|r:0|l:7	p:10|s:0|r:0|l:8	p:10|s:0|r:0|l:8	142	0
r	2	r|l	p:-|s:-|r:rr|l:lr	p:0|s:0|r:1|l:10	11	p:0|s:0|r:1|l:9	p:0|s:0|r:1|l:10	p:0|s:0|r:0|l:9	129	0
ary	2	s|r	p:-|s:sary|r:rary|l:-	p:0|s:7|r:3|l:0	10	p:0|s:6|r:3|l:0	p:0|s:7|r:3|l:0	p:0|s:5|r:3|l:0	15	0
cheedy	2	p|l	p:pcheedy|s:-|r:-|l:lcheedy	p:1|s:0|r:0|l:9	10	p:1|s:0|r:0|l:7	p:1|s:0|r:0|l:8	p:1|s:0|r:0|l:6	56	0
chal	2	p|l	p:pchal|s:-|r:-|l:lchal	p:3|s:0|r:0|l:6	9	p:3|s:0|r:0|l:5	p:3|s:0|r:0|l:6	p:0|s:0|r:0|l:6	42	0
olaiin	2	p|s	p:polaiin|s:solaiin|r:-|l:-	p:8|s:1|r:0|l:0	9	p:5|s:1|r:0|l:0	p:8|s:1|r:0|l:0	p:8|s:1|r:0|l:0	39	0
key	2	s|l	p:-|s:skey|r:-|l:lkey	p:0|s:1|r:0|l:7	8	p:0|s:1|r:0|l:7	p:0|s:1|r:0|l:7	p:0|s:1|r:0|l:7	13	0
os	2	s|l	p:-|s:sos|r:-|l:los	p:0|s:3|r:0|l:5	8	p:0|s:3|r:0|l:5	p:0|s:3|r:0|l:5	p:0|s:3|r:0|l:5	23	0
araiin	2	s|r	p:-|s:saraiin|r:raraiin|l:-	p:0|s:3|r:4|l:0	7	p:0|s:3|r:4|l:0	p:0|s:3|r:4|l:0	p:0|s:1|r:3|l:0	9	0
daiin	2	p|l	p:pdaiin|s:-|r:-|l:ldaiin	p:3|s:0|r:0|l:4	7	p:3|s:0|r:0|l:4	p:3|s:0|r:0|l:4	p:2|s:0|r:0|l:2	721	1
dar	2	p|l	p:pdar|s:-|r:-|l:ldar	p:2|s:0|r:0|l:5	7	p:2|s:0|r:0|l:5	p:2|s:0|r:0|l:5	p:1|s:0|r:0|l:4	245	0
sheody	2	p|l	p:psheody|s:-|r:-|l:lsheody	p:4|s:0|r:0|l:3	7	p:4|s:0|r:0|l:3	p:4|s:0|r:0|l:3	p:3|s:0|r:0|l:3	34	0
aly	2	s|r	p:-|s:saly|r:raly|l:-	p:0|s:3|r:3|l:0	6	p:0|s:3|r:3|l:0	p:0|s:3|r:3|l:0	p:0|s:2|r:2|l:0	18	0
chedal	2	p|l	p:pchedal|s:-|r:-|l:lchedal	p:5|s:0|r:0|l:1	6	p:4|s:0|r:0|l:1	p:5|s:0|r:0|l:1	p:4|s:0|r:0|l:1	22	0
cheody	2	p|l	p:pcheody|s:-|r:-|l:lcheody	p:5|s:0|r:0|l:1	6	p:4|s:0|r:0|l:1	p:5|s:0|r:0|l:1	p:4|s:0|r:0|l:1	69	1
cheor	2	p|l	p:pcheor|s:-|r:-|l:lcheor	p:4|s:0|r:0|l:2	6	p:4|s:0|r:0|l:2	p:4|s:0|r:0|l:2	p:4|s:0|r:0|l:2	71	0
kchdy	2	s|l	p:-|s:skchdy|r:-|l:lkchdy	p:0|s:1|r:0|l:5	6	p:0|s:1|r:0|l:3	p:0|s:1|r:0|l:5	p:0|s:0|r:0|l:3	17	0
keeody	2	s|l	p:-|s:skeeody|r:-|l:lkeeody	p:0|s:1|r:0|l:5	6	p:0|s:1|r:0|l:5	p:0|s:1|r:0|l:5	p:0|s:0|r:0|l:2	8	0
chdaiin	2	p|l	p:pchdaiin|s:-|r:-|l:lchdaiin	p:3|s:0|r:0|l:2	5	p:3|s:0|r:0|l:2	p:3|s:0|r:0|l:2	p:2|s:0|r:0|l:0	16	0
olkaiin	2	s|l	p:-|s:solkaiin|r:-|l:lolkaiin	p:0|s:4|r:0|l:1	5	p:0|s:4|r:0|l:1	p:0|s:4|r:0|l:1	p:0|s:3|r:0|l:1	28	0
olshedy	2	s|l	p:-|s:solshedy|r:-|l:lolshedy	p:0|s:4|r:0|l:1	5	p:0|s:4|r:0|l:1	p:0|s:4|r:0|l:1	p:0|s:1|r:0|l:0	17	0
oty	2	s|l	p:-|s:soty|r:-|l:loty	p:0|s:1|r:0|l:4	5	p:0|s:1|r:0|l:3	p:0|s:1|r:0|l:4	p:0|s:1|r:0|l:4	101	1
a	2	s|r	p:-|s:sa|r:ra|l:-	p:0|s:3|r:1|l:0	4	p:0|s:3|r:1|l:0	p:0|s:3|r:1|l:0	p:0|s:2|r:0|l:0	9	1
aral	2	s|r	p:-|s:saral|r:raral|l:-	p:0|s:3|r:1|l:0	4	p:0|s:3|r:1|l:0	p:0|s:3|r:1|l:0	p:0|s:2|r:1|l:0	15	0
cheam	2	p|l	p:pcheam|s:-|r:-|l:lcheam	p:1|s:0|r:0|l:3	4	p:1|s:0|r:0|l:3	p:1|s:0|r:0|l:3	p:1|s:0|r:0|l:3	5	0
cheos	2	p|l	p:pcheos|s:-|r:-|l:lcheos	p:3|s:0|r:0|l:1	4	p:2|s:0|r:0|l:1	p:3|s:0|r:0|l:1	p:2|s:0|r:0|l:1	28	0
chodain	2	p|s	p:pchodain|s:schodain|r:-|l:-	p:3|s:1|r:0|l:0	4	p:2|s:1|r:0|l:0	p:3|s:1|r:0|l:0	p:2|s:1|r:0|l:0	7	0
l	2	s|r	p:-|s:sl|r:rl|l:-	p:0|s:2|r:2|l:0	4	p:0|s:2|r:2|l:0	p:0|s:2|r:2|l:0	p:0|s:1|r:2|l:0	163	0
ols	2	s|l	p:-|s:sols|r:-|l:lols	p:0|s:3|r:0|l:1	4	p:0|s:3|r:0|l:1	p:0|s:3|r:0|l:1	p:0|s:2|r:0|l:1	17	0
shed	2	r|l	p:-|s:-|r:rshed|l:lshed	p:0|s:0|r:1|l:3	4	p:0|s:0|r:1|l:3	p:0|s:0|r:1|l:3	p:0|s:0|r:1|l:2	18	0
shol	2	p|l	p:pshol|s:-|r:-|l:lshol	p:3|s:0|r:0|l:1	4	p:3|s:0|r:0|l:1	p:3|s:0|r:0|l:1	p:2|s:0|r:0|l:0	163	1
shy	2	p|l	p:pshy|s:-|r:-|l:lshy	p:1|s:0|r:0|l:3	4	p:1|s:0|r:0|l:3	p:1|s:0|r:0|l:3	p:1|s:0|r:0|l:3	95	0
ag	2	r|l	p:-|s:-|r:rag|l:lag	p:0|s:0|r:2|l:1	3	p:0|s:0|r:2|l:1	p:0|s:0|r:2|l:1	p:0|s:0|r:0|l:0	1	0
chdal	2	p|l	p:pchdal|s:-|r:-|l:lchdal	p:1|s:0|r:0|l:2	3	p:1|s:0|r:0|l:2	p:1|s:0|r:0|l:2	p:1|s:0|r:0|l:1	19	0
chdol	2	p|l	p:pchdol|s:-|r:-|l:lchdol	p:2|s:0|r:0|l:1	3	p:2|s:0|r:0|l:1	p:2|s:0|r:0|l:1	p:2|s:0|r:0|l:1	2	0
chear	2	p|l	p:pchear|s:-|r:-|l:lchear	p:2|s:0|r:0|l:1	3	p:2|s:0|r:0|l:1	p:2|s:0|r:0|l:1	p:2|s:0|r:0|l:1	44	0
chl	2	r|l	p:-|s:-|r:rchl|l:lchl	p:0|s:0|r:1|l:2	3	p:0|s:0|r:1|l:2	p:0|s:0|r:1|l:2	p:0|s:0|r:1|l:2	28	0
chs	2	r|l	p:-|s:-|r:rchs|l:lchs	p:0|s:0|r:1|l:2	3	p:0|s:0|r:1|l:2	p:0|s:0|r:1|l:2	p:0|s:0|r:1|l:2	13	0
dol	2	p|l	p:pdol|s:-|r:-|l:ldol	p:1|s:0|r:0|l:2	3	p:1|s:0|r:0|l:2	p:1|s:0|r:0|l:2	p:1|s:0|r:0|l:1	76	0
oar	2	p|l	p:poar|s:-|r:-|l:loar	p:2|s:0|r:0|l:1	3	p:2|s:0|r:0|l:1	p:2|s:0|r:0|l:1	p:2|s:0|r:0|l:1	10	0
ochedy	2	p|l	p:pochedy|s:-|r:-|l:lochedy	p:2|s:0|r:0|l:1	3	p:2|s:0|r:0|l:1	p:2|s:0|r:0|l:1	p:1|s:0|r:0|l:0	8	0
od	2	r|l	p:-|s:-|r:rod|l:lod	p:0|s:0|r:1|l:2	3	p:0|s:0|r:1|l:2	p:0|s:0|r:1|l:2	p:0|s:0|r:1|l:2	8	0
olkain	2	p|s	p:polkain|s:solkain|r:-|l:-	p:1|s:2|r:0|l:0	3	p:1|s:2|r:0|l:0	p:1|s:2|r:0|l:0	p:0|s:2|r:0|l:0	33	0
olkedy	2	p|s	p:polkedy|s:solkedy|r:-|l:-	p:1|s:2|r:0|l:0	3	p:1|s:2|r:0|l:0	p:1|s:2|r:0|l:0	p:0|s:1|r:0|l:0	22	0
olor	2	p|s	p:polor|s:solor|r:-|l:-	p:2|s:1|r:0|l:0	3	p:2|s:1|r:0|l:0	p:2|s:1|r:0|l:0	p:2|s:1|r:0|l:0	26	1
olshey	2	p|s	p:polshey|s:solshey|r:-|l:-	p:1|s:2|r:0|l:0	3	p:1|s:2|r:0|l:0	p:1|s:2|r:0|l:0	p:0|s:1|r:0|l:0	13	0
sheckhy	2	s|l	p:-|s:ssheckhy|r:-|l:lsheckhy	p:0|s:1|r:0|l:2	3	p:0|s:1|r:0|l:2	p:0|s:1|r:0|l:2	p:0|s:1|r:0|l:1	33	0
tain	2	r|l	p:-|s:-|r:rtain|l:ltain	p:0|s:0|r:1|l:2	3	p:0|s:0|r:1|l:2	p:0|s:0|r:1|l:2	p:0|s:0|r:0|l:2	9	0
alar	2	p|s	p:palar|s:salar|r:-|l:-	p:1|s:1|r:0|l:0	2	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	2	0
alchey	2	s|r	p:-|s:salchey|r:ralchey|l:-	p:0|s:1|r:1|l:0	2	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	p:0|s:0|r:0|l:0	4	0
alol	2	s|r	p:-|s:salol|r:ralol|l:-	p:0|s:1|r:1|l:0	2	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	p:0|s:1|r:0|l:0	7	0
chaiin	2	p|s	p:pchaiin|s:schaiin|r:-|l:-	p:1|s:1|r:0|l:0	2	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	48	0
chedair	2	p|s	p:pchedair|s:schedair|r:-|l:-	p:1|s:1|r:0|l:0	2	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
chees	2	s|r	p:-|s:schees|r:rchees|l:-	p:0|s:1|r:1|l:0	2	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	p:0|s:0|r:1|l:0	32	0
chos	2	s|r	p:-|s:schos|r:rchos|l:-	p:0|s:1|r:1|l:0	2	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	30	0
choy	2	p|s	p:pchoy|s:schoy|r:-|l:-	p:1|s:1|r:0|l:0	2	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	p:0|s:0|r:0|l:0	14	0
chr	2	r|l	p:-|s:-|r:rchr|l:lchr	p:0|s:0|r:1|l:1	2	p:0|s:0|r:1|l:1	p:0|s:0|r:1|l:1	p:0|s:0|r:1|l:1	8	0
dal	2	p|s	p:pdal|s:sdal|r:-|l:-	p:1|s:1|r:0|l:0	2	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	p:1|s:0|r:0|l:0	191	0
keeal	2	s|l	p:-|s:skeeal|r:-|l:lkeeal	p:0|s:1|r:0|l:1	2	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	1	0
ochey	2	p|l	p:pochey|s:-|r:-|l:lochey	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	5	0
odair	2	p|s	p:podair|s:sodair|r:-|l:-	p:1|s:1|r:0|l:0	2	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	1	0
oees	2	r|l	p:-|s:-|r:roees|l:loees	p:0|s:0|r:1|l:1	2	p:0|s:0|r:1|l:1	p:0|s:0|r:1|l:1	p:0|s:0|r:0|l:1	9	0
oiir	2	s|r	p:-|s:soiir|r:roiir|l:-	p:0|s:1|r:1|l:0	2	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	p:0|s:0|r:1|l:0	6	0
oiis	2	p|s	p:poiis|s:soiis|r:-|l:-	p:1|s:1|r:0|l:0	2	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	p:1|s:1|r:0|l:0	0	0
oiry	2	s|r	p:-|s:soiry|r:roiry|l:-	p:0|s:1|r:1|l:0	2	p:0|s:1|r:1|l:0	p:0|s:1|r:1|l:0	p:0|s:0|r:0|l:0	0	0
okaiin	2	s|l	p:-|s:sokaiin|r:-|l:lokaiin	p:0|s:1|r:0|l:1	2	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	200	1
okain	2	p|l	p:pokain|s:-|r:-|l:lokain	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	132	0
okedy	2	s|l	p:-|s:sokedy|r:-|l:lokedy	p:0|s:1|r:0|l:1	2	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	p:0|s:0|r:0|l:0	87	0
olain	2	s|l	p:-|s:solain|r:-|l:lolain	p:0|s:1|r:0|l:1	2	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	11	0
olchor	2	p|l	p:polchor|s:-|r:-|l:lolchor	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
olchy	2	p|r	p:polchy|s:-|r:rolchy|l:-	p:1|s:0|r:1|l:0	2	p:1|s:0|r:1|l:0	p:1|s:0|r:1|l:0	p:1|s:0|r:1|l:0	9	0
oldaiin	2	p|l	p:poldaiin|s:-|r:-|l:loldaiin	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:0|s:0|r:0|l:0	7	0
olol	2	s|l	p:-|s:solol|r:-|l:lolol	p:0|s:1|r:0|l:1	2	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:1	p:0|s:1|r:0|l:0	14	0
oror	2	p|l	p:poror|s:-|r:-|l:loror	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:0|s:0|r:0|l:1	4	0
osaiin	2	p|l	p:posaiin|s:-|r:-|l:losaiin	p:1|s:0|r:0|l:1	2	p:1|s:0|r:0|l:1	p:1|s:0|r:0|l:1	p:0|s:0|r:0|l:1	5	0
