cell_id	body	body_value_de	head	form	working_default_de	occurrences	pages	loci	reader_exact_occurrences	attested	status
G635-S18	chedy	getrockneter Zustand	s	schedy	getrocknete Samen/Saat	7	7	7	4	1	ATTESTED_CONCRETE_DEFAULT
G635-S19	chedy	getrockneter Zustand	r	rchedy	getrocknete Wurzel	10	9	10	6	1	ATTESTED_CONCRETE_DEFAULT
G635-S20	chedy	getrockneter Zustand	l	lchedy	getrocknetes Drogenholz	116	37	112	75	1	ATTESTED_CONCRETE_DEFAULT
G635-S21	shy	feucht, Grundform	p	pshy	Pulver: feucht, Grundform	1	1	1	1	1	ATTESTED_CONCRETE_DEFAULT
G635-S22	shy	feucht, Grundform	s	sshy	Samen/Saatgut: feucht, Grundform	0	0	0	0	0	PREDICTED_EMPTY_CELL
G635-S23	shy	feucht, Grundform	r	rshy	Wurzel: feucht, Grundform	0	0	0	0	0	PREDICTED_EMPTY_CELL
G635-S24	shy	feucht, Grundform	l	lshy	Drogenholz: feucht, Grundform	3	3	3	3	1	ATTESTED_CONCRETE_DEFAULT
G635-S25	shey	feucht, Bindungsstufe I	p	pshey	Pulver: feucht, Bindungsstufe I	1	1	1	0	1	ATTESTED_CONCRETE_DEFAULT
G635-S26	shey	feucht, Bindungsstufe I	s	sshey	Samen/Saatgut: feucht, Bindungsstufe I	5	5	5	4	1	ATTESTED_CONCRETE_DEFAULT
G635-S27	shey	feucht, Bindungsstufe I	r	rshey	Wurzel: feucht, Bindungsstufe I	2	2	2	1	1	ATTESTED_CONCRETE_DEFAULT
G635-S28	shey	feucht, Bindungsstufe I	l	lshey	Drogenholz: feucht, Bindungsstufe I	17	12	17	14	1	ATTESTED_CONCRETE_DEFAULT
G635-S29	sheey	feucht, Bindungsstufe II	p	psheey	Pulver: feucht, Bindungsstufe II	1	1	1	0	1	ATTESTED_CONCRETE_DEFAULT
G635-S30	sheey	feucht, Bindungsstufe II	s	ssheey	Samen/Saatgut: feucht, Bindungsstufe II	2	1	2	1	1	ATTESTED_CONCRETE_DEFAULT
G635-S31	sheey	feucht, Bindungsstufe II	r	rsheey	Wurzel: feucht, Bindungsstufe II	0	0	0	0	0	PREDICTED_EMPTY_CELL
G635-S32	sheey	feucht, Bindungsstufe II	l	lsheey	Drogenholz: feucht, Bindungsstufe II	6	5	6	6	1	ATTESTED_CONCRETE_DEFAULT
G635-S33	shdy	eingeweicht, kompakte Form	p	pshdy	Pulver: eingeweicht, kompakte Form	1	1	1	1	1	ATTESTED_CONCRETE_DEFAULT
G635-S34	shdy	eingeweicht, kompakte Form	s	sshdy	Samen/Saatgut: eingeweicht, kompakte Form	0	0	0	0	0	PREDICTED_EMPTY_CELL
G635-S35	shdy	eingeweicht, kompakte Form	r	rshdy	Wurzel: eingeweicht, kompakte Form	1	1	1	0	1	ATTESTED_CONCRETE_DEFAULT
G635-S36	shdy	eingeweicht, kompakte Form	l	lshdy	Drogenholz: eingeweicht, kompakte Form	3	3	3	2	1	ATTESTED_CONCRETE_DEFAULT
G635-S37	shedy	angefeuchteter/eingeweichter Zustand	p	pshedy	angefeuchtetes Pulver/Paste	3	3	3	3	1	ATTESTED_CONCRETE_DEFAULT
G635-S38	shedy	angefeuchteter/eingeweichter Zustand	s	sshedy	eingeweichte Samen/Saat	6	6	6	4	1	ATTESTED_CONCRETE_DEFAULT
G635-S39	shedy	angefeuchteter/eingeweichter Zustand	r	rshedy	eingeweichte Wurzel	5	5	5	3	1	ATTESTED_CONCRETE_DEFAULT
G635-S40	shedy	angefeuchteter/eingeweichter Zustand	l	lshedy	eingeweichtes Drogenholz	38	24	36	24	1	ATTESTED_CONCRETE_DEFAULT
