field_id	statement_id	record_unit_id	visible_owner	field_frame_mode	visible_sequence	normalized_sequence	card_sequence	literal_values	terminal
F092	B3-S021	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	S	qokaiin shcthy dal sy	okaiin checthy al chey	MC120 MC161 MC154 MC123	bemessen | bereit | dorthin | dies	NO
F093	B3-S021	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	S	saiin shedal shecthy chey tal shcthy dalchdy	aiin shedal shecthy chey al checthy dalchdy	MC039 MC113 MC137 MC123 MC154 MC161 MC031	Sollmaß | am Ziel absetzen | Kurzvorbereitung | dies | dorthin | bereit | Zieltransfer; Schluss	NO
F094	B3-S022	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	qotchedy	otchedy	MC057	Folgetransfer; Schluss	NO
F095	B3-S023	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	lchedy	lchedy	MC155	abführen; Schluss	NO
F096	B3-S024	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	tchedy	dchedy	MC025	überführen; Schluss	NO
F097	B3-S025	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	LOW_DATA	qokchdy	qokchdy	MC088	einführen; Schluss	NO
F098	B3-S026	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	CH	cheedar chldaiin chedy qokain checthy chealror	cheedar chldaiin chdy okain checthy chealror	MC042 MC144 MC074 MC017 MC161 MC146	Quelltransfer | Sollabsetzung | überführen | Anteil zugeben | bereit | Zielbereitung	NO
F099	B3-S026	B3	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	solkeedy	olkeedy	MC045	lange sammeln; Schluss	NO
F100	B3-S027	B3	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	qoteedy	qoteedy	MC173	lange Folgestufe; Schluss	NO
F101	B3-S028	B3	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	qokeey qokedy	okeey qokedy	MC002 MC083	lange einwirken | kurz einwirken; Schluss	NO
F102	B3-S029	B3	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	sol cheeety qokedy	cheol cheeety qokedy	MC153 MC094 MC083	weiter | Vollteil | kurz einwirken; Schluss	NO
F103	B3-S030	B3	Hauptpaar am sichtbaren ungerichteten Bogen	MIXED	qoky saiin	choky aiin	MC026 MC039	einsetzen | Sollmaß	NO
F104	B3-S030	B3	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	schedair otchedy	schedair otchedy	MC116 MC057	Weiterlauf | Folgetransfer; Schluss	NO
F105	B3-S031	B3	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	qokeedy	qokeedy	MC082	lange einwirken; Schluss	NO
F106	B3-S032	B3	Hauptpaar am sichtbaren ungerichteten Bogen	MIXED	chedain chedy qotedaiin otaiin otedy	chedain chdy qotedaiin otaiin otedy	MC145 MC074 MC018 MC060 MC135	Anteilstransfer | überführen | Kurzsoll | Folgemaß | Kurzfolge; Schluss	NO
F107	B3-S033	B3	Hauptpaar am sichtbaren ungerichteten Bogen	LOW_DATA	ldy	ldy	MC004	abziehen; Schluss	NO
F108	B3-S034	B3	Hauptpaar am sichtbaren ungerichteten Bogen	MIXED	soiiin checthy chety otaiin olsaly shedy	oiiin checthy chety otaiin olsaly cheedy	MC033 MC161 MC086 MC060 MC078 MC128	Arbeitsstufe | bereit | Anteil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	NO
