rank	clause_id	physical_page	register	events	instructions	phases	phase_ids	crosses_physical_line	end_reason	natural_paragraph_de
11	P915-C346	f67r2	ZODIAC	36	24	16	P925-P226|P925-P227|P925-P228|P925-P229|P925-P230|P925-P231|P925-P232|P925-P233|P925-P234|P925-P235|P925-P236|P925-P237|P925-P238|P925-P239|P925-P240|P925-P241	YES	PAGE_END_OPEN	Nimm den aktuellen Posten aus dem bezeichneten Teil von der Entnahmestelle nach Sollmaß in Arbeit: gib zu und führe den Gang aus. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: führe den Gang aus. Führe ihn entlang des Laufs. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: setze ein, gib zu und führe den Gang aus. Führe ihn entlang des Laufs. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: stelle ein, entnimm, führe den Gang aus und wähle aus. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten in Arbeit: setze an. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: wähle aus (2×) und halte (2×). Arbeite kurz und länger. Dann nimm den aktuellen Posten in Arbeit: gib zu (3×), entnimm (3×), setze an und führe den Gang aus. Arbeite kurz und länger. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: führe den Gang aus. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: halte. Arbeite kurz. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: setze an und führe den Gang aus. Arbeite länger. Dann nimm den Auszug in Arbeit: wähle aus. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus (4×), wähle aus (2×) und entnimm. Führe ihn durch den Durchlass. Arbeite länger. Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: setze an (2×) und führe den Gang aus (2×). Arbeite länger. Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil als Portion in Arbeit: führe den Gang aus. Dann nimm den aktuellen Posten von der Entnahmestelle von der lokalen Stelle in Arbeit: arbeite damit weiter. Führe ihn entlang des Laufs.
12	P915-C352	f88r	PHARMA	33	22	15	P925-P242|P925-P243|P925-P244|P925-P245|P925-P246|P925-P247|P925-P248|P925-P249|P925-P250|P925-P251|P925-P252|P925-P253|P925-P254|P925-P255|P925-P256	YES	NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY	Nimm den aktuellen Posten in Arbeit: wähle aus (2×) und entnimm. Führe ihn zur Ziel- oder Anschlussstelle. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: setze an, führe den Gang aus (2×) und gib zu (2×). Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: führe den Gang aus. Führe ihn durch den Durchlass. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an. Dann nimm den Auszug in Arbeit: halte. Führe ihn in den nächsten Lauf. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: setze an. Arbeite länger. Dann nimm den aktuellen Posten und den Ansatz nach Sollmaß in Arbeit: wähle aus (2×) und entnimm. Dann nimm den Ansatz nach Sollmaß in Arbeit: entnimm, führe den Gang aus und wähle aus (2×). Führe ihn zur Ziel- oder Anschlussstelle. Arbeite kurz. Dann nimm den Ansatz in Arbeit: entnimm. Arbeite kurz. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: führe den Gang aus (2×) und spüle. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an. Arbeite kurz. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: halte (3×) und führe den Gang aus. Arbeite länger und kurz. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: setze an. Dann nimm den Auszug in Arbeit: kennzeichne. Dann nimm den Ansatz in Arbeit: entnimm und wähle aus. Führe ihn zur Ziel- oder Anschlussstelle.
13	P915-C219	f82r	BIOLOGICAL	23	15	8	P925-P257|P925-P258|P925-P259|P925-P260|P925-P261|P925-P262|P925-P263|P925-P264	YES	LICENSED_DY_CLOSE	Dann nimm den aktuellen Posten von der lokalen Stelle nach Sollmaß in Arbeit: wähle aus, spüle und setze um. Arbeite kurz. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: setze an (2×). Führe ihn zur Ziel- oder Anschlussstelle. Arbeite länger. Dann nimm den Auszug und den aktuellen Posten in Arbeit: kennzeichne und halte. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: setze an. Dann nimm den aktuellen Posten in Arbeit: halte. Führe ihn durch den Durchlass. Arbeite kurz. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: gib zu und setze an. Arbeite vollständig. Dann nimm den aktuellen Posten von der lokalen Stelle in Arbeit: kennzeichne, wähle aus, halte und stelle bereit. Arbeite länger und kurz. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: setze an (2×). Führe ihn in den nächsten Lauf. Arbeite länger und vollständig. Schließe den Schritt.
14	P915-C011	f55v	HERBAL	22	14	11	P925-P265|P925-P266|P925-P267|P925-P268|P925-P269|P925-P270|P925-P271|P925-P272|P925-P273|P925-P274|P925-P275	YES	LICENSED_DY_CLOSE	Nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: führe den Gang aus. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: setze an (2×), führe den Gang aus, gib zu und wähle aus. Arbeite kurz, länger und vollständig. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: führe den Gang aus. Dann nimm den aktuellen Posten in Arbeit: setze um. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: wähle aus. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle nach Sollmaß in Arbeit: gib zu und setze an. Führe ihn zur Innenstelle. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: entnimm. Führe ihn durch den Durchlass. Dann nimm den Auszug und den aktuellen Posten von der Entnahmestelle in Arbeit: gib zu. Arbeite länger. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus und setze um. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: setze an. Dann nimm den bezeichneten Arbeitsgang in Arbeit: führe den Gang aus. Schließe den Schritt.
15	P915-C021	f75r	BIOLOGICAL	20	15	14	P925-P276|P925-P277|P925-P278|P925-P279|P925-P280|P925-P281|P925-P282|P925-P283|P925-P284|P925-P285|P925-P286|P925-P287|P925-P288|P925-P289	YES	LICENSED_DY_CLOSE	Nimm den Ansatz in Arbeit: kennzeichne. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: setze an. Dann nimm den bezeichneten Arbeitsgang in Arbeit: entnimm. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den Ansatz und den aktuellen Posten als Portion in Arbeit: gib zu. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: halte und gib zu. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: stelle ein. Führe ihn in den nächsten Lauf. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: fange auf. Dann nimm den Ansatz und den aktuellen Posten auf der zweiten Stufe in Arbeit: gib zu (2×) und führe den Gang aus. Führe ihn durch den Durchlass, in den nächsten Lauf und zur Innenstelle. Arbeite länger. Dann nimm den aktuellen Posten in Arbeit: halte. Führe ihn in den nächsten Lauf. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: gib zu. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten in Arbeit: halte. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an. Dann nimm den aktuellen Posten in Arbeit: halte. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an. Arbeite länger. Schließe den Schritt.
16	P915-C244	f82r	BIOLOGICAL	20	13	11	P925-P290|P925-P291|P925-P292|P925-P293|P925-P294|P925-P295|P925-P296|P925-P297|P925-P298|P925-P299|P925-P300	YES	NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY	Dann nimm den aktuellen Posten und den Ansatz in Arbeit: entnimm. Führe ihn in den nächsten Lauf. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: setze an. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: entnimm. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze um. Führe ihn in den nächsten Lauf. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: stelle ein. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: lass absetzen. Dann nimm den aktuellen Posten in Arbeit: entnimm. Führe ihn durch den Durchlass. Arbeite kurz. Dann nimm den aktuellen Posten als Portion in Arbeit: halte und kennzeichne (2×). Führe ihn in den nächsten Lauf und durch den Durchlass. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: wähle aus. Dann nimm den Auszug und den aktuellen Posten in Arbeit: kennzeichne. Führe ihn in den nächsten Lauf. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: arbeite damit weiter.
17	P915-C267	f83r	BIOLOGICAL	19	15	11	P925-P301|P925-P302|P925-P303|P925-P304|P925-P305|P925-P306|P925-P307|P925-P308|P925-P309|P925-P310|P925-P311	YES	LICENSED_DY_CLOSE	Nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: kennzeichne, lass absetzen, gib zu, führe den Gang aus, setze ein und halte. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus und setze ein. Dann nimm den aktuellen Posten in Arbeit: fange auf. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang in Arbeit: kennzeichne, entnimm und wähle aus. Dann nimm den bezeichneten Arbeitsgang in Arbeit: entnimm und wähle aus. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: wähle aus und gib zu. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: stelle bereit. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang in Arbeit: wähle aus. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: behandle. Dann nimm den Ansatz in Arbeit: wähle aus (2×). Führe ihn in den nächsten Lauf, zur Ziel- oder Anschlussstelle und zur Innenstelle. Dann nimm den bezeichneten Arbeitsgang in Arbeit: lass absetzen. Schließe den Schritt.
18	P915-C337	f67r2	ZODIAC	19	10	8	P925-P312|P925-P313|P925-P314|P925-P315|P925-P316|P925-P317|P925-P318|P925-P319	YES	NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY	Nimm den bezeichneten Arbeitsgang auf der zweiten Stufe auf der angegebenen Stufe in Arbeit: führe den Gang aus. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: setze an, führe den Gang aus (2×), wähle aus und gib zu. Arbeite kurz. Dann nimm den aktuellen Posten und den Ansatz nach Sollmaß in Arbeit: wähle aus und kennzeichne. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus und setze ein. Dann nimm den aktuellen Posten aus dem bezeichneten Teil nach Sollmaß in Arbeit: entnimm, führe den Gang aus und wähle aus. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten von der Entnahmestelle als Portion in Arbeit: entnimm, führe den Gang aus und trenne. Führe ihn zur Innenstelle. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle als Portion in Arbeit: wähle aus (2×). Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: arbeite damit weiter. Führe ihn zur Innenstelle.
19	P915-C343	f67r2	ZODIAC	18	14	10	P925-P320|P925-P321|P925-P322|P925-P323|P925-P324|P925-P325|P925-P326|P925-P327|P925-P328|P925-P329	YES	LICENSED_DY_CLOSE	Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil in Arbeit: führe den Gang aus und wähle aus. Dann nimm den bezeichneten Arbeitsgang in Arbeit: führe den Gang aus und stelle bereit. Arbeite kurz. Dann nimm den Ansatz in Arbeit: wähle aus. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: setze um. Dann nimm den aktuellen Posten auf der angegebenen Stufe in Arbeit: stelle ein und führe den Gang aus (3×). Führe ihn zur bezeichneten s-Stelle. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: stelle ein, führe den Gang aus (2×), setze ein und entnimm. Arbeite kurz. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: behandle, führe den Gang aus (3×), wähle aus und halte. Dann nimm den aktuellen Posten in Arbeit: entnimm, führe den Gang aus (2×) und wähle aus. Führe ihn durch den Durchlass. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: wähle aus. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus. Schließe den Schritt.
20	P915-C146	f81v	BIOLOGICAL	17	13	8	P925-P330|P925-P331|P925-P332|P925-P333|P925-P334|P925-P335|P925-P336|P925-P337	YES	LICENSED_DY_CLOSE	Dann nimm den aktuellen Posten aus dem bezeichneten Teil von der lokalen Stelle in Arbeit: halte. Führe ihn entlang des Laufs und zur Innenstelle. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: setze an (3×) und gib zu. Arbeite länger. Dann nimm den aktuellen Posten in Arbeit: setze an (2×) und gib zu. Führe ihn in den nächsten Lauf. Dann nimm den aktuellen Posten in Arbeit: entnimm. Dann nimm den aktuellen Posten in Arbeit: gib zu. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: halte. Dann nimm den aktuellen Posten in Arbeit: setze um. Dann nimm den bezeichneten Arbeitsgang in Arbeit: lass absetzen. Schließe den Schritt.
21	P915-C006	f13r	HERBAL	16	8	7	P925-P338|P925-P339|P925-P340|P925-P341|P925-P342|P925-P343|P925-P344	YES	LICENSED_DY_CLOSE	Nimm den Ansatz in Arbeit: stelle ein und entnimm. Dann nimm den Ansatz aus dem bezeichneten Teil nach Sollmaß in Arbeit: entnimm. Dann nimm den aktuellen Posten und den Ansatz in Arbeit: setze an (2×) und entnimm. Dann nimm den bezeichneten Arbeitsgang auf der angegebenen Stufe in Arbeit: führe den Gang aus. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: setze an. Führe ihn durch den Durchlass. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus. Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil in Arbeit: arbeite damit weiter. Schließe den Schritt.
22	P915-C335	f83r	BIOLOGICAL	16	6	3	P925-P345|P925-P346|P925-P347	YES	PAGE_END_OPEN	Nimm den aktuellen Posten in Arbeit: fange auf. Arbeite länger. Dann nimm den aktuellen Posten in Arbeit: gib zu. Arbeite kurz. Dann nimm den aktuellen Posten, den Auszug und den Ansatz von der Entnahmestelle nach Sollmaß als Portion in Arbeit: kennzeichne (2×), wähle aus, behandle, stelle ein und stelle bereit. Führe ihn zur Ziel- oder Anschlussstelle und in den nächsten Lauf.
23	P915-C349	f68r1	ZODIAC	16	15	10	P925-P348|P925-P349|P925-P350|P925-P351|P925-P352|P925-P353|P925-P354|P925-P355|P925-P356|P925-P357	YES	NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY	Nimm den Ansatz, den Auszug und den aktuellen Posten in Arbeit: entnimm (2×), setze ein und gib zu. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang aus dem bezeichneten Teil in Arbeit: entnimm und führe den Gang aus. Dann nimm den aktuellen Posten und den Ansatz in Arbeit: gib zu. Dann nimm den aktuellen Posten in Arbeit: halte. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: führe den Gang aus und entnimm. Arbeite länger. Dann nimm den aktuellen Posten in Arbeit: setze an (2×). Führe ihn zur Ziel- oder Anschlussstelle. Arbeite länger. Dann nimm den Ansatz von der Entnahmestelle von der lokalen Stelle auf der zweiten Stufe in Arbeit: kennzeichne (2×). Führe ihn durch den Durchlass und zur Innenstelle. Arbeite kurz. Dann nimm den Ansatz aus dem bezeichneten Teil in Arbeit: entnimm. Dann nimm den aktuellen Posten von der lokalen Stelle auf der angegebenen Stufe in Arbeit: setze an und gib zu. Dann nimm den aktuellen Posten auf der zweiten Stufe in Arbeit: kennzeichne, behandle, entnimm und gib zu.
24	P915-C014	f55v	HERBAL	15	6	6	P925-P358|P925-P359|P925-P360|P925-P361|P925-P362|P925-P363	YES	PAGE_END_OPEN	Nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: setze an. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten in Arbeit: stelle ein. Dann nimm den Ansatz und den aktuellen Posten von der Entnahmestelle als Portion nach Sollmaß in Arbeit: behandle. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: gib zu und entnimm. Arbeite länger. Dann nimm den bezeichneten Arbeitsgang in Arbeit: wähle aus. Führe ihn in den nächsten Lauf. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle nach Sollmaß in Arbeit: arbeite damit weiter. Führe ihn zur Innenstelle.
25	P915-C135	f81v	BIOLOGICAL	15	7	5	P925-P364|P925-P365|P925-P366|P925-P367|P925-P368	YES	LICENSED_DY_CLOSE	Nimm den bezeichneten Arbeitsgang nach Sollmaß als Portion in Arbeit: setze an (2×). Dann nimm den aktuellen Posten in Arbeit: behandle. Arbeite länger. Dann nimm den aktuellen Posten nach Sollmaß in Arbeit: gib zu. Dann nimm den aktuellen Posten als Portion nach Sollmaß in Arbeit: entnimm und stelle bereit. Dann nimm den aktuellen Posten nach Sollmaß als Portion in Arbeit: setze an (2×). Führe ihn durch den Durchlass. Arbeite länger. Schließe den Schritt.
26	P915-C136	f81v	BIOLOGICAL	15	10	7	P925-P369|P925-P370|P925-P371|P925-P372|P925-P373|P925-P374|P925-P375	YES	LICENSED_DY_CLOSE	Nimm den aktuellen Posten von der Entnahmestelle nach Sollmaß als Portion in Arbeit: setze an (3×) und gib zu. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: setze an. Dann nimm den aktuellen Posten in Arbeit: setze um. Dann nimm den Auszug und den aktuellen Posten in Arbeit: gib zu. Führe ihn in den nächsten Lauf. Dann nimm den bezeichneten Arbeitsgang in Arbeit: wähle aus. Führe ihn in den nächsten Lauf. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß als Portion in Arbeit: setze an. Dann nimm den bezeichneten Arbeitsgang in Arbeit: arbeite damit weiter. Führe ihn zur Ziel- oder Anschlussstelle. Schließe den Schritt.
27	P915-C331	f83r	BIOLOGICAL	15	9	8	P925-P376|P925-P377|P925-P378|P925-P379|P925-P380|P925-P381|P925-P382|P925-P383	YES	LICENSED_DY_CLOSE	Nimm den bezeichneten Arbeitsgang als Portion in Arbeit: fange auf. Dann nimm den aktuellen Posten aus dem bezeichneten Teil in Arbeit: entnimm und stelle bereit. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten in Arbeit: setze um (2×). Führe ihn in den nächsten Lauf. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: halte. Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: setze um. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: wähle aus. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: gib zu. Dann nimm den bezeichneten Arbeitsgang in Arbeit: lass absetzen. Schließe den Schritt.
28	P915-C058	f75r	BIOLOGICAL	14	6	2	P925-P384|P925-P385	YES	LICENSED_DY_CLOSE	Dann nimm den aktuellen Posten und den Ansatz aus dem bezeichneten Teil von der Entnahmestelle von der lokalen Stelle als Portion in Arbeit: kennzeichne, halte (3×), setze ein und stelle ein. Führe ihn zur Innenstelle und zur Ziel- oder Anschlussstelle. Arbeite kurz. Dann nimm den aktuellen Posten von der Entnahmestelle in Arbeit: setze ein, halte und lass absetzen. Schließe den Schritt.
29	P915-C066	f75r	BIOLOGICAL	14	11	10	P925-P386|P925-P387|P925-P388|P925-P389|P925-P390|P925-P391|P925-P392|P925-P393|P925-P394|P925-P395	YES	LICENSED_DY_CLOSE	Nimm den aktuellen Posten in Arbeit: setze um. Dann nimm den bezeichneten Arbeitsgang in Arbeit: führe den Gang aus. Dann nimm den aktuellen Posten als Portion in Arbeit: behandle. Arbeite länger. Dann nimm den aktuellen Posten als Portion in Arbeit: setze an (2×). Arbeite kurz. Dann nimm den aktuellen Posten in Arbeit: behandle. Arbeite kurz. Dann nimm den bezeichneten Arbeitsgang in Arbeit: setze an. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den aktuellen Posten als Portion in Arbeit: setze um. Dann nimm den bezeichneten Arbeitsgang in Arbeit: führe den Gang aus. Dann nimm den bezeichneten Arbeitsgang in Arbeit: gib zu. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang in Arbeit: lass absetzen. Schließe den Schritt.
30	P915-C132	f81v	BIOLOGICAL	14	9	6	P925-P396|P925-P397|P925-P398|P925-P399|P925-P400|P925-P401	YES	LICENSED_DY_CLOSE	Nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: setze an (2×) und gib zu. Führe ihn entlang des Laufs und zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang von der Entnahmestelle in Arbeit: wähle aus. Dann nimm den bezeichneten Arbeitsgang als Portion in Arbeit: gib zu (2×). Dann nimm den bezeichneten Arbeitsgang in Arbeit: kennzeichne. Führe ihn zur Ziel- oder Anschlussstelle. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: wähle aus. Führe ihn in den nächsten Lauf. Dann nimm den bezeichneten Arbeitsgang nach Sollmaß in Arbeit: fange auf. Arbeite länger. Schließe den Schritt.
