action_case_id	page	locus	action_clause_id	action_clause_start	action_clause_end	action_clause_surfaces	action_ordinal	action_surface	action_gloss_de	right_clause_id	right_clause_start	right_clause_end	right_first_ordinal	right_first_surface	right_first_gloss_de	right_dispatch	right_confidence	prior_candidate_id	prior_candidate_decision	operation_agreement	degree_agreement	material_agreement	completion_agreement	result_role	competing_or_missing_patient	decision	decision_reason_de	portable_default	full_clause_then_first_item_exact	word_delta	status
A014	f107r	f107r.2	2	2	2	qoteos	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	3	3	5	3	aiin	Menge III	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	RELATED_ONLY	UNSPECIFIED	GENERIC	UNSPECIFIED	QUANTITY	NONE	OPEN_PARTIAL	Die Menge kann das Genommene zählen, ist aber kein geschriebenes Verarbeitungsergebnis.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A015	f107r	f107r.2	4	6	6	qor	6	qor	nimm eine Drogenportion	5	7	11	7	aiin	Menge III	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	RELATED_ONLY	UNSPECIFIED	RELATED	UNSPECIFIED	QUANTITY	NONE	OPEN_PARTIAL	Drogenportion und Menge III sind kompatibel, aber Nehmen erzeugt keinen neuen Zustand.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A016	f107r	f107r.2	6	12	12	qeeey	12	qeeey	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	7	13	13	13	lor	Holzportion	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	CONFLICT	RELATED	MATERIAL_LABEL	LEFT_OPEN	CONTROL_CONFLICT	Der Abschluss der vorstehenden Behandlung schreibt keinen Übergang zu einer Holzportion.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A017	f10r	f10r.2	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	10	2	cthoor	eine Portion Krautansatz	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	NONE	OPEN_PARTIAL	Die Krautansatz-Portion kann Patient sein; der getrocknete Mittelzustand wird rechts nicht gespiegelt.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A019	f114r	f114r.26	1	1	1	ycheeodaiin	1	ycheeodaiin	hiervon drei Dosen des zweiten Trockenansatzes abmessen	2	2	10	2	olkaiir	Anteil III des heißen Holzansatzes	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	CONFLICT	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Drei Dosen Trockenansatz II wechseln zu heißem Holzansatz-Anteil III.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A021	f114v	f114v.36	3	7	7	qopaiin	7	qopaiin	drei Teile Pulverzubereitung nehmen	4	8	11	8	qotar	kalter Drogenanteil I	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	CONFLICT	CONFLICT	UNSPECIFIED	POSTPOSED_OBJECT	NONE	CONTROL_CONFLICT	Nehmen von Pulverzubereitung erzeugt keinen kalten Drogenanteil I.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A024	f115r	f115r.1	3	3	3	qochedain	3	qochedain	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	4	4	11	4	otedy	kalter Ansatz, Mittelstufe erreicht	NOMINAL_FINISHED_RESULT_STATE	HIGH	F004	HOLD_OPEN	CONFLICT	EXACT	RELATED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	NONE	RETAIN_PRIOR_HOLD	Mittelstufe stimmt; Abmessen von Trockengut erklärt den kalten Ansatz nicht.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A025	f115r	f115r.23	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	2	2	keey	heiß am Ende des Grades	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Mittelstufen-Trocknung steht heißem Endgrad gegenüber.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A026	f115r	f115r.23	3	3	3	qokeod	3	qokeod	heißen Auszug bereiten und abschließen	4	4	4	4	chody	leicht getrocknete Zubereitung, abgeschlossen	NOMINAL_FINISHED_RESULT_STATE	HIGH	F005	ADMIT_NEW	PRIOR_LOCAL_BINDING	UNSPECIFIED	RELATED	EXACT	RESULT_PRODUCT	NONE	REPLAY_ADMITTED	C014 bleibt die lokale Bereiten-und-Abschließen-zu-abgeschlossener-Zubereitung-Lesung.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A027	f115r	f115r.23	5	5	5	qokcho	5	qokcho	erhitze, trockne und setze an	6	6	13	6	s	Samenposten	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	CONFLICT	UNSPECIFIED	POSTPOSED_OBJECT	RIGHT_LABEL	CONTROL_CONFLICT	Samenposten ist der plausiblere neue Patient, kein Ergebnis von Erhitzen, Trocknen und Ansetzen.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A028	f116r	f116r.12	1	1	1	qoin	1	qoin	zweiten Ansatz nehmen	2	2	12	2	ar	Drogenanteil I	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	NONE	OPEN_PARTIAL	Der Drogenanteil kann das Genommene benennen, bildet aber keinen neuen Ergebniszustand.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A029	f23r	f23r.6	2	5	5	yky	5	yky	hierzu leicht erhitzen	3	6	10	6	dar	abgemessener Anteil I	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	GENERIC	UNSPECIFIED	QUANTITY	LEFT_OPEN	OPEN_PARTIAL	Leichtes Erhitzen erzeugt nicht ohne weiteres einen abgemessenen Anteil I.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A032	f24v	f24v.15	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	4	2	kchod	heißer Auszug aus Trockengut, abgezogen und abgeschlossen	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	UNSPECIFIED	RELATED	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Trocknen erklärt den heißen, abgezogenen Auszug nicht; mehrere rechte Operationen fehlen links.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A033	f26r	f26r.2	2	4	4	ykecthey	4	ykecthey	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	3	5	5	5	chedy	mittlere Trockenstufe erreicht	NOMINAL_FINISHED_RESULT_STATE	HIGH	F006	ADMIT_NEW	PRIOR_LOCAL_BINDING	EXACT	CURRENTLY_BOUND	RELATED	STATE_ATTRIBUTE	CURRENTLY_BOUND	REPLAY_ADMITTED	C013 bleibt der bereits isolierte Mittelstufen-Checkpoint der geschriebenen Krautdroge.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A035	f26r	f26r.2	5	8	8	checthedy	8	checthedy	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	6	9	9	9	ls	eine Charge Holz	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	UNSPECIFIED	CONFLICT	UNSPECIFIED	MATERIAL_LABEL	NONE	CONTROL_CONFLICT	Auf getrocknete Krautdroge folgt ausdrücklich eine Holzcharge; das ist ein Batchbruch.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A036	f27r	f27r.9	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	7	2	keeod	vollständig erhitzter und abgezogener Auszug	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	RELATED	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Trocknen und Abschließen spiegeln keinen vollständig erhitzten und abgezogenen Auszug.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A038	f30r	f30r.9	2	2	2	qochar	2	qochar	trockenen Drogenanteil I nehmen	3	3	4	3	chol	trocken	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Trocken kann das genommene Material beschreiben; Nehmen produziert den Zustand nicht.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A039	f30r	f30r.9	4	5	5	chcthey	5	chcthey	Krautdroge bis zur mittleren Stufe trocknen	5	6	6	6	chor	Pflanzenteil	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	RIGHT_LABEL	OPEN_PARTIAL	Pflanzenteil ist ein möglicher Patient, aber kein ausgeschriebener Mittelstufen-Trockenzustand.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A041	f49r	f49r.16	1	1	1	qocho	1	qocho	getrocknete Droge nehmen	2	2	3	2	cheey	trocken am Ende des Grades	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Der Trocken-Endgrad kann das genommene Gut beschreiben; er ist kein durch Nehmen erzeugtes Ergebnis.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A043	f56r	f56r.6	1	1	2	ykcho|dy	1	ykcho	hieraus eine warme Trockenmischung bereiten	2	3	6	3	dchey	fertige abgemessene Mittelstufen-Trockenportion	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	HIGH	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	DRY_STATE_RELATED	UNSPECIFIED	RELATED	RELATED	MATERIAL_STATE_PRODUCT	LEFT_OPEN	HOLD_NEW	Trockenheit passt, doch Abmessen, Portion und Mittelstufe erscheinen erst rechts; warm und Mischung gehen verloren.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A044	f75r	f75r.3	2	4	4	qey	4	qey	die vorstehende Mittelstufenportion anschließend nehmen	3	5	5	5	kain	heiß, Grad II	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	CONFLICT	GENERIC	UNSPECIFIED	STATE_ATTRIBUTE	CURRENTLY_BOUND	OPEN_PARTIAL	Der heiße Grad-II-Wert kann Registerwert sein; Nehmen der Mittelstufenportion erzeugt ihn nicht.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A045	f75r	f75r.3	4	6	6	sheeky	6	sheeky	vollständig einweichen, erhitzen und abschließen	5	7	9	7	ltain	Holz, kalt auf Stufe II	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	CONFLICT	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Einweichen und Erhitzen bis zum Abschluss wechseln zu kaltem Holz auf Stufe II.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A046	f76v	f76v.10	1	1	1	cphdor	1	cphdor	eine Portion Arzneikompositum abmessen	2	2	2	2	shedal	feuchte abgemessene Rohstoffmenge I in der Gradmitte	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	SINGLE_EXACT	UNSPECIFIED	CONFLICT	UNSPECIFIED	QUANTITY	NONE	HOLD_NEW	Abmessen wird als abgemessene Menge gespiegelt; Arzneikompositum wird jedoch ohne Brücke zu feuchtem Rohstoff, und Mittelstufe steht nur rechts.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A047	f76v	f76v.10	3	3	3	qopchdy	3	qopchdy	fertig getrocknetes Pulver nehmen	4	4	10	4	dshedy	bis zur Mittelstufe angefeuchtete Drogenportion	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	HIGH	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	UNSPECIFIED	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Fertig getrocknetes Pulver wird unmittelbar als angefeuchtete Drogenportion beschrieben; Mittelstufe steht nur rechts.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A048	f77r	f77r.38	2	3	3	qoeedy	3	qoeedy	nimm die Endportion hinzu	3	4	5	4	qokaiin	heiß, Grad III	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	UNSPECIFIED	GENERIC	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Hinzunehmen der Endportion erklärt den heißen Grad III nicht.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A049	f77r	f77r.38	4	6	6	qol	6	qol	Drogenstoff zugeben	5	7	8	7	ltaiin	Holz, kalt auf Stufe III	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	CONFLICT	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Zugegebener Drogenstoff wechselt zu kaltem Holz auf Stufe III.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A052	f77v	f77v.7	3	3	3	qy	3	qy	hiervon nehmen	4	4	4	4	rr	getrocknete Wurzel	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	LEFT_OPEN	OPEN_PARTIAL	Getrocknete Wurzel kann der genommene Patient sein, nicht das Produkt des Nehmens.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A053	f77v	f77v.7	5	5	5	ycheedy	5	ycheedy	hiervon bis zur Endstufe trocknen	6	6	10	6	okedy	heißer Ansatz, Mittelstufe erreicht	NOMINAL_FINISHED_RESULT_STATE	HIGH	F007	HOLD_OPEN	CONFLICT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	RETAIN_PRIOR_HOLD	Endtrocknung und heißer Mittelstufenansatz widersprechen sich als unmittelbarer gleicher Zustand.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
A055	f7r	f7r.2	1	1	1	dcheey	1	dcheey	eine Dosis vollständig trocknen und abschließen	2	2	4	2	keo	Ansatz auf mittlerer Heizstufe	NOT_IN_GDT687_TARGET_DECK	NONE	NONE	OUTSIDE_V76_SEVEN_CASE_GATE	CONFLICT	CONFLICT	RELATED	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Vollständiges Trocknen und Abschließen wird als mittlere Heizstufe ohne Trockenstand fortgesetzt.	NO	1	0	PASS_V78_60_ACTION_NOMINAL_RESULTS__2_NEW_C017_C018__5_NEW_HOLDS__20_OPEN_26_CONTROLS__17_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
