statement_id	record_unit_id	page	loci	lesson_level	surface_sequence	architecture_sequence	whole_headword_ids	whole_card_count	card_reading_sequence_de	source_instruction_de	copy_instruction_de	readback_instruction_de	teaching_note_en
H5-S002	H5	f56r	f56r.8	L3_CODEBOOK	schol choy choky cheeckhody	W P P W	W14_VORIGES|W09_AUFTRAGEN	2	Voriges -> diese Zutat -> Posten ansetzen -> auftragen [SCHLUSS]	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
H5-S003	H5	f56r	f56r.12	L3_CODEBOOK	sh cho kchey qokokchy	W P P P	W07_PFLANZENTEIL	1	Staengel -> Zutat -> diesen Posten kurz bearbeiten -> erneut ansetzen	Nimm den Staengel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
H5-S004	H5	f56r	f56r.13	L1_PRODUCTIVE	okchy chokcheo kchal	P P P	NONE	0	Posten ansetzen -> Auszug zugeben -> an der Zielstelle bearbeiten	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
H5-S005	H5	f56r	f56r.18	L2_BOUND_CARRIERS	sho chokchy kchoar sotodan	P P P p	NONE	0	Zutat -> Posten ansetzen -> Auszug daraus -> danach anwenden	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
H5-S006	H5	f56r	f56r.19	L1_PRODUCTIVE	otchey keol daiin	P P P	NONE	0	Folgeposten -> kurz weiterfuehren -> Sollmaß	Nimm den Folgeposten, fuehre ihn kurz weiter und stelle das Sollmass ein.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S001	B1	f81v	f81v.2	L1_PRODUCTIVE	qokedy	P	NONE	0	kurz ansetzen [SCHLUSS]	Setze kurz an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S002	B1	f81v	f81v.2|f81v.7	L3_CODEBOOK	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	P P P P P P P P P p W P P P P P P P P	W01_ZUSATZ	1	auf Sollmaß einstellen -> Beckenwasser -> dort ansetzen -> daraus -> fortsetzen -> eine Portion -> weitere Portion -> dorthin -> fortsetzen -> weiterfuehren -> Zusatz -> Fortsetzungsansatz -> fortsetzen -> kurz zur Zielstelle durchleiten -> Sollmaß -> dort länger halten -> Sollmaß -> durchleiten -> umsetzen [SCHLUSS]	Stelle das Sollmass ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, fuehre den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmass ein, halte dort laenger, leite durch, setze um und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B1-S003	B1	f81v	f81v.7|f81v.17	L3_CODEBOOK	qol sshkchdy	P W	W06_SCHWENKEN	1	fortsetzen -> schwenken [SCHLUSS]	Führe weiter, schwenke den Posten und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B1-S004	B1	f81v	f81v.17	L1_PRODUCTIVE	chedy ol shedy	P P P	NONE	0	umsetzen -> fortsetzen -> absetzen [SCHLUSS]	Setze um, führe weiter, lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S005	B1	f81v	f81v.17	L1_PRODUCTIVE	qolchedy	P	NONE	0	fortsetzen [SCHLUSS]	Führe den Posten weiter und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S006	B1	f81v	f81v.17	L3_CODEBOOK	qokain shckhy dl ral	P P W p	W01_ZUSATZ	1	eine Portion zugeben -> durchleiten -> Zusatz -> zur Zielstelle	Gib eine Portion und den Zusatz zu, leite durch, fuehre zur Zielstelle und uebergib an den folgenden Umsetzschritt.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B1-S007	B1	f81v	f81v.18	L1_PRODUCTIVE	qokchdy	P	NONE	0	umsetzen [SCHLUSS]	Setze die abgekühlte Badmischung um und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S008	B1	f81v	f81v.18	L1_PRODUCTIVE	chey ol cheky ol shedy	P P P P P	NONE	0	dieser Posten -> fortsetzen -> kurz wärmen -> fortsetzen -> absetzen [SCHLUSS]	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S009	B1	f81v	f81v.18	L1_PRODUCTIVE	qokedy	P	NONE	0	kurz ansetzen [SCHLUSS]	Setze kurz an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S010	B1	f81v	f81v.18	L1_PRODUCTIVE	qokedy	P	NONE	0	kurz ansetzen [SCHLUSS]	Setze kurz an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S011	B1	f81v	f81v.18	L1_PRODUCTIVE	chckhy qoky	P P	NONE	0	durchleiten -> Posten ansetzen	Leite durch und setze den Posten an	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S012	B1	f81v	f81v.21	L1_PRODUCTIVE	lsho qokey lshedy	P P P	NONE	0	Waschgang -> kurz ansetzen -> waschen [SCHLUSS]	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S013	B1	f81v	f81v.21	L1_PRODUCTIVE	lshedy	P	NONE	0	waschen [SCHLUSS]	Wasche und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S014	B1	f81v	f81v.21	L2_BOUND_CARRIERS	chedy qolky lchedal qol otar	P p P P P	NONE	0	umsetzen -> weiterfuehren -> Auslass -> fortsetzen -> danach von dort	Setze um, fuehre weiter, leite am Auslass ab und fuehre danach von dort weiter.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B1-S015	B1	f81v	f81v.24	L3_CODEBOOK	ytey okchedy	W P	W10_FUELLEN	1	fuellen -> umsetzen [SCHLUSS]	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B1-S016	B1	f81v	f81v.24	L1_PRODUCTIVE	qokal okeey qol cheedy	P P P P	NONE	0	dort ansetzen -> länger ansetzen -> fortsetzen -> absetzen [SCHLUSS]	Setze dort länger an, führe weiter, lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S017	B1	f81v	f81v.24	L1_PRODUCTIVE	sal teol dchdy	P P P	NONE	0	dorthin -> kurz weiterfuehren -> umsetzen [SCHLUSS]	Fuehre dorthin, fuehre kurz weiter, setze um und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S018	B1	f81v	f81v.24|f81v.27	L3_CODEBOOK	ly dsheol oiiin olkeedy	W P P P	W02_GEFAESS	1	Gefaess -> kurz weiter ruhen lassen -> Sollstufe -> länger sammeln [SCHLUSS]	Stelle das Gefaess bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle laenger und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B1-S019	B1	f81v	f81v.27	L1_PRODUCTIVE	tedy	P	NONE	0	absetzen [SCHLUSS]	Lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S020	B1	f81v	f81v.27	L1_PRODUCTIVE	cheky shckhedy	P P	NONE	0	kurz wärmen -> seihen [SCHLUSS]	Wärme kurz, seih und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B1-S021	B1	f81v	f81v.27	L1_PRODUCTIVE	chal	P	NONE	0	dorthin	Führe den Posten dorthin	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S001	B2	f82r	f82r.2	L1_PRODUCTIVE	dchedy	P	NONE	0	umsetzen [SCHLUSS]	Setze um und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S002	B2	f82r	f82r.2	L1_PRODUCTIVE	qolchedy	P	NONE	0	fortsetzen [SCHLUSS]	Führe weiter und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S003	B2	f82r	f82r.2	L1_PRODUCTIVE	qokain dy qokeedy	P P P	NONE	0	eine Portion zugeben -> dieser Posten -> länger ansetzen [SCHLUSS]	Gib eine Portion zu, setze den Posten länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S004	B2	f82r	f82r.2|f82r.3	L1_PRODUCTIVE	qokal lcheckhy lched qokeey lcheckhedy	P P P P P	NONE	0	dort ansetzen -> Ausgangsdurchlass -> abführen -> länger ansetzen -> abseihen [SCHLUSS]	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S005	B2	f82r	f82r.3|f82r.4	L2_BOUND_CARRIERS	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	P P P P P P P p	NONE	0	dies dort ansetzen -> bis Sollmass sammeln -> durchleiten -> auf Sollmaß einstellen -> auf Sollmaß einstellen -> bereit weiterfuehren -> länger wärmen -> abziehen [SCHLUSS]	Setze diesen Posten dort an, sammle bis zum Sollmass, leite durch, stelle das Sollmass ein, fuehre bereit weiter, waerme laenger, ziehe ab und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B2-S006	B2	f82r	f82r.4	L1_PRODUCTIVE	oteey qokal sheckhy qoky	P P P P	NONE	0	langer Folgeposten -> dort ansetzen -> kurz durchleiten -> Posten ansetzen	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S007	B2	f82r	f82r.7	L3_CODEBOOK	dshedy	W	W13_FRISCHWASSER	1	Frischwasser [SCHLUSS]	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B2-S008	B2	f82r	f82r.7	L1_PRODUCTIVE	sotaiin qokar shedy	P P P	NONE	0	Folgemaß -> daraus ansetzen -> absetzen [SCHLUSS]	Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S009	B2	f82r	f82r.7	L1_PRODUCTIVE	solshedy	P	NONE	0	weiter absetzen [SCHLUSS]	Lass weiter absetzen und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S010	B2	f82r	f82r.7	L3_CODEBOOK	qokeey qoky ls cheey	P P p W	W11_KLARLAUF	1	länger ansetzen -> Posten ansetzen -> Auslass -> Klarlauf	Setze laenger an, fuehre den Posten durch den Auslass und nimm den Klarlauf.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B2-S011	B2	f82r	f82r.19	L1_PRODUCTIVE	okain char okain qokeedy	P P P P	NONE	0	eine Portion zugeben -> daraus -> eine Portion zugeben -> länger ansetzen [SCHLUSS]	Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S012	B2	f82r	f82r.19|f82r.23	L3_CODEBOOK	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	P W P P P P P P	W11_KLARLAUF	1	abziehen -> Klarlauf -> kurz bereithalten -> länger ansetzen -> Klarlauf abfuehren -> Sollmaß -> dieser Posten -> vollständig ansetzen [SCHLUSS]	Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn laenger an, fuehre den Klarlauf ab, stelle das Sollmass ein, fuehre den Posten vollstaendig aus und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
B2-S013	B2	f82r	f82r.23	L1_PRODUCTIVE	lchedy	P	NONE	0	abführen [SCHLUSS]	Führe ab und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S014	B2	f82r	f82r.23	L1_PRODUCTIVE	lar	P	NONE	0	von dort abfuehren	Fuehre von dort ab.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Write and read from productive components only.
B2-S015	B2	f82r	f82r.26	L2_BOUND_CARRIERS	tshey qokeedy	p P	NONE	0	Klarlauf -> länger ansetzen [SCHLUSS]	Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze laenger an und schliesse.	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Compose the known part and memorize only the local carrier.
B2-S016	B2	f82r	f82r.26|f82r.27	L3_CODEBOOK	cheal lchedar ches aiin oteey qokaiin okey pchedy	P P W P P P P P	W15_TEILEN	1	dorthin -> von dort abführen -> teilen -> Sollmaß -> langer Folgeposten -> auf Sollmaß einstellen -> kurz ansetzen -> einführen [SCHLUSS]	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	Decke die Kartenfolge ab, schreibe sie aus der deutschen Arbeitsanweisung und vergleiche danach exakt.	Decke die deutsche Zeile ab, lies P/p aus Bauteilen und W aus dem Codebuch zurueck.	Look up W cards; compose P and p cards from the component table.
