component_recipe	workshop_reading_de	events	exact_cards	surfaces	terminal_chy_surfaces	standalone_semantic_ch_component	recipe_class	teaching_readback
HO+Y	ZUTAT · DIES	1	1	choy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
K+E+Y	ZUGEBEN · KURZ · DIES	1	1	kchey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
K+Y	ZUGEBEN · DIES	1	1	kchy	kchy	NO	STRUCTURAL_CHY_EXTENSION	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
L+CH+Y	LEITEN · ENTNEHMEN · DIES	1	1	lchy	lchy	YES	SEMANTIC_CH_PLUS_Y	KEEP_CH_AS_ENTNEHMEN
L+CKH+Y	LEITEN · DURCHLASS · DIES	1	1	lcheckhy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
L+EE+Y	LEITEN · LANG · DIES	1	1	lcheey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
L+Y	LEITEN · DIES	1	1	ly	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
O+CKH+E+Y	ARBEITSGANG · DURCHLASS · KURZ · DIES	1	1	qockhey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	1	1	qoctholy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	1	1	oykchor	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES	1	1	qokaly	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OK+E+Y	ANSETZEN · KURZ · DIES	2	1	okey,qokey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OK+EE+Y	ANSETZEN · LANG · DIES	7	1	okeey,qokeey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	1	qokokchy	qokokchy	NO	STRUCTURAL_CHY_EXTENSION	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OK+Y	ANSETZEN · DIES	13	2	chokchy,choky,okchy,oky,qokchy,qoky	chokchy,okchy,qokchy	NO	EMPIRICAL_Y_CHY_ALLOGRAPH_FAMILY	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OL+AL+Y	WEITER · ZIELSTELLE · DIES	1	1	olsaly	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OL+T+Y	WEITER · ANWENDEN · DIES	1	1	oltchy	oltchy	NO	STRUCTURAL_CHY_EXTENSION	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OL+Y	WEITER · DIES	1	1	qolchey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OT+EE+Y	DANACH · LANG · DIES	2	1	oteey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OT+Y	DANACH · DIES	3	2	otchey,qotchy	qotchy	NO	PAIRED_ENTRY_TEMPLATE	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	1	1	otytchol	NONE	YES	SEMANTIC_CH_PLUS_Y	KEEP_CH_AS_ENTNEHMEN
P+Y	FUELLEN · DIES	1	1	cphy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
R+AL+Y	KUEHLEN · ZIELSTELLE · DIES	1	1	raly	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	1	sheckhy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	1	1	shecthedchy	shecthedchy	NO	STRUCTURAL_CHY_EXTENSION	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SH+E+CTH+Y	HALTEN · KURZ · BEREITEN · DIES	1	1	shecthy	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SH+E+Y	HALTEN · KURZ · DIES	1	1	tshey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SH+EE+Y	HALTEN · LANG · DIES	5	2	cheey,sheey,shey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	1	1	shoyty	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SH+Y+AIIN	HALTEN · DIES · SOLLMASS	1	1	shfydaiin	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SOLK+E+Y	SAMMELSTELLE · KURZ · DIES	1	1	solkey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SOLK+EE+Y	SAMMELSTELLE · LANG · DIES	1	1	solkeey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
SOLK+Y	SAMMELSTELLE · DIES	1	1	qolky	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
T+E+Y	ANWENDEN · KURZ · DIES	1	1	ytey	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
T+Y	ANWENDEN · DIES	2	1	chety,chty	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
Y	DIES	18	1	chey,chy,dy,shy,sy,y	chy	NO	EMPIRICAL_Y_CHY_ALLOGRAPH_FAMILY	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	1	1	ycheor	NONE	YES	SEMANTIC_CH_PLUS_Y	KEEP_CH_AS_ENTNEHMEN
Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	1	1	ykaiin	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
Y+K+AIN	DIES · ZUGEBEN · PORTION	1	1	ykain	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
Y+K+AN	DIES · ZUGEBEN · NACHGABE	1	1	ykan	NONE	NO	Y_WITHOUT_CHY_VARIANT	DO_NOT_ADD_CH_MEANING_BEFORE_TERMINAL_Y
