event_id	page	record_unit_id	statement_id	visible_surface	master_card_id	component_parse	revised_compositional_reading_de	composition_status	visible_owner	terminal_status
E052	f11r	H3	H3-S004	qotchy	MC107	OT + Y	zum nächsten Posten wechseln	FULL_COMPOSITION	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
E053	f11r	H3	H3-S004	okchol	MC041	OK + OL	die Fortsetzung einsetzen	FULL_COMPOSITION	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
E060	f55v	H4	H4-S001	ody	MC100	O + DY	abkühlen; Schluss	LEARNED_WHOLE_OPERATION	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL
E070	f55v	H4	H4-S004	oltchy	MC021	OL + TCH + Y	die laufende Bereitung fortsetzen	PARTIAL_COMPOSITION	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
E079	f56r	H5	H5-S001	kchol	MC090	K + OL	weiter bearbeiten	FULL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E083	f56r	H5	H5-S002	schol	MC142	D + OL	vom vorigen Arbeitsgang nehmen	PARTIAL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E086	f56r	H5	H5-S002	cheeckhody	MC099	CHEECKHO + DY	auftragen; Schluss	LEARNED_WHOLE_OPERATION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	TERMINAL
E089	f56r	H5	H5-S003	kchey	MC122	K + E + Y	den laufenden Posten kurz bearbeiten	FULL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E090	f56r	H5	H5-S003	qokokchy	MC015	OK + OK + Y	denselben Posten erneut einsetzen	FULL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E091	f56r	H5	H5-S004	okchy	MC103	OK + Y	den laufenden Posten einsetzen und weiterbearbeiten	FULL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E092	f56r	H5	H5-S004	chokcheo	MC006	OK + CHEO	Auszug einsetzen	FULL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E093	f56r	H5	H5-S004	kchal	MC077	K + AL	an der Zielstelle bearbeiten	FULL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E095	f56r	H5	H5-S005	chokchy	MC103	OK + Y	den laufenden Posten einsetzen und weiterbearbeiten	FULL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E097	f56r	H5	H5-S005	sotodan	MC068	SOTODAN	als Folgeanwendung führen	LEARNED_WHOLE_OPERATION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
E099	f56r	H5	H5-S006	keol	MC104	K + E + OL	kurz weiterbearbeiten	FULL_COMPOSITION	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
